title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,genres,author_followers,no_of_reviews,no_of_books_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
Queens' Play,Dorothy Dunnett,4.45,"4,588 rating","January 1, 1964","This second book in the legendary  Lymond Chronicles  follows Francis Crawford of Lymond who has been abruptly called into the service of Mary Queen of Scots.Though she is only a little girl, the Queen is already the object of malicious intrigues that extend from her native country to the court of France. It is to France that Lymond must travel, exercising his sword hand and his agile wit while also undertaking the most unlikely of masquerades, all to make sure that his charge's royal person stays intact.",432,"['Historical Fiction', 'Historical', 'Fiction', 'Scotland', 'France', 'Adventure', '16th Century']",788 follower,344 review,48,36 (<1%),82 (1%),402 (8%),"1,314 (28%)","2,754 (60%)"
Making History,Stephen Fry,3.93,"11,279 rating","October 22, 1996","In Making History, Stephen Fry has bitten off a rather meaty chunk by tackling an at first deceptively simple premise: What if Hitler had never been born? An unquestionable improvement, one would reason--and so an earnest history grad student and an aging German physicist idealistically undertake to bring this about by preventing Adolf's conception. And with their success is launched a brave new world that is in some ways better than ours--but in most ways even worse. Fry's experiment in history makes for his most ambitious novel yet, and his most affecting. His first book to be set mostly in America, it is a thriller with a funny streak, a futuristic fantasy based on one of mankind's darkest realities. It is, in every sense, a story of our times",575,"['Fiction', 'Science Fiction', 'Alternate History', 'Historical Fiction', 'Time Travel', 'Humor', 'Fantasy']",10.4k follower,761 review,235,138 (1%),538 (4%),"2,601 (23%)","4,702 (41%)","3,300 (29%)"
Insciallah,Oriana Fallaci,4.02,"1,394 rating","January 1, 1990","Insciallah (invocazione araba che significa ""sia fatta la volotà di Dio"") è ambientato ai tempi della guerra civile in Libano negli anni ottanta, durante l'intervento delle forze internazionali, alle quali partecipò anche l'Italia. Oriana Fallaci descrive un complesso retroscena, proprio attraverso le vicende dei componenti il contingente italiano nei tre mesi che intercorsero tra gli attentati di Beirut e il ritorno in patria della forza italiana.",795,"['Fiction', 'Roman', 'Italian Literature', 'Historical Fiction', 'Italy', 'War', 'Journalism']","1,350 follower",88 review,56,34 (2%),78 (5%),251 (18%),494 (35%),537 (38%)
The Brethren,John Grisham,3.76,"95,295 rating","February 1, 2000","They call themselves the Brethren: three disgraced former judges doing time in a Florida federal prison. One was sent up for tax evasion. Another, for skimming bingo profits. The third for a career-ending drunken joyride.Meeting daily in the prison law library, taking exercise walks in their boxer shorts, these judges-turned-felons can reminisce about old court cases, dispense a little jailhouse justice, and contemplate where their lives went wrong. Or they can use their time in prison to get very rich—very fast. ...",440,"['Fiction', 'Thriller', 'Mystery', 'Legal Thriller', 'Crime', 'Suspense', 'Mystery Thriller']",80.4k follower,"2,365 review",712,"1,532 (1%)","6,302 (6%)","29,079 (30%)","34,794 (36%)","23,588 (24%)"
There is a River: The Story of Edgar Cayce,Thomas Joseph Sugrue,4.25,"2,072 rating","PaperbackPublished May 1, 2003","This is the complete, original biography of the best-documented psychic in America. It tells the story of how Edgar Cayce discovered his astounding psychic gifts and what led him to a life dedicated to helping others. Cayce’s ""readings,"" given in a trancelike state, ranged from phenomenal medical cures to advice on spiritual growth, psychology, and the prophesy of world events. A philosophy section outlines Cayce’s revelations about our origin, purpose, and destinies on the earth, making this book a valuable resource. This book contains many photos of Edgar Cayce, his family, and close friends. This special edition features Auras, the only book written by Edgar Cayce himself.","PaperbackPublished May 1, 2003","['Biography', 'Spirituality', 'Nonfiction', 'Metaphysics', 'Religion', 'Philosophy', 'Paranormal', 'Biography', 'Spirituality', 'Nonfiction', 'Metaphysics', 'Religion', 'Philosophy', 'Paranormal', 'Biography', 'Spirituality', 'Nonfiction', 'Metaphysics', 'Religion', 'Philosophy', 'Paranormal']",12 follower,122 review,15,20 (<1%),67 (3%),310 (14%),658 (31%),"1,017 (49%)"
In-House Weddings,Bohumil Hrabal,4.16,371 rating,"January 1, 1987","Inspired by “Mrs. Tolstoy and Mrs. Dostoevsky, whose biographies about their husbands have now been published in Prague,” Bohumil Hrabal decided to produce his own autobiographical work, ostensibly fiction, from his wife’s point of view. He would write, he said, “not a putdown about myself, but a little bit of how it all was, that marriage of ours, with myself as a jewel and adornment of our life together.”The task, taken up by such a rogue comic talent, could be nothing other than strangely delightful; and in In-House Weddings , the first of the trilogy that Hrabal produced, we meet the author through the eyes of his wife Eliska. She narrates his life from his upbringing in Nymburk through his work as a dispatcher in a train station and then in a scrap paper plant, his first publication, his trouble with the authorities, and his association with notable artists and authors such as Jiri Kolar, Vladimir Boudnik, and Arnost Lustig. Hrabal’s bohemian life was itself a source of great interest to the Czech public; transmuted here, it is even more compelling, a wry portrait of artistic life in postwar Eastern Europe and a telling reflection on how such a life might be recast in the light of literary brilliance.",171,"['Czech Literature', 'Fiction', 'Literature', 'Classics', 'Novels', 'Czech Literature', 'Fiction', 'Literature', 'Classics', 'Novels', 'Czech Literature', 'Fiction', 'Literature', 'Classics', 'Novels']","1,170 follower",36 review,181,4 (1%),11 (2%),59 (15%),146 (39%),151 (40%)
جدد حياتك,محمد الغزالي,4.21,"11,438 rating","January 1, 1987",«فى هذا الكتاب مقارنة بين تعاليم الإسلام كما وصلت إلينا، وبين أصدق ما وصلت إليه حضارة الغرب فى أدب النفس والسلوك فى محاولة للكشف عن روعة التقارب وصدق التطابق» .. هذه بعض كلمات المؤلف التى عبر بها عن سبب كتابته لهذا العمل الفريد، خاصة بعد قراءته لكتاب «دع القلق وابدأ الحياة» لديل كارنيجى وقد اعتمد فى هذا العمل على جانبين رئيسين: فهو يعرض نصوص وأحكام الإسلام ويقابل بها كتابات وتجارب وشواهد كارنيجى .. تأكيدًا لقيمة الإسلام ومنهجه فى التعامل مع النفس البشرية فمن القلق إلى الثبات إلى العمل إلى مشكلات الفراغ إلى محاسبة النفس وغيرها حيث تتنوع موضوعات هذا الكتاب تنوعًا ممتعًا.,236,"['Religion', 'Islam', 'Self Help', 'Nonfiction', 'Psychology', 'Philosophy', 'Personal Development']","6,692 follower","1,254 review",139,224 (1%),427 (3%),"1,609 (14%)","3,601 (31%)","5,577 (48%)"
A Game Of Hide And Seek,Elizabeth Taylor,3.79,"1,185 rating","January 1, 1951","During summer games of hide-and-seek Harriet falls in love with Vesey and his elusive, teasing ways. When he goes to Oxford she cherishes his photograph and waits for the letter that never comes. Then Charles enters her life, and Harriet stifles her imaginings. With a husband and daughter, she excels at respectability: ornaments on the mantlepiece, remembered birthdays and jars of lilac. But when Vesey reappears, her marriage seems to melt away. Harriet is older, it is much too late, but she is still in love with him.",320,"['Fiction', 'Classics', 'British Literature', 'Literary Fiction', '20th Century', 'Novels', 'Literature']",431 follower,185 review,113,23 (1%),73 (6%),317 (26%),486 (41%),286 (24%)
The Puritans,Jack  Cavanaugh,4.15,823 rating,"January 1, 1994","Young Drew Morgan has an enviable position. Handpicked by Bishop Laud, next to the king the most powerful man in England, it is his assignment to infiltrate Puritan villages, turn over ""traitors"" to the church and crown, and discover the secret identity of the notorious pamphleteer Justin.But when Drew falls in love with a Puritan curate's daughter, his personal fortunes begin to falter as his spiritual yearnings take root. After unwittingly betraying what he knows to be right, the stage is set for his conversion.At last Drew sails to the New World colony of Massachusetts and sets out to win the forgiveness of those whom he has wronged--especially the woman he loves. Only as Bishop Laud reaches his long arm across the ocean in one final threat can Drew prove his true mettle and affections.Trace this unforgettable adventure of one of America's first families of faith, the beginnings of a vibrant spiritual heritage that will span generations.",510,"['Historical Fiction', 'Christian Fiction', 'Christian', 'Fiction', 'Historical', 'Romance', 'British Literature']",136 follower,69 review,37,15 (1%),27 (3%),134 (16%),294 (35%),353 (42%)
The Smile at the Foot of the Ladder,Henry Miller,3.61,"1,946 rating","January 1, 1948","First published in 1959, this touching fable tells of Auguste, a famous clown who could make people laugh but who sought to impart to his audiences a lasting joy. Originally inspired by a series of circus and clown drawings by the cubist painter Femand L�ger, Miller eventually used his own decorations to accompany the text in their stead. ""Undoubtedly, he says in his explanatory epilogue, �'it is the strangest story I have yet written. . . . No, more even than all the stories which I based on fact and experience is this one the truth. My whole aim in writing has been to tell the truth, as I know it. Heretofore all my characters have been real, taken from life, my own life. Auguste is unique in that he came from the blue. But what is this blue which surrounds and envelopes us if not reality itself? . . . We have only to open our eyes and hearts, to become one with that which is.",56,"['Fiction', 'Short Stories', 'Classics', 'American', 'Novels', 'Philosophy', 'Literature']","4,725 follower",228 review,780,56 (2%),182 (9%),660 (33%),616 (31%),432 (22%)
