title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,genres,author_followers,no_of_reviews,no_of_books_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
Blood on the Forge,William Attaway,3.79,514 rating,"January 1, 1941","This brutally gripping novel about the African-American Great Migration follows the three Moss brothers, who flee the rural South to work in industries up North. Delivered by day into the searing inferno of the steel mills, by night they encounter a world of surreal devastation, crowded with dogfighters, whores, cripples, strikers, and scabs. Keenly sensitive to character, prophetic in its depiction of environmental degradation and globalized labor, Attaway's novel is an unprecedented confrontation with the realities of American life, offering an apocalyptic vision of the melting pot not as an icon of hope but as an instrument of destruction. Blood on the Forge was first published in 1941, when it attracted the admiring attention of Richard Wright and Ralph Ellison. It is an indispensable account of a major turning point in black history, as well as a triumph of individual style, charged with the concentrated power and poignance of the blues.",264,"['Fiction', 'African American', 'Historical Fiction', 'Literary Fiction', 'Literature', 'Classics', 'Novels', 'Fiction', 'African American', 'Historical Fiction', 'Literary Fiction', 'Literature', 'Classics', 'Novels', 'Fiction', 'African American', 'Historical Fiction', 'Literary Fiction', 'Literature', 'Classics', 'Novels']",10 follower,57 review,11,10 (1%),44 (8%),131 (25%),188 (36%),141 (27%)
Physics and Philosophy: The Revolution in Modern Science,Werner Heisenberg,4.02,"2,753 rating","January 1, 1958","Nobel Prize winner Werner Heisenberg's classic account explains the central ideas of the quantum revolution, and his celebrated Uncertainty Principle. The theme of Heisenberg's exposition is that words and concepts familiar in daily life can lose their meaning in the world of relativity and quantum physics. This in turn has profound philosophical implications for the nature of reality and for our total world view.",176,"['Philosophy', 'Science', 'Physics', 'Nonfiction', 'History', 'History Of Science', 'Metaphysics', 'Philosophy', 'Science', 'Physics', 'Nonfiction', 'History', 'History Of Science', 'Metaphysics', 'Philosophy', 'Science', 'Physics', 'Nonfiction', 'History', 'History Of Science', 'Metaphysics']",340 follower,157 review,105,39 (1%),161 (5%),521 (18%),"1,008 (36%)","1,024 (37%)"
Sharpe's Sword,Bernard Cornwell,4.26,"10,505 rating","January 1, 1983","The greatest threat to Wellington's Salamanca Campaign is not Napoleon's Army but France's deadliest assassin.  He's already failed to kill Captain Richard Sharpe once.  Now, he's getting a second chance.",320,"['Historical Fiction', 'Fiction', 'Historical', 'War', 'Adventure', 'Military Fiction', 'Action']",17.2k follower,261 review,433,21 (<1%),107 (1%),"1,538 (14%)","4,338 (41%)","4,501 (42%)"
Νεολιθική νυχτωδία στην Κρονστάνδη,Νίκος Καρούζος,4.32,34 rating,"January 1, 1987",,26,"['Poetry', 'Poetry', 'Poetry']",11 follower,4 review,27,0 (0%),1 (2%),8 (23%),4 (11%),21 (61%)
Something for Christmas,Palmer Brown,4.18,93 rating,"January 1, 1958","“What are you doing, dear?”“It’s a secret.”“Secrets are better if you share them a little. So tell Mother why you look so sad on Christmas Eve.”“I am wondering what to give—someone—for Christmas.”So begins the story of a little mouse’s search for a very special gift for a very special person. Nothing seems just right until the little mouse realizes that the best present of all is already at hand.Palmer Brown has given us something special for Christmas—or any day—an entrancingly lovely story, filled with the true spirit of the holiday season.",32,"['Christmas', 'Picture Books', 'Holiday', 'Animals', 'Childrens', 'Classics']",13 follower,19 review,7,0 (0%),3 (3%),17 (18%),33 (35%),40 (43%)
La pieza oscura,Enrique Lihn,4.36,259 rating,"January 1, 1963","En 1963, el año de Rayuela y La ciudad y los perros, se publicó La pieza oscura, el tercer libro de Enrique Lihn. El poema que le da título introduce una nueva voz lírica, pero también narrativa, confesional y simultáneamente capaz de hacer nuestra, de verbalizar para nosotros una experiencia común: el descubrimiento de la sexualidad por unos cuantos niños y niñas que juegan en ausencia de sus parientes. Desde el comienzo se establece un tono de voz que en adelante reconoceremos siempre como rasgo particular de Lihn y, en este sentido, incomparable e inimitable.",68,"['Poetry', 'Spanish Literature']",77 follower,26 review,64,0 (0%),5 (1%),33 (12%),84 (32%),137 (52%)
A Question of Power,Bessie Head,3.70,"1,042 rating","January 1, 1973","""Your mother was insane. If you're not careful you'll get insane just like your mother. Your mother was a white woman. They had to lock her up, as she was having a child by the stable boy who was a native."" It is never clear to Elizabeth whether the mission school principal's cruel revelation of her origins is at the bottom of her mental breakdown. She has left South Africa with her son and is living in the village of Motabeng, the place of sand, in Botswana where there are no street lights at night. In the darkness of this country where people turn and look at her with vague curiosity as an outsider she establishes an entirely abnormal relationship with two men. A mind-bending book which takes the reader in and out of sanity.",206,"['Fiction', 'Africa', 'Botswana', 'African Literature', 'South Africa', 'Literary Fiction', 'Novels']",182 follower,129 review,51,35 (3%),109 (10%),289 (27%),313 (30%),296 (28%)
Fire on the Mountain,Edward Abbey,3.95,"2,379 rating","January 1, 1962","Edward Abbey was a hero to environmentalists and rebels of every stripe. With Fire on the Mountain, this literary giant of the New West gave readers a powerful, moving, and enduring tale that gloriously celebrates the undying spirit of American individualism. This fiftieth anniversary edition, with an introduction by historian Douglas Brinkley, reminds readers of Abbey's powerful conviction that ""a patriot must always be ready to defend his country against his government.""John Vogelin's land is his life--a barren stretch of New Mexican wilderness mercifully bypassed by civilization. Then the government moves in. And suddenly the elderly, mule-stubborn rancher is confronting the combined land-grabbing greed of the county sheriff, the Department of the Interior, the Atomic Energy Commission, and the U.S. Air Force. But a tough old man is like a mountain lion: if you back him into a corner, he'll come out fighting.",192,"['Fiction', 'Westerns', 'Nature', 'Environment', 'Historical Fiction', 'Classics', 'Literature']","1,674 follower",146 review,66,13 (<1%),91 (3%),582 (24%),998 (41%),695 (29%)
Camp Concentration,Thomas M. Disch,3.73,"2,867 rating","October 1, 1967","In this chillingly plausible work of speculative fiction, Thomas M. Disch imagines an alternate 1970s in which America has declared war on the rest of the world and much of its own citizenry and is willing to use any weapon to assure victory.  Louis Sacchetti, a poet imprisoned for draft resistance, is delivered to a secret facility called Camp Archimedes, where he is the unwilling witness to the army's conscienceless experiments in “intelligence maximization.” In the experiment, Prisoners are given Pallidine, a drug derived from the syphilis spirochete, and their mental abilities quickly rise to the level of genius.  Unfortunately, a side effect of Pallidine is death.",184,"['Science Fiction', 'Fiction', 'Dystopia', 'Horror', 'Speculative Fiction', 'Science Fiction Fantasy', 'War']",262 follower,268 review,315,89 (3%),272 (9%),724 (25%),"1,029 (35%)",753 (26%)
Gods of Riverworld,Philip José Farmer,3.61,"3,878 rating","October 10, 1983","The fifth installment of the Riverworld series--which features a ten-million-mile-long river and the resurrection of Earth's 35 billion dead. Again the resurrected heroes include explorer Richard Burton, Alice (of Wonderland fame), sf writer Peter Jairus Frigate & Chinese poet Li Po. They have now occupied the tower of the Ethicals (the mysterious, puissant beings who set the whole system up), with its computer & miraculous powers. The renegade Loga, having murdered the other Ethicals, is directing things to private ends....",278,"['Science Fiction', 'Fantasy', 'Fiction', 'Science Fiction Fantasy', 'Speculative Fiction', 'Adventure', 'Audiobook']",833 follower,118 review,610,103 (2%),385 (9%),"1,268 (32%)","1,296 (33%)",826 (21%)
