title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,no_of_books_by_author,author_followers,genres,no_of_reviews,five_star_ratings,four_star_ratings,three_star_ratings,two_star_ratings,one_star_ratings
The Lost Honor of Katharina Blum,Heinrich Böll,3.69,"15,651 rating","January 1, 1974","In an era in which journalists will stop at nothing to break a big story, Henrich Böll's The Lost Honor of Katharina Blum has taken on heightened relevance. A young woman's association with a hunted man makes her the target of a journalist determined to grab the headlines by portraying her as an evil woman. As the attacks on her escalate and she becomes the victim of anonymous threats, Katharina sees only one way out of her nightmare.Turning the mystery genre on its head, the novel begins with the confession of a crime, drawing the reader into a web of sensationalism, character assassination, and the unavoidable eruption of violence.",140,540,"1,543 follower","['Fiction', 'German Literature', 'Classics', 'Germany', 'Literature', 'Novels', 'Nobel Prize', 'Fiction', 'German Literature', 'Classics', 'Germany', 'Literature', 'Novels', 'Nobel Prize', 'Fiction', 'German Literature', 'Classics', 'Germany', 'Literature', 'Novels', 'Nobel Prize']","1,031 review","3,213 (20%)","6,222 (39%)","4,642 (29%)","1,246 (7%)",328 (2%)
Walt Disney's Story Land,Frances Saldinger,4.11,243 rating,"January 1, 1962","More than 50 beloved stories, many adapted from classic Walt Disney films, have been brought together in this new and revised 320-page volume, illustrated in color.",319,5,5 book,"['Childrens', 'Fiction', 'Short Stories', 'Picture Books', 'Fantasy', 'Childrens Classics', 'Art']",28 review,97 (39%),93 (38%),39 (16%),10 (4%),4 (1%)
Lost in the Cosmos: The Last Self-Help Book,Walker Percy,4.06,"2,654 rating","January 1, 1983",Walker Percy's mordantly funny and wholly original contribution to the self-help book craze deals with the Western mind's tendency toward heavy abstraction. This favorite of Percy fans continues to charm and beguile readers of all tastes and backgrounds. Lost in the Cosmos invites us to think about how we communicate with our world.,272,68,711 follower,"['Philosophy', 'Nonfiction', 'Psychology', 'Self Help', 'Religion', 'Humor', 'Literature']",288 review,"1,077 (40%)",920 (34%),456 (17%),146 (5%),55 (2%)
The Animal Family,Randall Jarrell,4.19,"1,436 rating","January 1, 1965","This is the story of how, one by one, a man found himself a family. Almost nowhere in fiction is there a stranger, dearer, or funnier family -- and the life that the members of The Animal Family live together, there in the wilderness beside the sea, is as extraordinary and as enchanting as the family itself.",180,105,79 follower,"['Fantasy', 'Fiction', 'Childrens', 'Animals', 'Classics', 'Juvenile', 'Young Adult', 'Fantasy', 'Fiction', 'Childrens', 'Animals', 'Classics', 'Juvenile', 'Young Adult', 'Fantasy', 'Fiction', 'Childrens', 'Animals', 'Classics', 'Juvenile', 'Young Adult']",243 review,701 (48%),413 (28%),239 (16%),61 (4%),22 (1%)
Barren Ground,Ellen Glasgow,3.72,313 rating,"January 1, 1925","Barren Ground is a 1925 novel by Ellen Glasgow giving an account of 30 years in the life of a woman in rural Virginia: Dorinda Oakley is an intelligent, independent and vibrant young lady who is trying find herself and her purpose in life by moving to New York after a love disillusion.Dorinda Oakley, daughter of a land‐poor farmer in Virginia, at 20 goes to work in Nathan Pedlar's store. She falls in love with Jason Greylock, weak‐willed son of the village doctor, and forgets her purpose of helping her father to rebuild the farm, but soon before their planned wedding Jason is forced to marry a former fiancée. Bitterly disillusioned and pregnant, Dorinda seeks work in New York City, where she is injured and miscarries in a street accident. She is attended by Dr. Faraday, who later employs her as a nurse for his children. A young doctor proposes to her, but she refuses him, determined to ""find something else in life.""After her father's death, Dorinda returns to the family farm, which is impoverished and overgrown with broomsedge. Having studied scientific agriculture in New York, she introduces progressive methods, gradually returning the ""barren ground"" to fertility and creating a prosperous dairy farm. Her mother becomes an invalid after her brother Rufus is questioned for murder, and Dorinda only can rely on the aid of a few farm laborers. After her mother's death, she marries Nathan Pedlar to provide a home for his children, and after he dies, she shelters Jason, now penniless and ill from excessive drinking. He soon dies.",540,131,63 follower,"['Fiction', 'Classics', 'Southern', 'Literary Fiction', 'Historical Fiction', '20th Century', 'American']",42 review,67 (21%),136 (43%),71 (22%),33 (10%),6 (1%)
Pilgrim,Timothy Findley,3.80,"3,689 rating","January 1, 1999","Ageless. Sexless. Deathless. Timeless. Pilgrim is a man who cannot die, an astounding character in a novel of the cataclysmic contest between creation and destruction. Pilgrim is Timothy Findley’s latest masterwork, a finalist for the Giller Prize, and a national bestseller that has smashed the author’s own impressive sales records. Recently published in the US, Pilgrim is gathering rave reviews, and will be released in the UK this spring.It is 1912 and Pilgrim has been admitted to the Burghölzli Psychiatric Clinic in Zürich, Switzerland, having failed—once again—to commit suicide. Over the next two years, it is up to Carl Jung, self-professed mystical scientist of the mind, to help Pilgrim unlock his unconsciousness, etched as it is with myriad sufferings and hopes of history. Is Pilgrim mad, or is he condemned to live forever, witness to the terrible tragedy and beauty of the human condition? Both intimate and expansive in its scope, with an absorbing parade of characters—mythic, fictional and historical—Pilgrim is a fiercely original and powerful story from one of our most distinguished artists.",538,52,328 follower,"['Fiction', 'Canada', 'Historical Fiction', 'Fantasy', 'Historical', 'Canadian Literature', 'Psychology']",279 review,"1,048 (28%)","1,365 (37%)",892 (24%),275 (7%),109 (2%)
Tenderness,Robert Cormier,3.69,"2,937 rating","January 1, 1997","Eighteen-year-old Eric has just been released from juvenile detention for murdering his parents. Now he's looking for tenderness--tenderness he finds in killing girls. Fifteen-year-old Lori has run away from home again. Emotionally naive and sexually precocious, she is also looking for tenderness--tenderness that she finds in Eric. Will Lori and Eric be each other's salvation or destruction? An ALA Best Book for Young Adults.",242,74,598 follower,"['Young Adult', 'Fiction', 'Horror', 'Crime', 'Thriller', 'Realistic Fiction', 'Teen']",366 review,791 (26%),947 (32%),798 (27%),294 (10%),107 (3%)
Híbýli vindanna,Böðvar Guðmundsson,4.19,248 rating,"January 1, 1995","Written as a letter from a father to a daughter, Where the Winds Dwell is compassionate and real. Guðmundsson brings together past and present in this tragic story of the historic journey to Nýja Ísland, the world's largest Icelandic community outside of Iceland.",339,34,9 follower,"['Fiction', 'Historical', 'Historical Fiction', 'Scandinavian Literature']",11 review,95 (38%),117 (47%),26 (10%),7 (2%),3 (1%)
Una storia semplice,Leonardo Sciascia,3.82,"6,226 rating","November 20, 1989","Una storia semplice è una storia complicatissima, un giallo siciliano, con sfondo di mafia e droga. Eppure mai – ed è un vero tour de force – l'autore si trova costretto a nominare sia l'una sia l'altra parola. Tutto comincia con una telefonata alla polizia, con un messaggio troncato, con un apparente suicidio. E subito, come se assistessimo alla crescita accelerata di un fiore, la storia si espande, si dilata, si aggroviglia, senza lasciarci neppure l'opportunità di riflettere. Davanti alla proliferazione dei fatti, non solo noi lettori ma anche l’unico personaggio che nel romanzo ricerca la verità, un brigadiere, siamo chiamati a far agire nel tempo minimo i nostri riflessi – un tempo che può ridursi, come in una memorabile scena del romanzo, a una frazione di secondo. È forse questo l'estremo azzardo concesso a chi vuole «ancora una volta scandagliare scrupolosamente le possibilità che forse ancora restano alla giustizia».",66,214,410 follower,"['Italian Literature', 'Fiction', 'Crime', 'Italy', 'Classics', 'School', 'Mystery']",390 review,"1,526 (24%)","2,585 (41%)","1,683 (27%)",357 (5%),75 (1%)
Bully,Jan Needle,3.47,57 rating,"February 23, 1995","'Unbidden, Simon saw a face before his eyes, a girl's face with blonde hair. Unbidden, his teeth clamped shut, ground against each other. She was the target.' Simple, lumpy Simon Mason. Of course he's a bully and a liar, even his mother thinks so. And he's picking on that nice Anna Royle, her brother and Rebekka. Or is he? Has Simon been found guilty, sentenced and condemned without a proper hearing? Simon's teacher is determined to find out just who's bullying who. Hostilities reach a head when bully and victim meet for a final confrontation. Will the truth come out in time? Or have too many lies been told?",144,73,28 follower,[],3 review,14 (24%),14 (24%),18 (31%),7 (12%),4 (7%)
