title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,genres,author_followers,no_of_reviews,no_of_books_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
"Roll of Thunder, Hear My Cry",Mildred D. Taylor,3.89,"124,396 rating","January 1, 1976","Why is the land so important to Cassie's family? It takes the events of one turbulent year—the year of the night riders and the burnings, the year a white girl humiliates Cassie in public simply because she's black—to show Cassie that having a place of their own is the Logan family's lifeblood. It is the land that gives the Logans their courage and pride—no matter how others may degrade them, the Logans possess something no one can take away.",288,"['Historical Fiction', 'Young Adult', 'Fiction', 'Classics', 'Middle Grade', 'Childrens', 'School']","1,300 follower","6,172 review",38,"3,672 (2%)","8,788 (7%)","27,899 (22%)","41,559 (33%)","42,478 (34%)"
Everything That Rises Must Converge: Stories,Flannery O'Connor,4.23,"20,457 rating","January 1, 1965","Flannery O'Connor was working on Everything That Rises Must Converge at the time of her death. This collection is an exquisite legacy from a genius of the American short story, in which she scrutinizes territory familiar to her readers: race, faith, and morality. The stories encompass the comic and the tragic, the beautiful and the grotesque; each carries her highly individual stamp and could have been written by no one else.",269,"['Short Stories', 'Fiction', 'Classics', 'Literature', 'Southern Gothic', 'American', 'Southern', 'Short Stories', 'Fiction', 'Classics', 'Literature', 'Southern Gothic', 'American', 'Southern', 'Short Stories', 'Fiction', 'Classics', 'Literature', 'Southern Gothic', 'American', 'Southern']","4,674 follower","1,514 review",189,236 (1%),664 (3%),"2,731 (13%)","7,276 (35%)","9,550 (46%)"
Lake Wobegon Days,Garrison Keillor,3.64,"7,974 rating","January 1, 1985","A young narrator chronicles his coming-of-age in Minnesota's Lake Wobegon, a fictitious small town where all the women are strong, all the men are good-looking, and all the children are above average",337,"['Fiction', 'Humor', 'Short Stories', 'Literature', 'American', 'Contemporary', 'Adult Fiction']",777 follower,638 review,306,242 (3%),704 (8%),"2,440 (30%)","2,898 (36%)","1,690 (21%)"
The Fire Next Time,James Baldwin,4.54,"99,077 rating","January 31, 1963","A national bestseller when it first appeared in 1963, The Fire Next Time galvanized the nation and gave passionate voice to the emerging civil rights movement. At once a powerful evocation of James Baldwin’s early life in Harlem and a disturbing examination of the consequences of racial injustice, the book is an intensely personal and provocative document. It consists of two “letters,” written on the occasion of the centennial of the Emancipation Proclamation, that exhort Americans, both black and white, to attack the terrible legacy of racism. Described by The New York Times Book Review as “sermon, ultimatum, confession, deposition, testament, and chronicle…all presented in searing, brilliant prose,” The Fire Next Time stands as a classic of our literature.",106,"['Nonfiction', 'Essays', 'Classics', 'Race', 'History', 'Politics', 'Social Justice']",12.4k follower,"8,902 review",255,601 (<1%),"1,142 (1%)","6,349 (6%)","26,737 (26%)","64,248 (64%)"
The No. 1 Ladies' Detective Agency,Alexander McCall Smith,3.81,"264,153 rating","January 1, 1998","Precious Ramotswe has only just set up shop as Botswana's No.1 (and only) lady detective when she is hired to track down a missing husband, uncover a con man, and follow a wayward daughter. However, the case that tugs at her heart, and lands her in danger, is a missing eleven-year-old boy, who may have been snatched by witch doctors.",235,"['Mystery', 'Fiction', 'Africa', 'Crime', 'Mystery Thriller', 'Botswana', 'Detective']",11.9k follower,"13,174 review",531,"8,095 (3%)","18,637 (7%)","66,438 (25%)","93,989 (35%)","76,994 (29%)"
Man and His Symbols,C.G. Jung,4.19,"28,512 rating","January 1, 1964","Man and His Symbols owes its existence to one of Jung's own dreams. The great psychologist dreamed that his work was understood by a wide public, rather than just by psychiatrists, and therefore he agreed to write and edit this fascinating book. Here, Jung examines the full world of the unconscious, whose language he believed to be the symbols constantly revealed in dreams. Convinced that dreams offer practical advice, sent from the unconscious to the conscious self, Jung felt that self-understanding would lead to a full and productive life. Thus, the reader will gain new insights into himself from this thoughtful volume, which also illustrates symbols throughout history. Completed just before his death by Jung and his associates, it is clearly addressed to the general reader.",415,"['Psychology', 'Nonfiction', 'Philosophy', 'Science', 'Mythology', 'Psychoanalysis', 'Classics', 'Psychology', 'Nonfiction', 'Philosophy', 'Science', 'Mythology', 'Psychoanalysis', 'Classics', 'Psychology', 'Nonfiction', 'Philosophy', 'Science', 'Mythology', 'Psychoanalysis', 'Classics', 'Psychology', 'Nonfiction', 'Philosophy', 'Science', 'Mythology', 'Psychoanalysis', 'Classics', 'Psychology', 'Nonfiction', 'Philosophy', 'Science', 'Mythology', 'Psychoanalysis', 'Classics']","9,356 follower","1,258 review","1,213",435 (1%),"1,044 (3%)","4,333 (15%)","9,553 (33%)","13,147 (46%)"
On Writing: A Memoir of the Craft,Stephen King,4.34,"285,485 rating","January 1, 2000","""Long live the King"" hailed Entertainment Weekly upon the publication of Stephen King's On Writing. Part memoir, part master class by one of the bestselling authors of all time, this superb volume is a revealing and practical view of the writer's craft, comprising the basic tools of the trade every writer must have. King's advice is grounded in his vivid memories from childhood through his emergence as a writer, from his struggling early career to his widely reported near-fatal accident in 1999 -- and how the inextricable link between writing and living spurred his recovery. Brilliantly structured, friendly and inspiring, On Writing will empower and entertain everyone who reads it -- fans, writers, and anyone who loves a great story well told.(back cover)",320,"['Nonfiction', 'Writing', 'Memoir', 'Biography', 'Audiobook', 'Reference', 'Autobiography']",841k follower,"23,444 review","2,519","3,101 (1%)","6,077 (2%)","31,884 (11%)","95,236 (33%)","149,187 (52%)"
Smilla's Sense of Snow,Peter Høeg,3.74,"48,956 rating","January 1, 1992","She thinks more highly of snow and ice than she does of love. She lives in a world of numbers, science and memories--a dark, exotic stranger in a strange land. And now Smilla Jaspersen is convinced she has uncovered a shattering crime...It happened in the Copenhagen snow. A six-year-old boy, a Greenlander like Smilla, fell to his death from the top of his apartment building. While the boy's body is still warm, the police pronounce his death an accident. But Smilla knows her young neighbor didn't fall from the roof on his own. Soon she is following a path of clues as clear to her as footsteps in the snow. For her dead neighbor, and for herself, she must embark on a harrowing journey of lies, revelation and violence that will take her back to the world of ice and snow from which she comes, where an explosive secret waits beneath the ice....",480,"['Fiction', 'Mystery', 'Crime', 'Thriller', 'Denmark', 'Scandinavian Literature', 'Mystery Thriller', 'Fiction', 'Mystery', 'Crime', 'Thriller', 'Denmark', 'Scandinavian Literature', 'Mystery Thriller', 'Fiction', 'Mystery', 'Crime', 'Thriller', 'Denmark', 'Scandinavian Literature', 'Mystery Thriller']",764 follower,"2,816 review",18,"1,550 (3%)","4,211 (8%)","12,246 (25%)","18,520 (37%)","12,429 (25%)"
King Rat,James Clavell,4.18,"39,935 rating","January 1, 1962","The time is World War II. The place is a brutal prison camp deep in Japanese-occupied territory. Here, within the seething mass of humanity, one man, an American corporal, seeks dominance over both captives and captors alike. His weapons are human courage, unblinking understanding of human weaknesses, and total willingness to exploit every opportunity to enlarge his power and corrupt or destroy anyone who stands in his path.",368,"['Historical Fiction', 'Fiction', 'War', 'Classics', 'Historical', 'Asia', 'Japan']","2,850 follower","1,132 review",175,265 (<1%),"1,055 (2%)","6,799 (17%)","14,849 (37%)","16,967 (42%)"
Swan Song,Robert McCammon,4.29,"67,532 rating","June 1, 1987","An ancient evil roams the desolate landscape of an America ravaged by nuclear war. He is the Man with the Scarlet Eye, a malevolent force that feeds on the dark desires of the countless followers he has gathered into his service. His only desire is to find a special child named Swan—and destroy her. But those who would protect the girl are determined to fight for what is left of the world, and their souls. In a wasteland born of rage, populated by monstrous creatures and marauding armies, the last survivors on earth have been drawn into the final battle between good and evil that will decide the fate of humanity....",956,"['Horror', 'Fiction', 'Post Apocalyptic', 'Fantasy', 'Science Fiction', 'Dystopia', 'Apocalyptic']","4,442 follower","4,825 review",164,"1,031 (1%)","2,335 (3%)","8,513 (12%)","19,859 (29%)","35,794 (53%)"
