title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,no_of_books_by_author,author_followers,genres,no_of_reviews,five_star_ratings,four_star_ratings,three_star_ratings,two_star_ratings,one_star_ratings
Room at the Top,John Braine,3.69,"2,405 rating","January 1, 1957","The ruthlessly ambitious Joe Lampton rises swiftly from the petty bureaucracy of local government into the world of inherited wealth, fast cars, and glamorous women. But betrayal and tragedy strike as the original 'angry young man' of the fifties pursues his goals.","PaperbackFirst published January 1, 1957",42,35 follower,"['Fiction', 'Classics', '20th Century', 'British Literature', 'Novels', 'Literature', 'Literary Fiction']",160 review,516 (21%),910 (37%),749 (31%),188 (7%),42 (1%)
The Tamarack Tree,Patricia Clapp,4.03,302 rating,"January 1, 1986",An eighteen-year-old English girl finds her loyalties divided and all her resources tested as she and her friends experience the terrible physical and emotional hardships of the forty-seven day siege of Vicksburg in the spring of 1863.,256,16,34 follower,"['Historical Fiction', 'Young Adult', 'Civil War', 'Fiction', 'Childrens', 'Historical', 'Juvenile']",26 review,112 (37%),111 (36%),59 (19%),15 (4%),5 (1%)
Carnal Innocence,Nora Roberts,3.99,"20,516 rating","December 1, 1991","Nora Roberts, bestselling author of The Reef and Genuine Lies, mixes scorching passion with icy suspense in her classic novel of murder and infatuation in a southern town now available in hardcover for the first time.In the small town of Innocence, Mississippi, days are long, nights are fragrant, and secrets are hard to keep. But when a brutal killer starts claiming the lives of the town's most attractive women, lifelong neighbors are forced to wonder if the culprit is a stranger lurking in the bayou...or someone right next door.World-famous concert violinist Caroline Waverly knows nothing of the murders when she arrives in Innocence. Burned out from a childhood lost to endless rehearsals and an all-too-public breakup with the conductor who was her lover, Caroline is looking for a little peace and some time to think. She hopes that a stay at her late grandmother's house the one with a covered porch just made for soft summer nights will provide the tranquillity she needs. But Innocence has something else to offer Caroline: a man named Tucker Longstreet.Blessed with the Longstreet good looks, lazy charm, and family fortune, Tucker is a tall, cool drink of water and he knows it. He likes to keep his romances short and shallow. But one look at Caroline, and Tucker realizes that she is unlike any other woman he's met. Tightly coiled and coolly reserved, Caroline is determined to fight him off. She might be able to do a better job if she hadn't felt an unexpected thrill at his ardent advances...and if she hadn't been so scared after finding a third murder victim in the murky waters behind her home.For Caroline Waverly,a beautiful summer interlude could turn into much more or could stir a killer's crazed dreams. Because there's just one small problem with her new romance: Tucker is the leading suspect in the killings.",512,"1,786",52.5k follower,"['Romance', 'Romantic Suspense', 'Mystery', 'Contemporary Romance', 'Contemporary', 'Suspense', 'Fiction']",816 review,"7,453 (36%)","7,030 (34%)","4,743 (23%)","1,045 (5%)",245 (1%)
Crisis Four,Andy McNab,3.90,"3,709 rating","January 1, 1999","Crisis Four [Paperback] Mcnab, Andy",554,210,"1,082 follower","['Fiction', 'Thriller', 'Action', 'Adventure', 'Espionage', 'Military Fiction', 'War']",131 review,"1,013 (27%)","1,557 (41%)",924 (24%),178 (4%),37 (<1%)
The Melendy Family,Elizabeth Enright,4.63,190 rating,"January 1, 1947",,242,51,247 follower,"['Fiction', 'Childrens', 'Realistic Fiction', 'Juvenile']",12 review,135 (71%),43 (22%),10 (5%),1 (<1%),1 (<1%)
The Indulgent Husband,Colette,3.69,597 rating,"January 1, 1902","Following the excitement of a shared life in Paris, Claudine's marriage to the distinguished Renaud has settled into a stale pattern of bickering conversations and mutual inattention. Just as Claudine begins to fear herself confined to a stifled existence, a chance meeting with a friend's wife, the beautiful Rezi, draws her into an impassioned and heartbreaking affair.",271,555,"1,498 follower","['Fiction', 'Classics', 'France', 'LGBT', 'Lesbian', 'French Literature', '20th Century']",56 review,112 (18%),253 (42%),179 (29%),40 (6%),13 (2%)
Dark Star,Alan Furst,4.12,"5,878 rating","March 28, 1991","Paris, Moscow, Berlin, and Prague, 1937. In the back alleys of nighttime Europe, war is already under way. André Szara, survivor of the Polish pogroms and the Russian civil wars and a foreign correspondent for Pravda, is co-opted by the NKVD, the Soviet secret intelligence service, and becomes a full-time spymaster in Paris. As deputy director of a Paris network, Szara finds his own star rising when he recruits an agent in Berlin who can supply crucial information. Dark Star captures not only the intrigue and danger of clandestine life but the day-to-day reality of what Soviet operatives call special work.",446,40,"1,453 follower","['Historical Fiction', 'Fiction', 'Espionage', 'Thriller', 'Mystery', 'World War II', 'War']",435 review,"2,135 (36%)","2,597 (44%)",931 (15%),161 (2%),54 (<1%)
Jumping Jenny,Anthony Berkeley,3.75,513 rating,"January 1, 1933","When a murder is committed at a party given in honour of a famous writer-detective, the guests impersonate famous murderers and the victim is found hanging from a fake gallows erected as a joke. '",190,73,130 follower,"['Mystery', 'Fiction', 'Crime', 'Classics', 'British Literature', '20th Century', 'Cozy Mystery']",116 review,121 (23%),202 (39%),145 (28%),33 (6%),12 (2%)
Robert the Rose Horse,Joan Heilbroner,4.25,"3,788 rating","February 12, 1962","Illus. in color. An allergy to roses causes this city horse many problems until, one time, his sneezes save the day.",72,8,12 follower,"['Picture Books', 'Childrens', 'Fiction', 'Horses', 'Animals', 'Classics', 'Humor', 'Picture Books', 'Childrens', 'Fiction', 'Horses', 'Animals', 'Classics', 'Humor', 'Picture Books', 'Childrens', 'Fiction', 'Horses', 'Animals', 'Classics', 'Humor']",141 review,"2,018 (53%)",921 (24%),658 (17%),144 (3%),47 (1%)
Strange Pilgrims: Twelve Stories,Gabriel García Márquez,4.04,"24,687 rating","January 1, 1992","In Barcelona, an aging Brazilian prostitute trains her dog to weep at the grave she has chosen for herself. In Vienna, a woman parlays her gift for seeing the future into a fortunetelling position with a wealthy family. In Geneva, an ambulance driver and his wife take in the lonely, apparently dying ex-President of a Caribbean country, only to discover that his political ambition is very much intact. In these twelve masterful short stories about the lives of Latin Americans in Europe, García Márquez conveys the peculiar amalgam of melancholy, tenacity, sorrow, and aspiration that is the émigré experience.Bon voyage, Mr. President --The saint --Sleeping beauty and the Airplane --I sell my dreams --""I only came to use the phone"" --The ghosts of August --Maria dos Prazeres --Seventeen poisoned Englishmen --Tramontana --Miss Forbes's summer of happiness --Light is like water --The trail of your blood in the snow",208,820,36.1k follower,"['Short Stories', 'Fiction', 'Magical Realism', 'Classics', 'Spanish Literature', 'Literature', 'Latin American', 'Short Stories', 'Fiction', 'Magical Realism', 'Classics', 'Spanish Literature', 'Literature', 'Latin American', 'Short Stories', 'Fiction', 'Magical Realism', 'Classics', 'Spanish Literature', 'Literature', 'Latin American']","1,878 review","8,274 (33%)","10,281 (41%)","5,138 (20%)",819 (3%),175 (<1%)
