title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,genres,author_followers,no_of_reviews,no_of_books_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
Devil on the Cross,Ngũgĩ wa Thiong'o,3.92,"1,803 rating","January 1, 1980",This remarkable and symbolic novel centers on Wariinga's tragedy and uses it to tell a story of contemporary Kenya.,256,"['Fiction', 'Africa', 'Classics', 'Kenya', 'African Literature', 'Literature', 'Novels']","1,698 follower",202 review,83,35 (1%),131 (7%),369 (20%),674 (37%),594 (32%)
Wise Children,Angela Carter,3.91,"8,895 rating","June 13, 1991","Dora and Nora Chance are a famous song-and-dance team of the British music halls. Billed as The Lucky Chances, the sisters are the illegitimate and unacknowledged daughters of Sir Melchior Hazard, the greatest Shakespearean actor of his day. At once ribald and sentimental, glittery and tender, this rambunctious family saga is Angela Carter at her bewitching best.",240,"['Fiction', 'Magical Realism', 'Historical Fiction', 'Classics', 'Fantasy', 'British Literature', 'Novels']","3,375 follower",786 review,187,175 (1%),573 (6%),"1,973 (22%)","3,344 (37%)","2,830 (31%)"
Heart Song,V.C. Andrews,3.85,"6,921 rating","384 pages, Mass Market PaperbackPublished May 1, 1997","Melody Logan was as alone as a solitary gull, with only the wild Atlantic wind to lift her spirits.... When Melody Logan's mother died in a car accident, Melody lost the last shred of family she had ever known. She was practically a stranger to the Logans, her wealthy relatives on Cape Cod, where she now drifted on a sea of dark secrets. In the eyes of gentle Aunt Sara, Melody was a replacement for her dead daughter, while for Uncle Jacob she was a reminder of the family's shameful past. Only good-hearted Cary seemed to care, and since it was revealed that she and Cary weren't truly cousins, the affection that had always surged between them now crested in thrilling waves. But Melody knew she could never truly echo Cary's loving promises until she discovered her own buried identity. Despite Grandma Olivia's dagger-like threats, Melody sought out Belinda, a mysterious, half-crazy woman who was her real grandmother. Belinda gave Melody hope — and a glimmer of the pearls of truth she knew were hidden in the shifting Cape Cod sands. Somehow, someday, the story of her past would be her hard-won treasure, to be savored in a world of sunshine and happiness...where she truly belonged.",384,"['Fiction', 'Young Adult', 'Horror', 'Romance', 'Mystery', 'Gothic', 'Chick Lit']","8,072 follower",83 review,325,98 (1%),502 (7%),"1,979 (28%)","2,112 (30%)","2,230 (32%)"
The Sailor on the Seas of Fate,Michael Moorcock,3.93,"11,608 rating","January 1, 1976","Leaving his cousin Yrkoon sitting as regent upon the Ruby Throne of Melnibone, leaving his cousin Cymoril weeping for him and despairing of his ever returning, Elric sailed from Imrryr, the Dreaming City, and went to seek an unknown goal in the world of the Young Kingdoms where Melniboneans were at best, disliked.",160,"['Fantasy', 'Fiction', 'Sword and Sorcery', 'Science Fiction Fantasy', 'Dark Fantasy', 'Epic Fantasy', 'High Fantasy']","3,332 follower",499 review,"1,020",68 (<1%),518 (4%),"2,955 (25%)","4,699 (40%)","3,368 (29%)"
The Drawing of the Dark,Tim Powers,3.92,"4,957 rating","June 1, 1979","'The Drawing of the Dark is not only one of my favourite Tim Powers novels, it's simply one of my favourite novels. The seamless and seemingly effortless blend of action and humour, the wonderful characters, the rich settings, the brilliant plot - all of it is perfect' James P. Blaylock",336,"['Fantasy', 'Fiction', 'Historical Fiction', 'Historical Fantasy', 'Historical', 'Alternate History', 'Adventure']","1,642 follower",366 review,144,37 (<1%),256 (5%),"1,183 (23%)","2,050 (41%)","1,431 (28%)"
"Пегий пес, бегущий краем моря",Chingiz Aitmatov,4.26,992 rating,"January 1, 1977","Самый верный путь к творческому бессмертию, это писать sub specie mortis - с точки зрения смерти, или, что в данном случае одно и тоже, с точки зрения вечности. Именно с этой позиции пишет свою прозу Чингиз Айтматов, классик русской и киргизской литературы, лауреат самых престижных премий, хотя последнее обстоятельство в глазах читателя современного, сформировавшегося уже на руинах некогда великой империи, не является столь уж важным. Но, несомненно, важным оказалось другое: айтматовские притчи, в которых миф переплетен с реальностью, а национальные, исторические и культурные пласты перемешаны, - приобрели сегодня новое трагическое звучание, стали еще более пронзительными. Потому что пропасть, о которой предупреждал Айтматов несколько десятилетий назад, - теперь у нас под ногами.В настоящее издание вошли повести-притчи ""Прощай, Гульсары!"", ""Белый пароход"", ""Пегий пес, бегущий краем моря"".Книгу открывает предисловие известного писателя и философа Г.Гачева.",416,"['Russia', 'Fiction', 'Russian Literature', 'Novella', 'Literary Fiction', 'Classics', 'Audiobook']",806 follower,86 review,144,2 (<1%),25 (2%),143 (14%),362 (36%),460 (46%)
Heden ben ik nuchter,Herman Brusselmans,3.29,294 rating,"January 1, 1986", Dutch,138,"['Fiction', 'Literature', 'Belgian', 'Belgium', 'Dutch Literature', '20th Century']",341 follower,9 review,129,7 (2%),41 (13%),136 (46%),81 (27%),29 (9%)
The Changeling,Zilpha Keatley Snyder,4.18,"1,504 rating","January 1, 1970","Ivy Carson belonged to the notorious Carson family, which lived in a run-down house in suburban Rosewood. But Ivy was not a typical Carson. There was something wonderful about her. Ivy explained it by saying that she was a changeling, a child of supernatural parents who had been exchanged for the real Ivy Carson at birth. This classic book was first published in 1970. It was awarded a Christopher Medal and named an outstanding book for young people by the Junior Library Guild.",220,"['Fiction', 'Young Adult', 'Fantasy', 'Childrens', 'Middle Grade', 'Juvenile', 'Coming Of Age', 'Fiction', 'Young Adult', 'Fantasy', 'Childrens', 'Middle Grade', 'Juvenile', 'Coming Of Age', 'Fiction', 'Young Adult', 'Fantasy', 'Childrens', 'Middle Grade', 'Juvenile', 'Coming Of Age']",429 follower,154 review,68,17 (1%),51 (3%),266 (17%),486 (32%),684 (45%)
The Inextinguishable Symphony: A True Story of Music and Love in Nazi Germany,Martin Goldsmith,4.21,"1,049 rating","January 1, 2000","In the spring of 1933, more than 8,000 Jewish musicians, actors, and other artists were expelled from their positions with German orchestras, opera companies, and theater groups. Later that year, the Jdische Kulturbund, or Jewish Cultural Association, was created to allow Jewish artists to perform for Jewish audiences. Here is the riveting and emotional story of Gunther Goldschmidt and Rosemarie Gumpert, two courageous Jewish musicians who struggled to perform under unimaginable circumstances and found themselves falling in love in a country bent on destroying them.",352,"['History', 'Nonfiction', 'Holocaust', 'Music', 'World War II', 'Biography', 'Germany']",14 follower,124 review,35,10 (<1%),38 (3%),135 (12%),408 (38%),458 (43%)
China Mountain Zhang,Maureen F. McHugh,3.95,"4,704 rating","March 1, 1992","With this groundbreaking novel, Maureen F. McHugh established herself as one of the decade's best science fiction writers. In its pages, we enter a post-revolution America, moving from the hyper-urbanized eastern seaboard to the Arctic bleakness of Baffin Island; from the new Imperial City to an agricultural commune on Mars. The overlapping lives of cyber-kite fliers, lonely colonists, illicit neural-pressball players, and organic engineers blend into a powerful, taut story of a young man's journey of discovery. This is a macroscopic world of microscopic intensity, one of the most brilliant visions of modern SF.",313,"['Science Fiction', 'Fiction', 'LGBT', 'Dystopia', 'Queer', 'Speculative Fiction', 'Science Fiction Fantasy']",256 follower,547 review,110,89 (1%),234 (4%),954 (20%),"1,951 (41%)","1,476 (31%)"
