title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,genres,author_followers,no_of_reviews,no_of_books_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
Homo Faber,Max Frisch,3.69,"26,328 rating","October 1, 1957",Walter Faber is an emotionally detached engineer forced by a string of coincidences to embark on a journey through his past.,214,"['Classics', 'Fiction', 'German Literature', 'School', 'Literature', 'Novels', 'Roman', 'Classics', 'Fiction', 'German Literature', 'School', 'Literature', 'Novels', 'Roman', 'Classics', 'Fiction', 'German Literature', 'School', 'Literature', 'Novels', 'Roman']",707 follower,960 review,238,"1,123 (4%)","2,547 (9%)","6,501 (24%)","9,279 (35%)","6,878 (26%)"
To Say Nothing of the Dog,Connie Willis,4.11,"40,472 rating","December 1, 1997","Connie Willis' Hugo and Nebula Award-winning Doomsday Book uses time travel for a serious look at how people connect with each other. In this Hugo-winning companion to that novel, she offers a completely different kind of time travel adventure: a delightful romantic comedy that pays hilarious homage to Jerome K. Jerome's Three Men in a Boat.When too many jumps back to 1940 leave 21st century Oxford history student Ned Henry exhausted, a relaxing trip to Victorian England seems the perfect solution. But complexities like recalcitrant rowboats, missing cats, and love at first sight make Ned's holiday anything but restful - to say nothing of the way hideous pieces of Victorian art can jeopardize the entire course of history.",512,"['Science Fiction', 'Time Travel', 'Fiction', 'Historical Fiction', 'Fantasy', 'Humor', 'Historical']","4,334 follower","4,736 review",258,773 (1%),"1,708 (4%)","6,436 (15%)","15,026 (37%)","16,529 (40%)"
Ceremony,Leslie Marmon Silko,3.83,"23,529 rating","January 1, 1977","Tayo, a young Native American, has been a prisoner of the Japanese during World War II, and the horrors of captivity have almost eroded his will to survive. His return to the Laguna Pueblo reservation only increases his feeling of estrangement and alienation. While other returning soldiers find easy refuge in alcohol and senseless violence, Tayo searches for another kind of comfort and resolution. Tayo's quest leads him back to the Indian past and its traditions, to beliefs about witchcraft and evil, and to the ancient stories of his people. The search itself becomes a ritual, a curative ceremony that defeats the most virulent of afflictions—despair.",262,"['Fiction', 'Classics', 'Historical Fiction', 'School', 'Novels', 'Literary Fiction', 'Read For School']",836 follower,"1,949 review",38,694 (2%),"1,911 (8%)","5,544 (23%)","7,930 (33%)","7,450 (31%)"
Rabbit Is Rich,John Updike,3.92,"17,059 rating","January 1, 1981","Winner of the 1982 Pulitzer Prize for Fiction.Ten years after Rabbit Redux, Harry Angstrom has come to enjoy prosperity as the Chief Sales Representative of Springer Motors. The rest of the world may be falling to pieces, but Harry's doing all right. That is, until his son returns from the West, and the image of an old love pays a visit to his lot....",480,"['Fiction', 'Classics', 'American', 'Literature', 'Novels', 'Literary Fiction', '20th Century']","2,215 follower",717 review,891,460 (2%),973 (5%),"3,632 (21%)","6,413 (37%)","5,581 (32%)"
Anne of Windy Poplars,L.M. Montgomery,4.02,"97,072 rating","June 28, 1936","Anne Shirley has left Redmond College behind to begin a new job and a new chapter of her life away from Green Gables. Now she faces a new challenge: the Pringles. They're known as the royal family of Summerside--and they quickly let Anne know she is not the person they had wanted as principal of Summerside High School. But as she settles into the cozy tower room at Windy Poplars, Anne finds she has great allies in the widows Aunt Kate and Aunt Chatty--and in their irrepressible housekeeper, Rebecca Dew. As Anne learns Summerside's strangest secrets, winning the support of the prickly Pringles becomes only the first of her delicious triumphs.",288,"['Classics', 'Fiction', 'Young Adult', 'Historical Fiction', 'Childrens', 'Romance', 'Historical']",11.5k follower,"4,647 review","2,111","1,044 (1%)","4,534 (4%)","21,840 (22%)","33,520 (34%)","36,134 (37%)"
The Rules of Attraction,Bret Easton Ellis,3.72,"46,968 rating","September 1, 1987","From the bestselling author of American Psycho comes this satirical black comedy about the death of romance.Set at an affluent liberal arts college during the height of the Reagan eighties, The Rules of Attraction follows a handful of rowdy, spoiled, sexually promiscuous students with no plans for the future—or even the present. Three of them—Sean, Paul, and Lauren—become involved in a love triangle of sorts within a sequence of drug runs, ""Dressed to Get Screwed"" parties, and ""End of the World"" parties.As Bret Easton Ellis trains his incisive gaze on the kids at the self-consciously bohemian Camden College, treating their sexual posturing and agonies with a mixture of acrid hilarity and compassion, he exposes the moral vacuum at the center of their lives.",283,"['Fiction', 'Contemporary', 'LGBT', 'Novels', 'American', 'Literary Fiction', 'Literature']",10.6k follower,"2,002 review",31,"1,149 (2%)","3,704 (7%)","13,291 (28%)","17,887 (38%)","10,937 (23%)"
This Boy's Life,Tobias Wolff,3.97,"29,178 rating","January 1, 1989","The 30th anniversary edition of Tobias Wolff's ""extraordinary memoir"" (SF Chronicle), now with a new introduction by the author",304,"['Memoir', 'Nonfiction', 'Biography', 'Biography Memoir', 'Coming Of Age', 'Autobiography', 'Classics']","1,125 follower","1,755 review",157,504 (1%),"1,402 (4%)","6,037 (20%)","11,899 (40%)","9,336 (31%)"
Pollyanna,Eleanor H. Porter,4.01,"86,634 rating","January 1, 1913","Pollyanna's eternal optimism has made her one of the most beloved characters in American literature. First published in 1913, her story spawned the formation of ""Glad"" clubs all over the country, devoted to playing Pollyanna's famous game. Pollyanna has since sold over one million copies, been translated into several languages, and has become both a Broadway play and a Disney motion picture.",304,"['Classics', 'Fiction', 'Childrens', 'Young Adult', 'Historical Fiction', 'Middle Grade', 'Historical']",336 follower,"3,043 review",238,"1,771 (2%)","4,411 (5%)","18,953 (21%)","27,779 (32%)","33,720 (38%)"
Less Than Zero,Bret Easton Ellis,3.60,"85,410 rating","May 1, 1985","Set in Los Angeles in the early 1980s, this coolly mesmerizing novel is a raw, powerful portrait of a lost generation that experienced sex, drugs, and disaffection at too early an age, growing up in a world shaped by casual nihilism, passivity, and too much money.Clay comes home for Christmas vacation from his Eastern college and re-enters a landscape of limitless privilege and absolute moral entropy, where everyone drives Porches, dines at Spago, and snorts mountains of cocaine. He tries to renew feelings for his girlfriend, Blair, and for his best friend from high school, Julian, who is careering into hustling and heroin. Clay's holiday turns into a dizzying spiral of desperation that takes him through the relentless parties in glitzy mansions, seedy bars, and underground rock clubs, and into the seamy world of L.A. after dark.",208,"['Fiction', 'Contemporary', 'Novels', 'American', 'Classics', 'Literature', 'Literary Fiction']",10.6k follower,"5,109 review",31,"3,253 (3%)","8,722 (10%)","24,849 (29%)","30,683 (35%)","17,903 (20%)"
Dispatches,Michael Herr,4.22,"19,754 rating","January 1, 1977","Written on the front lines in Vietnam, Dispatches became an immediate classic of war reportage when it was published in 1977.From its terrifying opening pages to its final eloquent words, Dispatches makes us see, in unforgettable and unflinching detail, the chaos and fervor of the war and the surreal insanity of life in that singular combat zone. Michael Herr’s unsparing, unorthodox retellings of the day-to-day events in Vietnam take on the force of poetry, rendering clarity from one of the most incomprehensible and nightmarish events of our time.Dispatches is among the most blistering and compassionate accounts of war in our literature.",260,"['Nonfiction', 'History', 'War', 'Memoir', 'Journalism', 'Military Fiction', 'Military History']",129 follower,"1,310 review",15,292 (1%),620 (3%),"2,811 (14%)","6,747 (34%)","9,284 (46%)"
Henderson the Rain King,Saul Bellow,3.77,"15,346 rating","January 1, 1959",A middle-age American millionaire goes to Africa in search of a more meaningful life and receives the adoration of an African tribe that believes he has a gift for rainmaking.,341,"['Fiction', 'Classics', 'Literature', 'Africa', 'Novels', 'American', 'Literary Fiction']","1,784 follower",951 review,262,468 (3%),"1,289 (8%)","3,928 (25%)","5,341 (34%)","4,320 (28%)"
The Restaurant at the End of the Universe,Douglas Adams,4.21,"285,476 rating","October 12, 1980","alternate edition for ISBN 0345418921/9780345418920Facing annihilation at the hands of the warlike Vogons is a curious time to have a cosmically displaced Arthur Dent and his curious comrades in arms as they hurtle through space powered by pure improbability - and desperately in search of a place to eat. Among Arthur's motley shipmates are Ford Prefect, a long-time friend and contributor to the The Hitch Hiker's Guide to the Galaxy; Zaphod Beeblebrox, the three-armed, two-headed ex-president of the galaxy; Tricia McMilan, a fellow Earth refuge who's gone native (her name is Trillian now); and Marvin, who suffers nothing and no one gladly.Source: douglasadams.com",250,"['Science Fiction', 'Fiction', 'Humor', 'Fantasy', 'Comedy', 'Classics', 'Science Fiction Fantasy']",22.3k follower,"8,496 review",177,"1,455 (<1%)","6,665 (2%)","45,049 (15%)","110,508 (38%)","121,799 (42%)"
