title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,genres,author_followers,no_of_reviews,no_of_books_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
A Girl of the Limberlost,Gene Stratton-Porter,4.16,"21,164 rating","January 1, 1909","Set amid Indiana's vast Limberlost Swamp, this treasured children's classic mixes astute observations on nature with the struggles of growing up in the early 20th century. Harassed by her mother and scorned by her peers, Elnora Comstock finds solace in natural beauty along with friendship, independence, and romance.--Synopsis from Huffington Post: Cornfields, soy fields, alfalfa fields ― Indiana has long been seen as an agricultural plain. But to make it a lucrative farming state, much of the land had to be deforested, leaving behind devastated habitats. The Limberlost, a wetland in northern Indiana, was mostly destroyed by drainage, logging and oil production. Gene Stratton-Porter, an early 20th-century naturalist and novelist, captured the fading beauty of the swamp in books like A Girl of the Limberlost, a novel about a smart, ambitious girl who lives in the dwindling wetland with her mother and pays for school by collecting local moth specimens to sell to naturalists. The book isn’t exactly an environmentalist tract, but it makes the case nonetheless: It celebrates the beauty and richness of the swampland, while showing how easily economic forces push landowners to strip it away.",217,"['Classics', 'Fiction', 'Young Adult', 'Historical Fiction', 'Romance', 'Childrens', 'Historical']",579 follower,"1,847 review",119,312 (1%),795 (3%),"3,606 (17%)","6,881 (32%)","9,570 (45%)"
Love You Forever,Robert Munsch,4.37,"236,130 rating","January 1, 1986","An extraordinarily different story by Robert Munsch is a gentle affirmation of the love a parent feels for their child—forever.""A young woman holds her newborn son and looks at him lovingly. Softly she sings to him: ""I'll love you forever. I'll like you for always. As long as I'm living, my baby you'll be.""So begins the story that has touched the hearts of millions worldwide. Since publication in l986, ""Love You Forever"" has sold more than 15 million copies in paperback and the regular hardcover edition (as well as hundreds of thousands of translated copies around the world).
Sheila McGraw's
 soft and colorful pastels perfectly complement the sentiment of the book—one that will be read repeatedly for years.",32,"['Picture Books', 'Childrens', 'Fiction', 'Classics', 'Family', 'Love', 'Realistic Fiction', 'Picture Books', 'Childrens', 'Fiction', 'Classics', 'Family', 'Love', 'Realistic Fiction', 'Picture Books', 'Childrens', 'Fiction', 'Classics', 'Family', 'Love', 'Realistic Fiction']","1,360 follower","6,040 review",259,"8,801 (3%)","8,911 (3%)","23,010 (9%)","40,558 (17%)","154,850 (65%)"
A Ring of Endless Light,Madeleine L'Engle,4.17,"19,339 rating","May 1, 1980","After a tumultuous year in New York City, the Austins are spending the summer on the small island where their grandfather lives. He’s very sick, and watching his condition deteriorate as the summer passes is almost more than Vicky can bear. To complicate matters, she finds herself as the center of attention for three very different boys. Zachary Grey, the troubled and reckless boy Vicky met last summer, wants her all to himself as he grieves the loss of his mother. Leo Rodney has been just a friend for years, but the tragic loss of his father causes him to turn to Vicky for comfort—and romance. And then there’s Adam Eddington. Adam is only asking Vicky to help with his research on dolphins. But Adam—and the dolphins—may just be what Vicky needs to get through this heartbreaking summer.",332,"['Young Adult', 'Fiction', 'Fantasy', 'Childrens', 'Romance', 'Science Fiction', 'Classics']","8,606 follower",906 review,183,178 (<1%),649 (3%),"3,528 (18%)","6,374 (32%)","8,610 (44%)"
QB VII,Leon Uris,4.20,"30,027 rating","January 1, 1970","In Queen’s Bench Courtroom Number Seven, famous author Abraham Cady stands trial. In his book The Holocaust—born of the terrible revelation that the Jadwiga Concentration Camp was the site of his family’s extermination—Cady shook the consciousness of the human race. He also named eminent surgeon Sir Adam Kelno as one of Jadwiga’s most sadistic inmate/doctors. Kelno has denied this and brought furious charges. Now unfolds Leon Uris’s riveting courtroom drama—one of the great fictional trials of the century.",432,"['Historical Fiction', 'Fiction', 'Holocaust', 'Historical', 'War', 'World War II', 'Literature']","1,287 follower",507 review,97,170 (<1%),710 (2%),"5,095 (16%)","11,092 (36%)","12,960 (43%)"
The City and the Stars,Arthur C. Clarke,4.08,"33,615 rating","January 27, 1956","Clarke's masterful evocation of the far future of humanity, considered his finest novel.Men had built cities before, but never such a city as Diaspar. For millennia its protective dome shut out the creeping decay and danger of the world outside. Once, it held powers that rule the stars.But then, as legend has it, the invaders came, driving humanity into this last refuge. It takes one man, a Unique, to break through Diaspar's stifling inertia, to smash the legend and discover the true nature of the Invaders.",255,"['Science Fiction', 'Fiction', 'Classics', 'Dystopia', 'Science Fiction Fantasy', 'Fantasy', 'Novels']",10.4k follower,"1,446 review","1,419",279 (<1%),"1,242 (3%)","6,649 (19%)","12,846 (38%)","12,599 (37%)"
The 42nd Parallel,John Dos Passos,3.82,"7,148 rating","January 1, 1930","With his U.S.A. trilogy, comprising THE 42nd PARALLEL, 1919, and THE BIG MONEY, John Dos Passos is said by many to have written the great American novel. While Fitzgerald and Hemingway were cultivating what Edmund Wilson once called their ""own little corners,"" John Dos Passos was taking on the world. Counted as one of the best novels of the twentieth century by the Modern Library and by some of the finest writers working today, U.S.A. is a grand, kaleidoscopic portrait of a nation, buzzing with history and life on every page. The trilogy opens with THE 42nd PARALLEL, where we find a young country at the dawn of the twentieth century. Slowly, in stories artfully spliced together, the lives and fortunes of five characters unfold. Mac, Janey, Eleanor, Ward, and Charley are caught on the storm track of this parallel and blown New Yorkward. As their lives cross and double back again, the likes of Eugene Debs, Thomas Edison, and Andrew Carnegie make cameo appearances.",326,"['Fiction', 'Classics', 'Historical Fiction', 'Literature', 'Novels', 'American', '20th Century']",506 follower,558 review,195,178 (2%),469 (6%),"1,711 (23%)","2,861 (40%)","1,929 (26%)"
The Milagro Beanfield War,John     Nichols,4.10,"10,449 rating","January 1, 1974","Joe Mondragon, a feisty hustler with a talent for trouble, slammed his battered pickup to a stop, tugged on his gumboots, and marched into the arid patch of ground. Carefully (and also illegally), he tapped into the main irrigation channel. And so began-though few knew it at the time-the Milagro beanfield war. But like everything else in the dirt-poor town of Milagro, it would be a patchwork war, fought more by tactical retreats than by battlefield victories. Gradually, the small farmers and sheepmen begin to rally to Joe's beanfield as the symbol of their lost rights and their lost lands. And downstate in the capital, the Anglo water barons and power brokers huddle in urgent conference, intent on destroying that symbol before it destroys their multimillion-dollar land-development schemes. The tale of Milagro's rising is wildly comic and lovingly ter, a vivid portrayal of a town that, half-stumbling and partly prodded, gropes its way toward its own stubborn salvation.",456,"['Fiction', 'Magical Realism', 'Historical Fiction', 'Humor', 'Novels', 'Literature', 'Classics']",105 follower,522 review,26,119 (1%),318 (3%),"1,918 (18%)","4,180 (40%)","3,914 (37%)"
Heart of a Dog,Mikhail Bulgakov,4.10,"58,898 rating","January 1, 1925","This satirical novel tells the story of the surgical transformation of a dog into a man, and is an obvious criticism of Soviet society, especially the new rich that arose after the Bolshevik revolution.",123,"['Fiction', 'Classics', 'Russia', 'Russian Literature', 'Science Fiction', 'Literature', 'Fantasy', 'Fiction', 'Classics', 'Russia', 'Russian Literature', 'Science Fiction', 'Literature', 'Fantasy', 'Fiction', 'Classics', 'Russia', 'Russian Literature', 'Science Fiction', 'Literature', 'Fantasy', 'Fiction', 'Classics', 'Russia', 'Russian Literature', 'Science Fiction', 'Literature', 'Fantasy', 'Fiction', 'Classics', 'Russia', 'Russian Literature', 'Science Fiction', 'Literature', 'Fantasy']","6,730 follower","3,592 review",634,498 (<1%),"1,999 (3%)","10,869 (18%)","23,180 (39%)","22,352 (37%)"
Weaveworld,Clive Barker,4.13,"32,177 rating","October 1, 1987","Clive Barker has made his mark on modern fiction by exposing all that is surreal and magical in the ordinary world --- and exploring the profound and overwhelming terror that results. With its volatile mix of the fantastical and the contemporary, the everyday and the otherworldly, Weaveworld is an epic work of dark fantasy and horror -- a tour de force from one of today's most forceful and imaginative artists.Barker turns from his usual horror to epic-length fantasy for this account of the Fugue, a magical land inhabited by descendants of supernatural beings who once shared the earth with humans. The Fugue has been woven into a carpet for protection against those who would destroy it; the death of its guardian occasions a battle between good and particularly repulsive evil forces for control of the Fugue. Weaveworld is rich with memorable characters, exciting situations, and pockets of Barker's trademark horror.",721,"['Fantasy', 'Horror', 'Fiction', 'Dark Fantasy', 'Science Fiction Fantasy', 'Urban Fantasy', 'Science Fiction']",13.7k follower,"1,601 review",702,518 (1%),"1,427 (4%)","5,340 (16%)","10,877 (33%)","14,015 (43%)"
The Street of Crocodiles,Bruno Schulz,3.99,"15,877 rating","January 1, 1933","The Street of Crocodiles in the Polish city of Drogobych is a street of memories and dreams where recollections of Bruno Schulz's uncommon boyhood and of the eerie side of his merchant family's life are evoked in a startling blend of the real and the fantastic. Most memorable - and most chilling - is the portrait of the author's father, a maddened shopkeeper who imports rare birds' eggs to hatch in his attic, who believes tailors' dummies should be treated like people, and whose obsessive fear of cockroaches causes him to resemble one. Bruno Schulz, a Polish Jew killed by the Nazis in 1942, is considered by many to have been the leading Polish writer between the two world wars.Bruno Schulz's untimely death at the hands of a Nazi stands as one of the great losses to modern literature. During his lifetime, his work found little critical regard, but word of his remarkable talents gradually won him an international readership. This volume brings together his complete fiction, including three short stories and his final surviving work, Sanatorium Under the Sign of the Hourglass. Illustrated with Schulz's original drawings, this edition beautifully showcases the distinctive surrealist vision of one of the twentieth century's most gifted and influential writers.",160,"['Fiction', 'Short Stories', 'Classics', 'Polish Literature', 'Poland', 'Magical Realism', 'Literature', 'Fiction', 'Short Stories', 'Classics', 'Polish Literature', 'Poland', 'Magical Realism', 'Literature', 'Fiction', 'Short Stories', 'Classics', 'Polish Literature', 'Poland', 'Magical Realism', 'Literature', 'Fiction', 'Short Stories', 'Classics', 'Polish Literature', 'Poland', 'Magical Realism', 'Literature', 'Fiction', 'Short Stories', 'Classics', 'Polish Literature', 'Poland', 'Magical Realism', 'Literature']",645 follower,"1,456 review",119,449 (2%),"1,131 (7%)","2,896 (18%)","5,047 (31%)","6,354 (40%)"
