title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,genres,author_followers,no_of_reviews,no_of_books_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
A Lost Lady,Willa Cather,3.72,"7,077 rating","January 1, 1923","Marian Forrester is the symbolic flower of the Old American West. She draws her strength from that solid foundation, bringing delight and beauty to her elderly husband, to the small town of Sweet Water where they live, to the prairie land itself, and to the young narrator of her story, Neil Herbert. All are bewitched by her brilliance and grace, and all are ultimately betrayed. For Marian longs for ""life on any terms,"" and in fulfilling herself, she loses all she loved and all who loved her. This, Willa Cather's most perfect novel, is not only a portrait of a troubling beauty, but also a haunting evocation of a noble age slipping irrevocably into the past.",167,"['Fiction', 'Classics', 'Historical Fiction', 'Literature', 'American', 'Literary Fiction', 'Novels', 'Fiction', 'Classics', 'Historical Fiction', 'Literature', 'American', 'Literary Fiction', 'Novels', 'Fiction', 'Classics', 'Historical Fiction', 'Literature', 'American', 'Literary Fiction', 'Novels']","2,287 follower",784 review,707,96 (1%),502 (7%),"2,158 (30%)","2,859 (40%)","1,462 (20%)"
Return to Nevèrÿon,Samuel R. Delany,4.01,377 rating,"November 1, 1987","In his four-volume series Return to Nevèrÿon, Hugo and Nebula award-winner Samuel R. Delany appropriated the conceits of sword-and-sorcery fantasy to explore his characteristic themes of language, power, gender, and the nature of civilization. Wesleyan University Press has reissued the long-unavailable Nevèrÿon volumes in trade paperback. The eleven stories, novellas, and novels in Return to Nevèrÿon's four volumes chronicle a long-ago land on civilization's brink, perhaps in Asia or Africa, or even on the Mediterranean. Taken slave in childhood, Gorgik gains his freedom, leads a slave revolt, and becomes a minister of state, finally abolishing slavery. Ironically, however, he is sexually aroused by the iron slave collars of servitude. Does this contaminate his mission - or intensify it? Presumably elaborated from an ancient text of unknown geographical origin, the stories are sunk in translators' and commentators' introductions and appendices, forming a richly comic frame.",291,"['Fantasy', 'Fiction', 'Science Fiction', 'Speculative Fiction', 'Science Fiction Fantasy', 'LGBT', 'Short Stories']","1,996 follower",26 review,276,6 (1%),19 (5%),75 (19%),144 (38%),133 (35%)
Under the Tuscan Sun: At Home in Italy,Frances Mayes,3.77,"326,388 rating","January 1, 1996","An enchanting and lyrical look at the life, the traditions, and the cuisine of Tuscany, in the spirit of Peter Mayle's A Year in Provence. Frances Mayes entered a wondrous new world when she began restoring an abandoned villa in the spectacular Tuscan countryside. There were unexpected treasures at every turn: faded frescos beneath the whitewash in her dining room, a vineyard under wildly overgrown brambles in the garden, and, in the nearby hill towns, vibrant markets and delightful people. In Under the Tuscan Sun, she brings the lyrical voice of a poet, the eye of a seasoned traveler, and the discerning palate of a cook and food writer to invite readers to explore the pleasures of Italian life and to feast at her table.",304,"['Travel', 'Nonfiction', 'Memoir', 'Italy', 'Romance', 'Biography', 'Chick Lit']","1,874 follower","4,246 review",55,"12,759 (3%)","25,049 (7%)","83,571 (25%)","108,790 (33%)","96,219 (29%)"
Someone Like You,Sarah Dessen,3.92,"103,307 rating","May 1, 1998","Halley has always followed in the wake of her best friend, Scarlett. But when Scarlett learns that her boyfriend has been killed in a motorcycle accident, and that she's carrying his baby, she's devastated. For the first time ever, Scarlett really needs Halley. Their friendship may bend under the weight, but it'll never break—because a true friendship is a promise you keep forever.",281,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Chick Lit', 'Realistic Fiction', 'Teen']",46.4k follower,"4,254 review",74,"1,580 (1%)","6,321 (6%)","26,329 (25%)","33,610 (32%)","35,467 (34%)"
Unfinished Tales of Númenor and Middle-Earth,J.R.R. Tolkien,4.00,"39,380 rating","October 1, 1980","Classic hardback edition of this fascinating collection of stories, featuring Tolkien’s own painting of the dragon Glaurung on the cover, which continues the tales of The Hobbit, The Lord of the Rings and The Silmarillion and contains an alternative version of The Children of Hurin.Unfinished Tales is a collection of narratives ranging in time from the Elder Days of Middle-earth to the end of the War of the Ring, and provides those who have read The Lord of the Rings with a whole collection of background and new stories from the twentieth century’s most acclaimed popular author.The book concentrates on the realm of Middle-earth and comprises such elements as Gandalf’s lively account of how it was that he came to send the Dwarves to the celebrated party at Bag-End, the emergence of the sea-god Ulmo before the eyes of Tuor on the coast of Beleriand, and an exact description of the military organization of the Riders of Rohan.Unfinished Tales also contains the only story about the long ages of Numenor before its downfall, and all that is known about such matters as the Five Wizards, the Palantiri and the legend of Amroth. The tales were collated and edited by JRR Tolkien’s son and literary heir, Christopher Tolkien, who provides a short commentary on each story, helping the reader to fill in the gaps and put each story into the context of the rest of his father’s writings.",452,"['Fantasy', 'Fiction', 'Classics', 'High Fantasy', 'Short Stories', 'Epic Fantasy', 'Science Fiction Fantasy', 'Fantasy', 'Fiction', 'Classics', 'High Fantasy', 'Short Stories', 'Epic Fantasy', 'Science Fiction Fantasy', 'Fantasy', 'Fiction', 'Classics', 'High Fantasy', 'Short Stories', 'Epic Fantasy', 'Science Fiction Fantasy']",70.5k follower,"1,325 review",585,495 (1%),"1,755 (4%)","8,459 (21%)","15,073 (38%)","13,598 (34%)"
Time Bomb,Jonathan Kellerman,3.99,"16,873 rating","January 1, 1990","Edgar Award winner Jonathan Kellerman once more explores the corruption of California and produces a novel of complex characterizations and nonstop suspense.Psychologist Dr. Alex Delaware was called. Unfortunately, by the time he reached the school, the damage was done. A sniper had opened fire on a crowded playground, but was gunned down before any children were hurt. ""Though a time bomb is ticking away at the heart of this novel, readers will forget to watch the clock once they begin it."" 'Chicago Sun Times.' While the TV news crews feasted on the scene, Alex began his therapy sessions with the traumatized children. But he couldn't escape the image of a slight teenager clutching an oversized rifle. What was behind the name and face? A would-be assassin, or just another victim beneath an indifferent California sky? Intrigued by a request from the sniper's father to conduct a ""psychological autopsy"" of his child, Alex begins to uncover a strange pattern of innocence, neglect, and loss. Then suddenly it is more than a pattern, it is a trail of blood. In the dead sniper's past was a dark and vicious plot. And in Alex Delaware's future is the stuff of grown-up nightmares: the face of real human evil.",496,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Mystery Thriller', 'Suspense', 'Audiobook']","5,226 follower",369 review,253,180 (1%),590 (3%),"3,967 (23%)","6,649 (39%)","5,487 (32%)"
Sahara,Clive Cussler,3.98,"58,923 rating","June 1, 1992","1996, Egypt. Searching for a treasure on the Nile, Dirk Pitt thwarts the attempted assassination of a beautiful U.N. scientist investigating a disease that is driving thousands of North Africans into madness, cannibalism, and death. The suspected cause of the raging epidemic is vast, unprecedented pollution that threatens to extinguish all life in the world's seas. Racing to save the world from environmental catastrophe, Pitt and his team, equipped with an extraordinary, state-of-the-art yacht, run a gauntlet between a billionaire industrialist and a bloodthirsty West African tyrant. In the scorching desert, Pitt finds a gold mine manned by slaves and uncovers the truth behind two enduring mysteries -- the fate of a Civil War ironclad and its secret connection with Lincoln's assassination, and the last flight of a long-lost female pilot....Now, amidst the blazing, shifting sands of the Sahara, DIRK PITT will make a desperate stand -- in a battle the world cannot afford to lose!",649,"['Fiction', 'Adventure', 'Thriller', 'Action', 'Mystery', 'Suspense', 'Mystery Thriller']","7,903 follower","1,082 review",492,"1,020 (1%)","2,475 (4%)","12,893 (21%)","22,545 (38%)","19,990 (33%)"
The Bridges of Madison County,Robert James Waller,3.69,"96,499 rating","April 13, 1992","The story of Robert Kincaid, the photographer and free spirit searching for the covered bridges of Madison County, and Francesca Johnson, the farm wife waiting for the fulfillment of a girlhood dream, THE BRIDGES OF MADISON COUNTY gives voice to the longings of men and women everywhere-and shows us what it is to love and be loved so intensely that life is never the same again.",224,"['Fiction', 'Romance', 'Classics', 'Chick Lit', 'Contemporary', 'Novels', 'Adult']",392 follower,"6,107 review",54,"5,718 (5%)","10,234 (10%)","22,717 (23%)","27,864 (28%)","29,966 (31%)"
The Face of a Stranger,Anne Perry,4.03,"18,174 rating","January 1, 1990","""Richly textured with the sights and sounds of London and its countryside...Solidly absorbing and Perry's best to date.""THE KIRKUS REVIEWSHis name, they tell him, is William Monk, and he is a London police detecive. But the accident that felled him has left him with only half a life; his memory and his entire past have vanished. As he tries to hide the truth, Monk returns to work and is assigned to investigate the brutal murder of a Crimean War hero and man about town. Which makes Monk's efforts doubly difficult, since he's forgotten his professional skills along with everything else....A Dual Main Selection of the Mystery Guild",345,"['Mystery', 'Historical Fiction', 'Fiction', 'Historical Mystery', 'Historical', 'Crime', 'Mystery Thriller']","3,203 follower","1,289 review",447,257 (1%),608 (3%),"3,467 (19%)","7,785 (42%)","6,057 (33%)"
The Girls of Slender Means,Muriel Spark,3.65,"7,244 rating","January 1, 1963","Like the May of Teck Club itself—""three times window shattered since 1940 but never directly hit""—its lady inhabitants do their best to act as if the world were back to normal: practicing elocution, and jostling over suitors and a single Schiaparelli gown. The novel's harrowing ending reveals that the girls' giddy literary and amorous peregrinations are hiding some tragically painful war wounds.Chosen by Anthony Burgess as one of the Best Modern Novels in the Sunday Times of London, The Girls of Slender Means is a taut and eerily perfect novel by an author The New York Times has called ""one of this century's finest creators of comic-metaphysical entertainment.""",140,"['Fiction', 'Classics', 'Historical Fiction', 'British Literature', '20th Century', 'Novels', 'Literary Fiction']","1,086 follower",818 review,192,128 (1%),606 (8%),"2,311 (31%)","2,816 (38%)","1,383 (19%)"
