title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,no_of_books_by_author,author_followers,genres,no_of_reviews,five_star_ratings,four_star_ratings,three_star_ratings,two_star_ratings,one_star_ratings
A Kiss of Shadows,Laurell K. Hamilton,4.02,"58,632 rating","September 30, 2000","My name is Meredith 'Merry' Gentry, but of course it's not my real name. I dare not even whisper my true name after dark for fear that one hushed word will travel over the night winds to the soft ear of my aunt, the Queen of Air and Darkness. She wants me dead. I don't even know why.I fled the high court of Faerie three years ago and have been in hiding ever since. As Merry Gentry, I am a private investigator for the Grey Detective Agency: Supernatural Problems, Magical Solutions. My magical skills, scorned at the courts of Faerie, are valued in the human world. Even by human standards, my magic isn't flashy, which is fine by me. Flashy attracts attention and I can't afford that.Rumour has it that I am dead. Not quite. I am Princess Meredith NicEssus. To speak that name after dark is to call down a knock upon your door from a hand that can kill you with a touch. I have been careful, but not careful enough. The shadows have found me, and they are going to take me back home, one way or another.So the running is over. But the fighting has just begun.",468,353,24.6k follower,"['Fantasy', 'Urban Fantasy', 'Paranormal', 'Romance', 'Paranormal Romance', 'Fae', 'Fiction']","2,135 review","24,229 (41%)","18,069 (30%)","11,094 (18%)","3,579 (6%)","1,661 (2%)"
Too Loud a Solitude,Bohumil Hrabal,3.99,"22,447 rating","January 1, 1976","TOO LOUD A SOLITUDE is a tender and funny story of Haňťa - a man who has lived in a Czech police state - for 35 years, working as compactor of wastepaper and books. In the process of compacting, he has acquired an education so unwitting he can't quite tell which of his thoughts are his own and which come from his books. He has rescued many from jaws of hydraulic press and now his house is filled to the rooftops. Destroyer of the written word, he is also its perpetrator.But when a new automatic press makes his job redundant there's only one thing he can do - go down with his ship.This is an eccentric romp celebrating the indestructability- against censorship, political opression etc - of the written word.",112,181,"1,169 follower","['Fiction', 'Czech Literature', 'Classics', 'Novels', 'Literature', 'Books About Books', 'Literary Fiction', 'Fiction', 'Czech Literature', 'Classics', 'Novels', 'Literature', 'Books About Books', 'Literary Fiction', 'Fiction', 'Czech Literature', 'Classics', 'Novels', 'Literature', 'Books About Books', 'Literary Fiction']","2,828 review","8,471 (37%)","7,768 (34%)","4,251 (18%)","1,391 (6%)",566 (2%)
Between the Acts,Virginia Woolf,3.61,"7,769 rating","January 1, 1941","In Woolf's last novel, the action takes place on one summer's day at a country house in the heart of England, where the villagers are presenting their annual pageant. A lyrical, moving valedictory.",224,"1,373",24.1k follower,"['Fiction', 'Classics', 'Literature', '20th Century', 'Novels', 'British Literature', 'Literary Fiction']",644 review,"1,626 (20%)","2,709 (34%)","2,438 (31%)",773 (9%),223 (2%)
The Midwich Cuckoos,John Wyndham,3.91,"25,394 rating","January 1, 1957","In the sleepy English village of Midwich, a mysterious silver object appears and all the inhabitants fall unconscious. A day later the object is gone and everyone awakens unharmed—except that all the women in the village are discovered to be pregnant.",220,325,"1,810 follower","['Science Fiction', 'Horror', 'Fiction', 'Classics', 'Fantasy', 'Science Fiction Fantasy', 'British Literature']","1,827 review","6,919 (27%)","10,967 (43%)","6,113 (24%)","1,123 (4%)",272 (1%)
Knowing God,J.I. Packer,4.32,"57,738 rating","January 1, 1973","For over 40 years, J. I. Packer's classic has been an important tool to help Christians around the world discover the wonder, the glory and the joy of knowing God. In 2006, Christianity Today voted this title one of the top 50 books that have shaped evangelicals. This edition is updated with Americanized language and spelling and a new preface by the author. Stemming from Packer's profound theological knowledge, Knowing God brings together two important facets of the Christian faith: 1. Knowing about God and 2. Knowing God through the context of a close relationship with the person of Jesus Christ. Written in an engaging and practical tone, this thought-provoking work seeks to transform and enrich the Christian understanding of God. Explaining both who God is and how we can relate to him, Packer divides his book into three sections: The first directs our attention to how and why we know God, the second to the attributes of God and the third to the benefits enjoyed by a those who know him intimately. This guide leads readers into a greater understanding of God while providing advice to gaining a closer relationship with him as a result.",286,207,800 follower,"['Christian', 'Theology', 'Christianity', 'Nonfiction', 'Christian Living', 'Faith', 'Religion']","1,728 review","32,644 (56%)","15,210 (26%)","6,701 (11%)","1,804 (3%)","1,379 (2%)"
Ship of Destiny,Robin Hobb,4.29,"72,555 rating","March 1, 2000","An alternative cover of this ISBN can be found here.As Bingtown slides toward disaster, clan matriarch Ronica Vestrit, branded a traitor, searches for a way to bring the city's inhabitants together against a momentous threat. Meanwhile, Althea Vestrit, unaware of what has befallen Bingtown and her family, continues her perilous quest to track down and recover her liveship, the Vivacia, from the ruthless pirate Kennit. Bold though it is, Althea's scheme may be in vain. For her beloved Vivacia will face the most terrible confrontation of all as the secret of the liveships is revealed. It is a truth so shattering, it may destroy the Vivacia and all who love her, including Althea's nephew, whose life already hangs in the balance.",789,291,102k follower,"['Fantasy', 'Fiction', 'Epic Fantasy', 'Dragons', 'High Fantasy', 'Adventure', 'Science Fiction Fantasy']","3,147 review","36,527 (50%)","24,281 (33%)","8,789 (12%)","1,973 (2%)",985 (1%)
Daggerspell,Katharine Kerr,3.91,"15,981 rating","September 1, 1986","Even as a young girl, Jill was a favorite of the magical, mysterious Wildfolk, who appeared to her from their invisible realm. Little did she know her extraordinary friends represented but a glimpse of a forgotten past and a fateful future. Four hundred years-and many lifetimes-ago, one selfish young lord caused the death of two innocent lovers. Then and there he vowed never to rest until he'd righted that wrong-and laid the foundation for the lives of Jill and all those whom she would hold dear: her father, the mercenary soldier Cullyn; the exiled berserker Rhodry Maelwaedd; and the ancient and powerful herbman Nevyn, all bound in a struggle against darkness. . . and a quest to fulfill the destinies determined centuries ago. Here in this newly revised edition comes the incredible novel that began one of the best-loved fantasy series in recent years--a tale of bold adventure and timeless love, perilous battle and pure magic. For long-standing fans of Deverry and those who have yet to experience this exciting series, Daggerspell is a rare and special treat.",454,90,"1,526 follower","['Fantasy', 'Fiction', 'High Fantasy', 'Epic Fantasy', 'Science Fiction Fantasy', 'Magic', 'Romance']",625 review,"5,181 (32%)","5,742 (35%)","3,758 (23%)",960 (6%),340 (2%)
Heartburn,Nora Ephron,3.61,"63,720 rating","January 1, 1983","Is it possible to write a sidesplitting novel about the breakup of the perfect marriage? If the writer is Nora Ephron, the answer is a resounding yes. For in this inspired confection of adultery, revenge, group therapy, and pot roast, the creator of ""Sleepless in Seattle"" reminds us that comedy depends on anguish as surely as a proper gravy depends on flour and butter.Seven months into her pregnancy, Rachel Samstat discovers that her husband, Mark, is in love with another woman. The fact that the other woman has ""a neck as long as an arm and a nose as long as a thumb and you should see her legs"" is no consolation. Food sometimes is, though, since Rachel writes cookbooks for a living. And in between trying to win Mark back and loudly wishing him dead, Ephron's irrepressible heroine offers some of her favorite recipes. ""Heartburn"" is a sinfully delicious novel, as soul-satisfying as mashed potatoes and as airy as a perfect soufflé.",179,35,"2,311 follower","['Fiction', 'Audiobook', 'Humor', 'Romance', 'Contemporary', 'Chick Lit', 'Food']","7,044 review","13,023 (20%)","22,265 (34%)","20,714 (32%)","6,173 (9%)","1,545 (2%)"
Imperium,Ryszard Kapuściński,4.36,"6,742 rating","January 1, 1992","Imperium is the story of an empire: the constellation of states that was submerged under a single identity for most of the twentieth century - the Union of Soviet Socialist Republics. This is Kapuscinski's vivid, compelling and personal report on the life and death of the Soviet superpower, from the entrance of Soviet troops into his hometown in Poland in 1939, through his journey across desolate Siberia and the republics of Central Asia in the 1950s and 60s, to his wanderings over the vast Soviet lands - from Poland to the Pacific, the Arctic Circle to Afghanistan - in the years of the USSR's decline and final disintegration in 1991.",352,109,"1,730 follower","['Nonfiction', 'History', 'Russia', 'Travel', 'Polish Literature', 'Politics', 'Journalism']",494 review,"3,450 (51%)","2,455 (36%)",703 (10%),98 (1%),36 (<1%)
The Ordinary Princess,M.M. Kaye,4.21,"13,776 rating","January 1, 1980","Along with Wit, Charm, Health, and Courage, Princess Amy of Phantasmorania receives a special fairy christening Ordinariness. Unlike her six beautiful sisters, she has brown hair and freckles, and would rather have adventures than play the harp, embroider tapestries . . . or become a Queen. When her royal parents try to marry her off, Amy runs away and, because she's so ordinary, easily becomes the fourteenth assistant kitchen maid at a neighboring palace. And there . . . much to everyone's surprise . . . she meets a prince just as ordinary (and special) as she is!""This delightful fairy tale is sure to please young romantics . . . Neither Kaye's princess nor her book should be considered ordinary."" ( School Library Journal )",112,36,540 follower,"['Fantasy', 'Childrens', 'Fairy Tales', 'Fiction', 'Middle Grade', 'Young Adult', 'Romance']","1,603 review","6,560 (47%)","4,326 (31%)","2,271 (16%)",473 (3%),146 (1%)
