title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,genres,author_followers,no_of_reviews,no_of_books_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
Couples,John Updike,3.58,"5,505 rating","January 1, 1968","Couples is the book that has been assailed for its complete frankness & praised as an artful, seductive, savagely graphic portrait of love, marriage & adultery in America. But be it damned or hailed, Couples drew back the curtain forever on sex in suburbia in the late 20th century. A classic, it's one of those books that will be read & remembered for a long time to come.",458,"['Fiction', 'Classics', 'Novels', 'American', 'Literature', 'Literary Fiction', '20th Century']","2,215 follower",408 review,892,209 (3%),534 (9%),"1,709 (31%)","1,968 (35%)","1,085 (19%)"
The Ogre,Michel Tournier,4.02,"2,121 rating","September 9, 1970","An international bestseller and winner of the Prix Goncourt, France's most prestigious literary award, The Ogre is a masterful tale of innocence, perversion, and obsession. It follows the passage of strange, gentle Abel Tiffauges from submissive schoolboy to ""ogre"" of the Nazi school at the castle of Kaltenborn, taking us deeper into the dark heart of fascism than any novel since The Tin Drum. Until the very last page, when Abel meets his mystic fate in the collapsing ruins of the Third Reich, it shocks us, dazzles us, and above all holds us spellbound.",373,"['Fiction', 'France', 'French Literature', 'Historical Fiction', 'Literature', 'War', 'Novels', 'Fiction', 'France', 'French Literature', 'Historical Fiction', 'Literature', 'War', 'Novels', 'Fiction', 'France', 'French Literature', 'Historical Fiction', 'Literature', 'War', 'Novels']",240 follower,142 review,191,51 (2%),110 (5%),398 (18%),741 (34%),821 (38%)
New Selected Poems 1966-1987,Seamus Heaney,4.19,"2,869 rating","January 1, 1990","This volume contains a selection of work from each of Seamus Heaney's published books of poetry up to and including the Whitbread prize-winning collection, The Haw Lantern (1987).'His is 'close-up' poetry - close up to thought, to the world, to the emotions. Few writers at work today, in verse or fiction, can give the sense of rich, fecund, lived life that Heaney does.' John Banville'More than any other poet since Wordsworth he can make us understand that the outside world is not outside, but what we are made of.' John Carey",246,"['Poetry', 'Ireland', 'Classics', 'Irish Literature', 'Fiction', '20th Century', 'Anthologies']",947 follower,123 review,275,21 (<1%),89 (3%),450 (15%),"1,081 (37%)","1,228 (42%)"
The Emerald City of Oz,L. Frank Baum,3.87,"10,676 rating","January 1, 1910","The Emerald City is built all of beautiful marbles in which are set a profusion of emeralds, every one exquisitely cut and of very great size. There are other jewels used in the decorations inside the houses and palaces, such as rubies, diamonds, sapphires, amethysts and turquoises. But in the streets and upon the outside of the buildings only emeralds appear, from which circumstance the place is named the Emerald City of Oz.",312,"['Fantasy', 'Classics', 'Fiction', 'Childrens', 'Young Adult', 'Adventure', 'Middle Grade']","2,505 follower",547 review,"2,734",105 (<1%),576 (5%),"3,110 (29%)","3,746 (35%)","3,139 (29%)"
A Pale View of Hills,Kazuo Ishiguro,3.79,"34,083 rating","January 1, 1982","Librarian note: This a previously-published edition of ISBN 9780571225378.In his highly acclaimed debut, A Pale View of Hills, Kazuo Ishiguro tells the story of Etsuko, a Japanese woman now living alone in England, dwelling on the recent suicide of her daughter. Retreating into the past, she finds herself reliving one particular hot summer in Nagasaki, when she and her friends struggled to rebuild their lives after the war. But then as she recalls her strange friendship with Sachiko - a wealthy woman reduced to vagrancy - the memories take on a disturbing cast.",183,"['Fiction', 'Japan', 'Historical Fiction', 'Literary Fiction', 'Japanese Literature', 'Contemporary', 'Novels']",34.9k follower,"3,617 review",66,371 (1%),"1,939 (5%)","9,547 (28%)","14,970 (43%)","7,256 (21%)"
Hot Water Music,Charles Bukowski,3.88,"15,029 rating","January 1, 1983","With his characteristic raw and minimalist style, Charles Bukowski takes us on a walk through his side of town in Hot Water Music. He gives us little vignettes of depravity and lasciviousness, bite-sized pieces of what is both beautiful and grotesque.The stories in Hot Water Music dash around the worst parts of town -- a motel room stinking of sick, a decrepit apartment housing a perpetually arguing couple, a bar tended by a skeleton -- and depict the darkest parts of human existence.  Bukowski talks simply and profoundly about the underbelly of the working class without raising judgement. In the way he writes about sex, relationships, writing, and inebriation, Bukowski sets the bar for irreverent art -- his work inhabits the basest part of the mind and the most extreme absurdity of the everyday.",221,"['Fiction', 'Short Stories', 'Poetry', 'Literature', 'American', 'Classics', 'Humor']",27.7k follower,635 review,855,263 (1%),811 (5%),"3,623 (24%)","6,028 (40%)","4,304 (28%)"
Way Station,Clifford D. Simak,4.03,"27,236 rating","June 1, 1963","Enoch Wallace is an ageless hermit, striding across his untended farm as he has done for over a century, still carrying the gun with which he had served in the Civil War. But what his neighbors must never know is that, inside his unchanging house, he meets with a host of unimaginable friends from the farthest stars.More than a hundred years before, an alien named Ulysses had recruited Enoch as the keeper of Earth's only galactic transfer station. Now, as Enoch studies the progress of Earth and tends the tanks where the aliens appear, the charts he made indicate his world is doomed to destruction. His alien friends can only offer help that seems worse than the dreaded disaster. Then he discovers the horror that lies across the galaxy...",210,"['Science Fiction', 'Fiction', 'Hugo Awards', 'Classics', 'Aliens', 'Science Fiction Fantasy', 'Fantasy']",955 follower,"1,693 review",913,351 (1%),"1,121 (4%)","5,544 (20%)","10,502 (38%)","9,718 (35%)"
Lord Grizzly,Frederick Manfred,3.93,620 rating,"March 1, 1954","True-life adventurer Hugh Glass, a 19th century explorer of the Old West, was deserted by his party after being mauled by a bear. Manfred tells of the ten missing years in Glass's life, his superhuman struggle to survive, and his all-too-human quest for revenge.",352,"['Fiction', 'Westerns', 'Historical Fiction', 'Survival', 'Classics', 'Adventure', 'Novels']",19 follower,83 review,64,14 (2%),37 (5%),127 (20%),240 (38%),202 (32%)
Shampoo Planet,Douglas Coupland,3.51,"9,923 rating","January 1, 1992","Tyler Johnson is a 20-year-old MTV child. Once a baby raised in a hippie commune, he is now an ambitious Reagan youth dreaming of a career with the corporation whose offices his mother once firebombed.",282,"['Fiction', 'Canada', 'Contemporary', 'Novels', 'Literature', 'Literary Fiction', 'Humor']","4,492 follower",309 review,90,193 (1%),967 (9%),"3,878 (39%)","3,359 (33%)","1,526 (15%)"
Operation Shylock: A Confession,Philip Roth,3.77,"4,532 rating","January 1, 1993","A fiendishly imaginative book that features Israeli intelligence agents, Palestinian exiles, an accused war criminal, and an enticing charter member of an organization called Anti-Semites Anonymous.In this book (which may or may not be fiction), Philip Roth meets a man who may or may not be Philip Roth. Because someone with that name has been touring Israel, promoting a bizarre reverse exodus of the Jews. Roth is intent on stopping him, even if that means impersonating his own impersonator.With excruciating suspense, unfettered philosophical speculation, and a wild cast of characters, Operation Shylock barrels across the frontier between fact and fiction, seriousness and high comedy, history and nightmare.",400,"['Fiction', 'Novels', 'Jewish', 'American', 'Literature', 'Literary Fiction', 'Contemporary']","6,690 follower",369 review,260,121 (2%),345 (7%),"1,185 (26%)","1,704 (37%)","1,177 (25%)"
