title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,no_of_books_by_author,author_followers,genres,no_of_reviews,five_star_ratings,four_star_ratings,three_star_ratings,two_star_ratings,one_star_ratings
The Death of a President: November 1963,William Manchester,4.25,"4,316 rating","January 1, 1967","On a lovely October evening in 1961 President Kennedy and William Manchester sat in the Oval Room of the White House, talking for three and a half hours. At first the discussion was detached; Mr. Manchester was writing his Portrait of a President. But soon they were conversing as two men do who have lived many of the same years in the same places. Both were natives of Massachusetts. As a World War II Marine on Guadalcanal, Manchester had been separated by only a narrow strait from Kennedy's PT-109 base on Tulagi. They had both been awarded Purple Hearts before leaving the Pacific. Now they were fathers of daughters the same age, had traveled in the same foreign countries, and shared a deep interest in American history.More than two years later, following the assassination of President Kennedy, Mrs. Kennedy realized that she and others would be obliged to share their recollections of the national tragedy with a responsible writer--and so she and Senator Robert Kennedy asked Mr. Manchester to set down a history of the assassination and the days immediately preceding and following it.At the invitation of the Chief Justice, Mr. Manchester was a privileged observer of the Warren Commission inquiry. Meanwhile, however, he had developed his own sources of information. Operating out of headquarters in the National Archives, for two years he worked twelve to fifteen hours a day, conducting a major historical investigation throughout Texas and elsewhere, accumulating forty-five volumes and portfolios of transcribed tapes, shorthand, documents and exhibits, all of which will be deposited in the Kennedy Library. Finally, in New England, he completed a 350,000-word manuscript, not for scrutiny by the family but to set down as a whole the national and personal tragedy.The result is a powerful narrative which, in the opinion of the publisher, is both a significant contribution to history and an eminent literary achievement.",711,131,488 follower,"['History', 'Nonfiction', 'American History', 'Politics', 'Biography', 'Presidents', 'True Crime']",207 review,"2,112 (48%)","1,409 (32%)",602 (13%),127 (2%),66 (1%)
Iceland's Bell,Halldór Laxness,3.88,"2,160 rating","January 1, 1943","Sometimes grim, sometimes uproarious, and always captivating, Iceland’s Bell by Nobel Laureate Halldór Laxness is at once an updating of the traditional Icelandic saga and a caustic social satire. At the close of the 17th century, Iceland is an oppressed Danish colony, suffering from extreme poverty, famine, and plague. A farmer and accused cord-thief named Jon Hreggvidsson makes an improper joke about the Danish king and soon after finds himself a fugitive charged with the murder of the king’s hangman.In the years that follow, the hapless but resilient rogue Hreggvidsson becomes a pawn entangled in political and personal conflicts playing out on a far grander scale. Chief among these is the star-crossed love affair between Snaefridur, known as “Iceland’s Sun,” a beautiful, headstrong young noblewoman, and Arnas Arnaeus, the king’s antiquarian, an aristocrat whose worldly manner conceals a fierce devotion to his downtrodden countrymen. As their personal struggle plays itself out on an international stage, Iceland’s Bell creates a Dickensian canvas of heroism and venality, violence and tragedy, charged with narrative enchantment on every page.",425,153,684 follower,"['Fiction', 'Historical Fiction', 'Classics', 'Scandinavian Literature', 'Nobel Prize', 'Literary Fiction', 'Literature', 'Fiction', 'Historical Fiction', 'Classics', 'Scandinavian Literature', 'Nobel Prize', 'Literary Fiction', 'Literature', 'Fiction', 'Historical Fiction', 'Classics', 'Scandinavian Literature', 'Nobel Prize', 'Literary Fiction', 'Literature']",193 review,629 (29%),843 (39%),511 (23%),151 (6%),26 (1%)
Amerika / Der Prozeß / Das Schloß,Franz Kafka,4.15,397 rating,"April 3, 2008",3 works - TranslationAmerica; The Castle; The Process,"First published April 3, 2008","2,757",29.1k follower,"['Fiction', 'Classics', 'Literature', 'German Literature', 'Novels', 'European Literature', 'Collections']",20 review,182 (45%),128 (32%),62 (15%),16 (4%),9 (2%)
The Discovery of Freedom: Man's Struggle Against Authority,Rose Wilder Lane,4.14,271 rating,"January 1, 1943","This is a book of timeless importance. It must be read by anyone who is seriously interested in the heritage of liberty--not just in America, but the world over. And reading it is a joy. Lane, who is said to have written the book 'at white heat,' was at once a brilliant thinker and a gifted storyteller.This book is a withering attack on statism, nationalism, and what Nobel Laureate F. A. Hayek calls the 'fatal conceit' of national economic planning. It is an intellectual tour de force that stood up to the collectivist paradigm of its time and pointed the way to rediscovering the principles of the American Revolution--a true revolution unlike those of the Old World that 'are revolutions only in the sense that a wheel's turning is a revolution.' Her exciting description of the revolutionary period (you can tell she wishes she'd been there to lend a hand to Paine, Mason, Jefferson and the gang) is the best of a brilliant book.Rose Wilder Lane was a truly remarkable woman. Like Jefferson, she attacked life, living it to the fullest, as adventurer, journalist, world traveler, iconoclast, and just prior to her death, war corespondent in Vietnam. Not surprisingly, the clear-eyed determination and supercharged energy she brings to attacking the enemies of liberty in Discovery is unique among prominent pro-liberty writers. (Free download at mises.org)",262,75,169 follower,"['Politics', 'History', 'Philosophy', 'Nonfiction', 'Economics', 'Political Science', 'Essays']",21 review,116 (42%),98 (36%),42 (15%),10 (3%),5 (1%)
Noninterference,Harry Turtledove,3.66,167 rating,"January 1, 1987",The bureaucrats of the Survey Service try to cover up one of their agent's unauthorized interference on the planet Bilbeis IV,213,504,"1,781 follower","['Science Fiction', 'Fiction', 'Fantasy']",15 review,31 (18%),63 (37%),61 (36%),10 (5%),2 (1%)
Eagle in the Snow,Wallace Breem,4.12,"2,653 rating","January 1, 1970","Banished to the Empire's farthest outpost, veteran warrior Paulinus Maximus defends The Wall of Britannia from the constant onslaught of belligerent barbarian tribes. Bravery, loyalty, experience, and success lead to Maximus' appointment as ""General of the West"" by the Roman emperor, the ambition of a lifetime. But with the title comes a caveat: Maximus needs to muster and command a single legion to defend the perilous Rhine frontier. On the opposite side of the Rhine River, tribal nations are uniting; hundreds of thousands mass in preparation for the conquest of Gaul, and from there, a sweep down into Rome itself. Only a wide river and a wily general keep them in check.  With discipline, deception, persuasion, and surprise, Maximus holds the line against an increasingly desperate and innumerable foe. Friends, allies, and even enemies urge Maximus to proclaim himself emperor. He refuses, bound by an oath of duty, honor, and sacrifice to Rome, a city he has never seen. But then circumstance intervenes. Now, Maximus will accept the purple robe of emperor, if his scrappy legion can deliver this last crucial victory against insurmountable odds. The very fate of Rome hangs in the balance. Combining the brilliantly realized battle action of Gates of Fire and the masterful characterization of Mary Renault's The Last of the Wine, Eagle in the Snow is nothing less than the novel of the fall of the Roman empire.",400,9,39 follower,"['Historical Fiction', 'Fiction', 'Historical', 'Roman', 'War', 'Ancient', 'Military Fiction']",195 review,"1,104 (41%)",963 (36%),431 (16%),112 (4%),43 (1%)
"Hello Summer, Goodbye",Michael G. Coney,4.01,265 rating,"January 1, 1975","It was an alien planet - yet not too alien from Earth. It had its differences; its ice goblins, its curious furry lorrin, its thickening water, and its unearthly tides, but for a young man like Alika-Drove thinking of a vacation by the sea these oddities were the norm.But this vacation was different. Rax was coming into the ascendant and Rax, that cold second sun, was the equivalent of evil, of Satan and of Hell. And as its time drew near everything began to get warped and sinister...until for Alika-Drove it would be either the harsh brutal end of his innocence or the end of his world forever.",221,112,18 follower,"['Science Fiction', 'Fiction', 'Adventure', 'Science Fiction Fantasy', 'Fantasy', 'Dystopia', 'Novels']",42 review,102 (38%),92 (34%),48 (18%),18 (6%),5 (1%)
To Dance with Kings,Rosalind Laker,4.10,"3,532 rating","January 1, 1988","An epic generational tale of loves lost, promises kept, dreams broken, and monarchies shattered, To Dance with Kings is a story of passion and privilege, humble beginnings and limitless ambition. On a May morning in 1664, in the small village of Versailles, as hundreds of young aristocrats are coming to pay court to King Louis XIV, a peasant fan-maker gives birth to her first and only child, Marguerite. Determined to give her daughter a better life than the one she herself has lived, the young mother vows to break the newborn’s bonds of poverty and ensure that she fulfills her destiny—to dance with kings. Purely by chance, a drunken nobleman witnesses the birth and makes a reckless promise to return for Marguerite in seventeen years. With those fateful words, events are set into motion that will span three monarchies, affecting the lives of four generations of women. Marguerite becomes part of the royal court of the Sun King, but her fairy-tale existence is torn out from under her by a change of political winds. Jasmin, Marguerite’s daughter, is born to the life of privilege her grandmother dreamed of, but tempts fate by daring to catch the eye of the king. Violette, Marguerite’s granddaughter, is drawn to the nefarious side of life among the nobles at Versailles. And Rose, Violette’s daughter, becomes a lady-in-waiting and confidante to Marie Antoinette. Through Rose, a love lost generations before will come full circle, even as the ground beneath Versailles begins to rumble with the chaos of the coming revolution.",752,90,182 follower,"['Historical Fiction', 'France', 'Fiction', 'Historical', 'Romance', '17th Century', 'Historical Romance']",225 review,"1,487 (42%)","1,182 (33%)",658 (18%),145 (4%),60 (1%)
Hellados,Nodar Dumbadze,4.56,"1,252 rating","January 1, 1992","Hellados von Nodar Dumbadze erzählt über die Geschichte von zwei Teenagern aus Abchasien – Djemal und Ianguli. Als Djemal von Tiflis nach Suchumi zur Verwandtschaft umzieht, wird er mit dem Häuptling des Stadtviertels, dem griechischen Jungen Ianguli, konfrontiert. Ihre Beziehung, die am Anfang voll von Brüskierungen war, entwickelt sich langsam zur starken Freundschaft. Djemal erfährt mehr über Iangulis Leben, seine Familie und seine Liebe… Eines Tages kommt Ianguli zu Djemal und teilt ihm mit, dass er gezwungen ist, Abchasien für immer zu verlassen, denn die Griechen zurück nach Griechenland kehren und sein Vater auch. Janguli ist verzweifelt, denn seine Heimat, sein Hellados, Abchasien und die Straße ist, wo er aufwuchs. Dann geschieht aber etwas unerwartetes … Diese georgische Erzählung ist in mehreren Sprachen übersetzt worden. In diesem Buch erzählen Irma und Khatia die Geschichte in der deutschen Sprache.",44,46,237 follower,"['Georgian', 'School', 'Short Stories', 'Classics', 'Fiction', 'Young Adult', 'Georgian', 'School', 'Short Stories', 'Classics', 'Fiction', 'Young Adult', 'Georgian', 'School', 'Short Stories', 'Classics', 'Fiction', 'Young Adult', 'Georgian', 'School', 'Short Stories', 'Classics', 'Fiction', 'Young Adult', 'Georgian', 'School', 'Short Stories', 'Classics', 'Fiction', 'Young Adult']",24 review,842 (67%),279 (22%),118 (9%),11 (<1%),2 (<1%)
The World Atlas of Wine,Hugh Johnson,4.47,"1,281 rating","January 1, 1971","Hailed by critics worldwide as ""extraordinary"" and ""irreplaceable,"" there are few volumes that have had as monumental animpact in their field as Hugh Johnson'sThe World Atlas of Wine: sales have exceeded four million copies, and it is now published in thirteen languages.World-renowned authors Hugh Johnson and Jancis Robinson once again combine their unrivalled talents to enhance this masterpiece of wine knowledge. There are now 48 extra pages, including 17 new color illustrations, 20 new maps, and-for the first time ever-double page spreads and full-page photos in the atlas section for maximum visual impact. New World coverage has been extended for both Australia and South America; some New World regions even have their own entries for the first time, including Rutherford, Oakville, and Stag's Leap from California; Mendoza (Argentina); Limestone Coast (Australia); Central Otago and Martinborough (New Zealand); and Constantia (South Africa). And Old World coverage has grown too, with the addition of Toro (Spain), the Peleponnese (Greece), and Georgia. It's a truly incomparable book, and an essential addition to every wine lover's or professional's library.""",400,287,42 follower,"['Wine', 'Reference', 'Nonfiction', 'Food', 'Food and Drink', 'Cookbooks', 'Food and Wine', 'Wine', 'Reference', 'Nonfiction', 'Food', 'Food and Drink', 'Cookbooks', 'Food and Wine', 'Wine', 'Reference', 'Nonfiction', 'Food', 'Food and Drink', 'Cookbooks', 'Food and Wine']",47 review,765 (59%),382 (29%),113 (8%),11 (<1%),10 (<1%)
