title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,no_of_books_by_author,author_followers,genres,no_of_reviews,five_star_ratings,four_star_ratings,three_star_ratings,two_star_ratings,one_star_ratings
Wolf Solent,John Cowper Powys,4.10,566 rating,"January 1, 1929","First published in 1929, John Cowper Powys's novel of Eros and ideas was compared with works by Shakespeare, Thomas Hardy, and D.H. Lawrence. Wolf Solent remains wholly unrivaled in its deft and risky balance of mysticism and social comedy, ecstatic contemplation of nature and unblinking observation of human folly and desire. Forsaking London for Ramsgard, Wolf Solent discovers a world of pagan splendor and medieval insularity, riddled by ancient scandals and resentments. And there this poetic young man meets two women—the sensuous beauty Gerda and the ethereal gamine Christie—who will become the sharers of his body and soul. ""A novelist of great, cumulative force and lyrical intensity. . . . Out of his rhapsodic style and keen attentiveness to nature, he builds a tower of prose to match the firmament.”— Washington Post Book World",640,179,149 follower,"['Fiction', 'Classics', 'British Literature', 'Historical Fiction', '20th Century', 'Literature', 'Novels']",76 review,231 (40%),208 (36%),88 (15%),29 (5%),10 (1%)
Little Town in the Ozarks,Roger Lea MacBride,4.10,"8,160 rating","August 30, 1996","The fifth book in the Rose Years series, the story of the spirited daughter of the author of the beloved Little House series.Little Town In The Ozarks continues the story of Rose, Laura Ingalls Wilder’s daughter, as hard times on the farm force Rose and her family to move to the town of Mansfield. Life in town is so different from living on Rocky Ridge Farm that Rose wonders if she will ever learn to like the hustle and bustle of town life.",336,56,99 follower,"['Historical Fiction', 'Childrens', 'Fiction', 'Historical', 'Young Adult', 'Classics', 'Middle Grade', 'Historical Fiction', 'Childrens', 'Fiction', 'Historical', 'Young Adult', 'Classics', 'Middle Grade', 'Historical Fiction', 'Childrens', 'Fiction', 'Historical', 'Young Adult', 'Classics', 'Middle Grade']",63 review,"3,628 (44%)","2,308 (28%)","1,763 (21%)",327 (4%),134 (1%)
Mariette in Ecstasy,Ron Hansen,3.75,"2,805 rating","January 1, 1991","The highly acclaimed and provocatively rendered story of a young postulant's claim to divine possession and religious ecstasy.In 1906, a beautiful seventeen year old postulant enters the convent of the Sisters of the Crucifixion in upstate New York. When she begins to bleed from her hands, feet, and side, the entire community is thrown into turmoil. Is Mariette a cunning sham, or sexually hysterical, or does God stalk her like a pitiless lover? Mariette in Ecstasy is a stunning immersion into the society of a small convent at the turn of the century, where a mysterious and ultimately harrowing world lies beneath the lovely, placid surface of everyday life. With Mariette In Ecstasy, critically acclaimed author Ron Hansen again powerfully demonstrates his gift for brilliantly recreating time and place. As intriguing as The Name Of The Rose, as sensually hypnotic as Marguerite Duras' The Lover, this is an intimate portrait of a fascinating young woman in the grip of an intractable fate, and it raises provocative questions about the complex nature of passionate faith. Exquisitely crafted, Mariette in Ecstasy is a spellbinding novel that marks a new level of achievement in one of our most gifted writers.~ from 1991 hardcover dustjacket",180,56,233 follower,"['Fiction', 'Historical Fiction', 'Religion', 'Spirituality', 'Novels', 'Literary Fiction', 'Catholic']",337 review,747 (26%),"1,001 (35%)",743 (26%),245 (8%),69 (2%)
The Moon Goddess and the Son,Donald Kingsbury,3.49,92 rating,"January 1, 1986",Diana's ambition to get a job on the moon started the same day she learned from a child's book of mythology that her namesake was the moon goddess. The time is the late 1980s. The Russians have secretly lofted a full-scale space station that dwarfs the one the U.S. hopes to build in the '90s. The American response - as it was in the late 1950s - is a crash program to overtake and surpass the Soviet effort.And by 2010 their efforts have succeeded. Burgeoning space industry has resulted in an economic boom unprecedented in U.S. history - and man will never again be confined to Earth.,480,30,10 follower,"['Science Fiction', 'Fiction', 'Fantasy', 'Science Fiction Fantasy']",9 review,18 (19%),31 (33%),25 (27%),14 (15%),4 (4%)
The War of the Saints,Jorge Amado,3.84,672 rating,"January 1, 1988","Jorge Amado has been called one of the great writers of our time.  The joyfulness of his storytelling and his celebration of life's sensual pleasures have found him a loyal following.  With The War Of The Saints ,  he has created an exuberant tale set among the flashing rhythms, intoxicating smells, and bewitching colors of the carnival. The holy icon of Saint Barbara of the Thunder is bound for the city of Bahia for an exhibition of holy art.  As the boat the bears the image is docking, a miracle occurs and Saint Barbara comes to life, disappearing into the milling crowd on the quay.  Somewhere in the city a young woman has fallen in love, and her prudish guardian aunt has locked her away--an act of intolerance that Saint Barbara must redress.  And when she casts her spell over the city, no one's life will remain unchanged.",368,127,"1,377 follower","['Fiction', 'Magical Realism', 'Brazil', 'Literature', 'Fantasy', 'Latin American', 'Literary Fiction']",59 review,178 (26%),266 (39%),175 (26%),46 (6%),7 (1%)
Crystal,V.C. Andrews,3.69,"5,262 rating","June 1, 1998","ALL SHE WANTED WAS A FAMILY SHE COULD CALL HER OWN....As an orphan girl, Crystal was one of many -- and utterly alone. But she still dreamed of a shining life of love and happiness, and freedom from the dark legacy of her past...",168,325,"8,072 follower","['Fiction', 'Young Adult', 'Horror', 'Romance', 'Gothic', 'Thriller', 'Drama']",98 review,"1,549 (29%)","1,386 (26%)","1,624 (30%)",577 (10%),126 (2%)
The Risk Pool,Richard Russo,4.07,"7,248 rating","January 1, 1988","""The Risk Pool"" is a thirty-year journey through the lives of Sam Hall, a small-town gambling hellraiser, and his watchful, introspective son Ned. When Ned's mother Jenny suffers a breakdown and retreats from her husband's carelessness into a dream world, Ned becomes part of his father's seedy nocturnal world, touring the town's bars and pool halls, struggling to win Sam's affections while avoiding his sins.",479,56,"4,379 follower","['Fiction', 'Literary Fiction', 'Novels', 'Literature', 'Contemporary', 'Coming Of Age', 'Family']",517 review,"2,413 (33%)","3,233 (44%)","1,350 (18%)",204 (2%),48 (<1%)
Expanded Universe,Robert A. Heinlein,3.93,"4,346 rating","October 1, 1980","The Wit and Wisdom of Robert A. Heinlein, author of multiple New York Times best sellers, on subjects ranging from Crime and Punishment to the Love Life of the American Teenager; from Nuclear Power to the Pragmatics of Patriotism; from Prophecy to Destiny; from Geopolitics to Post-Holocaust America; from the Nature of Courage to the Nature of Reality; it's all here and it's all great - straight from the mind of the finest science fiction writer of them all.For the Millions of Heinlein Fans-a Guided Tour Through the Thoughts and Insights of ""One of the Most Influential Writers in American Literature"" –The New York Times Book ReviewContents:ForewordLife-LineSuccessful OperationBlowups HappenSolution UnsatisfactoryThe Last Days of the United StatesHo to Be a SurvivorPie from the SkyThey Do It With MirrorsFree MenNo Bands Playing, No Flags Flying—A Bathroom of Her OwnOn the Slopes of VesuviusNothing Ever Happens on the MoonPandora's BoxWhere To?Cliff and the CaloriesRay Guns and Rocket ShipsThe Third Millennium OpensWho Are the Heirs of Patrick Henry?""Pravda"" Means ""Truth""Inside TouristSeachlightThe Pragmatics of PatriotismPaul Dirac, Antimatter, and YouLarger Than LifeSpinoffThe Happy Days Ahead",720,819,"9,547 follower","['Science Fiction', 'Fiction', 'Short Stories', 'Anthologies', 'Science Fiction Fantasy', 'Collections', 'Fantasy']",95 review,"1,384 (31%)","1,556 (35%)","1,150 (26%)",217 (4%),39 (<1%)
A Taste of Blackberries,Doris Buchanan Smith,3.98,"1,905 rating","May 1, 1973","What do you do withoutyour best friend? Jamie isn't afraid of anything. Always ready to get into trouble, then right back out of it, he's a fun and exasperating best friend. But when something terrible happens to Jamie, his best friend has to face the tragedy alone. Without Jamie, there are so many impossible questions to answer -- how can your best friend be gone forever? How can some things, like playing games in the sun or the taste of the blackberries that Jamie loved, go on without him?",96,24,17 follower,"['Childrens', 'Fiction', 'Young Adult', 'Realistic Fiction', 'Death', 'Middle Grade', 'School', 'Childrens', 'Fiction', 'Young Adult', 'Realistic Fiction', 'Death', 'Middle Grade', 'School', 'Childrens', 'Fiction', 'Young Adult', 'Realistic Fiction', 'Death', 'Middle Grade', 'School']",231 review,704 (36%),669 (35%),371 (19%),120 (6%),41 (2%)
O Presidente Negro,Monteiro Lobato,2.98,253 rating,"January 1, 1946","'O presidente negro' é o único romance adulto de Monteiro Lobato. Embora ainda não tivesse pisado em terras norte-americanas quando escreveu esse livro, Lobato ambienta sua história futurista nas terras de Henry Ford. Em 1926 o autor publicou o romance com o título 'O choque' e, duas décadas depois, mudou o nome para 'O presidente negro'. A obra aborda temas como a segregação entre brancos e negros, aculturação, feminismo e ainda profetiza o surgimento de uma rede pela qual as pessoas se comunicariam e trabalhariam à distância. Através das lentes do 'porviroscópio', aparelho capaz de prever o futuro, Lobato leva os leitores para 2228, ano em que o personagem Jim Roy concorre à presidência dos Estados Unidos.",212,368,117 follower,"['Fiction', 'Literature', 'Romance', 'Portuguese Literature', 'Novels']",19 review,34 (13%),54 (21%),79 (31%),46 (18%),40 (15%)
