title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,no_of_books_by_author,author_followers,genres,no_of_reviews,five_star_ratings,four_star_ratings,three_star_ratings,two_star_ratings,one_star_ratings
The World Set Free,H.G. Wells,3.46,"1,610 rating","January 1, 1914","This chilling, futuristic novel, written in 1913 and first published the following year, was incredibly prophetic on a major scale. Wells was a genius and visionary, as demonstrated by many of his other works, but this book is clearly one of his best. He predicts nuclear warfare years before research began and describes the chain reactions involved and the resulting radiation. He describes a weapon of enormous destructive power, used from the air that would wipe out everything for miles, and actually used the term ""atomic bombs."" This book may have been at least part of the original inspiration for the development of atomic weapons, as well as presenting many other ideas that would ultimately come to pass. Some ideas may still be coming, including a one-world government referred to as The World Republic, that will attempt to end all wars.",140,"5,958","9,939 follower","['Science Fiction', 'Fiction', 'Classics', 'Dystopia', 'Literature', 'Post Apocalyptic', 'Novels']",200 review,299 (18%),484 (30%),546 (33%),215 (13%),66 (4%)
Structure and Interpretation of Computer Programs,Harold Abelson,4.47,"4,668 rating","January 1, 1984","Structure and Interpretation of Computer Programs has had a dramatic impact on computer science curricula over the past decade. This long-awaited revision contains changes throughout the text. There are new implementations of most of the major programming systems in the book, including the interpreters and compilers, and the authors have incorporated many small changes that reflect their experience teaching the course at MIT since the first edition was published. A new theme has been introduced that emphasizes the central role played by different approaches to dealing with time in computational models: objects with state, concurrent programming, functional programming and lazy evaluation, and nondeterministic programming. There are new example sections on higher-order procedures in graphics and on applications of stream processing in numerical programming, and many new exercises. In addition, all the programs have been reworked to run in any Scheme implementation that adheres to the IEEE standard.",657,36,92 follower,"['Programming', 'Computer Science', 'Technology', 'Nonfiction', 'Software', 'Technical', 'Computers', 'Programming', 'Computer Science', 'Technology', 'Nonfiction', 'Software', 'Technical', 'Computers', 'Programming', 'Computer Science', 'Technology', 'Nonfiction', 'Software', 'Technical', 'Computers', 'Programming', 'Computer Science', 'Technology', 'Nonfiction', 'Software', 'Technical', 'Computers', 'Programming', 'Computer Science', 'Technology', 'Nonfiction', 'Software', 'Technical', 'Computers']",209 review,"3,016 (64%)","1,043 (22%)",432 (9%),118 (2%),59 (1%)
El astillero,Juan Carlos Onetti,3.79,"1,974 rating","January 1, 1961","En El astillero alcanzan su madurez, el resplandor más compacto de la derrota, dos invenciones notables de Onetti: el fugaz antihéroe Larsen y la imperecedera, pero nunca nueva, ciudad de Santa María; esa ciudad portuaria que lo mismo podría ser el fantasma de Montevideo o de Buenos Aires, que está cerca de la ciudad argentina de rosario pero no pertenece a país alguno. Otra vez, frente a este proxeneta con rasgos místicos -Larsen-, canalla con tanto de hundido como de salvado; frente a esta ciudad inexistente en la realidad pero verdadera, de ficción pero no de juguete, podemos caer en la tentación de felicitar a Onetti por presentar un pedazo descarnado de latinoamérica, sin exotismo ni prodigios, sin utilizar la impotencia y la erosión para exportar como un folclore alegre y vendible. Pero cualquier habitante de Europa del Este, de los años 30 o de los posteriores a la segunda guerra, podría encontrar en esta ciudad catastrófica tantos factores en común como un latinoamericano o un norteamericano de una desolada ciudad del sur. La ambición de Larsen por conquistar a una débil mental -o loca- recuerda la novela serial de Isaac B. Singer, Shosha, ambientada a fines de los 30 en Polonia, y en juntacadáveres Larsen tiene más de un punto de contacto con el proxeneta polaco Max que protagoniza la novela de Singer Escoria. No son los continentes ni las épocas, ni las ideas políticas, las que unen los libros o forman generaciones literarias, sino un efluvio inmaterial constituido de reflejos deformados del alma humana, que inquieta a los lectores de cualquier tiempo y lugar.",240,133,316 follower,"['Fiction', 'Spanish Literature', 'Latin American', 'Latin American Literature', 'Literature', 'Classics', '20th Century']",178 review,558 (28%),731 (37%),452 (22%),181 (9%),52 (2%)
The Spider's House,Paul Bowles,3.97,"1,797 rating","January 1, 1955","Dramatizes the way that the French rulers of Morocco and their successors, the Nationalists, succeeded in ending the medieval traditions in the daily life of towns life Fez",424,273,783 follower,"['Fiction', 'Morocco', 'Africa', 'Historical Fiction', 'Literary Fiction', 'Literature', 'Classics']",165 review,547 (30%),777 (43%),361 (20%),92 (5%),20 (1%)
Shake Loose My Skin: New and Selected Poems,Sonia Sanchez,4.35,"1,185 rating","January 1, 1999","An extraordinary retrospective covering over thirty years of work,  From a leading writer of the Black Arts Movement and  the American Poetry Society's 2018 Wallace Stevens Award–winner.Shake Loose My Skin is a stunning testament to the literary, sensual, and political powers of the award-winning Sonia Sanchez.",168,104,444 follower,"['Poetry', 'Feminism', 'African American', 'Race', 'Womens', 'Nonfiction', 'Black Literature']",115 review,630 (53%),369 (31%),157 (13%),26 (2%),3 (<1%)
Must a Jew Believe Anything?,Menachem Marc Kellner,3.84,49 rating,"February 1, 1999","The crucial question for today's Jewish world, Menachem Kellner argues, is not whether Jews will have Jewish grandchildren, but how many different sorts of mutually exclusive Judaisms those grandchildren will face. Kellner's short, brisk, and accessible book examines how the split that threatens the Jewish future can be avoided. The first six chapters of this strongly argued book analyse what religious faith means in classical Judaism and will be of interest to anyone seeking lucid insights into the nature of Judaism. The final chapter builds upon the conclusions of the first six in order to argue for a new way of construing the relationship of Orthodoxy to non-Orthodox Jews and institutions. Kellner argues that the Orthodox practice of framing the debate with non-Orthodox movements in terms of dogmatic fidelity contrasted with heresy is not the traditional Jewish approach, and that the debate could well be framed in other ways, ways that would allow all Jews to work together towards a less polarized Jewish future. Undoubtedly, Must a Jew Believe Anything? has the potential to make a difference to how Orthodoxy understands itself and its relationship to other Jewish movements in the modern world. For the second edition, the author has added a substantial Afterword, reviewing his thinking on the subject and addressing the reactions to the original edition.",214,16,4 follower,"['Judaism', 'Judaica', 'Philosophy']",4 review,13 (26%),18 (36%),15 (30%),3 (6%),0 (0%)
Of Other Worlds: Essays and Stories,C.S. Lewis,4.15,"1,474 rating","January 1, 1966","Available from HarperOne, now the exclusive publisher of all of C. S. Lewis's adult religious books, a repackaged edition of the revered author’s treasury of essays and stories which examine the value of creative writing and imaginative exploration.C. S. Lewis—the great British writer, scholar, lay theologian, broadcaster, Christian apologist, and bestselling author of Mere Christianity, The Screwtape Letters, The Great Divorce, The Chronicles of Narnia, and many other beloved classics—presents a well-reasoned case for the importance of story and wonder, elements often ignored by critics of his time. He also discusses his favorite kinds of stories—children’s stories and fantasies—and offers insights into his most famous works, The Chronicles of Narnia and the Space Trilogy.",256,"1,291",42.2k follower,"['Essays', 'Nonfiction', 'Christian', 'Short Stories', 'Writing', 'Classics', 'Christianity']",141 review,567 (38%),598 (40%),273 (18%),30 (2%),6 (<1%)
The Room,Hubert Selby Jr.,3.70,"6,276 rating","January 1, 1971","Secluded in his remand cell, a small-time criminal surrenders himself to sadistic fantasies of hatred and revenge. Selby's second novel is a claustrophobic descent into the tormented soul of a man trapped in a loveless society.",288,37,"2,083 follower","['Fiction', 'Horror', 'Thriller', 'Dark', 'Mystery', 'Classics', 'Crime']",276 review,"1,926 (30%)","1,932 (30%)","1,441 (22%)",561 (8%),416 (6%)
El coronel no tiene quien le escriba,Gabriel García Márquez,3.80,"52,193 rating","January 1, 1961","El coronel no tiene quien le escriba fue escrita por Gabriel García Márquez durante su estancia en París, adonde había llegado como corresponsal de prensa y con la secreta intención de estudiar cine, a mediados de los años cincuenta. El cierre del periódico para el que trabajaba le sumió en la pobreza, mientras redactaba en tres versiones distintas esta excepcional novela, que fue rechazada por varios editores antes de su publicación. Tras el barroquismo faulkneriano de La hojarasca, esta segunda novela supone un paso hacia la ascesis, hacia la economía expresiva, y el estilo del escritor se hace más puro y transparente. Se trata también de una historia de injusticia y violencia: un viejo coronel retirado va al puerto todos los viernes a esperar la llegada de la carta oficial que responda a la justa reclamación de sus derechos por los servicios prestados a la patria. Pero la patria permanece muda.",104,820,36.1k follower,"['Fiction', 'Classics', 'Spanish Literature', 'Literature', 'Novels', 'Latin American Literature', 'Magical Realism', 'Fiction', 'Classics', 'Spanish Literature', 'Literature', 'Novels', 'Latin American Literature', 'Magical Realism', 'Fiction', 'Classics', 'Spanish Literature', 'Literature', 'Novels', 'Latin American Literature', 'Magical Realism']","3,157 review","12,886 (24%)","20,549 (39%)","14,758 (28%)","3,184 (6%)",816 (1%)
"Collected Works, Volume 3: The Development of Capitalism in Russia",Vladimir Lenin,3.79,90 rating,"January 1, 1967","Among the most influential political and social forces of the twentieth century, modern communism rests firmly on philosophical, political, and economic underpinnings developed by Vladimir Ilyich Ulyanov, later known as Lenin. For anyone who seeks to understand the twentieth century, capitalism, the Russian Revolution, and the role of Communism in the tumultuous political and social movements that have shaped the modern world, the works of Lenin offer unparalleled insight and understanding. Taken together, they represent a balanced cross-section of his revolutionary theories of history, politics, and economics; his tactics for securing and retaining power; and his vision of a new social and economic order.  Volume 3 is composed entirely of the lengthy work ""The Development of Capitalism in Russia""",957,"1,799","1,364 follower","['History', 'Russia', 'Lenin', 'Economics', 'Politics', 'Nonfiction', 'Russian Literature']",6 review,32 (35%),23 (25%),25 (27%),4 (4%),6 (6%)
