title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,genres,author_followers,no_of_reviews,no_of_books_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
Hindoo Holiday,J.R. Ackerley,3.58,448 rating,"January 1, 1932","In the 1920s, the young J. R. Ackerley spent several months in India as the personal secretary to the maharajah of a small Indian principality. In his journals, Ackerley recorded the Maharajah's fantastically eccentric habits and riddling conversations, and the odd shambling day-to-day life of his court. Hindoo Holiday is an intimate and very funny account of an exceedingly strange place, and one of the masterpieces of twentieth-century travel literature.",320,"['Travel', 'India', 'Nonfiction', 'Memoir', 'History', '20th Century', 'Biography', 'Travel', 'India', 'Nonfiction', 'Memoir', 'History', '20th Century', 'Biography', 'Travel', 'India', 'Nonfiction', 'Memoir', 'History', '20th Century', 'Biography']",55 follower,68 review,18,21 (4%),49 (10%),125 (27%),157 (35%),96 (21%)
Pale Blue Dot: A Vision of the Human Future in Space,Carl Sagan,4.33,"36,162 rating","November 8, 1994","Pulitzer Prize-winning author Carl Sagan traces our exploration of space and suggests that our very survival may depend on the wise use of other worlds. This stirring book reveals how scientific discovery has altered our perception of who we are and where we stand, and challenges us to weigh what we will do with that knowledge. Photos, many in color.",384,"['Science', 'Nonfiction', 'Astronomy', 'Space', 'Philosophy', 'Physics', 'Popular Science']",11.6k follower,"1,333 review",150,728 (2%),893 (2%),"3,779 (10%)","11,019 (30%)","19,743 (54%)"
Dead Man's Walk,Larry McMurtry,4.02,"17,799 rating","January 1, 1995","Dead Man's Walk is the first, extraordinary book in the epic Lonesome Dove tetralogy, in which Larry McMurtry breathed new life into the vanished American West and created two of the most memorable heroes in contemporary fiction: Augustus McCrae and Woodrow Call.  As young Texas Rangers, Gus and Call have much to learn about survival in a land fraught with perils: not only the blazing heat and raging tornadoes, roiling rivers and merciless Indians but also the deadly whims of soldiers. On their first expeditions--led by incompetent officers and accompanied by the robust, dauntless whore known as the Great Western--they will face death at the hands of the cunning Comanche war chief Buffalo Hump and the silent Apache Gomez. They will be astonished by the Mexican army. And Gus will meet the love of his life.",464,"['Westerns', 'Fiction', 'Historical Fiction', 'Historical', 'Adventure', 'Audiobook', 'Novels']","3,196 follower","1,039 review",169,123 (<1%),561 (3%),"3,887 (21%)","7,537 (42%)","5,691 (31%)"
The Monkey's Paw,Diane Mowat,3.88,"22,293 rating","January 1, 1902","Outside, the night is cold and wet. Inside, the White family sits and waits. Where is their visitor? There is a knock at the door. A man is standing outside in the dark. Their visitor has arrived. The visitor waits. He has been in India for many years. What has he got? He has brought the hand of a small, dead animal and#150; a monkey's paw. Outside, in the dark, the visitor smiles and waits for the door to open.",30,"['Horror', 'Short Stories', 'Classics', 'Fiction', 'Fantasy', 'Mystery', 'School', 'Horror', 'Short Stories', 'Classics', 'Fiction', 'Fantasy', 'Mystery', 'School', 'Horror', 'Short Stories', 'Classics', 'Fiction', 'Fantasy', 'Mystery', 'School']",18 follower,276 review,29,400 (1%),"1,400 (6%)","5,857 (26%)","7,554 (33%)","7,082 (31%)"
The Holy Land,Pär Lagerkvist,3.87,196 rating,"January 1, 1964","A continuation of his allegorical sequence, which started in ""The Sybil"" with the introduction of the character Ahasuerus, but really took root in his next book, ""The Death of Ahasuerus"", the direct antecedent to ""Pilgrim at Sea"".",85,"['Fiction', 'Literature', 'Scandinavian Literature', 'Classics', 'Sweden', 'Swedish Literature', 'Nobel Prize', 'Fiction', 'Literature', 'Scandinavian Literature', 'Classics', 'Sweden', 'Swedish Literature', 'Nobel Prize', 'Fiction', 'Literature', 'Scandinavian Literature', 'Classics', 'Sweden', 'Swedish Literature', 'Nobel Prize']",285 follower,18 review,151,1 (<1%),8 (4%),60 (30%),74 (37%),53 (27%)
عصر الحب,Naguib Mahfouz,3.61,"2,197 rating","148 pages, PaperbackPublished January 1, 2006","إنها""عصر الحب"" لروائي نجيب محفوظ, التي لفتت انتباهي وقلت أنها تحمل عبارة ""الحب هو الحياة والحياة هي الحب"" والحب هنا لم أقصده بالمعنى الضيق بل الحب للحب _أي معناه الذي وضع له _ ولعل مضمون الرواية _التي احتوت حوالي 51 صفحة_ برغم من قصدها المعنى الضيق غير أنها عبرت بين طياتها عن المعنى الشامل والعام, بلغة سلسة واضحة تميل إلى العامية وأسلوب شيق متسلسل بين الحوار تارة والسرد والتحليل تارة أخرى. تحدث نجيب عن قصة واحدة وحيدة تدورها شخصيات متنوعة كانت بطلتها امرأة صنعت تاريخها, حتى أقيم في مكان دارها مستشفى حمل اسمها إنها ""السست عين"" أرملة ""العم عبد الباقي "" أما بطلها فبنها ""عزت"" والشخصيات التي ساهمة في ايثارت عصر الحب بدرية المنشاوي, حمدون, سيدة, سمير والشخصيات الأخرى تحضر بين الفينة والأخرى .",148,"['Novels', 'Fiction', 'Literature', 'Egypt', 'Romance', 'Historical Fiction', 'Love']",15k follower,339 review,481,40 (1%),172 (7%),759 (34%),850 (38%),376 (17%)
കാലം | Kaalam,M.T. Vasudevan Nair,3.88,"1,763 rating","January 1, 1969", English (translation),235,"['Fiction', 'Indian Literature', 'The World', 'Novels', 'Classics']","1,080 follower",60 review,99,59 (3%),94 (5%),403 (22%),652 (36%),555 (31%)
The Midnight Fox,Betsy Byars,3.76,"1,243 rating","January 1, 1968","Tom hates having to spend the summer on a farm . . . until he discovers the midnight fox.No one asked Tom how he felt about spending two months on his Aunt Millie’s farm. For a city boy, the farm holds countless terrors—stampeding baby lambs, boy-chasing chickens, and worst of all, loneliness. But everything changes when Tom sees the midnight fox. He can spend hours watching the graceful black fox in the woods. And when her life—and that of her cub—is in danger, Tom knows exactly what he must do.“An exceptional book.”— BooklistA Library of Congress Children’s Book of the Year",134,"['Fiction', 'Childrens', 'Animals', 'Young Adult', 'Middle Grade', 'Realistic Fiction', 'Classics']",145 follower,140 review,135,26 (2%),102 (8%),370 (29%),393 (31%),352 (28%)
The Threat,K.A. Applegate,3.94,"3,608 rating","January 1, 1998","There is a new Animorph. And he's arrived just in time, because the Yeerks are preparing their biggest takeover ever. The ultimate target: the world's most powerful leaders gathered together in one place. What better way to get into the minds of humans? Literally.At first, David joins the fight with a vengeance. But there is definitely something wrong. Because he's starting to break the rules. Taking risks that could get them all captured. Or killed. The Animorphs don't know what to do. Because there was a time when the Yeerks were their greatest enemy. That's about to change. . . .",158,"['Science Fiction', 'Young Adult', 'Fiction', 'Childrens', 'Fantasy', 'Middle Grade', 'Aliens', 'Science Fiction', 'Young Adult', 'Fiction', 'Childrens', 'Fantasy', 'Middle Grade', 'Aliens', 'Science Fiction', 'Young Adult', 'Fiction', 'Childrens', 'Fantasy', 'Middle Grade', 'Aliens']",361 follower,164 review,254,28 (<1%),202 (5%),941 (26%),"1,240 (34%)","1,197 (33%)"
Sadako and the Thousand Paper Cranes,Eleanor Coerr,4.12,"26,595 rating","January 1, 1977","Hiroshima-born Sadako is lively and athletic--the star of her school's running team. And then the dizzy spells start. Soon gravely ill with leukemia, the ""atom bomb disease,"" Sadako faces her future with spirit and bravery. Recalling a Japanese legend, Sadako sets to work folding paper cranes. For the legend holds that if a sick person folds one thousand cranes, the gods will grant her wish and make her healthy again. Based on a true story, Sadako and the Thousand Paper Cranes celebrates the extraordinary courage that made one young woman a heroine in Japan.",80,"['Historical Fiction', 'Childrens', 'Fiction', 'Young Adult', 'Middle Grade', 'Japan', 'Classics', 'Historical Fiction', 'Childrens', 'Fiction', 'Young Adult', 'Middle Grade', 'Japan', 'Classics', 'Historical Fiction', 'Childrens', 'Fiction', 'Young Adult', 'Middle Grade', 'Japan', 'Classics']",47 follower,"2,043 review",29,327 (1%),946 (3%),"4,724 (17%)","9,682 (36%)","10,916 (41%)"
