title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,no_of_books_by_author,author_followers,genres,no_of_reviews,five_star_ratings,four_star_ratings,three_star_ratings,two_star_ratings,one_star_ratings
The Black Cauldron,Walt Disney Company,3.77,132 rating,"January 1, 1985","Relive Walt Disney's 25th full-length animated feature in this beautiful, hardcover, 96-page classic storybook that accurately captures the movie magic and places it right into a child's hands. With every turn of a page, adventure unfolds to create memories that will last a lifetime.",96,33.2k,"2,606 follower","['Fantasy', 'Childrens', 'Picture Books']",10 review,34 (25%),48 (36%),39 (29%),8 (6%),3 (2%)
Maten al león,Jorge Ibargüengoitia,4.13,"1,252 rating","January 1, 1969",Book by Jorge Ibargüengoitia,187,40,513 follower,"['Fiction', 'Spanish Literature', 'Latin American']",98 review,464 (37%),535 (42%),214 (17%),36 (2%),3 (<1%)
The Case of the Toxic Spell Dump,Harry Turtledove,3.86,847 rating,"January 1, 1993","David Fisher, a humble but dedicated bureaucrat of the Environmental Perfection Agency, finds that an evil ancient deity (the sort that likes human sacrifices) is about to take over L.A. -- unless he can stop it.",367,504,"1,781 follower","['Fantasy', 'Fiction', 'Urban Fantasy', 'Alternate History', 'Humor', 'Mystery', 'Science Fiction']",75 review,251 (29%),311 (36%),217 (25%),53 (6%),15 (1%)
A Balcony in the Forest,Julien Gracq,4.03,807 rating,"January 1, 1958","In the Ardennes Forest on the Belgian border the French guns point north-east, awaiting the German onslaught. One reinforced-concrete blockhouse in the heart of the forest is manned, this winter of 1939/40, by Lieutenant Grange with three men, who live in a chalet built over it. Cut off from the rest of the world, their senses heightened to capture the sounds and smells of the forest, the men create their own security as autumn turns to winter. Later, though, when winter turns to spring, when the sap rises and the panzer divisions attack, Lieutenant Grange meets the fate he has never believed he would escape. But if this is a story of soldiers, it is not about fighting. It is about solitude, about watching and waiting - and about love, the young Lieutenant's devotion to Mona, the child-widow discovered like a sprite in the forest one rainy night, who, in this surreal period of suspense, becomes his lover.",213,60,160 follower,"['Fiction', 'France', 'French Literature', 'Historical Fiction', '20th Century', 'Literature', 'World War II', 'Fiction', 'France', 'French Literature', 'Historical Fiction', '20th Century', 'Literature', 'World War II', 'Fiction', 'France', 'French Literature', 'Historical Fiction', '20th Century', 'Literature', 'World War II']",102 review,285 (35%),315 (39%),166 (20%),27 (3%),14 (1%)
The Lost Boy,Dave Pelzer,4.11,"67,251 rating","January 1, 1997","Imagine a young boy who has never had a loving home. His only possesions are the old, torn clothes he carries in a paper bag. The only world he knows is one of isolation and fear. Although others had rescued this boy from his abusive alcoholic mother, his real hurt is just begining -- he has no place to call home.This is Dave Pelzer's long-awaited sequel to A Child Called ""It"". In The Lost Boy, he answers questions and reveals new adventures through the compelling story of his life as an adolescent. Now considered an F-Child (Foster Child), Dave is moved in and out of five different homes. He suffers shame and experiences resentment from those who feel that all foster kids are trouble and unworthy of being loved just because they are not part of a ""real"" family.Tears, laughter, devastation and hope create the journey of this little lost boy who searches desperately for just one thing -- the love of a family.",331,65,"2,977 follower","['Nonfiction', 'Memoir', 'Biography', 'Autobiography', 'Psychology', 'Abuse', 'True Story']","3,091 review","27,923 (41%)","23,012 (34%)","12,872 (19%)","2,633 (3%)",811 (1%)
My Own Country: A Doctor's Story,Abraham   Verghese,4.22,"11,919 rating","January 1, 1994","By the bestselling author of Cutting for Stone, a story of medicine in the American heartland, and confronting one's deepest prejudices and fears. Nestled in the Smoky Mountains of eastern Tennessee, the town of Johnson City had always seemed exempt from the anxieties of modern American life. But when the local hospital treated its first AIDS patient, a crisis that had once seemed an urban problem had arrived in the town to stay. Working in Johnson City was Abraham Verghese, a young Indian doctor specializing in infectious diseases. Dr. Verghese became by necessity the local AIDS expert, soon besieged by a shocking number of male and female patients whose stories came to occupy his mind, and even take over his life. Verghese brought a singular perspective to Johnson City: as a doctor unique in his abilities; as an outsider who could talk to people suspicious of local practitioners; above all, as a writer of grace and compassion who saw that what was happening in this conservative community was both a medical and a spiritual emergency.""",432,17,"6,462 follower","['Nonfiction', 'Memoir', 'Medicine', 'Medical', 'Biography', 'Science', 'Biography Memoir']",961 review,"5,280 (44%)","4,516 (37%)","1,661 (13%)",351 (2%),111 (<1%)
Trunk Music,Michael Connelly,4.20,"69,024 rating","January 28, 1997","Back on the job after an involuntary leave of absence, LAPD homicide detective Harry Bosch is ready for a challenge. But his first case is a little more than he bargained for.  It starts with the body of a Hollywood producer in the trunk of a Rolls-Royce, shot twice in the head at close range - what looks like ""trunk music,"" a Mafia hit. But the LAPD's organized crime unit is curiously uninterested, and when Harry follows a trail of gambling debts to Las Vegas, the case suddenly becomes more complex - and much more personal.  A rekindled romance with an old girlfriend opens new perspectives on the murder, and he begins to glimpse a shocking triangle of corruption and collusion. Yanked off the case, Harry himself is soon the one being investigated. But only a bullet can stop Harry when he's searching for the truth . . .",448,414,30.2k follower,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Detective', 'Mystery Thriller', 'Audiobook']","2,152 review","27,091 (39%)","30,464 (44%)","10,187 (14%)","1,014 (1%)",268 (<1%)
Mandie and the Secret Tunnel,Lois Gladys Leppard,4.00,"5,037 rating","April 1, 1983","Mandie Shaw, almost a teenager, is certain God no longer loves her as she watches her father being lowered into his grave. Mandie's move into a neighbor family's home, when her mother remarries, does not soften her grief. Her only comfort is the promise from her father's faithful Cherokee friend, Uncle Ned, to watch out for her and be a friend. Will Mandie be able to escape her new and nearly intolerable home situation? Will she find her long-lost family? Will the mysterious key unlock the door to the secret tunnel and her own family's history?For children 8-13, mystery adventures set in the North Carolina backwoods at the turn of the century.",141,116,259 follower,"['Mystery', 'Historical Fiction', 'Fiction', 'Christian', 'Childrens', 'Christian Fiction', 'Young Adult']",306 review,"1,934 (38%)","1,587 (31%)","1,168 (23%)",274 (5%),74 (1%)
The Battle of the Bulge,John  Toland,4.14,"1,009 rating","January 1, 1959","Reprint for children of John Toland's first work of military history, the saga of how beleaguered American troops not only resisted Hitler's deadly counteroffensive in World War II's Battle of the Bulge, but turned it into an Allied victory.",179,72,162 follower,"['History', 'Nonfiction', 'World War II', 'Military History', 'War', 'Military Fiction', 'Audiobook']",76 review,382 (37%),420 (41%),182 (18%),21 (2%),4 (<1%)
في ساعة نحس,Gabriel García Márquez,3.43,"9,892 rating","January 1, 1962","""في نظرة واحدة أفصح العمدة عن نفاذ الصبر الذي قدمه طوال أسبوعين من المعاناة، حتى ولو كان العالم يوشك أن يبلغ نهايته يا ابت أصبح الألم حصيناً في مواجهة المسكنات، فعلق العمدة أرجوحته على شرفة غرفته محاولاً الإغفاء في برودة صدر المساء، لكنه هوى عند الساعة الثامنة في هاوية اليأس مرة أخرى وهبط إلى الميدان الذي كان يغط في سبات تحت وطأة موجة الحر. بعد الطواف حول المنطقة دون العثور على مصدر الإلهام الذي يحتاجه للسمو فوق الألم مضى إلى دار السينما، وكانت تلك غلطة، فقد زاد أزيز الطائرات العسكرية في تفاقم الألم، غادر دار السينما قبل الاستراحة وبلغ الصيدلية فيما كان دون لالو موسكوته يتأهب لإغلاق الباب"".",280,820,36.1k follower,"['Fiction', 'Classics', 'Magical Realism', 'Novels', 'Literature', 'Latin American', 'Spanish Literature', 'Fiction', 'Classics', 'Magical Realism', 'Novels', 'Literature', 'Latin American', 'Spanish Literature', 'Fiction', 'Classics', 'Magical Realism', 'Novels', 'Literature', 'Latin American', 'Spanish Literature', 'Fiction', 'Classics', 'Magical Realism', 'Novels', 'Literature', 'Latin American', 'Spanish Literature', 'Fiction', 'Classics', 'Magical Realism', 'Novels', 'Literature', 'Latin American', 'Spanish Literature']",758 review,"1,400 (14%)","3,231 (32%)","3,761 (38%)","1,204 (12%)",296 (2%)
The Poet,Michael Connelly,4.22,"100,208 rating","January 28, 1996","Denver crime-beat reporter Jack McEvoy specializes in violent death. So when his homicide detective brother kills himself, McEvoy copes in the only way he knows how--he decides to write the story. But his research leads him to suspect a serial killer is at work--a devious murderer who's killing cops and leaving a trail of poetic clues. It's the news story of a lifetime, if he can get the story without losing his life.",510,414,30.2k follower,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Mystery Thriller', 'Suspense', 'Detective']","4,080 review","43,503 (43%)","39,365 (39%)","14,238 (14%)","2,267 (2%)",835 (<1%)
The Secret,K.A. Applegate,3.75,"5,453 rating","June 1, 1997","There's something pretty weird going on in the woods behind Cassie's house. The place where Ax and Tobias call home. It seems the Yeerks have figured out one very important thing: Andalites cannot survive without a feeding ground. Visser Three knows the ""Andalite bandits"" don't feed where he does, so there can only be one other place.Now Cassie, Marco, Jake, Rachel, Tobias, and Ax have to figure out a way to stop a bogus logging camp. Because if Visser Three finds Ax in the woods, nothing will stop him from finding the Animorphs...",158,254,361 follower,"['Science Fiction', 'Young Adult', 'Fiction', 'Fantasy', 'Childrens', 'Middle Grade', 'Aliens', 'Science Fiction', 'Young Adult', 'Fiction', 'Fantasy', 'Childrens', 'Middle Grade', 'Aliens', 'Science Fiction', 'Young Adult', 'Fiction', 'Fantasy', 'Childrens', 'Middle Grade', 'Aliens']",267 review,"1,405 (25%)","1,785 (32%)","1,797 (32%)",400 (7%),66 (1%)
"I, Claudius/Claudius the God",Robert Graves,4.44,"3,154 rating","January 1, 1934","Clau-Clau-Claudius the stammerer was known as a buffoon and a pitiful fool.He made it his business to watch from the sidelines and record the antics, funny, violent and lustful, of the imperial household as its members vied with each other for power. Then he found himself Emperor.From the great days of Augustus and the cruelties of Tiberius to the deified insanity of Caligula, he records a story breathtaking in its murderousness, greed and folly. Throughout the swings of fortune, his own disastrous love affair with the depraved Messalina and surprisingly successful reign, his voice sometimes puzzled, sometimes rueful, always sane, speaks to us across the centuries in two great, classic historical novels.",839,479,"1,635 follower","['Historical Fiction', 'Fiction', 'Classics', 'Historical', 'Literature', 'Novels', 'Italy']",131 review,"1,796 (56%)","1,007 (31%)",301 (9%),38 (1%),12 (<1%)
Devil's Waltz,Jonathan Kellerman,3.96,"11,690 rating","December 16, 1993","The doctors call it Munchausen by proxy, the terrifying disease that causes parents to induce illness in their own children. Now, in his most frightening case, Dr. Alex Delaware may have to prove that a child's own mother or father is making her sick. Twenty-one-month-old Cassie Jones is bright, energetic, the picture of health. Yet her parents rush her to the emergency room night after night with medical symptoms no doctor can explain. Cassie's parents seem sympathetic and deeply concerned. Her favorite nurse is a model of devotion. Yet when child psychologist Alex Delaware is called in to investigate, instinct tells him that one of them may be a monster. Then a physician at the hospital is brutally murdered. A shadowy death is revealed. And Alex and his friend LAPD detective Milo Sturgis have only hours to uncover the link between these shocking events and the fate of an innocent child.From the Paperback edition.",528,253,"5,226 follower","['Mystery', 'Fiction', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Audiobook']",336 review,"3,357 (28%)","4,999 (42%)","2,901 (24%)",351 (3%),82 (<1%)
Batman in the Seventies,Dennis O'Neil,3.90,105 rating,"January 1, 2000","In the seventies, Batman began his transformation from the campy Caped Crusader of the sixties television show into the grim Dark Knight of the nineties' motion pictures. This action-packed book includes the greatest adventures of that era which helped to reshape this legendary icon. Featuring Batgirl, Robin, the Joker, Man-Bat, the Huntress, and Ra's al Ghul, BATMAN IN THE SEVENTIES is an outstanding opportunity to look back and enjoy the tales of the past that are now the foundation for the future.",192,"1,735",250 follower,"['Comics', 'Batman', 'Graphic Novels', 'Fiction', 'Dc Comics', 'Superheroes', 'Comic Book']",9 review,23 (21%),51 (48%),29 (27%),1 (<1%),1 (<1%)
Molly's Surprise: A Christmas Story,Valerie Tripp,4.03,"3,990 rating","January 1, 1986","Even though he is away serving in an English hospital during World War II, Molly's father finds a way to make the family Christmas very special",64,254,370 follower,"['Historical Fiction', 'Childrens', 'Fiction', 'Christmas', 'Historical', 'Middle Grade', 'Young Adult']",144 review,"1,528 (38%)","1,250 (31%)","1,062 (26%)",118 (2%),32 (<1%)
