title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,no_of_books_by_author,author_followers,genres,no_of_reviews,five_star_ratings,four_star_ratings,three_star_ratings,two_star_ratings,one_star_ratings
Crossfire: The Plot That Killed Kennedy,Jim Marrs,4.14,"1,525 rating","January 1, 1989","The explosive search for the truth about who killed JFK, ""the final word until 2039-when government files on the case can be unlocked."" (Kirkus) Will we ever know the truth about the Kennedy assassination? In Crossfire, Jim Marrs demonstrates that the facts are all there-they just need to be pieced together. Offering a wealth of evidence, including rare photos, documents, and interviews, Marrs, a veteran Texas journalist, reveals the telltale signs of the conspiracy: early government manipulation of the famous Zapruder film, falsification of evidence, the intimidation of witnesses after the assassination, the theft of Oswald's identity during the countdown to the tragedy, and much more. Meticulously researched and brimming with new information, Crossfire is sure to remain the most comprehensive account of this epochal American crime.",656,52,274 follower,"['History', 'Nonfiction', 'Conspiracy Theories', 'True Crime', 'Politics', 'American History', 'Crime']",117 review,689 (45%),500 (32%),233 (15%),68 (4%),35 (2%)
The Tuesday Club Murders,Agatha Christie,3.94,"35,293 rating","June 1, 1932",One Tuesday evening a group gathers at Miss Marple’s house and the conversation turns to unsolved crimes…The case of the disappearing bloodstains; the thief who committed his crime twice over; the message on the death-bed of a poisoned man which read ‘heap of fish’; the strange case of the invisible will; a spiritualist who warned that ‘Blue Geranium’ meant death…Now pit your wits against the powers of deduction of the ‘Tuesday Night Club’.,256,"4,153",64.5k follower,"['Mystery', 'Fiction', 'Crime', 'Short Stories', 'Classics', 'Mystery Thriller', 'Detective']","2,489 review","10,573 (29%)","14,228 (40%)","8,677 (24%)","1,504 (4%)",311 (<1%)
The Golden Nineties,Lisa Mason,3.91,69 rating,"October 1, 1995","In twenty-fifth-century China, Zhu Wong is part of a paramilitary cadre dedicated to enforcing the Generation-Skipping Law, but when she is arrested for attempted murder, she must travel into the past, to San Francisco in 1895, to search for a slave woman. Reprint.",418,68,73 follower,"['Science Fiction', 'Time Travel', 'Historical Fiction', 'Fiction']",5 review,18 (26%),34 (49%),11 (15%),5 (7%),1 (1%)
Anne Frank Remembered,Miep Gies,4.30,"65,096 rating","January 1, 1987","The reminiscences of Miep Gies, the woman who hid the Frank family in Amsterdam during the Second World War, presents a vivid story of life under Nazi occupation.",256,9,99 follower,"['Nonfiction', 'History', 'Biography', 'Holocaust', 'Memoir', 'World War II', 'Classics', 'Nonfiction', 'History', 'Biography', 'Holocaust', 'Memoir', 'World War II', 'Classics', 'Nonfiction', 'History', 'Biography', 'Holocaust', 'Memoir', 'World War II', 'Classics']","1,156 review","35,346 (54%)","18,449 (28%)","7,949 (12%)","1,953 (3%)","1,399 (2%)"
Obabakoak,Bernardo Atxaga,3.86,"1,865 rating","January 1, 1988","Tells the story of the people of Obaba, a remote Basque village",344,130,152 follower,"['Fiction', 'Short Stories', 'Spain', 'Spanish Literature', 'Literature', 'Magical Realism', '20th Century']",210 review,501 (26%),775 (41%),447 (23%),111 (5%),31 (1%)
Gift of Fire,Jayne Ann Krentz,3.96,"2,064 rating","January 1, 1989","Verity Ames, small town restaurateur, is involved in a passionate affair with Jonas Quarrel, Renaissance scholar turned dishwasher.Feeling that Jonas is underutilized, Verity signs him up to authenticate a sixteenth-century Italian villa on a remote island in the Pacific Northwest. Why pass on the opportunity to investigate the past and include a romantic getaway.On the island, passions flare and events turn deadly. Someone does not want Verity and Jonas to discover the truth.",344,414,"6,751 follower","['Romance', 'Contemporary', 'Paranormal', 'Contemporary Romance', 'Romantic Suspense', 'Fiction', 'Paranormal Romance']",58 review,727 (35%),695 (33%),509 (24%),107 (5%),26 (1%)
Rebecca of Sunnybrook Farm,Kate Douglas Wiggin,3.87,"34,809 rating","January 1, 1903","First published in 1903, “Rebecca of Sunnybrook Farm” is the charming and classic children’s novel beloved the world over. Written by the American author and educator Kate Douglas Wiggin, it is the story of young and poor Rebecca Rowena Randall, who goes to live with her spinster aunts in the town of Riverboro when she is ten years-old. Rebecca’s father had died three years before and the family farm had become heavily indebted. In order to ease the burden on her widowed mother, Rebecca is sent to live with her lonely aunts at their farm and there she spends the next seven years till she becomes an adult. Rebecca brings her youthful enthusiasm and imagination to their quiet life and often clashes with her stern Aunt Miranda. Yet, Rebecca finds love and acceptance with her Aunt Jane and she grows up to be a proper and intelligent young lady who never loses her sunny outlook and kind heart. “Rebecca of Sunnybrook Farm” is a classic coming of age story that has been adapted numerous times for the stage and screen and continues to charm audiences and readers alike with its interesting characters and positive message of finding happiness in life’s simple pleasures.",184,342,138 follower,"['Classics', 'Fiction', 'Childrens', 'Historical Fiction', 'Young Adult', 'Middle Grade', 'Historical']",979 review,"11,215 (32%)","11,335 (32%)","9,471 (27%)","2,194 (6%)",594 (1%)
Social Origins of Dictatorship and Democracy: Lord and Peasant in the Making of the Modern World,Barrington Moore Jr.,4.00,"1,020 rating","January 1, 1966","""A landmark in comparative history and a challenge to scholars of all lands who are trying to learn how we arrived at where we are now."" -The New York Times Book Review",586,19,36 follower,"['History', 'Politics', 'Nonfiction', 'Sociology', 'Political Science', 'Economics', 'Philosophy']",59 review,377 (36%),373 (36%),188 (18%),54 (5%),28 (2%)
Le Voyeur,Alain Robbe-Grillet,3.79,"1,349 rating","January 1, 1955","Matthias est un voyageur de commerce, spécialisé dans la vente au porte à porte de montres, qui décide de passer la journée dans son île de naissance pour vendre sa marchandise. Méticuleux et précis, il a 6 heures pour faire le tour de l'île et tenter d'écouler ses 99 montres qu'il transporte dans une valise avant de reprendre le bateau qui le ramènera le soir, après trois heures de traversée, chez lui. Tout est organisé, les méthodes, les parcours, les durées. Cette minutie remonte à son enfance où déjà tous les détails prenaient une place importante dans sa vie. Matthias avait notamment la passion des cordelettes qu'il collectionnait. Devenu adulte, il en garde toujours une sur lui, dans la poche de sa canadienne. C'est avec ses montres et sa cordelette qu'il débarque sur l'île et commence sa tournée, jusqu'à la rencontre de la petite Jacqueline, écho d'une lointaine et mystérieuse Violette.",256,119,380 follower,"['Fiction', 'France', 'French Literature', 'Literature', 'Classics', 'Novels', '20th Century']",115 review,392 (29%),488 (36%),309 (22%),118 (8%),42 (3%)
"Gigi, Julie de Carneilhan, and Chance Acquaintances: Three Short Novels",Colette,3.85,454 rating,"January 1, 1976","Two volumes of Colette's most beloved works, with a new Introduction by Judith Thurman.Perhaps Colette's best-known work, Gigi is the story of a young girl being raised in a household more concerned with success and money than with the desires of the heart. But Gigi is uninterested in the dishonest society life she observes all around her and remains exasperatingly Gigi. The tale of Gigi's success in spite of her anxious family is Colette at her liveliest and most entertaining. Written during the same period as Gigi, Julie de Carneilhan, based on Colette's last years with her second husband, focuses on a contest of wills between Julie, an elegant woman of forty, and her ex-husband. Chance Acquaintances, a novella, involves an invalid wife, her philandering husband, and a music-hall dancer whose odd meeting at a French spa affects and indelibly marks each one of their lives.",309,555,"1,498 follower","['Fiction', 'Classics', 'France', '20th Century', 'Literary Fiction', 'Short Stories', 'Romance', 'Fiction', 'Classics', 'France', '20th Century', 'Literary Fiction', 'Short Stories', 'Romance', 'Fiction', 'Classics', 'France', '20th Century', 'Literary Fiction', 'Short Stories', 'Romance', 'Fiction', 'Classics', 'France', '20th Century', 'Literary Fiction', 'Short Stories', 'Romance', 'Fiction', 'Classics', 'France', '20th Century', 'Literary Fiction', 'Short Stories', 'Romance']",57 review,111 (24%),190 (41%),130 (28%),20 (4%),3 (<1%)
Earth,David Brin,3.93,"7,839 rating","January 1, 1990","TIME IS RUNNING OUT Decades from now, an artificial black hole has fallen into the Earth's core. As scientists frantically work to prevent the ultimate disaster, they discover that the entire planet could be destroyed within a year. But while they look for an answer, some claim that the only way to save Earth is to let its human inhabitants become extinct: to reset the evolutionary clock and start over.",704,336,"3,154 follower","['Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Speculative Fiction', 'Environment', 'Fantasy', 'Near Future', 'Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Speculative Fiction', 'Environment', 'Fantasy', 'Near Future', 'Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Speculative Fiction', 'Environment', 'Fantasy', 'Near Future']",328 review,"2,534 (32%)","2,896 (36%)","1,846 (23%)",423 (5%),140 (1%)
The Horus Road,Pauline Gedge,4.17,775 rating,"January 1, 2000","The Hyksos - interlopers from Asia Minor with Cretan and Minoan trading connections - ruled Egypt for over two hundred years, after the end of the Middle Kingdom. Seqenenra Tao of Weset roused the native princes to rebellion but died before they could achieve success. His second son, Kamose, assumed command and led a sweep up the Nile to the Hyksos Pharoah's delta stronghold. Then Kamose was assassinated by his own allies, and young Ahmose, the surviving Tao prince, was wounded.In The Horus Road it is the women of the Tao family who must hold the native forces together until Ahmose recovers and, ultimately, leads the Egyptians to triumph.The Horus Road concludes a trilogy, beginning with The Hippopotamus Marsh, followed by The Oasis, that brings to vivid life the passions and intrigues which ushered in the great Eighteenth Dynasty.","HardcoverFirst published January 1, 2000",65,455 follower,"['Historical Fiction', 'Egypt', 'Fiction', 'Historical', 'Ancient', 'Egyptology', 'German Literature']",41 review,299 (38%),326 (42%),135 (17%),12 (1%),3 (<1%)
Kleinzeit,Russell Hoban,4.00,560 rating,"January 1, 1974","Book by Hoban, Russell",191,162,372 follower,"['Fiction', 'Novels', 'Literature', '20th Century', 'American', 'Literary Fiction', 'Magical Realism']",47 review,201 (35%),203 (36%),121 (21%),24 (4%),11 (1%)
The Black Pearl,Scott O'Dell,3.51,"6,493 rating","January 1, 1967","Ramon cannot believe what he has just found in an oyster he's brought up from an underwater cave where the Manta Diablo, the monster devilfish, lurks. Ramon is holding a pearl. Not just any pearl, but the most fabulous gem he or anyone else has ever seen. But neither sixteen-year-old Ramon nor his father foresees the trouble that such a pearl can bring. It will be young Ramon who must stop the monster he has unleashed.",112,86,741 follower,"['Fiction', 'Young Adult', 'Historical Fiction', 'Classics', 'Childrens', 'Adventure', 'Middle Grade']",405 review,"1,204 (18%)","2,020 (31%)","2,348 (36%)",695 (10%),226 (3%)
Days and Nights of Love and War,Eduardo Galeano,4.26,"1,803 rating","January 1, 1978","""Days and Nights succeeds not only because of its socio-political authenticity and lyrical style but because of its interweaving of anger and tenderness, elation and sorrow.""--The NationDays and Nights of Love and War is the personal testimony of one of Latin America's foremost contemporary political writers. In this fascinating journal and eloquent history, Eduardo Galeano movingly records the lives of struggles of the Latin American people, under two decades of unimaginable violence and extreme repression. Alternating between reportage, personal vignettes, interviews, travelogues, and folklore, and richly conveyed with anger, sadness, irony, and occasional humor, Galeano pays loving tribute to the courage and determination of those who continued to believe in, and fight for, a more human existence. The Lannan Foundation awarded the 1999 Cultural Prize for Freedom to Eduardo Galeano, in recognition of those ""whose extraordinary and courageous work celebrates the human right to freedom of imagination, inquiry and expression.""Originally published in Cuba, Days and Nights of Love and War won the Casa de las Américas prize in 1978.",220,217,"3,390 follower","['History', 'Nonfiction', 'Politics', 'Short Stories', 'Latin American', 'Literature', 'Spanish Literature', 'History', 'Nonfiction', 'Politics', 'Short Stories', 'Latin American', 'Literature', 'Spanish Literature', 'History', 'Nonfiction', 'Politics', 'Short Stories', 'Latin American', 'Literature', 'Spanish Literature']",189 review,864 (47%),626 (34%),249 (13%),51 (2%),13 (<1%)
The Virgin and the Gipsy,D.H. Lawrence,3.43,"3,333 rating","November 1, 1930","An electrifying short novel published posthumously set in a small village in the English countryside and tells the story of a sheltered rector's daughter whose life is changed when she is introduced to a world of unfettered passion.  The Virgin and the Gipsy was discovered in France after D. H. Lawrence's death in 1930. Immediately recognized as a masterpiece in which Lawrence had distilled and purified his ideas about sexuality and morality, The Virgin and the Gipsy has become a classic and is one of Lawrence's most electrifying short novels.Set in a small village in the English countryside, this is the story of a secluded, sensitive rector's daughter who yearns for meaning beyond the life to which she seems doomed. When she meets a handsome young gipsy whose life appears different from hers in every way, she is immediately smitten and yet still paralyzed by her own fear and social convention. Not until a natural catastrophe suddenly, miraculously sweeps away the world as she knew it does a new world of passion open for her. Lawrence's spirit is infused by all his tenderness, passion, and knowledge of the human soul.",160,"1,994","3,638 follower","['Classics', 'Fiction', 'Romance', 'Literature', 'British Literature', '20th Century', 'Short Stories']",319 review,514 (15%),"1,050 (31%)","1,243 (37%)",418 (12%),108 (3%)
The Terrible Tudors,Terry Deary,4.03,"2,752 rating","January 1, 1993",Hippo / Scholastic Edition.,128,539,723 follower,"['History', 'Nonfiction', 'Childrens', 'Historical', 'Humor', 'Tudor Period', 'British Literature', 'History', 'Nonfiction', 'Childrens', 'Historical', 'Humor', 'Tudor Period', 'British Literature', 'History', 'Nonfiction', 'Childrens', 'Historical', 'Humor', 'Tudor Period', 'British Literature', 'History', 'Nonfiction', 'Childrens', 'Historical', 'Humor', 'Tudor Period', 'British Literature', 'History', 'Nonfiction', 'Childrens', 'Historical', 'Humor', 'Tudor Period', 'British Literature']",127 review,"1,008 (36%)",989 (35%),613 (22%),123 (4%),19 (<1%)
