title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,no_of_books_by_author,author_followers,genres,no_of_reviews,five_star_ratings,four_star_ratings,three_star_ratings,two_star_ratings,one_star_ratings
The Nonconformist's Memorial: Poems,Susan Howe,4.30,149 rating,"May 1, 1993","The Nonconformist's Memorial is a gathering of four long sequences that underscores Susan Howe's reputation as one of the leading experimentalists writing today. Howe is a poet of language in history whose work resonates back through Melville, Dickinson, and Shelley to the seventeenth-century Metaphysicals and Puritans (the nonconformism of the title), and forward again to T. S. Eliot and the abstract expressionists. The sequences fall into two sections, ""Turning"" and ""Conversion,"" in half-ironic nonconforming counterpart to Eliot's Four Quartets. Her collaging and mirror-imaging of words are concretions of verbal static, visual meditations on what can and cannot be said. For Howe, ""Melville's Marginalia"" is the essential poem in the collection, an approach to an elusive and allusive mind through Melville's own reading and the notations in his library books. This, says Howe, is ""Language a wood for thought.""",160,67,152 follower,['Poetry'],7 review,85 (57%),40 (26%),12 (8%),8 (5%),4 (2%)
Mary Anne,Daphne du Maurier,3.43,"2,560 rating","January 1, 1954","An alternate cover for this isbn can be found here.In Regency London, the only way for a woman to succeed is to beat men at their own game. So when Mary Anne Clarke seeks an escape from her squalid surroundings in Bowling Inn Alley, she ventures first into the scurrilous world of the pamphleteers. Her personal charms are such, however, that before long she comes to the notice of the Duke of York. With her taste for luxury and power, Mary Anne, now a royal mistress, must aim higher. Her lofty connections allow her to establish a thriving trade in military commissions, provoking a scandal that rocks the government - and brings personal disgrace. A vivid portrait of overweening ambition, MARY ANNE is set during the Napoleonic Wars and based on du Maurier's own great-great- grandmother.",385,324,"8,572 follower","['Historical Fiction', 'Classics', 'Fiction', 'Historical', 'Romance', 'Gothic', 'British Literature']",304 review,385 (15%),798 (31%),976 (38%),336 (13%),65 (2%)
Terra Incognita: Travels in Antarctica,Sara Wheeler,3.85,"2,014 rating","January 1, 1996","It is the coldest, windiest, driest place on earth, an icy desert of unearthly beauty and stubborn impenetrability. For centuries, Antarctica has captured the imagination of our greatest scientists and explorers, lingering in the spirit long after their return. Shackleton called it ""the last great journey""; for Apsley Cherry-Garrard it was the worst journey in the world. This is a book about the call of the wild and the response of the spirit to a country that exists perhaps most vividly in the mind. Sara Wheeler spent seven months in Antarctica, living with its scientists and dreamers. No book is more true to the spirit of that continent--beguiling, enchanted and vast beyond the furthest reaches of our imagination. Chosen by Beryl Bainbridge and John Major as one of the best books of the year, recommended by the editors of Entertainment Weekly and the Chicago Tribune, one of the Seattle Times's top ten travel books of the year, Terra Incognita is a classic of polar literature.",384,26,124 follower,"['Travel', 'Nonfiction', 'Adventure', 'Memoir', 'Nature', 'Science', 'History']",146 review,637 (31%),685 (34%),497 (24%),138 (6%),57 (2%)
No Time to Say Goodbye: Surviving The Suicide Of A Loved One,Carla Fine,4.23,918 rating,"December 1, 1996","Suicide would appear to be the last taboo. Even incest is now discussed freely in the popular media, but the suicide of a loved one is still an act most people are unable to talk about--or even admit to their closest family and friends. This is just one of the many painful and paralyzing truths author Carla Fine discovered when her husband, a successful young physician, took his own life in December 1989. And being unable to speak openly and honestly about the cause of her pain made it all the more difficult for her to survive. With No Time to Say Goodbye, she brings suicide survival from the darkness into the light, speaking frankly and with compassion about the overwhelming feelings of confusion, guilt, shame, anger and loneliness that are shared by all survivors. Drawing on her own experience and on conversations with many other survivors--as well as on the knowledge of counselors and mental health professionals--Carla Fine offers a strong helping hand and invaluable guidance to the thousands of husbands and wives, mothers and fathers, sisters and brothers, friends and lovers who are left behind each year, struggling to make sense of an act that seems to them senseless, and to pick up the pieces of their own shattered lives. And, perhaps most important, she allows them to see that they are not alone in their feelings of grief and despair.Her resource section, listing organizations and survivor groups throughout the United States and Canada, as well as her bibliography of further reading, will, in themselves, provide invaluable information and support.",272,10,6 follower,"['Nonfiction', 'Mental Health', 'Psychology', 'Self Help', 'Death', 'Memoir', 'Research']",116 review,433 (47%),318 (34%),128 (13%),25 (2%),14 (1%)
The Ka of Gifford Hillary,Dennis Wheatley,3.74,403 rating,"January 1, 1956","Controversy rages at the Ministry of Defence. And Sir Gifford Hillary, outspoken in his views on top-secret measures to counter the threat of Soviet aggression, is partly responsible for tempers fraying.But danger and betrayal stalk closer to home. On a warm autumn night at Longshot Hall, Sir Gifford gets the shock of his life. Horrifically and inexplicably, he witnesses his own murder...Dennis Yates Wheatley (1897—1977) was an English author whose prolific output of stylish thrillers and occult novels made him one of the world's bestselling writers from the 1930s through the 1960s. His Gregory Sallust series was one of the main inspirations for Ian Fleming's James Bond stories. Born in South London, he was the eldest of three children of an upper-middle-class family, the owners of Wheatley & Son of Mayfair, a wine business. He admitted to little aptitude for schooling, and was expelled from Dulwich College. Soon after his expulsion Wheatley became a British Merchant Navy officer cadet on the training ship HMS Worcester. During the Second World War, Wheatley was a member of the London Controlling Section, which secretly coordinated strategic military deception and cover plans. His literary talents gained him employment with planning staffs for the War Office. He wrote numerous papers for the War Office, including suggestions for dealing with a German invasion of Britain. Dennis Wheatley died on 11th November 1977. During his life he wrote over 70 books and sold over 50 million copies.","PaperbackFirst published January 1, 1956",311,220 follower,"['Horror', 'Fiction', 'Fantasy', 'Occult', 'Gothic', 'Supernatural', 'Magic']",38 review,104 (25%),143 (35%),117 (29%),25 (6%),14 (3%)
Die Strudlhofstiege oder Melzer und die Tiefe der Jahre,Heimito von Doderer,3.95,360 rating,"January 1, 1951","Wien in den Jahren 1910/11 und 1923-25. Im Mittelpunkt des Geschehens steht der Amtsrat und Major a.D. Melzer, dessen Leben irgendwie immer an ihm vorbeiläuft, bis er endlich doch zu sich selbst findet. Ein Großstadtroman mit der Aura des Lebens, »so, wie es ist«.»Man müsste Heimito von Doderers Strudlhofstiege loben und preisen, bis einem die Zunge am Gaumen festklebt, bloß gebricht es an Adjektiven, die dem 1951 erschienen Roman und vor allem seiner Sprache nur annähernd angemessen wären.«--Profil",909,63,48 follower,"['Fiction', 'German Literature', 'Classics', 'Literature', 'Novels', 'Germany', 'Literary Fiction']",39 review,158 (43%),96 (26%),58 (16%),26 (7%),22 (6%)
Holy Terror: Andy Warhol Close Up,Bob Colacello,3.99,689 rating,"January 1, 1990","From Library JournalThe former editor of Andy Warhol's Interview magazine, Colacello has an insider's story to tell. This book is as bitchy and packed with names as its readers could want. The Andy Warhol Factory is described (not surprisingly) as an exploitative place where Andy got richer and richer while his drones worked harder and harder. Colacello's straightforward chronology of working and partying in Warhol's circle is tinged by his bitterness over a heavy workload and little pay at the Factory. His tone captures perfectly the self-obsessed philosophy that drove Warhol, his hangers-on, and the subculture of sex, drugs, parties, discos, and the New York art scene of the 1970s and early 1980s. Recommended for academic, art, and public libraries. Photos not seen. Previewed in Prepub Alert, LJ 2/1/90.- David Bryant, Belleville P.L., N.J.",768,33,9 follower,"['Art', 'Biography', 'Nonfiction', 'Pop Culture', 'Memoir', 'Art History', 'Cultural']",53 review,235 (34%),252 (36%),167 (24%),30 (4%),5 (<1%)
Midnight Warrior,Iris Johansen,3.89,"2,272 rating","January 1, 1994","SHE WAS A PRISONER BOUND BY DUTY AND DESIRE ...Taken as a slave, fiery, tempestuous Brynn of Falkhaar was awed by the magnificent warrior who stood before her. Known for her skills as a healer, she had been brought to his battlefield tent to save his dying friend. Yet in the days and nights ahead, the sensual conqueror made it clear she might be more than nursemaid to his soldiers. She could be the intimate plaything of his seductive desires.HE WAS A CONQUEROR FOR WHOM NOTHING WAS FORBIDDEN ...Dark, brooding, and passionate, Lord Gage Dumont was a man used to conquest. And yet with one look at the beautiful slave he'd been given as his spoils, he realized she held him prisoner. As she fought to save his friend with her healing powers, Dumont felt her fiery touch deep in his scarred soul. Though he may have already owned her body, what he wanted was her heart --- and for that he would risk everything.",356,294,"6,876 follower","['Romance', 'Historical Romance', 'Historical', 'Medieval', 'Medieval Romance', 'Historical Fiction', 'Fiction']",84 review,714 (31%),794 (34%),599 (26%),129 (5%),36 (1%)
Ishi in Two Worlds: A Biography of the Last Wild Indian in North America,Theodora Kroeber,4.09,"1,484 rating","June 1, 1961","The life story of Ishi, the last Yahi Indian, lone survivor of an exterminated tribe, is unique in the annals of North American anthropology. For more than forty years, Theodora Kroeber's biography has captivated readers. Now recent advances in technology make it possible to return to print the 1976 deluxe edition, filled with plates and historic photographs that enhance Ishi's story and bring it to life.Ishi stumbled into the twentieth century on the morning of August 29, 1911, when, desperate with hunger and terrified of the white murderers of his family, he was found in the corral of a slaughter house near Oroville, California. Finally identified as a Yahi by an anthropologist, Ishi was brought to San Francisco by Professor T. T. Waterman and lived there the rest of his life under the care and protection of Alfred Kroeber and the staff of the University of California's Museum of Anthropology.Karl Kroeber adds an informative tribute to the text, describing how the book came to be written and how Theodora Kroeber's approach to the project was a product of both her era and her special personal insight and empathy.",286,22,18 follower,"['History', 'Biography', 'Nonfiction', 'Anthropology', 'American History', 'Native Americans', 'Biography Memoir', 'History', 'Biography', 'Nonfiction', 'Anthropology', 'American History', 'Native Americans', 'Biography Memoir', 'History', 'Biography', 'Nonfiction', 'Anthropology', 'American History', 'Native Americans', 'Biography Memoir']",161 review,539 (36%),607 (40%),274 (18%),55 (3%),9 (<1%)
Nabokov's Pale Fire: The Magic of Artistic Discovery,Brian Boyd,4.28,267 rating,"January 1, 1999","Pale Fire is regarded by many as Vladimir Nabokov's masterpiece. The novel has been hailed as one of the most striking early examples of postmodernism and has become a famous test case for theories about reading because of the apparent impossibility of deciding between several radically different interpretations. Does the book have two narrators, as it first appears, or one? How much is fantasy and how much is reality? Whose fantasy and whose reality are they? Brian Boyd, Nabokov's biographer and hitherto the foremost proponent of the idea that Pale Fire has one narrator, John Shade, now rejects this position and presents a new and startlingly different solution that will permanently shift the nature of critical debate on the novel. Boyd argues that the book does indeed have two narrators, Shade and Charles Kinbote, but reveals that Kinbote had some strange and highly surprising help in writing his sections. In light of this interpretation, Pale Fire now looks distinctly less postmodern--and more interesting than ever.In presenting his arguments, Boyd shows how Nabokov designed Pale Fire for readers to make surprising discoveries on a first reading and even more surprising discoveries on subsequent readings by following carefully prepared clues within the novel. Boyd leads the reader step-by-step through the book, gradually revealing the profound relationship between Nabokov's ethics, aesthetics, epistemology, and metaphysics. If Nabokov has generously planned the novel to be accessible on a first reading and yet to incorporate successive vistas of surprise, Boyd argues, it is because he thinks a deep generosity lies behind the inexhaustibility, complexity, and mystery of the world. Boyd also shows how Nabokov's interest in discovery springs in part from his work as a scientist and scholar, and draws comparisons between the processes of readerly and scientific discovery.This is a profound, provocative, and compelling reinterpretation of one of the greatest novels of the twentieth century.",320,64,48 follower,"['Nonfiction', 'Criticism', 'Literary Criticism', 'Literature', 'Art', 'Russia']",29 review,120 (44%),108 (40%),34 (12%),4 (1%),1 (<1%)
