title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,genres,author_followers,no_of_reviews,no_of_books_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
The Riders,Tim Winton,3.62,"6,837 rating","January 1, 1994","Fred Scully waits at the arrival gate of an international airport, anxious to see his wife and seven-year-old daughter. After two years in Europe they are finally settling down. He sees a new life before them, a stable outlook, and a cottage in the Irish countryside that he's renovated by hand. He's waited, sweated on this reunion. He does not like to be alone - he's that kind of man. The flight lands, the glass doors hiss open, and Scully's life begins to go down in flames.",377,"['Fiction', 'Australia', 'Ireland', 'Mystery', 'Contemporary', 'Novels', 'Literature']","1,964 follower",546 review,83,270 (3%),631 (9%),"1,959 (28%)","2,561 (37%)","1,416 (20%)"
The Railway Children,E. Nesbit,4.02,"59,742 rating","January 1, 1906","In this much-loved children's classic first published in 1906, the comfortable lives of three well-mannered siblings are greatly altered when, one evening, two men arrive at the house and take their father away. With the family's fortunes considerably reduced in his absence, the children and their mother are forced to live in a simple country cottage near a railway station. There the young trio—Roberta, Peter, and young Phyllis—befriend the porter and station master.The youngsters' days are filled with adventure and excitement, including their successful attempt to avert a horrible train disaster; but the mysterious disappearance of their father continues to haunt them.The solution to that painful puzzle and many other details and events of the children's lives come to vivid life in this perennial favorite, a story that has captivated generations of readers and, more recently, delighted television and movie audiences. In this inexpensive, unabridged edition, it will charm a whole new audience of young readers with its warmth and appeal.",188,"['Classics', 'Childrens', 'Fiction', 'Middle Grade', 'Historical Fiction', 'Adventure', 'Young Adult']",916 follower,"2,469 review",830,"1,138 (1%)","2,623 (4%)","12,653 (21%)","20,763 (34%)","22,565 (37%)"
Angelique,Anne Golon,4.18,"2,966 rating","January 1, 1956","The story begins in 1648 during a time of insurrection, terror and revolt in a divided France. Angélique de Sance de Monteloup, a vibrant twelve-year-old tomboy, is the daughter of a simple nobleman impoverished by taxes and other burdens.Angélique joins the local peasant children in their games, ranges the ancient forests and swamps of Poitou and when bandits visit destruction and rapine on the humble villagers, our heroine's leadership qualities come to the fore for the first time.The book also tells of Angélique's first meetings with two crucial characters - King Louis XIV of France and Joffrey. One of the scenes in the book sees Angélique and Joffrey attend the wedding of Louis XIV and his queen, Marie-Therese.As Angélique and Joffrey tangle with powerful forces, it is a classic and gripping adventure story, but we also learn about the couple's tender and often unpredictable relationship.The climax of the book is a decision by the French court which has an impact on the whole of the rest of the story - destined to move to the dangerous streets of Paris for the second book...",810,"['Historical Fiction', 'Romance', 'Historical', 'Fiction', 'France', 'Historical Romance', 'Adventure', 'Historical Fiction', 'Romance', 'Historical', 'Fiction', 'France', 'Historical Romance', 'Adventure', 'Historical Fiction', 'Romance', 'Historical', 'Fiction', 'France', 'Historical Romance', 'Adventure']",164 follower,185 review,239,45 (1%),115 (3%),496 (16%),907 (30%),"1,403 (47%)"
The Dead Father,Donald Barthelme,3.77,"2,242 rating","January 1, 1975","The Dead Father is a gargantuan half-dead, half-alive, part mechanical, wise, vain, powerful being who still has hopes for himself--even while he is being dragged by means of a cable toward a mysterious goal. In this extraordinary novel, marked by the imaginative use of language that influenced a generation of fiction writers, Donald Barthelme offered a glimpse into his fictional universe. As Donald Antrim writes in his introduction, ""Reading The Dead Father , one has the sense that its author enjoys an almost complete artistic freedom . . . a permission to reshape, misrepresent, or even ignore the world as we find it . . . Laughing along with its author, we escape anxiety and feel alive.""",177,"['Fiction', 'Novels', 'Literature', 'American', '20th Century', 'Fantasy', 'Literary Fiction', 'Fiction', 'Novels', 'Literature', 'American', '20th Century', 'Fantasy', 'Literary Fiction', 'Fiction', 'Novels', 'Literature', 'American', '20th Century', 'Fantasy', 'Literary Fiction']",714 follower,186 review,133,84 (3%),174 (7%),570 (25%),761 (33%),653 (29%)
The Ordeal of Gilbert Pinfold,Evelyn Waugh,3.45,"1,348 rating","July 1, 1957","The Ordeal of Gilbert Pinfold remains one of Eveyln Waugh's most remarkable and self-revealing works. Three years before he wrote it, Waugh suffered ""a brief bout of hallucination"" similar to the one that besets Mr. Pinfold in this wildly witty and occasionally frightening novel.A successful, middle-aged novelist with a case of ""bad nerves,"" Gilbert Pinfold embarks on a recuperative trip to Ceylon. Almost as soon as the gangplank lifts, Mr. Pinfold hears sounds coming out of the ceiling of his cabin: wild jazz bands, barking dogs, loud revival meetings. He can only infer that somewhere concealed in his room an erratic public-address system is letting him hear everything that goes on aboard ship. And then, instead of just sounds, he hears voices. But they are not just any voices. These voices are talking, in the most frightening intimate way, about him!",224,"['Fiction', 'Classics', 'Literature', '20th Century', 'British Literature', 'Literary Fiction', 'Psychology']","2,490 follower",133 review,308,31 (2%),152 (11%),527 (39%),456 (33%),182 (13%)
Die Physiker,Friedrich Dürrenmatt,3.90,"33,977 rating","January 1, 1962","This is an alternate cover edition for ISBN 9783257230475Möbius, ein umworbener weil genialer Physiker, will eine gefährliche Verstrickung von Wissenschaft und Politik verhindern und täuscht darum vor, geisteskrank zu sein, damit er in einer Klinik verschwinden und die gewünschte Kooperation (oder Kollaboration) mit der Macht boykottieren kann. Aber der geschützte Raum ist nicht dicht: Zwei Grossmächte haben Agenten in die Klinik eingeschleust, auch diese täuschen Krankheiten vor. Der Fluchtort ist zur Falle geworden.",95,"['Classics', 'Plays', 'German Literature', 'Fiction', 'Drama', 'School', 'Read For School']",890 follower,"1,048 review",337,825 (2%),"2,158 (6%)","7,206 (21%)","13,100 (38%)","10,688 (31%)"
Il visconte dimezzato,Italo Calvino,3.82,"25,938 rating","January 1, 1952","[Trovi un'edizione con copertina alternativa per questo ISBN qui]Il narratore rievoca la storia dello zio, Medardo di Torralba, che, combattendo in Boemia contro i Turchi, è tagliato a metà da un colpo di cannone. Le due parti del corpo, perfettamente conservate, mostrano diversi caratteri: la prima metà mostra un'indole crudele, infierisce sui sudditi e insidia la bella Pamela, mentre l'altra metà, quella buona, si prodiga per riparare ai misfatti dell'altra e chiede in sposa Pamela. I due viscconti dimezzati si sfidano a duello e nello scontro cominciano a sanguinare nelle rispettive parti monche. Un medico ne approfitta per riunire le due metà del corpo e restituire alla vita un visconte intero, in cui si mescolano male e bene.",143,"['Classics', 'Fiction', 'Fantasy', 'Italian Literature', 'Italy', 'Novels', 'Literature']","7,822 follower","1,345 review",479,402 (1%),"1,539 (5%)","6,817 (26%)","10,783 (41%)","6,397 (24%)"
The Secret Adversary,Agatha Christie,3.85,"61,880 rating","January 1, 1922","Tommy Beresford and Prudence 'Tuppence' Cowley are young, in love… and flat broke. Just after Great War, there are few jobs available and the couple are desperately short of money. Restless for excitement, they decide to embark on a daring business scheme: Young Adventurers Ltd.—""willing to do anything, go anywhere."" Hiring themselves out proves to be a smart move for the couple. In their first assignment for the mysterious Mr. Whittingtont, all Tuppence has to do in their first job is take an all-expense paid trip to Paris and pose as an American named Jane Finn. But with the assignment comes a bribe to keep quiet, a threat to her life, and the disappearance of her new employer. Now their newest job are playing detective.Where is the real Jane Finn? The mere mention of her name produces a very strange reaction all over London. So strange, in fact, that they decided to find this mysterious missing lady. She has been missing for five years. And neither her body nor the secret documents she was carrying have ever been found. Now post-war England's economic recovery depends on finding her and getting the papers back. But he two young working undercover for the British ministry know only that her name and the only photo of her is in the hands of her rich American cousin. It isn’t long before they find themselves plunged into more danger than they ever could have imagined—a danger that could put an abrupt end to their business… and their lives.",266,"['Mystery', 'Fiction', 'Classics', 'Crime', 'Audiobook', 'Mystery Thriller', 'Thriller']",64.5k follower,"5,083 review","4,158",853 (1%),"3,449 (5%)","16,860 (27%)","23,820 (38%)","16,898 (27%)"
The Twelve Chairs,Ilya Ilf,4.40,"23,103 rating","January 1, 1928",English (translation)Original Russian,395,"['Fiction', 'Russia', 'Classics', 'Russian Literature', 'Humor', 'Adventure', 'Literature', 'Fiction', 'Russia', 'Classics', 'Russian Literature', 'Humor', 'Adventure', 'Literature', 'Fiction', 'Russia', 'Classics', 'Russian Literature', 'Humor', 'Adventure', 'Literature', 'Fiction', 'Russia', 'Classics', 'Russian Literature', 'Humor', 'Adventure', 'Literature', 'Fiction', 'Russia', 'Classics', 'Russian Literature', 'Humor', 'Adventure', 'Literature']",195 follower,671 review,87,207 (<1%),609 (2%),"2,544 (11%)","6,165 (26%)","13,578 (58%)"
Remembrance of Things Past: Volume II - The Guermantes Way & Cities of the Plain,Marcel Proust,4.50,"1,164 rating","January 1, 1922",Including THE GUERMANTES WAY and CITIES OF THE PLAIN.,1216,"['Fiction', 'Classics', 'Literature', 'France', 'Novels', 'French Literature', 'Philosophy', 'Fiction', 'Classics', 'Literature', 'France', 'Novels', 'French Literature', 'Philosophy', 'Fiction', 'Classics', 'Literature', 'France', 'Novels', 'French Literature', 'Philosophy', 'Fiction', 'Classics', 'Literature', 'France', 'Novels', 'French Literature', 'Philosophy', 'Fiction', 'Classics', 'Literature', 'France', 'Novels', 'French Literature', 'Philosophy']","6,396 follower",67 review,"1,918",12 (1%),22 (1%),96 (8%),272 (23%),762 (65%)
"Mister God, This is Anna",Fynn,4.13,"6,610 rating","January 1, 1974","THE TOUCHING TRUE STORY THAT WON THE HEARTS OF MILLIONS OF READERS AROUND THE WORLD!Anna was only four years old when Fynn found her on London's fog-shrouded docks. He took her back to his mother's home, and from that first moment, their times together were filled with delight and discovery. Anna had an astonishing ability to ask--and to answer--life's largest questions. Her total openness and honesty amazed all who knew her. She seemed to understand with uncanny certainty the purpose of being, the essence of feeling, the beauty of love. You see, Anna had a very special friendship with Mister God. . . .",298,"['Fiction', 'Religion', 'Spirituality', 'Philosophy', 'Christian', 'Classics', 'Young Adult', 'Fiction', 'Religion', 'Spirituality', 'Philosophy', 'Christian', 'Classics', 'Young Adult', 'Fiction', 'Religion', 'Spirituality', 'Philosophy', 'Christian', 'Classics', 'Young Adult']",318 follower,599 review,14,181 (2%),346 (5%),"1,065 (16%)","1,850 (27%)","3,168 (47%)"
First King of Shannara,Terry Brooks,3.98,"30,133 rating","March 21, 1996","Outcast by the Druids for his devotion to the forbidden art of Magic, Bremen discovers that dark forces are on the move, led by the Warlock Lord, Brona. If the peoples of the Four Lands are to escape eternal subjugation, they must unite. But they need a weapon, something so powerful that the evil Magic of Brona will fail before its might.",489,"['Fantasy', 'Fiction', 'Epic Fantasy', 'Science Fiction Fantasy', 'High Fantasy', 'Adventure', 'Magic']",77.4k follower,651 review,420,489 (1%),"1,473 (4%)","6,888 (22%)","10,692 (35%)","10,591 (35%)"
My Last Sigh,Luis Buñuel,4.32,"3,379 rating","January 1, 1982","This long out-of-paint autobiography provides insight into the genesis of Bunuel's films and conveys his frank opinions on dwarves, Catholicism, the Marquis de Sade, food, and smoking, not to mention his recipe for a good dry martini!",268,"['Film', 'Biography', 'Nonfiction', 'Memoir', 'Art', 'Autobiography', 'Spain', 'Film', 'Biography', 'Nonfiction', 'Memoir', 'Art', 'Autobiography', 'Spain', 'Film', 'Biography', 'Nonfiction', 'Memoir', 'Art', 'Autobiography', 'Spain']",162 follower,299 review,86,15 (<1%),68 (2%),395 (11%),"1,227 (36%)","1,674 (49%)"
Stormbreaker,Anthony Horowitz,3.98,"101,516 rating","September 4, 2000","They told him his uncle died in an accident. He wasn't wearing his seatbelt, they said. But when fourteen-year-old Alex finds his uncle's windshield riddled with bullet holes, he knows it was no accident. What he doesn't know yet is that his uncle was killed while on a top-secret mission. But he is about to, and once he does, there is no turning back. Finding himself in the middle of terrorists, Alex must outsmart the people who want him dead. The government has given him the technology, but only he can provide the courage. Should he fail, every child in England will be murdered in cold blood.",256,"['Young Adult', 'Fiction', 'Adventure', 'Mystery', 'Thriller', 'Action', 'Espionage']",17.2k follower,"6,299 review",426,"1,356 (1%)","5,168 (5%)","22,784 (22%)","36,974 (36%)","35,234 (34%)"
Rapture in Death,J.D. Robb,4.28,"49,674 rating","October 1, 1996","They died with smiles on their faces. Three apparent suicides: a brilliant engineer, an infamous lawyer, and a controversial politician. Three strangers with nothing in common - and no obvious reasons for killing themselves. Lieutenant Eve Dallas found the deaths suspicious. And her instincts paid off when autopsies revealed small burns on the brains of the victims.Was it a genetic abnormality or a high-tech method of murder? Eve's investigation turned to the provocative world of virtual-reality games - where the same techniques used to create joy and desire could also prompt the mind to become the weapon of its own destruction...",9,"['Mystery', 'Romance', 'Crime', 'Romantic Suspense', 'Fiction', 'Futuristic', 'Suspense', 'Mystery', 'Romance', 'Crime', 'Romantic Suspense', 'Fiction', 'Futuristic', 'Suspense', 'Mystery', 'Romance', 'Crime', 'Romantic Suspense', 'Fiction', 'Futuristic', 'Suspense']",33.5k follower,"1,895 review",254,198 (<1%),834 (1%),"7,225 (14%)","18,048 (36%)","23,369 (47%)"
Moominpappa at Sea,Tove Jansson,4.24,"10,032 rating","January 1, 1965","When the Moomin family members need a change of scenery, they decide to take up residence in a lighthouse. As they discover their new home, the family also discover surprising, and wonderfully funny, new things about themselves.",228,"['Fantasy', 'Fiction', 'Childrens', 'Classics', 'Finnish Literature', 'Scandinavian Literature', 'Adventure', 'Fantasy', 'Fiction', 'Childrens', 'Classics', 'Finnish Literature', 'Scandinavian Literature', 'Adventure', 'Fantasy', 'Fiction', 'Childrens', 'Classics', 'Finnish Literature', 'Scandinavian Literature', 'Adventure']","3,320 follower",636 review,763,48 (<1%),260 (2%),"1,516 (15%)","3,586 (35%)","4,622 (46%)"
Lateral Thinking,Bono Edward De,3.77,"4,313 rating","January 1, 1970","THE classic work about improving creativity from world-renowned writer and philosopher Edward de Bono. In schools we are taught to meet problems head-on: what Edward de Bono calls 'vertical thinking'. This works well in simple situations - but we are at a loss when this approach fails. What then? Lateral thinking is all about freeing up your imagination. Through a series of special techniques, in groups or working alone, Edward de Bono shows how to stimulate the mind in new and exciting ways. Soon you will be looking at problems from a variety of angles and offering up solutions that are as ingenious as they are effective. You will become much more productive and a formidable thinker in your own right. 'If more bankers and traders had read Lateral Thinking and applied the ideas of Edward de Bono to their own narrow definitions of risk, reward and human expectations, I suspect we would be in much better shape than we are'Sir Richard Branson Edward de Bono invented the concept of lateral thinking. A world-renowned writer and philosopher, he is the leading authority in the field of creative thinking and the direct teaching of thinking as a skill. Dr de Bono has written more than 60 books, in 40 languages, with people now teaching his methods worldwide. He has chaired a special summit of Nobel Prize laureates, and been hailed as one of the 250 people who have contributed most to mankind. Dr de Bono's titles include classic bestsellers such as Six Thinking Hats, Lateral Thinking, I Am Right You Are Wrong, Teach Yourself How To Think, Teach Your Child How To Think, and Simplicity - all now re-issued by Penguin. www.edwdebono.com","PaperbackFirst published January 1, 1970","['Psychology', 'Nonfiction', 'Self Help', 'Business', 'Philosophy', 'Design', 'Personal Development']",8 follower,280 review,21,104 (2%),347 (8%),"1,144 (26%)","1,569 (36%)","1,149 (26%)"
The Path to Power,Robert A. Caro,4.39,"23,682 rating","November 21, 1982","The Years of Lyndon Johnson is the political biography of our time. No president—no era of American politics—has been so intensively and sharply examined at a time when so many prime witnesses to hitherto untold or misinterpreted facets of a life, a career, and a period of history could still be persuaded to speak. The Path to Power, Book One, reveals in extraordinary detail the genesis of the almost superhuman drive, energy, and urge to power that set LBJ apart. Chronicling the startling early emergence of Johnson’s political genius, it follows him from his Texas boyhood through the years of the Depression in the Texas hill Country to the triumph of his congressional debut in New Deal Washington, to his heartbreaking defeat in his first race for the Senate, and his attainment, nonetheless, of the national power for which he hungered. We see in him, from earliest childhood, a fierce, unquenchable necessity to be first, to win, to dominate—coupled with a limitless capacity for hard, unceasing labor in the service of his own ambition. Caro shows us the big, gangling, awkward young Lyndon—raised in one of the country’s most desperately poor and isolated areas, his education mediocre at best, his pride stung by his father’s slide into failure and financial ruin—lunging for success, moving inexorably toward that ultimate “impossible” goal that he sets for himself years before any friend or enemy suspects what it may be.We watch him, while still at college, instinctively (and ruthlessly) creating the beginnings of the political machine that was to serve him for three decades. We see him employing his extraordinary ability to mesmerize and manipulate powerful older men, to mesmerize (and sometimes almost enslave) useful subordinates. We see him carrying out, before his thirtieth year, his first great political inspiration: tapping-and becoming the political conduit for-the money and influence of the new oil men and contractors who were to grow with him to immense power. We follow, close up, the radical fluctuations of his relationships with the formidable “Mr. Sam” Rayburn (who loved him like a son and whom he betrayed) and with FDR himself. And we follow the dramas of his emotional life-the intensities and complications of his relationships with his family, his contemporaries, his girls; his wooing and winning of the shy Lady Bird; his secret love affair, over many years, with the mistress of one of his most ardent and generous supporters . . .  Johnson driving his people to the point of exhausted tears, equally merciless with himself . . . Johnson bullying, cajoling, lying, yet inspiring an amazing loyalty . . . Johnson maneuvering to dethrone the unassailable old Jack Garner (then Vice President of the United States) as the New Deal’s “connection” in Texas, and seize the power himself . . . Johnson raging . . . Johnson hugging . . . Johnson bringing light and, indeed, life to the worn Hill Country farmers and their old-at-thirty wives via the district’s first electric lines. We see him at once unscrupulous, admirable, treacherous, devoted. And we see the country that bred him: the harshness and “nauseating loneliness” of the rural life; the tragic panorama of the Depression; the sudden glow of hope at the dawn of the Age of Roosevelt. And always, in the foreground, on the move, LBJ. Here is Lyndon Johnson—his Texas, his Washington, his America—in a book that brings us as close as we have ever been to a true perception of political genius and the American political process.",882,"['Biography', 'History', 'Nonfiction', 'Politics', 'American History', 'Presidents', 'Biography Memoir']","2,370 follower","1,370 review",45,686 (2%),754 (3%),"1,974 (8%)","5,537 (23%)","14,731 (62%)"
Dalva,Jim Harrison,4.17,"4,048 rating","January 1, 1988","From her home on the California coast, Dalva hears the broad silence of the Nebraska prairie where she was born and longs for the son she gave up for adoption years before. Beautiful, fearless, tormented, at forty-five she has lived a life of lovers and adventures. Now, Dalva begins a journey that will take her back to the bosom of her family, to the half-Sioux lover of her youth, and to a pioneering great-grandfather whose journals recount the bloody annihilation of the Plains Indians. On the way, she discovers a story that stretches from East to West, from the Civil War to Wounded Knee and Vietnam -- and finds the balm to heal her wild and wounded soul.",324,"['Fiction', 'Historical Fiction', 'Novels', 'Literary Fiction', 'The United States Of America', 'Westerns', 'Literature']","1,297 follower",340 review,161,65 (1%),169 (4%),612 (15%),"1,382 (34%)","1,820 (44%)"
