title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,genres,author_followers,no_of_reviews,no_of_books_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
The Rotten Romans,Terry Deary,4.01,"3,692 rating","January 1, 1994","Introduces lesser-known facts about daily life in ancient Rome, such as what the Britons used to make their hair spiky and why rich Romans needed vomitoriums",128,"['History', 'Nonfiction', 'Childrens', 'Humor', 'Historical', 'Middle Grade', 'Comedy', 'History', 'Nonfiction', 'Childrens', 'Humor', 'Historical', 'Middle Grade', 'Comedy', 'History', 'Nonfiction', 'Childrens', 'Humor', 'Historical', 'Middle Grade', 'Comedy']",723 follower,163 review,539,36 (<1%),140 (3%),848 (22%),"1,385 (37%)","1,283 (34%)"
Intervenţionismul: o analiză economică,Ludwig von Mises,4.37,132 rating,"November 1, 1941",„Scopul acestui eseu este acela de a analiza din punct de vedere economic problemele generate de intervenţia statului în lumea afacerilor. Consecinţele politice şi sociale ale acestei politici a intervenţionismului1 nu pot fi înţelese şi judecate decât pe baza unui studiu referitor la efectele şi implicaţiile sale economice.” (Ludwig von Mises).,144,"['Economics', 'Politics', 'Philosophy', 'Nonfiction', 'Economics', 'Politics', 'Philosophy', 'Nonfiction', 'Economics', 'Politics', 'Philosophy', 'Nonfiction']","1,051 follower",7 review,223,2 (1%),4 (3%),14 (10%),35 (26%),77 (58%)
Big Fish,Daniel Wallace,3.68,"22,877 rating","October 2, 1998","""On one of our last car trips, near the end of my father's life as a man, we stopped by a river, and we took a walk to its banks, where we sat in the shade of an old oak tree ... Suddenly he took a deep breath and said, 'This reminds me...' ""In his prime, Edward Bloom was an extraordinary man. He could outrun anybody. He never missed a day of school. He saved lives and tamed giants. Animals loved him, people loved him, women loved him. He knew more jokes than any man alive. At least that’s what he told his son, William. But now Edward Bloom is dying, and William wants desperately to know the truth about his elusive father — this indefatigable teller of tall tales — before it’s too late. So, using the few facts he knows, William re-creates Edward’s life in a series of legends and myths, through which he begins to understand his father’s great feats, and his great failings. The result is hilarious and wrenching, tender and outrageous.Big Fish is the story of this man's life, told from father to son, some fact, some fiction. But the result is a powerful and transformative act of storytelling, and one way to make amends with the bridge between life and death.",192,"['Fiction', 'Fantasy', 'Magical Realism', 'Contemporary', 'Adult Fiction', 'Humor', 'Adult']",411 follower,"2,341 review",76,443 (1%),"2,011 (8%)","7,033 (30%)","8,338 (36%)","5,052 (22%)"
You're All Alone,Fritz Leiber,3.81,150 rating,"January 1, 1972","Contents:· You’re All Alone · n. Fantastic Adventures Jul ’50 · Four Ghosts in Hamlet · nv F&SF Jan ’65 · The Creature from Cleveland Depths · na Galaxy Dec ’62What if all the world were a clockwork mechanism, and its people merely toys? All are trapped within the mechanism, but a few learn the secret of escape from their programmed lives. Carr Mackay was one such—""awakened"" one day by a chance meeting with Jane, an-other ""living"" person. He soon learned, with her help, to enjoy the freedom of invisibility—for the machine kept going as if he were in his proper place.But they were not alone. There were other living souls sharing their special world; others who enjoyed the power even more than the freedom. They would stop at nothing to remain invulnerable—and Carr and Jane had no one to turn to for help.",191,"['Science Fiction', 'Horror', 'Fantasy', 'Fiction', 'Short Stories', 'Dystopia', 'Science Fiction', 'Horror', 'Fantasy', 'Fiction', 'Short Stories', 'Dystopia', 'Science Fiction', 'Horror', 'Fantasy', 'Fiction', 'Short Stories', 'Dystopia']",944 follower,20 review,"1,126",2 (1%),9 (6%),37 (24%),69 (46%),33 (22%)
Titan,John Varley,3.95,"8,904 rating","March 1, 1979","When Cirrocco Jones, captain of the spaceship Ringmaster, and her crew are captured by Gaea, a planet-sized creature that orbits around Saturn, they find themselves inside a bizarre world inhabited by centaurs, harpies, and constantly shifting environments.",309,"['Science Fiction', 'Fiction', 'Fantasy', 'Science Fiction Fantasy', 'Aliens', 'Space Opera', 'Audiobook']",552 follower,383 review,215,143 (1%),481 (5%),"2,038 (22%)","3,284 (36%)","2,958 (33%)"
The Women on the Porch,Caroline Gordon,3.46,79 rating,"January 1, 1943","One of the most remarkable novels ever written by an American woman about women. First published in 1943, the story follows a woman's flight from Manhattan and her unfaithful husband to her rural ancestral home. Southern Classics Series.",300,"['Fiction', 'Historical Fiction', 'Womens', 'American', 'Southern', 'Womens Fiction']",19 follower,19 review,42,3 (3%),10 (12%),29 (36%),22 (27%),15 (18%)
Journey into the Whirlwind,Eugenia Semyonovna Ginzburg,4.39,"4,189 rating","418 pages, PaperbackPublished November 4, 2002","Eugenia Ginzburg's critically acclaimed memoir of the harrowing eighteen years she spent in prisons and labor camps under Stalin's ruleBy the late 1930s, Eugenia Semyonovna Ginzburg had been a loyal and very active member of the Communist Party for many years. Yet like millions of others who suffered during Stalin's reign of terror, she was arrested—on trumped-up charges of being a Trotskyist terrorist and counter-revolutionary—and sentenced to prison. With an amazing eye for detail, profound strength, and an indefatigable spirit, Ginzburg recounts the years, days, and minutes she endured in prisons and labor camps, including two years of solitary confinement. A classic account of survival, Journey into the Whirlwind is considered one of the most important documents of Stalin's regime ever written.",418,"['History', 'Nonfiction', 'Russia', 'Memoir', 'Biography', 'Russian Literature', 'Russian History', 'History', 'Nonfiction', 'Russia', 'Memoir', 'Biography', 'Russian Literature', 'Russian History', 'History', 'Nonfiction', 'Russia', 'Memoir', 'Biography', 'Russian Literature', 'Russian History', 'History', 'Nonfiction', 'Russia', 'Memoir', 'Biography', 'Russian Literature', 'Russian History', 'History', 'Nonfiction', 'Russia', 'Memoir', 'Biography', 'Russian Literature', 'Russian History']",3 follower,309 review,7,32 (<1%),67 (1%),436 (10%),"1,355 (32%)","2,299 (54%)"
All of an Instant,Richard Garfinkle,3.83,105 rating,"November 2, 1999","Humanity has discovered an existence outside of Time, the Instant, from which all events, past and future, can be controlled, not realizing that the Instant also serves as a battleground for forces that would control all of reality.",384,"['Science Fiction', 'Time Travel', 'Fiction', 'Speculative Fiction', 'Fantasy']",18 follower,15 review,14,4 (3%),11 (10%),23 (21%),28 (26%),39 (37%)
Wheels of Terror,Sven Hassel,4.03,"2,681 rating","January 1, 1958","The best-selling military writer returns to his comrades in 27th penal battalion, offering another gritty, realistic view of the ordinary soldier in wartime. Now stationed at the Russian Front, and equipped with armored vehicles, Sven Hassel's band of warriors from the German army gird for the next battles. Caught between the insane orders of the Nazi high command and the overwhelming numbers of Russian soldiers, they prepare to fight on nonetheless--and will do anything to survive the inferno. A remorseless ride through a man-made hell.",360,"['War', 'Fiction', 'Historical Fiction', 'World War II', 'Military Fiction', 'Action', 'Literature']",309 follower,75 review,78,28 (1%),110 (4%),569 (21%),"1,022 (38%)",952 (35%)
Piranha to Scurfy: And Other Stories,Ruth Rendell,3.69,667 rating,"January 1, 2000","Nine deliciously frightening and exquisitely crafted tales of psychological terror from Ruth Rendell.A self-appointed critic reads books only to catch out their errors of fact and usage, which he points out to their authors in vicious Then one day he comes upon a book that attacks him . An elderly woman finally avenges herself on the man who raped her sixty years before. An idyllic village in the English countryside offers newcomers its own peculiar kind of hospitality and exacts a terrible price on those who reject it. Delivering high-voltage shocks with the elegance of a Henry James, Piranha to Scurfy is further evidence of Ruth Rendell’s mastery of any form she puts her hand to.",224,"['Short Stories', 'Mystery', 'Fiction', 'Crime', 'Mystery Thriller', 'British Literature', 'Horror']","1,514 follower",75 review,454,6 (<1%),53 (7%),217 (32%),254 (38%),137 (20%)
