title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,no_of_books_by_author,author_followers,genres,no_of_reviews,five_star_ratings,four_star_ratings,three_star_ratings,two_star_ratings,one_star_ratings
The Bridesmaid,Ruth Rendell,3.63,"2,256 rating","January 1, 1989","When Philip Wardman's feminine ideal, a Greek goddess, appears in the flesh as Senta Pelham, Philip thinks he has found true love. But darker forces are at work, and Senta is led to propose that Philip prove his love by committing murder.",259,454,"1,514 follower","['Mystery', 'Fiction', 'Crime', 'Thriller', 'Suspense', 'Psychological Thriller', 'British Literature']",195 review,494 (21%),807 (35%),666 (29%),214 (9%),75 (3%)
The Casting of Bells,Jaroslav Seifert,3.74,39 rating,"August 1, 1967",This is Seifert's first collection published in English in the U.S.A. (translated from the Czech).,64,126,67 follower,"['Poetry', 'Poetry', 'Poetry', 'Poetry', 'Poetry']",8 review,9 (23%),14 (35%),13 (33%),3 (7%),0 (0%)
Standing for Something: 10 Neglected Virtues That Will Heal Our Hearts and Homes,Gordon B. Hinckley,4.60,"14,421 rating","February 22, 2000","In this national bestseller, the president of The Church of Jesus Christ of Latter-day Saints, Gordon B. Hinckley, has created a classic look at the values that can change our world--and how to stand up for them. Drawing on anecdotes from his much-admired life of faith and service, as well as examples from American culture today, he examines ten virtues that have always illuminated the path to a better world: love, honesty, morality, civility, learning, forgiveness and mercy, thrift and industry, gratitude, optimism, and faith. He then shows how the two guardians of virtue--marriage and the family--can keep us on that path, even in difficult times. Standing for Something is an inspiring blueprint for what we all can do--as individuals, as a nation, and as a world community--to rediscover the values and virtues that have historically made us strong and that will lead us to a brighter future.",256,97,348 follower,"['Religion', 'Nonfiction', 'Lds', 'Church', 'Self Help', 'Inspirational', 'Spirituality']",768 review,"10,401 (72%)","2,810 (19%)",844 (5%),193 (1%),173 (1%)
After the Night,Linda Howard,4.06,"25,687 rating","December 1, 1995","FAITH DEVLIN: A poor, outcast child in Prescott, Louisiana, she'd always adored the town's golden boy from afar. But he called her white trash that sultry Southern night when his rich, respected father disappeared, along with her pretty Mom. Now Faith wanted to hate Gray Rouillard...not to feel a powerful surge of desire. But she couldn't quench her passion, any more than she could hide the truth about the past she had waited so long to unravel. GRAY ROUILLARD: Even when he raised hell, he did it with style. Reckless, charming, and backed by Rouillard money, Gray controlled the town of Prescott -- and Devlin was a name he never wanted to hear again. But when he gazed at Faith Devlin, all he saw was a swirl of tangled sheets and her silken flesh beneath him. To care for her was impossible, unthinkable...because Gray Rouillard planned to use all his power to ruin her.",352,279,"6,852 follower","['Romance', 'Contemporary Romance', 'Romantic Suspense', 'Contemporary', 'Suspense', 'Mystery', 'Adult']","1,569 review","10,308 (40%)","8,969 (34%)","4,644 (18%)","1,232 (4%)",534 (2%)
The Bum's Rush,G.M. Ford,3.98,"1,341 rating","May 1, 1997","Packed with all the outrageous shenanigans that quickly marked Who in Hell is Wanda Fuca? and Cast in Stone as two of the most original mysteries in years, G.M. Ford crafts a devilishly funny and bat-out-of-hell paced novel featuring his smart-aleck yet irrepressible Seattle-based p.i., Leo Waterman. Nobody loves you when you're down and out--except maybe Leo Waterman. As a man who has transformed a gaggle of residentially challenged devotees of cheap alcohol into a crack surveillance team, Leo has a soft spot for society's downtrodden. When a homeless woman says she's the mother of a deceased rock idol, Leo takes it upon himself to investigate the lady's claim, thereby embroiling the Boys, his dissolute deputies, and his own already bruised body in a high speed, life-threatening pursuit of the truth.",320,28,222 follower,"['Mystery', 'Fiction', 'Thriller', 'Crime', 'Detective', 'Humor']",62 review,418 (31%),549 (40%),316 (23%),48 (3%),10 (<1%)
Felicity: An American Girl,Valerie Tripp,4.04,"7,328 rating","January 1, 1992","Felicity Merriman is a spunky, spritely girl growing up in Virginia in 1774, just before the Revolutionary War. Felicity's stories tell of the adventures of this spirited girl, who grows impatient doing the ""sitting down kinds of things"" that colonial girls are expected to do. Felicity much prefers to be outdoors, especially riding horses In her stories, Felicity learns about responsibility and loyalty -- to her family, her friends, and her new country -- and what it means to be truly free.The perfect way to learn about Felicity is with a complete set of her six books in an attractive slipcase.",412,254,370 follower,"['Historical Fiction', 'Childrens', 'Fiction', 'Historical', 'Middle Grade', 'Young Adult', 'Juvenile']",216 review,"3,009 (41%)","2,181 (29%)","1,676 (22%)",320 (4%),142 (1%)
Open Boat,Stephen Crane,3.65,"4,453 rating","January 1, 1897",Four men struggle for survival after escaping from a sinking ship and into a small open boat,64,"1,781",746 follower,"['Short Stories', 'Classics', 'Fiction', 'American', 'School', 'Literature', 'Read For School']",330 review,"1,028 (23%)","1,506 (33%)","1,357 (30%)",439 (9%),123 (2%)
The Silver Branch,Rosemary Sutcliff,3.94,"2,729 rating","January 1, 1957","Intrigue, plotting, and battles in the second of Rosemary Sutcliff's best-selling trilogy which began with The Eagle of the NinthViolence and unrest are sweeping through Roman Britain. Justin and Flavius find themselves caught up in the middle of it all when they discover a plot to overthrow the Emperor.In fear for their lives they gather together a tattered band of men and lead them into the thick of battle, to defend the honour of Rome. But will they be in time to save the Emperor?Rosemary Sutcliff's books about Roman Britain have won much acclaim and the first in the trilogy, The Eagle of the Ninth, has now sold over a million copies worldwide. The author writes with such passion and with such attention to detail that the Roman age is instantly brought to life and stays with the reader long after the last page has been turned.Features Rosemary Sutcliff is the acknowledged master of children's historical storytelling Award-winning author has won Carnegie Medal and has also been awarded the OBE and the CBE Historical fiction is currently enjoying a huge amount of popularity Great book for boys and girls alike Beautiful package with original black and white artwork throughout by Charles Keeping together with new cover look to tie in with other books in the sequence, The Eagle of the Ninth and The Lantern Bearers",272,121,620 follower,"['Historical Fiction', 'Fiction', 'Young Adult', 'Historical', 'Classics', 'Adventure', 'Childrens', 'Historical Fiction', 'Fiction', 'Young Adult', 'Historical', 'Classics', 'Adventure', 'Childrens', 'Historical Fiction', 'Fiction', 'Young Adult', 'Historical', 'Classics', 'Adventure', 'Childrens']",239 review,782 (28%),"1,159 (42%)",647 (23%),111 (4%),30 (1%)
The Case of the Borrowed Brunette,Erle Stanley Gardner,3.86,849 rating,"January 1, 1946",A strange newspaper ad for a brunette with specific measurements gets Eve Martell in trouble and provides Perry Mason with a baffling murder to solve.,201,"1,110",729 follower,"['Mystery', 'Fiction', 'Crime', 'Detective', 'Classics', 'Mystery Thriller', 'Thriller']",75 review,224 (26%),338 (39%),240 (28%),38 (4%),9 (1%)
"Very Good, Jeeves",P.G. Wodehouse,4.30,"12,550 rating","January 1, 1930","A Jeeves and Wooster collectionAn outstanding collection of Jeeves stories, every one a winner, in which Jeeves endeavours to give satisfaction: By saving a grumpy cabinet minister from being marooned and attacked by a swan - in the process saving Bertie Wooster from his impending doom...By rescuing Bingo Little and Tuppy Glossop from the soup (twice each)...By arranging rather too many performances of the song 'Sonny Boy' to a not very appreciative audience...And by a variety of other sparkling stratagems that should reduce you to helpless laughter. This early collection shows P.G.Wodehouse at the top of his game, writing with sublime wit and delicacy of plotting.‘Ever since I picked up my dad’s copy of Very Good, Jeeves aged 11 I’ve adored PG Wodehouse.’ Anna Carey’s favourite funny book for Irish TimesJeeves and the impending doom --The inferiority complex of old Sippy --Jeeves and the Yule-tide spirit --Jeeves and the song of songs --Episode of the dog Macintosh --The spot of art --Jeeves and the kid Clementina --The love that purifies --Jeeves and the old school chum --Indian summer of an uncle --The ordeal of young Tuppy",297,"1,129","6,441 follower","['Fiction', 'Humor', 'Classics', 'Short Stories', 'Comedy', 'British Literature', 'Audiobook']",794 review,"5,881 (46%)","4,988 (39%)","1,375 (10%)",189 (1%),117 (<1%)
The Fall of Hyperion,Dan Simmons,4.23,"125,014 rating","March 1, 1990","In the stunning continuation of the epic adventure begun in Hyperion, Simmons returns us to a far future resplendent with drama and invention. On the world of Hyperion, the mysterious Time Tombs are opening. And the secrets they contain mean that nothing--nothing anywhere in the universe--will ever be the same.",517,314,11.9k follower,"['Science Fiction', 'Fiction', 'Fantasy', 'Space Opera', 'Science Fiction Fantasy', 'Audiobook', 'Time Travel']","4,954 review","57,552 (46%)","44,700 (35%)","17,734 (14%)","3,914 (3%)","1,114 (<1%)"
