title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,no_of_books_by_author,author_followers,genres,no_of_reviews,five_star_ratings,four_star_ratings,three_star_ratings,two_star_ratings,one_star_ratings
Miss Lonelyhearts / The Day of the Locust,Nathanael West,3.90,"10,100 rating","May 16, 1939","Miss LonelyheartsMiss Lonelyhearts was a newspaper reporter, so named because he had been assigned to write the agony column, to answer the letters from Desperate, Sick-of-It-All, Disillusioned. A joke at first; but then he was caught up, terrifyingly, in a vision of suffering, and he sought a way out, turning first here, then there—Art, Sex, Religion. Shrike, the cynical editor, the friend and enemy, compulsively destroyed each of his friend’s gestures toward idealism. Together, in the city’s dim underworld, Shrike and Miss Lonelyhearts turn round and round in a loathsome dance, unresolvable, hating until death…The Day of the LocustTo Hollywood comes Tod Hackett, hoping for a career in scene designing, but he finds the way hard and falls in with others—extras, technicians, old vaudeville hands—who are also in difficulty. Around him he sees the great mass of inland Americans who have retired to California in expectation of health and ease. But boredom consumes them, their own emptiness maddens them; they search out any abnormality in their lust for excitement—drugs, perversion, crime. In the end only blood will serve; unreasoned, undirected violence. The day of the locust is at hand…",185,21,340 follower,"['Fiction', 'Classics', 'Literature', 'Novels', 'American', 'Short Stories', '20th Century']",638 review,"3,302 (32%)","3,672 (36%)","2,196 (21%)",646 (6%),284 (2%)
The Prime of Miss Jean Brodie,Muriel Spark,3.71,"54,316 rating","January 1, 1961","문학동네 세계문학전집 160권. 스코틀랜드 작가 뮤리얼 스파크의 대표작. 인간의 본질을 꿰뚫는 날카로운 시선과 타고난 유머, 기발한 재치가 담긴 이 소설은 영화, 연극, 텔레비전 시리즈로 수차례 각색되며 문단과 대중 모두에게 큰 관심을 받았다. 뮤리얼 스파크는 이 작품으로 세계적인 명성을 얻었고, '진 브로디 선생'이라는 독보적인 캐릭터는 전후문학의 기념비적인 인물이라는 평가를 받으며 당대의 문화적 아이콘으로 자리잡았다.마샤 블레인 여학교의 진 브로디 선생은, 자신은 지금 전성기에 있으며 '미래의 여주인공'인 재능 있는 아이들을 '크림 중의 크림', 즉 아주 특별한 존재로 만드는 것이 자신의 소명이라 말한다(""여기서 밀가루 반죽을 부풀릴 효모 역할을 해야지. 아직 말랑말랑한 나이의 소녀를 내게 주면 그애는 영원히 내 것이 될 거야. 나를 핍박하는 무리는 절대 성공할 리 없어"").학교에는 그녀가 특별히 선택한 아이들, 일명 '브로디 무리'가 있다. 브로디 선생은 무리와 함께 그들만의 모임을 가지며 그 아이들에게만 비밀을 공유한다. 아이들은 자신이 진 브로디에게 선택받았으며 특별한 무리의 일부라는 사실에 어렴풋한 희열과 긍지를 느낀다. 그러나 브로디 무리 중 한 명인 샌디는 다른 아이들처럼 브로디 선생을 동경하면서도, 한편으로는 자신만의 기준을 강요하고 자신의 연애에 학생들을 이용하는 선생에게 의문을 갖는다.",150,192,"1,085 follower","['Fiction', 'Classics', 'Historical Fiction', 'Scotland', 'Novels', 'British Literature', 'Literary Fiction']","4,116 review","12,574 (23%)","20,179 (37%)","15,788 (29%)","4,601 (8%)","1,174 (2%)"
Suttree,Cormac McCarthy,4.20,"23,395 rating","May 1, 1979","This compelling novel has as its protagonist Cornelius Suttree, living alone and in exile in a disintegrating houseboat on the wrong side of the Tennessee River close by Knoxville. He stays at the edge of an outcast community inhabited by eccentrics, criminals and the poverty-stricken. Rising above the physical and human squalor around him, his detachment and wry humour enable him to survive dereliction and destitution with dignity.",471,54,24.2k follower,"['Fiction', 'Southern Gothic', 'Literature', 'Novels', 'Classics', 'American', 'Southern']","2,053 review","10,954 (46%)","7,653 (32%)","3,545 (15%)",898 (3%),345 (1%)
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,4.16,"209,977 rating","January 1, 1967","Winner of the 1968 Newbery MedalWhen Claudia decided to run away, she planned very carefully. She would be gone just long enough to teach her parents a lesson in Claudia appreciation. And she would go in comfort - she would live at the Metropolitan Museum of Art. She saved her money, and she invited her brother Jamie to go, mostly because he was a miser and would have money.Claudia was a good organizer and Jamie had some ideas, too; so the two took up residence at the museum right on schedule. But once the fun of settling in was over, Claudia had two unexpected problems: She felt just the same, and she wanted to feel different; and she found a statue at the Museum so beautiful she could not go home until she had discovered its maker, a question that baffled the experts, too.The former owner of the statue was Mrs. Basil E. Frankweiler. Without her - well, without her, Claudia might never have found a way to go home.",159,52,"1,187 follower","['Fiction', 'Childrens', 'Young Adult', 'Middle Grade', 'Mystery', 'Classics', 'Realistic Fiction']","9,006 review","92,992 (44%)","71,159 (33%)","34,861 (16%)","7,624 (3%)","3,341 (1%)"
The Naked and the Dead,Norman Mailer,3.95,"25,349 rating","January 1, 1948","Hailed as one of the finest novels to come out of the Second World War, The Naked and the Dead received unprecedented critical acclaim upon its publication and has since enjoyed a long and well-deserved tenure in the American canon. This fiftieth anniversary edition features a new introduction created especially for the occasion by Norman Mailer.Written in gritty, journalistic detail, the story follows a platoon of Marines who are stationed on the Japanese-held island of Anopopei. Composed in 1948 with the wisdom of a man twice Mailer's age and the raw courage of the young man he was, The Naked and the Dead is representative of the best in twentieth-century American writing.",721,307,"1,261 follower","['Fiction', 'Classics', 'War', 'Historical Fiction', 'Literature', 'Novels', 'World War II']",990 review,"8,245 (32%)","9,858 (38%)","5,383 (21%)","1,334 (5%)",529 (2%)
A Death in the Family,James Agee,3.89,"16,410 rating","January 1, 1957","The classic American novel, re-published for the 100th anniversary of James Agee's birthPublished in 1957, two years after its author's death at the age of forty-five, A Death in the Family remains a near-perfect work of art, an autobiographical novel that contains one of the most evocative depictions of loss and grief ever written. As Jay Follet hurries back to his home in Knoxville, Tennessee, he is killed in a car accident--a tragedy that destroys not only a life but also the domestic happiness and contentment of a young family. A novel of great courage, lyric force, and powerful emotion, A Death in the Family is a masterpiece of American literature.",320,96,260 follower,"['Fiction', 'Classics', 'Literature', 'Novels', 'Historical Fiction', 'American', 'Literary Fiction']","1,484 review","5,362 (32%)","5,740 (34%)","3,849 (23%)","1,085 (6%)",374 (2%)
The Savage Detectives,Roberto Bolaño,4.17,"43,587 rating","November 2, 1998","New Year’s Eve, 1975: Arturo Belano and Ulises Lima, founders of the visceral realist movement in poetry, leave Mexico City in a borrowed white Impala. Their quest: to track down the obscure, vanished poet Cesárea Tinajero. A violent showdown in the Sonora desert turns search to flight; twenty years later Belano and Lima are still on the run.The explosive first long work by “the most exciting writer to come from south of the Rio Grande in a long time” (Ilan Stavans, Los Angeles Times), The Savage Detectives follows Belano and Lima through the eyes of the people whose paths they cross in Central America, Europe, Israel, and West Africa. This chorus includes the muses of visceral realism, the beautiful Font sisters; their father, an architect interned in a Mexico City asylum; a sensitive young follower of Octavio Paz; a foul-mouthed American graduate student; a French girl with a taste for the Marquis de Sade; the great-granddaughter of Leon Trotsky; a Chilean stowaway with a mystical gift for numbers; the anorexic heiress to a Mexican underwear empire; an Argentinian photojournalist in Angola; and assorted hangers-on, detractors, critics, lovers, employers, vagabonds, real-life literary figures, and random acquaintances.A polymathic descendant of Borges and Pynchon, Roberto Bolaño traces the hidden connection between literature and violence in a world where national boundaries are fluid and death lurks in the shadow of the avant-garde. The Savage Detectives is a dazzling original, the first great Latin American novel of the twenty-first century.",577,138,"5,708 follower","['Fiction', 'Novels', 'Spanish Literature', 'Literature', 'Latin American', 'Literary Fiction', 'Contemporary', 'Fiction', 'Novels', 'Spanish Literature', 'Literature', 'Latin American', 'Literary Fiction', 'Contemporary', 'Fiction', 'Novels', 'Spanish Literature', 'Literature', 'Latin American', 'Literary Fiction', 'Contemporary']","4,568 review","21,152 (48%)","13,203 (30%)","5,851 (13%)","2,297 (5%)","1,084 (2%)"
Howl’s Moving Castle,Diana Wynne Jones,4.29,"349,171 rating","April 1, 1986","Sophie has the great misfortune of being the eldest of three daughters, destined to fail miserably should she ever leave home to seek her fate. But when she unwittingly attracts the ire of the Witch of the Waste, Sophie finds herself under a horrid spell that transforms her into an old lady. Her only chance at breaking it lies in the ever-moving castle in the hills: the Wizard Howl's castle. To untangle the enchantment, Sophie must handle the heartless Howl, strike a bargain with a fire demon, and meet the Witch of the Waste head-on. Along the way, she discovers that there's far more to Howl—and herself—than first meets the eye.An alternative cover for this ISBN can be found here",329,117,10.8k follower,"['Fantasy', 'Young Adult', 'Fiction', 'Middle Grade', 'Magic', 'Classics', 'Childrens']","29,152 review","177,178 (50%)","114,188 (32%)","45,044 (12%)","9,125 (2%)","3,636 (1%)"
The Poetry of Robert Frost,Robert Frost,4.24,"47,725 rating","January 1, 1969","The only comprehensive gathering of Frost's published poetry, this affordable volume offers the entire contents of his eleven books of verse, from A Boy's Will (1913) to In the Clearing (1962). Frost scholar Lathem, who was also a close friend of the four-time Pulitzer Prize-winner, scrupulously annotated the 350-plus poems in this collection, which has been the standard edition of Frost's work since it first appeared in 1969.",607,649,"4,623 follower","['Poetry', 'Classics', 'Fiction', 'Literature', 'American', '20th Century', 'Anthologies', 'Poetry', 'Classics', 'Fiction', 'Literature', 'American', '20th Century', 'Anthologies', 'Poetry', 'Classics', 'Fiction', 'Literature', 'American', '20th Century', 'Anthologies', 'Poetry', 'Classics', 'Fiction', 'Literature', 'American', '20th Century', 'Anthologies', 'Poetry', 'Classics', 'Fiction', 'Literature', 'American', '20th Century', 'Anthologies']",598 review,"23,269 (48%)","15,389 (32%)","6,964 (14%)","1,409 (2%)",694 (1%)
Centennial,James A. Michener,4.25,"43,063 rating","January 1, 1974","Written to commemorate the Bicentennial in 1976, James A. Michener’s magnificent saga of the West is an enthralling celebration of the frontier. Brimming with the glory of America’s past, the story of Colorado—the Centennial State—is manifested through its people: Lame Beaver, the Arapaho chieftain and warrior, and his Comanche and Pawnee enemies; Levi Zendt, fleeing with his child bride from the Amish country; the cowboy, Jim Lloyd, who falls in love with a wealthy and cultured Englishwoman, Charlotte Seccombe. In Centennial, trappers, traders, homesteaders, gold seekers, ranchers, and hunters are brought together in the dramatic conflicts that shape the destiny of the legendary West—and the entire country.",1056,439,"2,995 follower","['Historical Fiction', 'Fiction', 'Westerns', 'Historical', 'Classics', 'Adventure', 'Novels']","1,059 review","20,318 (47%)","14,927 (34%)","6,546 (15%)",977 (2%),295 (<1%)
