title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,no_of_books_by_author,author_followers,genres,no_of_reviews,five_star_ratings,four_star_ratings,three_star_ratings,two_star_ratings,one_star_ratings
The Horse's Mouth,Joyce Cary,3.96,"1,515 rating","January 1, 1944","The Horse's Mouth, the third and most celebrated volume of Joyce Cary's First Trilogy, is perhaps the finest novel ever written about an artist. Its painter hero, the charming and larcenous Gulley Jimson, has an insatiable genius for creation and a no less remarkable appetite for destruction. Is he a great artist? a has-been? or an exhausted, drunken ne'er-do-well? He is without doubt a visionary, and as he criss-crosses London in search of money and inspiration the world as seen though his eyes appears with a newly outrageous and terrible beauty.",432,116,84 follower,"['Fiction', 'Classics', 'Art', 'Literature', 'Humor', 'Novels', 'Irish Literature', 'Fiction', 'Classics', 'Art', 'Literature', 'Humor', 'Novels', 'Irish Literature', 'Fiction', 'Classics', 'Art', 'Literature', 'Humor', 'Novels', 'Irish Literature']",182 review,571 (37%),512 (33%),287 (18%),97 (6%),48 (3%)
Marabou Stork Nightmares,Irvine Welsh,3.91,"12,075 rating","January 1, 1995","""For anyone who gets high on language, this book is a fantastic trip...a real tour de force.""―Madison Smartt Bell, SpinThe acclaimed author of the cult classics Trainspotting and The Acid House, Irvine Welsh has been hailed as ""the best thing that has happened to British writing in a decade"" (London Sunday Times ). This audacious novel is a brilliant (and literal) head trip of a book that brings us into the wildly active, albeit coma-beset, mind of Roy Strang, whose hallucinatory quest to eradicate the evil predator/scavenger marabou stork keeps being interrupted by grisly memories of the social and family dysfunction that brought him to this state. It is the sort of lethally funny cocktail of pathos, violence, and outrageous hilarity that only Irvine Welsh can pull off.",280,138,"6,793 follower","['Fiction', 'Contemporary', 'Horror', 'Scotland', 'Novels', 'Short Stories', 'Dark']",497 review,"3,814 (31%)","4,458 (36%)","2,871 (23%)",745 (6%),187 (1%)
Deadly Decisions,Kathy Reichs,3.94,"36,542 rating","July 25, 2000","Nine-year-old Emily Anne Toussaint is fatally shot on a Montreal street. A North Carolina teenager disappears from her home, and parts of her skeleton are found hundreds of miles away. The shocking deaths propel Tempe Brennan from north to south, and deep into a shattering investigation inside the bizarre culture of outlaw motorcycle gangs -- where one misstep could bring disaster for herself or someone she loves.",368,162,16k follower,"['Mystery', 'Crime', 'Fiction', 'Thriller', 'Mystery Thriller', 'Suspense', 'Detective']","1,298 review","10,546 (28%)","15,136 (41%)","9,285 (25%)","1,314 (3%)",261 (<1%)
The Death of the Heart,Elizabeth Bowen,3.65,"8,260 rating","January 1, 1938","The Death of the Heart is perhaps Elizabeth Bowen's best-known book. As she deftly and delicately exposes the cruelty that lurks behind the polished surfaces of conventional society, Bowen reveals herself as a masterful novelist who combines a sense of humor with a devastating gift for divining human motivations.In this piercing story of innocence betrayed set in the thirties, the orphaned Portia is stranded in the sophisticated and politely treacherous world of her wealthy half-brother's home in London. There she encounters the attractive, carefree cad Eddie. To him, Portia is at once child and woman, and he fears her gushing love. To her, Eddie is the only reason to be alive. But when Eddie follows Portia to a sea-side resort, the flash of a cigarette lighter in a darkened cinema illuminates a stunning romantic betrayal—and sets in motion one of the most moving and desperate flights of the heart in modern literature.",418,195,452 follower,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', '20th Century', 'Novels', 'Literature']",739 review,"1,977 (23%)","2,825 (34%)","2,352 (28%)",811 (9%),295 (3%)
The 5000 Year Leap,W. Cleon Skousen,4.27,"6,966 rating","June 1, 1981","This is the best-selling Original Authorized Edition regularly featured by Glenn Beck to Fox TV viewers as a Must Read!The nation the Founders built is now in the throes of a political, economic, social, and spiritual crisis that has driven many to an almost frantic search for modern solutions. The truth is that the solutions have been available for a long time -- in the writings of our Founding Fathers -- carefully set forth in this timely book.In The 5000 Year A Miracle That Changed the World , Discover the 28 Principles of Freedom our Founding Fathers said must be understood and perpetuated by every people who desire peace, prosperity, and freedom. Learn how adherence to these beliefs during the past 200 years has brought about more progress than was made in the previous 5000 years. These 28 Principles include The Genius of Natural Law, Virtuous and Moral Leaders, Equal Rights--Not Equal Things, and Avoiding the Burden of Debt.",337,121,159 follower,"['History', 'Nonfiction', 'Politics', 'Philosophy', 'Historical', 'American History', 'Government']",964 review,"3,799 (54%)","1,882 (27%)",857 (12%),249 (3%),179 (2%)
Rashomon and Seventeen Other Stories,Ryūnosuke Akutagawa,4.14,"8,777 rating","January 1, 1927",One of Penguin Classics's most popular translations- now also in our elegant black spine dress,320,"1,098","1,709 follower","['Short Stories', 'Fiction', 'Japan', 'Classics', 'Japanese Literature', 'Literature', 'Historical Fiction', 'Short Stories', 'Fiction', 'Japan', 'Classics', 'Japanese Literature', 'Literature', 'Historical Fiction', 'Short Stories', 'Fiction', 'Japan', 'Classics', 'Japanese Literature', 'Literature', 'Historical Fiction', 'Short Stories', 'Fiction', 'Japan', 'Classics', 'Japanese Literature', 'Literature', 'Historical Fiction', 'Short Stories', 'Fiction', 'Japan', 'Classics', 'Japanese Literature', 'Literature', 'Historical Fiction']",617 review,"3,368 (38%)","3,629 (41%)","1,508 (17%)",221 (2%),51 (<1%)
The Troubles: Ireland's Ordeal 1966-1996 and the Search for Peace,Tim Pat Coogan,3.98,578 rating,"January 1, 1995","An up-to-date, engaging chronicle of the causes, effects, and many dimensions of 30 years of violent struggle in IrelandIn this widely acclaimed study of the complex conflicts in contemporary Northern Ireland, Tim Pat Coogan offers a clear, balanced, and reflective assessment of that struggle -- and a new epilogue to address the recent breakdown of the 1994 cease-fire.An authoritative observer of the nationalist cause with strong political contacts on both sides of the border, Coogan sets the historical context for the resurgence of centuries-old tensions that led to the civil protest and pogroms of 1969. He examines the reasons for -- and the snowballing reactions to -- the introduction of British forces to the streets of Derry and Belfast. Photos bring the events and personalities sharply into focus as he insightfully probes the spread of IRA violence to key locations in Britain, and the responses of the British government, its troops, and various Union organizations.In this new edition, Coogan discusses the continuing argument over weapons, the resumed IRA bombings in February 1996, and the significance of recent elections. Having gained the confidence of the combatants, he presents exclusive interviews and examines the prospects for peace.""Coogan fills this book with quotes, personal reportage, and wry wit.... This title should be part of any history or current events collection"". -- Library Journal Starred Review",491,37,209 follower,"['History', 'Ireland', 'Nonfiction', 'Politics', 'Irish Literature', 'Military Fiction', 'European History']",37 review,166 (28%),262 (45%),124 (21%),22 (3%),4 (<1%)
"The revolution and the civil war in Spain,",Pierre Broué,4.32,77 rating,"June 1, 1961","English, French (translation)",592,44,13 follower,"['History', 'Spain', 'Politics', 'Nonfiction', 'Spanish Civil War', 'European History', 'War', 'History', 'Spain', 'Politics', 'Nonfiction', 'Spanish Civil War', 'European History', 'War', 'History', 'Spain', 'Politics', 'Nonfiction', 'Spanish Civil War', 'European History', 'War']",9 review,37 (48%),29 (37%),10 (12%),1 (1%),0 (0%)
Patriotism,Yukio Mishima,4.10,"3,947 rating","January 30, 1961","One of the most powerful short stories ever written: Yukio Mishima’s masterpiece about the erotics of patriotism and honor, love and suicide.By now, Yukio Mishima’s (1925-1970) dramatic demise through an act of seppuku after an inflammatory public speech has become the stuff of literary legend. With Patriotism, Mishima was able to give his heartwrenching patriotic idealism an immortal vessel. A lieutenant in the Japanese army comes home to his wife and informs her that his closest friends have become mutineers. He and his beautiful loyal wife decide to end their lives together. In unwavering detail Mishima describes Shinji and Reiko making love for the last time and the couple’s seppuku that follows.",57,433,"7,423 follower","['Fiction', 'Japan', 'Japanese Literature', 'Short Stories', 'Literature', 'Historical Fiction', 'Classics', 'Fiction', 'Japan', 'Japanese Literature', 'Short Stories', 'Literature', 'Historical Fiction', 'Classics', 'Fiction', 'Japan', 'Japanese Literature', 'Short Stories', 'Literature', 'Historical Fiction', 'Classics']",395 review,"1,645 (41%)","1,381 (34%)",676 (17%),175 (4%),70 (1%)
The Case for Christ,Lee Strobel,4.21,"131,718 rating","January 1, 1998","There's little question that he actually lived. But miracles? Rising from the dead? Some of the stories you hear about him sound like just that - stories. A reasonable person would never believe them, let alone the claim that he's the only way to God! But a reasonable person would also make sure that he or she understood the facts before jumping to conclusions. That's why Lee Strobel - an award-winning legal journalist with a knack for asking tough questions - decided to investigate Jesus for himself. An atheist, Strobel felt certain his findings would bring Christianity's claims about Jesus tumbling down like a house of cards. He was in for the surprise of his life. Join him as he retraces his journey from skepticism to faith. You'll consult expert testimony as you sift through the truths that history, science, psychiatry, literature, and religion reveal. Like Strobel, you'll be amazed at the evidence - how much there is, how strong it is, and what it says. The facts are in. What will your verdict be in The Case for Christ?",367,261,"1,386 follower","['Christian', 'Nonfiction', 'Religion', 'Christianity', 'Faith', 'Theology', 'Spirituality']","2,843 review","67,261 (51%)","37,855 (28%)","17,246 (13%)","5,092 (3%)","4,264 (3%)"
