title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,genres,author_followers,no_of_reviews,no_of_books_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
First Term at Malory Towers,Enid Blyton,4.13,"19,241 rating","January 1, 1946","Darrell Rivers begins her happy life at Malory Towers two terms later than the other girls, but she soon makes firm friends with Sally, the steady one, and the adoring Mary Lou.",156,"['Childrens', 'Fiction', 'Classics', 'Middle Grade', 'Boarding School', 'School Stories', 'Young Adult']","5,786 follower",883 review,"5,916",203 (1%),603 (3%),"3,764 (19%)","6,589 (34%)","8,082 (42%)"
Thieves Like Us,Edward   Anderson,3.69,732 rating,"January 1, 1937","Bowie teams up with fellow thieves Chicamaw and T-Dub to rob a bank - he needs the money to hire a lawyer to prove he's innocent of murder. On the run, Bowie finds momentary peace when he elopes with a young woman. But Chicamaw and T-Dub want to reel him back in for one more job. One of the earliest American noir novels, Thieves Like Us was filmed twice, as ""They Live By Night"" in 1949, and by Robert Altman under the book's original title.",170,"['Noir', 'Fiction', 'Crime', 'Mystery', 'Novels', '20th Century', 'Classics']",6 book,110 review,6,14 (1%),43 (5%),224 (30%),325 (44%),126 (17%)
Evening Clouds,Junzo Shono,3.74,53 rating,"January 1, 1964","This episodic novel, originally published in Japan in 1964 and appearing for the first time in translation, scrupulously observes one family's experiences getting used to a new home atop a windy hill near Tokyo. As the three children and their parents discuss the intricacies of buying a new desk, or deal with curious centipedes and residential developers who threaten to destroy the surrounding landscape, they accustom themselves to the trials of moving and the necessity of accepting change as the only constant in life. Each section revolves around the observations of father Oura, whose character is loosely based on Shono himself.",222,"['Japan', 'Japanese Literature', 'Fiction', 'Japan', 'Japanese Literature', 'Fiction', 'Japan', 'Japanese Literature', 'Fiction']",8 follower,8 review,11,0 (0%),6 (11%),15 (28%),19 (35%),13 (24%)
Winter Rose,Patricia A. McKillip,3.85,"7,389 rating","July 1, 1996","Sorrow and trouble and bitterness will bound you and yours and the children of yours...Some said the dying words of Nial Lynn, murdered by his own son, were a wicked curse. To others, it was a winter's tale spun by firelight on cold, dark nights. But when Corbet Lynn came to rebuild his family estate, memories of his grandfather's curse were rekindled by young and old - and rumours filled the heavy air of summer.In the woods that border Lynn Hall, free-spirited Rois Melior roams wild and barefooted in search of healing herbs. She is as hopelessly unbridled - and unsuited for marriage - as her betrothed sister Laurel is domestic. In Corbet's pale green eyes, Rois senses a desperate longing. In her restless dreams, mixed with the heady warmth of harvest wine, she hears him beckon. And as autumn gold fades, Rois is consumed with Corbet Lynn, obsessed with his secret past - until, across the frozed countryside and in flight from her own imagination, truth and dreams become inseparable...",262,"['Fantasy', 'Fiction', 'Fairy Tales', 'Romance', 'Young Adult', 'Retellings', 'Science Fiction Fantasy']","2,633 follower",468 review,112,129 (1%),491 (6%),"1,927 (26%)","2,628 (35%)","2,214 (29%)"
The Escape,K.A. Applegate,3.86,"4,443 rating","January 1, 1998","Almost nothing could be as bad as finding out your mother is Visser One. The most powerful of all Vissers. The leader of the Yeerk invasion of Earth. But it happened to Marco. And even though he's been handling it pretty well, he knew there'd come a time when he'd have to face her again. Knowing that the Yeerk in her brain had taken his mother away.So when Marco, the other Animorphs, and Ax discover that Visser One is overseeing a secret underwater project, they know they have to check it out. But Marco's not sure if this is a battle he'll be able to fight....",163,"['Science Fiction', 'Young Adult', 'Fiction', 'Childrens', 'Fantasy', 'Middle Grade', 'Aliens', 'Science Fiction', 'Young Adult', 'Fiction', 'Childrens', 'Fantasy', 'Middle Grade', 'Aliens', 'Science Fiction', 'Young Adult', 'Fiction', 'Childrens', 'Fantasy', 'Middle Grade', 'Aliens']",361 follower,179 review,254,30 (<1%),230 (5%),"1,320 (29%)","1,594 (35%)","1,269 (28%)"
On Becoming Baby Wise: Giving Your Infant the Gift of Nighttime Sleep,Gary Ezzo,3.68,"15,719 rating","February 1, 1993","""THIS BOOK HAS NOT BEEN PRINTED IN MORE THAN 10 YEARS!! THESE ARE ONLY OLD, USED COPIES OF THE OUT OF PRINT EDITION THAT HAS SINCE BEEN UPDATED INTO THE NEW WHITE COVER EDITION ASIN 9781932740509.",252,"['Parenting', 'Nonfiction', 'Self Help', 'Family', 'Reference', 'Childrens', 'Health']",20 follower,"2,288 review",72,"1,076 (6%)","1,324 (8%)","3,644 (23%)","5,251 (33%)","4,424 (28%)"
The Mystery of the Screaming Clock,Robert Arthur,3.94,"3,251 rating","July 12, 1968","The alarm clock went off with the bloodcurdling scream of a woman in mortal terror!  Who could have made such a clock--and why?The Three Investigators immediately set out to discover where the mysterious clock came from.  When they come across a run-down house in Hollywood, they find an entire room full of dreadful clocks--and time is running out!",192,"['Mystery', 'Fiction', 'Young Adult', 'Childrens', 'Adventure', 'Detective', 'Crime']",254 follower,134 review,315,16 (<1%),102 (3%),916 (28%),"1,245 (38%)",972 (29%)
Best Of Ruskin Bond,Ruskin Bond,4.28,"2,967 rating","January 1, 1994","The essential Ruskin Bond Delhi Is Not Far brings together the best of Ruskin Bond's prose and poetry. For over four decades, by way of innumerable novels, essays, short stories, and poems, the author has mapped out and peopled a unique literary landscape. This anthology has selections from all of his major books and also features an unpublished novella, Delhi Is Not Far.",448,"['Fiction', 'Short Stories', 'India', 'Indian Literature', 'Classics', 'Poetry', 'Novels']","3,225 follower",106 review,653,54 (1%),74 (2%),338 (11%),"1,024 (34%)","1,477 (49%)"
The Mosquito Coast,Paul Theroux,3.81,"12,651 rating","January 1, 1981","In a breathtaking adventure story, the paranoid and brilliant inventor Allie Fox takes his family to live in the Honduran jungle, determined to build a civilization better than the one they've left. Fleeing from an America he sees as mired in materialism and conformity, he hopes to rediscover a purer life. But his utopian experiment takes a dark turn when his obsessions lead the family toward unimaginable danger.",384,"['Fiction', 'Adventure', 'Travel', 'Classics', 'Novels', 'Literary Fiction', 'Literature']","2,335 follower",989 review,225,248 (1%),809 (6%),"3,170 (25%)","5,260 (41%)","3,164 (25%)"
Guide,Dennis Cooper,4.02,907 rating,"May 1, 1997","Chris is a young porn star who wants to experience death at someone else's hand; Mason has lurid fantasies about members of British pop bands; Sniffles is a teenage runaway whose need for love outweighs his attachment to life. Courtesy of a frankly manipulative author/narrator named Dennis, these characters and more move through a subterranean Los Angeles where hallucination and reality, sex and suicide, love and indifference run together in terrifying ways. Guide, the fourth novel in a projected five-book cycle, continues to explore the boundaries of experience in the manner that has earned Dennis Cooper comparisons to Poe, Genet, and Baudelaire.",192,"['Fiction', 'Queer', 'LGBT', 'Gay', 'Horror', 'Dark', 'American']","1,339 follower",82 review,104,15 (1%),47 (5%),175 (19%),341 (37%),329 (36%)
