title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,no_of_books_by_author,author_followers,genres,no_of_reviews,five_star_ratings,four_star_ratings,three_star_ratings,two_star_ratings,one_star_ratings
Slickrock; The Canyon Country of Southeast Utah,Edward Abbey,4.21,63 rating,"January 1, 1971","A book which describes the unique beauty and fragile ecology of Utah, which was, at time of writing, already threatened by destruction due to tourism, pollution, etc. Illustrated throughout with lush, color photography by Philip Hyde. Text by Edward Abbey. Scores of dazzling color photographs taken of what Abbey described as ""the one part of Earth that is still almost as it was before man began to tinker with the land -- a piece of Utah that ought to remain that way.""",143,66,"1,674 follower",['Westerns'],4 review,27 (42%),22 (34%),14 (22%),0 (0%),0 (0%)
Donald and His Friends,Walt Disney Company,3.44,41 rating,"January 1, 1988","When Donald Duck receives a magic hat for his birthday, he is able to meet Alice in Wonderland, Merlin, Snow White, and Cinderella",95,33.2k,"2,606 follower",['Childrens'],3 review,10 (24%),7 (17%),17 (41%),5 (12%),2 (4%)
Winter Night: Selected Poems by Attila József,Attila József,4.38,16 rating,"July 1, 1997","In pure lyrics and longer elegiac poems this great Hungarian poet inscribed not only his own sad fate but that of millions in an Eastern Europe that only nominally ""between the wars"" during the '20s and 30s. Translator Batki demonstrates how contemporary this work remains.",152,94,57 follower,"['Poetry', 'Poetry', 'Poetry']",3 review,8 (50%),6 (37%),2 (12%),0 (0%),0 (0%)
A Grace Disguised: How the Soul Grows through Loss,Jerry Sittser,4.50,"2,770 rating","January 1, 1995","An expanded edition of this classic book on grief and loss with a new preface and epilogue.Loss came suddenly for Jerry Sittser. In an instant, a tragic car accident claimed three generations of his family: his mother, his wife, and his young daughter. While most of us will not experience such a catastrophic loss in our lifetime, all of us will taste it. And we can, if we choose, know as well the grace that transforms it. A Grace Disguised plumbs the depths of sorrow, whether due to illness, divorce, or the loss of someone we love. The circumstances are not important; what we do with those circumstances is. In coming to the end of ourselves, we can come to the beginning of a new life one marked by spiritual depth, joy, compassion, and a deeper appreciation of simple blessings.",224,15,27 follower,"['Christian', 'Nonfiction', 'Christian Living', 'Theology', 'Faith', 'Memoir', 'Spirituality']",373 review,"1,743 (62%)",758 (27%),201 (7%),49 (1%),19 (<1%)
Our Spoons Came from Woolworths,Barbara Comyns,3.90,"3,013 rating","January 1, 1950","“I told Helen my story and she went home and cried.” So begins Our Spoons Came from Woolworths. But Barbara Comyns’s beguiling novel is far from tragic, despite the harrowing ordeals its heroine endures. Sophia is twenty-one and naïve when she marries fellow artist Charles. She seems hardly fonder of her husband than she is of her pet newt; she can’t keep house (everything she cooks tastes of soap); and she mistakes morning sickness for the aftereffects of a bad batch of strawberries. England is in the middle of the Great Depression, and the money Sophia makes from the occasional modeling gig doesn’t make up for her husband’s indifference to paying the rent. Predictably, the marriage falters; not so predictably, Sophia’s artlessness will be the very thing that turns her life around.",223,13,237 follower,"['Fiction', 'Classics', 'British Literature', 'Novels', 'Historical Fiction', '20th Century', 'Literary Fiction']",482 review,806 (26%),"1,317 (43%)",703 (23%),163 (5%),24 (<1%)
Tempo di uccidere,Ennio Flaiano,3.84,"1,119 rating","January 1, 1947","In un'Africa spogliata di ogni esotismo e folclore, un tenente dell'esercito italiano vaga alla ricerca di un medico, guidato dal mal di denti. Si allontana dal campo, rimane solo, si perde. È così, per caso, che cominciano le avventure del protagonista di Tempo di uccidere, indubbiamente il capolavoro di Ennio Flaiano. Un susseguirsi di casi fortuiti e banali crea le condizioni per le avventure del protagonista, un antieroe solitario che del caso diventa prigioniero e schiavo, tanto da arrivare a credere che la propria storia non sia nient'altro che il compiersi di un destino prescritto. Perché alla fine, in qualche modo, da ogni circostanza sembra scaturirne un'altra: un incidente, l'incontro con Miriam, l'amore, lo spettro di un omicidio e quello della lebbra. Tutto appare concatenato, tutto concorre a trascinarlo in una cupa crisi esistenziale.",250,66,45 follower,"['Fiction', 'Italian Literature', 'Italy', 'Classics', 'War', 'Africa', 'Novels', 'Fiction', 'Italian Literature', 'Italy', 'Classics', 'War', 'Africa', 'Novels', 'Fiction', 'Italian Literature', 'Italy', 'Classics', 'War', 'Africa', 'Novels', 'Fiction', 'Italian Literature', 'Italy', 'Classics', 'War', 'Africa', 'Novels', 'Fiction', 'Italian Literature', 'Italy', 'Classics', 'War', 'Africa', 'Novels']",139 review,273 (24%),477 (42%),300 (26%),58 (5%),11 (<1%)
Funny Boy,Shyam Selvadurai,4.04,"7,780 rating","January 1, 1994","In the world of his large family, affluent Tamils living in Colombo, Arjie is an oddity, a 'funny boy' who prefers dressing as a girl to playing cricket with his brother. In FUNNY BOY we follow the life of the family through Arjie's eyes, as he comes to terms both with his own homosexuality and with the racism of the society in which he lives. In the north of Sri Lanka there is a war going on between the army and the Tamil Tigers, and gradually it begins to encroach on the family's comfortable life. Sporadic acts of violence flare into full scale riots and lead, ultimately, to tragedy. Written in clear, simple prose, Syam Selvadurai's first novel is masterly in its mingling of the personal and political.",320,14,381 follower,"['Fiction', 'LGBT', 'Historical Fiction', 'Queer', 'Gay', 'Coming Of Age', 'Canada']",741 review,"2,551 (32%)","3,368 (43%)","1,545 (19%)",256 (3%),60 (<1%)
The Honorable Imposter: 1620,Gilbert Morris,4.04,"2,324 rating","January 1, 1987","Forced by his family to become a minister in the Church of England, Gilbert Winslow is offered a dangerous and challenging task by one of the most powerful nobles in Britain. Taking the post offers fortune and escape from a life he despises, but Winslow discovers it also means becoming a spy. His mission is to infiltrate a group of religious separatists and to ferret out the whereabouts of their leader, who is accused of dissension against the King. In spite of his initial uneasiness, infiltration proves to be an easy matter. But will the ultimate betrayal be so simple? With the influences of good and evil, faith and doubt, compassion and selfishness pulling him apart, to whom could he turn?",336,485,504 follower,"['Historical Fiction', 'Christian Fiction', 'Christian', 'Fiction', 'Historical', 'Romance', 'Christian Romance']",139 review,954 (41%),704 (30%),513 (22%),116 (4%),37 (1%)
The Other,Thomas Tryon,3.98,"21,961 rating","January 1, 1971","Entranced and terrified, the reader of The Other is swept up in the life of a Connecticut country town in the thirties—and in the fearful mysteries that slowly darken and overwhelm it.Originally published in 1971, The Other is one of the most influential horror novels ever written. Its impeccable recreation of small-town life and its skillful handling of the theme of personality transference between thirteen-year-old twins led to widespread critical acclaim for the novel, which was successfully filmed from Thomas Tryon's own screenplay.This edition features original artwork by surrealist artist Harry O. Morris.",281,28,256 follower,"['Horror', 'Fiction', 'Mystery', 'Thriller', 'Gothic', 'Classics', 'Suspense']","1,016 review","7,874 (35%)","7,766 (35%)","4,797 (21%)","1,104 (5%)",420 (1%)
Rudolph the Red-Nosed Reindeer,Barbara Shook Hazen,4.33,"39,736 rating","February 1, 1939","When the sun starts setting sooner and frost begins to gather on your windows, sit down with a loved one to relive this timeless story of a slightly unusual winter creature with a very special talent.Although the other reindeer may laugh at him because of his bright red nose, Rudolph proves his worth when he is chosen to lead Santa Claus's sleigh on a foggy night.Rudolph first appeared in a 1939 booklet written by Robert L. May, and published by Montgomery Ward, the Chicago, Illinois (USA), department store. In its first year of publication, Montgomery Ward distributed 2.4 million copies of Rudolph's story. The now familiar tale of Rudolph, a young reindeer with a glowing, red nose, and how he came to Santa's rescue one foggy Christmas Eve, has become a Christmas classic.",24,157,13 follower,"['Christmas', 'Childrens', 'Picture Books', 'Classics', 'Holiday', 'Fiction', 'Animals', 'Christmas', 'Childrens', 'Picture Books', 'Classics', 'Holiday', 'Fiction', 'Animals', 'Christmas', 'Childrens', 'Picture Books', 'Classics', 'Holiday', 'Fiction', 'Animals', 'Christmas', 'Childrens', 'Picture Books', 'Classics', 'Holiday', 'Fiction', 'Animals', 'Christmas', 'Childrens', 'Picture Books', 'Classics', 'Holiday', 'Fiction', 'Animals']",145 review,"23,196 (58%)","8,538 (21%)","6,223 (15%)","1,283 (3%)",496 (1%)
