title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,genres,author_followers,no_of_reviews,no_of_books_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
"Two Old Women: An Alaskan Legend of Betrayal, Courage and Survival",Velma Wallis,4.08,"15,172 rating","January 1, 1993","Based on an Athabascan Indian legend passed along for many generations from mothers to daughters of the upper Yukon River Valley in Alaska, this is the suspenseful, shocking, ultimately inspirational tale of two old women abandoned by their tribe during a brutal winter famine.Though these women have been known to complain more than contribute, they now must either survive on their own or die trying. In simple but vivid detail, Velma Wallis depicts a landscape and way of life that are at once merciless and starkly beautiful. In her old women, she has created two heroines of steely determination whose story of betrayal, friendship, community and forgiveness ""speaks straight to the heart with clarity, sweetness and wisdom"" (Ursula K. Le Guin).",140,"['Fiction', 'Historical Fiction', 'Adventure', 'Survival', 'Historical', 'Mythology', 'Folklore']",123 follower,"2,171 review",14,101 (<1%),497 (3%),"2,932 (19%)","6,274 (41%)","5,368 (35%)"
The End of Nature,Bill McKibben,3.94,"2,996 rating","January 1, 1989","Reissued on the tenth anniversary of its publication, this classic work on our environmental crisis features a new introduction by the author, reviewing both the progress and ground lost in the fight to save the earth.This impassioned plea for radical and life-renewing change is today still considered a groundbreaking work in environmental studies. McKibben's argument that the survival of the globe is dependent on a fundamental, philosophical shift in the way we relate to nature is more relevant than ever. McKibben writes of our earth's environmental cataclysm, addressing such core issues as the greenhouse effect, acid rain, and the depletion of the ozone layer. His new introduction addresses some of the latest environmental issues that have risen during the 1990s. The book also includes an invaluable new appendix of facts and figures that surveys the progress of the environmental movement.More than simply a handbook for survival or a doomsday catalog of scientific prediction, this classic, soulful lament on Nature is required reading for nature enthusiasts, activists, and concerned citizens alike.",224,"['Nonfiction', 'Environment', 'Science', 'Nature', 'Climate Change', 'Ecology', 'Sustainability']",752 follower,191 review,215,51 (1%),150 (5%),672 (22%),"1,175 (39%)",948 (31%)
Хищные вещи века. Чрезвычайные происшествия,Arkady Strugatsky,4.12,"1,406 rating","January 1, 1964","""Мы стоим на пороге Мира Изобилия и должны быть готовы принять решение, как к этому миру относиться. Все мы вместе и каждый из нас в отдельности..."" - так пишет Борис Стругацкий о повести ""Хищные вещи века"", которая когда-то казалась ироничной и АБСОЛЮТНО фантастической, а теперь, в наши дни, оказалась пророческой - и едва ли не реалистической!...English descriptionFrench description (Le Masque) Vous voici au pays de l'Imbécile Heureux. Sous le règne de l'abondance et du plaisir. Et de la folie. Tout comme Ivan Zhilin, Agent des Nations-Unies, vous enquêtez dans cette étrange station balnéaire où les fêtes succèdent aux cérémonies aberrantes, où les Maîtres Coiffeurs changent votre apparence, où les Intels sont maudits, où les feuilletons idiots s'immiscent dans la réalité. Mais où est la réalité entre les tentacules du rêve, dans ce pays d'où l'on ne revient pas, où vous affrontez une menace plus terrible que la guerre totale ?",229,"['Science Fiction', 'Russia', 'Fiction', 'Dystopia', 'Fantasy', 'Russian Literature', 'Classics', 'Science Fiction', 'Russia', 'Fiction', 'Dystopia', 'Fantasy', 'Russian Literature', 'Classics', 'Science Fiction', 'Russia', 'Fiction', 'Dystopia', 'Fantasy', 'Russian Literature', 'Classics', 'Science Fiction', 'Russia', 'Fiction', 'Dystopia', 'Fantasy', 'Russian Literature', 'Classics', 'Science Fiction', 'Russia', 'Fiction', 'Dystopia', 'Fantasy', 'Russian Literature', 'Classics']","1,641 follower",17 review,368,17 (1%),60 (4%),241 (17%),502 (35%),586 (41%)
The Simpsons Forever!: A Complete Guide to Our Favorite Family...Continued,Matt Groening,4.11,776 rating,"October 3, 1997","Picking up where The A Complete Guide to our Favorite Family left off, The Simpsons Forever! brings all the history, tidbits, and cold hard facts on every episode from the past two years, and much, much more. Fans will find the highlights of all the shows from seasons nine and ten, plus eyeball–busting two–page spreads for special episodes (like the annual Halloween show). Heavily packed into these pages are updated favourites like Best Homerisms, Famous Chalkboard Sayings, All–New Simpsons Singalong Lyrics, Couch Gags, and classic screen images. And, yes – it's all cross–referenced! The ultimate celebration of America's Favorite – and longest running – cartoon family, The Simpsons Forever! is a must!",96,"['Humor', 'Nonfiction', 'Reference', 'Tv', 'Comics', 'Comedy', 'Graphic Novels']",404 follower,18 review,988,14 (1%),27 (3%),150 (19%),255 (32%),330 (42%)
Captain Nemo's library,Per Olov Enquist,3.70,950 rating,"January 1, 1991",English (translation)Original Swedish,250,"['Fiction', 'Swedish Literature', 'Scandinavian Literature', 'Roman', 'Sweden', 'Classics', 'Contemporary']",157 follower,73 review,88,25 (2%),87 (9%),260 (27%),352 (37%),226 (23%)
Caliban's Hour,Tad Williams,3.51,"1,135 rating","January 1, 1994","Are magic and romance really so separate? In this rich fantasy novel, Tad Williams--New York Times bestselling author of To Green Angel Tower--explores the tangled roots of sorcery and passion, and gives us an astonishing answer. Caliban is the Beast who finds in Prospero's daughter, Miranda, the Beauty to whom he tells his incredible story--an extraordinary tale of dark desires and shining wizardry.",194,"['Fantasy', 'Fiction', 'Science Fiction Fantasy', 'Romance', 'Dark', 'Audiobook', 'Magic']","6,948 follower",68 review,329,28 (2%),123 (10%),424 (37%),361 (31%),199 (17%)
لا مذكرات,André Malraux,3.72,294 rating,"September 18, 1967",يقول أندريه مالرو أُسمى هذا الكتاب لا مذكرات لإنه يجيب عن سؤال لا تطرحه المذكرات,236,"['Biography', 'France', 'Nonfiction', 'Autobiography', 'Literature', 'Memoir', 'French Literature', 'Biography', 'France', 'Nonfiction', 'Autobiography', 'Literature', 'Memoir', 'French Literature', 'Biography', 'France', 'Nonfiction', 'Autobiography', 'Literature', 'Memoir', 'French Literature', 'Biography', 'France', 'Nonfiction', 'Autobiography', 'Literature', 'Memoir', 'French Literature', 'Biography', 'France', 'Nonfiction', 'Autobiography', 'Literature', 'Memoir', 'French Literature']",357 follower,42 review,249,12 (4%),25 (8%),73 (24%),107 (36%),77 (26%)
Five Go Adventuring Again,Enid Blyton,4.06,"19,441 rating","January 1, 1942","There's a thief at Kirrin Cottage! The Famous Five think they know who it is, but they need to prove it! Where can they find evidence? The discovery of an old map and very unusual hiding place is all they need to get to the bottom of this mystery and uncover the true culprit!",246,"['Childrens', 'Fiction', 'Adventure', 'Mystery', 'Classics', 'Middle Grade', 'Young Adult']","5,786 follower",589 review,"5,916",133 (<1%),678 (3%),"4,439 (22%)","6,852 (35%)","7,339 (37%)"
The Idea of Perfection,Kate Grenville,3.65,"3,511 rating","January 1, 1999","Harley Savage is a plain woman, a part-time museum curator and quilting expert with three failed marriages and a heart condition. Douglas Cheeseman is a shy, gawky engineer with jug-handle ears, one marriage gone sour, and a crippling lack of physical courage. They meet in the little Australian town of Karakarook, where Harley has arrived to help the town build a heritage museum and Douglas to demolish the quaint old Bent Bridge. From the beginning they are on a collision course until the unexpected sets them both free. Elegantly and compassionately told, The Idea of Perfection is reminiscent of the work of Carol Shields and Annie Proulx and reveals Kate Grenville as ""a writer of extraordinary talent"" (The New York Times Book Review).",416,"['Fiction', 'Australia', 'Literary Fiction', 'Contemporary', 'Romance', 'Book Club', 'Novels']",700 follower,375 review,35,111 (3%),329 (9%),997 (28%),"1,315 (37%)",759 (21%)
Παραμύθι χωρίς όνομα,Penelope Delta,4.15,"1,884 rating","January 1, 1910","Το ""Παραμύθι χωρίς όνομα"" γράφτηκε σε μια εποχή πολιτικά ταραγμένη για την Ελλάδα. Η ήττα του 1897 ήταν ακόμα νωπή, το καθεστώς ασταθές, άνθιζε η διαφθορά, η εκπαίδευση δεν ανταποκρινόταν στις ευρωπαϊκές αντιλήψεις περί παιδαγωγικής. Από την άλλη, το γλωσσικό ζήτημα έκαιγε. Ο Εκπαιδευτικός Όμιλος, του οποίου ήταν μέλος και η Δέλτα, συσπείρωνε διανοούμενους, όπως λογοτέχνες (Βάρναλης, Καζαντζάκης, Νιρβάνας), εκπαιδευτικούς και παιδαγωγούς (Γληνός, Δελμούζος) φιλολόγους (Σαρής, Τριανταφυλλίδης), με στόχο μεταρρυθμίσεις που αφορούσαν στην εισαγωγή της δημοτικής γλώσσας στην εκπαίδευση και στην εξάπλωση νέων ιδεών για την ανατροφή των παιδιών.ΜΑΡΙΖΑ ΝΤΕΚΑΣΤΡΟΤο ""Παραμύθι χωρίς όνομα"" είναι ένα πολιτικό παραμύθι, είναι μια πλατωνική Πολιτεία για παιδιά, είναι η ιστορία μιας παραμυθένιας πατρίδας... Της Ελλάδας.Η Πηνελόπη Δ. είναι πιστή, όπως τ' όνομά της, στις ιδέες της μέσα στο βιβλίο, πιστή μέχρι το θάνατο σ'όλα όσα επέλεξε να ξεχάσει και σ' αυτά που τόσο μεθοδικά προτείνει.Τα ονόματα των πρωταγωνιστών τούς ανήκουν εκ φύσεως και διηγούνται κι από μόνα τους την ιστορία. Ο καλός βασιλιάς, που μετρήθηκαν οι μέρες του, λέγεται Συνετός, και μετά αρχίζει η βασιλεία του Αστόχαστου και της Παλάβως στη Χώρα των Μοιρολάτρων. Μέχρι που, από τη γειτονική χώρα, φτάνει, αντί για οικονομική βοήθεια, η ύστατη προσβολή: μια γαϊδουροκεφαλή με τενεκεδένιο στέμμα.Κι εδώ ακριβώς αρχίζει το παραμύθι για τα απογοητευμένα μάτια μας. Ο γιος του Αστόχαστου λέγεται Συνετός Β΄ και αρκεί να πούμε ότι στο τέλος θα παντρευτεί τη Γνώση, κόρη της Φρόνησης, λες κι έχει πάρει το αξίωμά του κατευθείαν από τον Σωκράτη.Ξαναδιαβάζοντας το βιβλίο, ένας μεγάλος θα νιώσει ίσως αμήχανα στις μέρες μας, αντιμέτωπος μ'αυτή την ελπίδα που δεν διαψεύδεται και με την αρετή που ξαναχτίζει τον κόσμο - χωρίς καθόλου μαγικά ξόρκια ή δανεικά κονδύλια, αλλά χάρη σε πολύ σκληρή δουλειά για το κοινό καλό. Γιατί ένας μεγάλος αυτόματα θα μετρήσει την απόσταση ανάμεσα σ' αυτά που επέλεξε να υποτιμήσει και να ξεχάσει και στα τόσα που μεθοδικά προτείνει το βιβλίο. Γιατί η Πηνελόπη Δ. έχει προβλέψει ακόμα και για τη σωστή εκμετάλλευση της φύσης, έχει σκεφτεί ακόμα και τους φυλακισμένους να ξανακάνει ανθρώπους μέσα από την πιο σκληρή, είναι η αλήθεια, δουλειά των λατομείων. Και παρόλο που δεν ξεφεύγει από την παρουσία μιας ελέω Θεού βασιλικής οικογένειας, το βασιλόπουλο είναι τόσο ταπεινό, εργατικό και ενάρετο που θα μπορούσε να είναι ένας αυτοδημιούργητος λαϊκός ήρωας.ΜΑΡΙΑ ΜΗΤΣΟΡΑΗ Πηνελόπη Δέλτα φώτισε τα παιδικά μας χρόνια, τα κατοίκησε και τα ενθάρρυνε δίνοντας ""όνομα"" -και μια σπάνια αύρα- στα ανείπωτα της ψυχής. Κι αν η γενιά μας στρέφει ακόμη το βλέμμα της νοσταλγικά σ' εκείνα τα αναγνώσματα, οι τάξεις των νεόκοπων αναγνωστών ούτε λιγότερο πυκνές είναι ούτε λιγότερο ένθερμες.ΖΥΡΑΝΝΑ ΖΑΤΕΛΗΤο ""Παραμύθι χωρίς όνομα"" (πρώτη έκδοση: 1910) αποτελεί πραγματικά το πιο συναρπαστικό εγερτήριο σάλπισμα για μια Ελλάδα της εργατικότητας, της τιμιότητας, της προκοπής, της μόρφωσης, της εθνικής περηφάνειας. Παντοτινά επίκαιρο.Η παρούσα νέα, συμπληρωμένη έκδοση περιλαμβάνει επίμετρο της Μαρίζας Ντεκάστρο και χρονολόγιο του Αλ. Π. Ζάννα (επιμελητή του έργου της Π. Σ. Δέλτα), το οποίο μνημονεύει τα σημαντικά γεγονότα της ζωής της Πηνελόπης Δέλτα, καθώς και παράλληλα γεγονότα της πολιτικής, κοινωνικής και πνευματικής ζωής στην Ελλάδα και τον κόσμο.",234,"['Fiction', 'Classics', 'Fantasy', 'Literature', 'Childrens', 'Greece', 'Young Adult', 'Fiction', 'Classics', 'Fantasy', 'Literature', 'Childrens', 'Greece', 'Young Adult', 'Fiction', 'Classics', 'Fantasy', 'Literature', 'Childrens', 'Greece', 'Young Adult']",30 book,76 review,30,14 (<1%),64 (3%),356 (18%),632 (33%),818 (43%)
