title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,genres,author_followers,no_of_reviews,no_of_books_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
Babel-17,Samuel R. Delany,3.73,"17,705 rating","May 1, 1966","Babel-17 is all about the power of language. Humanity, which has spread throughout the universe, is involved in a war with the Invaders, who have been covertly assassinating officials and sabotaging spaceships. The only clues humanity has to go on are strange alien messages that have been intercepted in space. Poet and linguist Rydra Wong is determined to understand the language and stop the alien threat. (Paul Goat Allen)",192,"['Science Fiction', 'Fiction', 'Classics', 'Space Opera', 'Science Fiction Fantasy', 'Speculative Fiction', 'Novels']","1,996 follower","1,487 review",276,457 (2%),"1,483 (8%)","4,789 (27%)","6,627 (37%)","4,349 (24%)"
God Is an Englishman,R.F. Delderfield,4.11,"3,133 rating","August 1, 1970","This bestselling novel set in the ruthless world of Victorian commerce follows the fortunes of Adam Swann, a scion of an Army family and veteran of campaigns in the Crimea and in India, in his quest to found his own financial dynasty. His struggle to succeed and his conquest of Henrietta, the spirited daughter of a rich manufacturer, drive a richly woven tale that takes the reader from the dusty plains of India to the teeming slums of nineteenth-century London, from the chaos of the great industrial cities to the age of the peaceful certainties of the English countryside.Filled with epic scenes and memorable characters, God is an Englishman triumphs in its portrayal of human strength and weakness, and in its revelations of the power of love.",695,"['Historical Fiction', 'Fiction', 'Historical', 'British Literature', 'Classics', '19th Century', 'Romance']",177 follower,232 review,98,51 (1%),122 (3%),527 (16%),"1,174 (37%)","1,259 (40%)"
The Caves of Steel,Isaac Asimov,4.19,"99,746 rating","October 1, 1953","A millennium into the future two advancements have altered the course of human history: the colonization of the galaxy and the creation of the positronic brain. Isaac Asimov's Robot novels chronicle the unlikely partnership between a New York City detective and a humanoid robot who must learn to work together. Like most people left behind on an over-populated Earth, New York City police detective Elijah Baley had little love for either the arrogant Spacers or their robotic companions. But when a prominent Spacer is murdered under mysterious circumstances, Baley is ordered to the Outer Worlds to help track down the killer. The relationship between Life and his Spacer superiors, who distrusted all Earthmen, was strained from the start. Then he learned that they had assigned him a partner: R. Daneel Olivaw. Worst of all was that the ""R"" stood for robot--and his positronic partner was made in the image and likeness of the murder victim!",206,"['Science Fiction', 'Fiction', 'Mystery', 'Classics', 'Science Fiction Fantasy', 'Robots', 'Crime']",24.8k follower,"3,885 review","4,420",390 (<1%),"2,047 (2%)","16,426 (16%)","40,389 (40%)","40,494 (40%)"
On Certainty (Harper Perennial Modern Thought),Ludwig Wittgenstein,4.16,"4,672 rating","January 1, 1969","Written over the last 18 months of his life and inspired by his interest in G. E. Moore's defense of common sense, this much discussed volume collects Wittgenstein's reflections on knowledge and certainty, on what it is to know a proposition for sure.",194,"['Philosophy', 'Nonfiction', 'Psychology', 'Language', 'Essays', 'Classics', 'Theory', 'Philosophy', 'Nonfiction', 'Psychology', 'Language', 'Essays', 'Classics', 'Theory', 'Philosophy', 'Nonfiction', 'Psychology', 'Language', 'Essays', 'Classics', 'Theory', 'Philosophy', 'Nonfiction', 'Psychology', 'Language', 'Essays', 'Classics', 'Theory', 'Philosophy', 'Nonfiction', 'Psychology', 'Language', 'Essays', 'Classics', 'Theory']","2,536 follower",183 review,279,55 (1%),218 (4%),776 (16%),"1,505 (32%)","2,118 (45%)"
Delta Wedding,Eudora Welty,3.61,"3,565 rating","January 1, 1946","Set on the Mississippi Delta in 1923, this story captures the mind and manners of the Fairchilds, a large aristocratic family, self-contained and elusive as the wind. The vagaries of the Fairchilds are keenly observed, and sometimes harshly judged, by nine-year-old Laura McRaven, a Fairchild cousin who takes The Yellow Dog train to the Delta for Dabney Fairchild's wedding. An only child whose mother has just died, Laura is resentful of her boisterous, careless cousins, and desperate for their acceptance. As the hour moves closer and closer to wedding day, Laura arrives at a more subtle understanding of both the Fairchilds and herself. Born in 1909 in Jackson, Mississippi, Eudora Welty is one of the South's finest novelists. She won a Pulitzer in 1972 for The Optimist's Daughter. Delta Wedding is her best known work.",336,"['Fiction', 'Classics', 'Southern', 'Historical Fiction', 'Novels', 'American', '20th Century']",893 follower,440 review,229,154 (4%),379 (10%),995 (27%),"1,198 (33%)",839 (23%)
"Sarah Anne Hartford : Massachusetts, 1651",Kathleen Duey,3.47,59 rating,"April 1, 1996","Breaking the Sabbath by playing on a snowy hill, Sarah of Puritan Massachusetts records in her 1650 diary her difficult choice between upsetting her father and letting someone else be punished for her actions. Original.",141,"['Historical Fiction', 'Middle Grade', 'Historical', 'Juvenile', 'Childrens', 'Young Adult']",347 follower,7 review,141,3 (5%),6 (10%),23 (38%),14 (23%),13 (22%)
And Never Said a Word,Heinrich Böll,3.81,"1,941 rating","January 1, 1953","First published in 1953, And Never Said a Word is one of Heinrich Böll's finest novels. He explores the extremities of marriage with depth and compassion. Böll evokes an entire emotional world in the space of a day and a half, as husband and wife alternately relate this story of love and isolation, poverty and injustice. Weakness, as well as strength, provides the subtle emotional threads that weave the bonds of their love; married life, they discover, takes a far greater toll on all those who truly love than on those whose hearts are empty. Böll writes with a moral resonance that extracts significance from the most commonplace lives.",195,"['Fiction', 'German Literature', 'Novels', 'Germany', 'Classics', 'Nobel Prize', 'Literature', 'Fiction', 'German Literature', 'Novels', 'Germany', 'Classics', 'Nobel Prize', 'Literature', 'Fiction', 'German Literature', 'Novels', 'Germany', 'Classics', 'Nobel Prize', 'Literature']","1,543 follower",182 review,540,29 (1%),122 (6%),530 (27%),764 (39%),496 (25%)
Dr. Bloodmoney,Philip K. Dick,3.70,"9,065 rating","January 1, 1963","Dr. Bloodmoney is a post-nuclear-holocaust masterpiece filled with a host of Dick's most memorable characters: Hoppy Harrington, a deformed mutant with telekinetic powers; Walt Dangerfield, a selfless disc jockey stranded in a satellite circling the globe; Dr. Bluthgeld, the megalomaniac physicist largely responsible for the decimated state of the world; and Stuart McConchie and Bonny Keller, two unremarkable people bent on the survival of goodness in a world devastated by evil. Epic and alluring, this brilliant novel is a mesmerizing depiction of Dick's undying hope in humanity.",298,"['Science Fiction', 'Fiction', 'Post Apocalyptic', 'Speculative Fiction', 'Novels', 'Science Fiction Fantasy', 'Dystopia']",20.1k follower,614 review,"1,583",117 (1%),682 (7%),"2,840 (31%)","3,607 (39%)","1,819 (20%)"
A Friend of the Earth,T. Coraghessan Boyle,3.68,"3,563 rating","September 11, 2000","One of LitHub's 365 Books to Start Your Climate Change Library ""Fiction about ecological disaster tends to be written in a tragic key. Boyle, by contrast, favors the darkly comic."" -Elizabeth Kolbert, author of The Sixth ExtinctionOriginally published in 2000, T. C. Boyle's prescient novel about global warming and ecological collapseIt is the year 2025. Global warming is a reality. The biosphere has collapsed and most mammals--not to mention fish, birds, and frogs--are extinct. Tyrone Tierwater is eking out a bleak living in southern California, managing a pop star's private menagerie that only a mother could love--scruffy hyenas, jackals, warthogs, and three down-at-the-mouth lions.It wasn't always like this for Ty. Once he was a passionate environmentalist, so committed to saving the earth that he became an eco-terrorist and, ultimately, a convicted felon. as a member of the radical group Earth Forever!, he unwittingly endangered both his daughter Sierra and his wife Andrea. Now, just when he's trying to survive in a world torn by obdurate storms and winnowing drought, Andrea comes back into his life.T. C. Boyle's eighth novel blends idealism and satire in a story that addresses the ultimate questions of human love and the survival of the species.",349,"['Fiction', 'Science Fiction', 'Dystopia', 'Climate Change Fiction', 'Environment', 'Novels', 'Literary Fiction']","2,772 follower",337 review,153,82 (2%),281 (7%),"1,102 (30%)","1,320 (37%)",778 (21%)
English Passengers,Matthew Kneale,4.07,"7,156 rating","March 14, 2000","In 1857 when Captain Illiam Quillian Kewley and his band of rum smugglers from the Isle of Man have most of their contraband confiscated by British Customs, they are forced to put their ship up for charter. The only takers are two eccentric Englishmen who want to embark for the other side of the globe. The Reverend Geoffrey Wilson believes the Garden of Eden was on the island of Tasmania. His traveling partner, Dr. Thomas Potter, unbeknownst to Wilson, is developing a sinister thesis about the races of men. Meanwhile, an aboriginal in Tasmania named Peevay recounts his people’s struggles against the invading British, a story that begins in 1824, moves into the present with approach of the English passengers in 1857, and extends into the future in 1870. These characters and many others come together in a storm of voices that vividly bring a past age to life.",462,"['Historical Fiction', 'Fiction', 'Australia', 'Historical', 'Travel', 'Adventure', 'Tasmania']",152 follower,666 review,20,128 (1%),325 (4%),"1,283 (17%)","2,634 (36%)","2,786 (38%)"
