title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,genres,author_followers,no_of_reviews,no_of_books_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
Our Town,Thornton Wilder,3.71,"53,602 rating","January 1, 1938","Our Town was first produced and published in 1938 to wide acclaim. This Pulitzer Prize-winning drama of life in the small village of Grover's Corners, an allegorical representation of all life, has become a classic. It is Thornton Wilder's most renowned and most frequently performed play.",181,"['Plays', 'Classics', 'Drama', 'Fiction', 'Theatre', 'School', 'Read For School', 'Plays', 'Classics', 'Drama', 'Fiction', 'Theatre', 'School', 'Read For School', 'Plays', 'Classics', 'Drama', 'Fiction', 'Theatre', 'School', 'Read For School']",435 follower,"2,600 review",213,"1,921 (3%)","5,235 (9%)","14,247 (26%)","17,072 (31%)","15,127 (28%)"
Little Town on the Prairie,Laura Ingalls Wilder,4.19,"88,907 rating","January 1, 1941","Laura is almost fifteen. The long winter is over. With spring comes socials, dances, and ""Literaries."" There is also work to be done. Laura spends many hours each day sewing shirts to help send Mary to a college for the blind. But, in the evenings, Laura makes time for a new caller, Almanzo Wilder.",400,"['Classics', 'Historical Fiction', 'Childrens', 'Fiction', 'Young Adult', 'Historical', 'Middle Grade', 'Classics', 'Historical Fiction', 'Childrens', 'Fiction', 'Young Adult', 'Historical', 'Middle Grade', 'Classics', 'Historical Fiction', 'Childrens', 'Fiction', 'Young Adult', 'Historical', 'Middle Grade']","4,767 follower","1,668 review",346,"1,188 (1%)","2,595 (2%)","15,043 (16%)","28,982 (32%)","41,099 (46%)"
Doomsday Book,Connie Willis,4.03,"59,551 rating","June 5, 1992","For Kivrin, preparing an on-site study of one of the deadliest eras in humanity's history was as simple as receiving inoculations against the diseases of the fourteenth century and inventing an alibi for a woman traveling alone. For her instructors in the twenty-first century, it meant painstaking calculations and careful monitoring of the rendezvous location where Kivrin would be received.But a crisis strangely linking past and future strands Kivrin in a bygone age as her fellows try desperately to rescue her. In a time of superstition and fear, Kivrin--barely of age herself--finds she has become an unlikely angel of hope during one of history's darkest hours.Connie Willis draws upon her understanding of the universalities of human nature to explore the ageless issues of evil, suffering, and the indomitable will of the human spirit.",578,"['Science Fiction', 'Time Travel', 'Historical Fiction', 'Fiction', 'Fantasy', 'Historical', 'Science Fiction Fantasy']","4,334 follower","6,611 review",258,"1,503 (2%)","3,331 (5%)","10,352 (17%)","21,068 (35%)","23,297 (39%)"
Stoner,John  Williams,4.33,"163,057 rating","January 1, 1965","William Stoner is born at the end of the nineteenth century into a dirt-poor Missouri farming family. Sent to the state university to study agronomy, he instead falls in love with English literature and embraces a scholar’s life, so different from the hardscrabble existence he has known. And yet as the years pass, Stoner encounters a succession of disappointments: marriage into a “proper” family estranges him from his parents; his career is stymied; his wife and daughter turn coldly away from him; a transforming experience of new love ends under threat of scandal. Driven ever deeper within himself, Stoner rediscovers the stoic silence of his forebears and confronts an essential solitude.John Williams’s luminous and deeply moving novel is a work of quiet perfection. William Stoner emerges from it not only as an archetypal American, but as an unlikely existential hero, standing, like a figure in a painting by Edward Hopper, in stark relief against an unforgiving world.",288,"['Fiction', 'Classics', 'Literature', 'Historical Fiction', 'Novels', 'American', 'Literary Fiction', 'Fiction', 'Classics', 'Literature', 'Historical Fiction', 'Novels', 'American', 'Literary Fiction', 'Fiction', 'Classics', 'Literature', 'Historical Fiction', 'Novels', 'American', 'Literary Fiction']","1,727 follower","19,142 review",8,"1,458 (<1%)","4,299 (2%)","18,004 (11%)","54,395 (33%)","84,901 (52%)"
Cosmos,Carl Sagan,4.39,"145,466 rating","January 1, 1980","The story of fifteen billion years of cosmic evolution transforming matter and life into consciousness, of how science and civilisation grew up together, and of the forces and individuals who helped shape modern science. A story told with Carl Sagan's remarkable ability to make scientific ideas both comprehensible and exciting, based on his acclaimed television series.",384,"['Science', 'Nonfiction', 'Physics', 'Astronomy', 'History', 'Space', 'Philosophy']",11.6k follower,"4,423 review",150,"2,675 (1%)","3,519 (2%)","14,267 (9%)","38,696 (26%)","86,309 (59%)"
Death Comes for the Archbishop,Willa Cather,3.96,"37,216 rating","January 1, 1927","Willa Cather's best known novel is an epic--almost mythic--story of a single human life lived simply in the silence of the southwestern desert. In 1851 Father Jean Marie Latour comes to serve as the Apostolic Vicar to New Mexico. What he finds is a vast territory of red hills and tortuous arroyos, American by law but Mexican and Indian in custom and belief. In the almost forty years that follow, Latour spreads his faith in the only way he knows--gently, all the while contending with an unforgiving landscape, derelict and sometimes openly rebellious priests, and his own loneliness. Out of these events, Cather gives us an indelible vision of life unfolding in a place where time itself seems suspended.",297,"['Fiction', 'Classics', 'Historical Fiction', 'Literature', 'Novels', 'Religion', 'American']","2,285 follower","3,773 review",709,744 (1%),"2,195 (5%)","7,975 (21%)","13,361 (35%)","12,941 (34%)"
I Am Legend and Other Stories,Richard Matheson,4.00,"130,925 rating","January 1, 1954","Robert Neville is the last living man on Earth...but he is not alone. Every other man, woman, and child on Earth has become a vampire, and they are all hungry for Neville's blood.By day, he is the hunter, stalking the sleeping undead through the abandoned ruins of civilization. By night, he barricades himself in his home and prays for dawn.How long can one man survive in a world of vampires?I am legend --Buried talents --The near departed --Prey --Witch war --Dance of the dead --Dress of white silk --Mad house --The funeral --From shadowed places --Person to person.",317,"['Horror', 'Fiction', 'Science Fiction', 'Vampires', 'Short Stories', 'Fantasy', 'Post Apocalyptic']","4,183 follower","5,691 review",722,"1,868 (1%)","6,220 (4%)","27,793 (21%)","48,745 (37%)","46,299 (35%)"
The Talisman,Stephen King,4.12,"128,893 rating","November 8, 1984","Two of the world's bestselling authors have combined their unique talents in an unforgettable epic of fantasy, adventure, odyssey - and spine-tingling terror.You are about to take a journey... a terrifying trip across America where young Jack Sawyer is searching for the Talisman, the only thing that can save his dying mother. His quest takes him into the menacing Territories where violence, surprise and the titanic struggle between good and evil reach across a mythic landscape... a journey into the dark heart of horror.",656,"['Horror', 'Fiction', 'Thriller', 'Adventure', 'Mystery', 'Audiobook', 'Supernatural', 'Horror', 'Fiction', 'Thriller', 'Adventure', 'Mystery', 'Audiobook', 'Supernatural', 'Horror', 'Fiction', 'Thriller', 'Adventure', 'Mystery', 'Audiobook', 'Supernatural']",841k follower,"4,872 review","2,519","1,860 (1%)","6,369 (4%)","23,143 (17%)","40,879 (31%)","56,642 (43%)"
Pilgrim at Tinker Creek,Annie Dillard,4.09,"26,950 rating","January 1, 1974","An exhilarating meditation on nature and its seasons—a personal narrative highlighting one year's exploration on foot in the author's own neighborhood in Tinker Creek, Virginia. In the summer, Dillard stalks muskrats in the creek and contemplates wave mechanics; in the fall she watches a monarch butterfly migration and dreams of Arctic caribou. She tries to con a coot; she collects pond water and examines it under a microscope. She unties a snake skin, witnesses a flood, and plays 'King of the Meadow' with a field of grasshoppers.",288,"['Nonfiction', 'Nature', 'Memoir', 'Essays', 'Classics', 'Philosophy', 'Science']","2,343 follower","2,781 review",87,902 (3%),"1,513 (5%)","4,164 (15%)","7,949 (29%)","12,422 (46%)"
Dandelion Wine,Ray Bradbury,4.08,"69,762 rating","January 1, 1957","The summer of '28 was a vintage season for a growing boy. A summer of green apple trees, mowed lawns, and new sneakers. Of half-burnt firecrackers, of gathering dandelions, of Grandma's belly-busting dinner. It was a summer of sorrows and marvels and gold-fuzzed bees. A magical, timeless summer in the life of a twelve-year-old boy named Douglas Spaulding—remembered forever by the incomparable Ray Bradbury.Woven into the novel are the following short stories: Illumination, Dandelion Wine, Summer in the Air, Season of Sitting, The Happiness Machine, The Night, The Lawns of Summer, Season of Disbelief, The Last--the Very Last, The Green Machine, The Trolley, Statues, The Window, The Swan, The Whole Town's Sleeping, Goodbye Grandma, The Tarot Witch, Hotter Than Summer, Dinner at Dawn, The Magical Kitchen, Green Wine for Dreaming.",239,"['Classics', 'Science Fiction', 'Fantasy', 'Young Adult', 'Short Stories', 'Coming Of Age', 'Magical Realism']",22.6k follower,"6,239 review","2,262","1,455 (2%)","3,564 (5%)","12,518 (17%)","22,402 (32%)","29,823 (42%)"
