title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,genres,author_followers,no_of_reviews,no_of_books_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
The Selected Works,Cesare Pavese,4.05,140 rating,"January 1, 1968","""There is only one pleasure, that of being alive. All the rest is misery,"" wrote Cesare Pavese, whose short, intense life spanned the ordeals of fascism and World War II to witness the beginnings of Italy's postwar prosperity. Searchingly alert to nuances of speech, feeling, and atmosphere, and remarkably varied, his novels offer a panoramic vision, at once sensual and finely considered, of a time of tumultuous change. This volume presents readers with Pavese's major works. The Beach is a wry summertime comedy of sexual and romantic misunderstandings, while The House on the Hill is an extraordinary novel of war in which a teacher flees through a countryside that is both beautiful and convulsed with terror. Among Women Only tells of a fashion designer who enters the affluent world she has always dreamed of, only to find herself caught up in an eerie dance of destruction, and The Devil in the Hills is an engaging road novel about three young men roaming the hills in high summer who stumble on mysteries of love and death.",592,"['Fiction', 'Italian Literature', 'Short Stories', 'Italy', 'Classics', '20th Century', 'Literature', 'Fiction', 'Italian Literature', 'Short Stories', 'Italy', 'Classics', '20th Century', 'Literature', 'Fiction', 'Italian Literature', 'Short Stories', 'Italy', 'Classics', '20th Century', 'Literature']","1,055 follower",16 review,300,0 (0%),7 (5%),29 (20%),54 (38%),50 (35%)
The Hidden Diary of Marie Antoinette,Carolly Erickson,3.64,"6,983 rating","January 1, 1997","Imagine that, on the night before she is to die under the blade of the guillotine, Marie Antoinette leaves behind in her prison cell a diary telling the story of her life―from her privileged childhood as Austrian Archduchess to her years as glamorous mistress of Versailles to the heartbreak of imprisonment and humiliation during the French Revolution. Carolly Erickson takes the reader deep into the psyche of France's doomed queen: her love affair with handsome Swedish diplomat Count Axel Fersen, who risked his life to save her; her fears on the terrifying night the Parisian mob broke into her palace bedroom intent on murdering her and her family; her harrowing attempted flight from France in disguise; her recapture and the grim months of harsh captivity; her agony when her beloved husband was guillotined and her young son was torn from her arms, never to be seen again. Erickson brilliantly captures the queen's voice, her hopes, her dreads, and her suffering. We follow, mesmerized, as she reveals every detail of her remarkable, eventful life―from her teenage years when she began keeping a diary to her final days when she awaited her own bloody appointment with the guillotine.",343,"['Historical Fiction', 'Fiction', 'Historical', 'France', 'Romance', '18th Century', 'French Revolution']",682 follower,627 review,43,178 (2%),636 (9%),"2,247 (32%)","2,397 (34%)","1,525 (21%)"
The Eye of the Storm,Patrick White,3.76,653 rating,"January 1, 1973","Elizabeth Hunter, an ex-socialite in her eighties, has a mystical experience during a summer storm in Sydney which transforms all her relationships: her existence becomes charged with a meaning which communicates itself to those around her. From this simple scenario Patrick White unfurls a monumental exploration of the tides of love and hate, comedy and tragedy, impotence and longing that fester within family relationships.",592,"['Fiction', 'Australia', 'Classics', 'Nobel Prize', 'Literature', 'Novels', 'Literary Fiction']",320 follower,75 review,58,27 (4%),54 (8%),148 (22%),246 (37%),178 (27%)
Honor's Splendour,Julie Garwood,4.23,"32,680 rating","December 1, 1987","This classic medieval romance from New York Times bestselling author Julie Garwood is a fan favorite—a beautiful lady needs rescue from a knight in shining armor, and gets an alpha warrior instead.In the feuding English court, gentle Lady Madelyne suffered the cruel whims of her ruthless brother, Baron Louddon. Then, in vengeance for a bitter crime, Baron Duncan of Wexton—the Wolf—unleashed his warriors against Louddon. Exquisite Madelyne was the prize he catured...but when he gazed upon the proud beauty, he pledged to protect her with his life. In his rough-hewn castle, Duncan proved true to his honor. But when at last their noble passion conquered them both, she surrendered with all her soul. Now, for love, Madelyne would stand fast...as bravely as her Lord, the powerful Wolf who fought for...Honor’s Splendour.",374,"['Historical Romance', 'Romance', 'Historical', 'Medieval', 'Historical Fiction', 'Medieval Romance', 'Fiction']",12k follower,"1,285 review",159,282 (<1%),973 (2%),"5,072 (15%)","11,052 (33%)","15,301 (46%)"
The Devil Rides Out,Dennis Wheatley,3.78,"2,153 rating","December 1, 1934","29 Apr 1935 - 4 May 1935Black Magic is still practised in all the great cities of the world. This novel tells with macabre detail of a beautiful woman caught in a web of Satanists, of a young man brought to the verge of madness through his dabbling with the powers of evil.As in Dennis Wheatley's The Forbidden Territory we meet the Duke de Richleau, Simon Aron, the Princess Marie Lou, and other characters. From London to the West Country, from the slums of Paris to a Christian monastery, the action of this powerful occult thriller moves with fantastic, compelling force..",320,"['Horror', 'Fiction', 'Occult', 'Fantasy', 'Thriller', 'Gothic', 'Supernatural']",220 follower,232 review,311,54 (2%),146 (6%),580 (26%),821 (38%),552 (25%)
Heaven's Wager,Ted Dekker,4.10,"7,031 rating","January 1, 2000","It was an absolutely perfect day . . . until everything went absolutely perfectly wrong. Kent Anthony is a brilliant software engineer who is cashing in on a brilliant career. He's finally living the idyllic life, far from thoughts of theft and murder and other kinds of horrible criminal behavior.He's left his past far behind . . . or so he thinks.Ted Dekker delivers a fascinating story of the almost perfect crime, interwoven with a tale of bittersweet love that is almost enough to save a soul. A story that will bring you face-to-face with a hidden world more real than most people ever realize; a world where the unseen is more powerful than anything seen.",371,"['Christian Fiction', 'Fiction', 'Christian', 'Thriller', 'Mystery', 'Fantasy', 'Suspense']","9,241 follower",269 review,203,109 (1%),331 (4%),"1,324 (18%)","2,276 (32%)","2,991 (42%)"
Roxanna Slade,Reynolds Price,3.81,810 rating,"May 4, 1998","Not since Reynolds Price's award-winning, bestselling novel Kate Vaiden has he told a woman's story in her own voice. Roxanna Slade is this woman.Roxanna begins her story on her twentieth birthday -- a day that introduces her to the harsh realities of adulthood and changes the course of her life forever. From this day on, Roxanna is quick to share with the reader the intimate details of ninety years of life in North Carolina. Her beguiling tale is one that boldly reflects the high and low moments in the development of the modern South and the nation as well as the inner strength of a woman possessed of a piercingly clear vision, forthright hungers and immense vitality.",301,"['Fiction', 'Historical Fiction', 'Contemporary', '20th Century', 'Novels', 'Southern', 'Classics']",110 follower,92 review,153,20 (2%),48 (5%),202 (24%),332 (40%),208 (25%)
The Chaneysville Incident,David  Bradley,4.00,"1,180 rating","January 1, 1981","Winner of the PEN/Faulkner Award "" The Chaneysville Incident  rivals Toni Morrison's  Song of Solomon  as the best novel about the black experience in America since Ellison's  Invisible Man ."" —  Christian Science Monitor The legends say something happened in Chaneysville.  The Chaneysville Incident  is the powerful story of one man's obsession with discovering what that something was a quest that takes the brilliant and bitter young Black historian John Washington back through the secrets and buried evil of his heritage. Returning home to care for and then bury his father's closest friend and his own guardian, Old Jack Crawley, John comes upon the scant records of his family's proud and tragic history, which he drives himself to reconstruct and accept. This is the story of John's relationship with his family, the town, and the woman he loves; and also between the past and the present, between oppression and guilt, hate and violence, love and acceptance.",448,"['Fiction', 'Historical Fiction', 'African American', 'Classics', 'Literature', 'Mystery', 'Race']",22 follower,146 review,3,32 (2%),73 (6%),220 (18%),389 (32%),466 (39%)
Finding the Heart of the Child,Michael G. Thompson,4.00,3 rating,"June 1, 1993","Book by Hallowell, Edward, Thompson, Michael",200,['Parenting'],36 follower,0 review,12,0 (0%),0 (0%),1 (33%),1 (33%),1 (33%)
Lucifer's Hammer,Larry Niven,4.00,"43,687 rating","July 1, 1977","THE LUCKY ONES WENT FIRST…The gigantic comet has slammed into Earth, forging earthquakes a thousand times too powerful to measure on the Richter scale, tidal waves thousands of feet high. Cities were turned into oceans; oceans turned into steam. It was the beginning of a new Ice Age and the end of civilizationBut for the terrified men and women chance had saved, it was also the dawn of a new struggle for survival—a struggle more dangerous and challenging than any they had ever known….",629,"['Science Fiction', 'Fiction', 'Post Apocalyptic', 'Apocalyptic', 'Science Fiction Fantasy', 'Dystopia', 'Survival', 'Science Fiction', 'Fiction', 'Post Apocalyptic', 'Apocalyptic', 'Science Fiction Fantasy', 'Dystopia', 'Survival', 'Science Fiction', 'Fiction', 'Post Apocalyptic', 'Apocalyptic', 'Science Fiction Fantasy', 'Dystopia', 'Survival']","3,090 follower","1,616 review",677,654 (1%),"2,054 (4%)","9,313 (21%)","16,413 (37%)","15,253 (34%)"
