title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,no_of_books_by_author,author_followers,genres,no_of_reviews,five_star_ratings,four_star_ratings,three_star_ratings,two_star_ratings,one_star_ratings
"Selected Poems, 1923-1958",E.E. Cummings,4.19,"1,087 rating","January 1, 1960","This selection, made by Cummings himself in 1960, offers a comprehensive introduction to his most characteristic work — whether love poems, satirical squibs or nature poetry — and represents the range of his experiments with lyric form, syntax and typography, which combined to offer a radically individual and spontaneous view of the world.",128,269,"3,860 follower","['Poetry', 'Classics', '20th Century', 'Mira', 'English Literature', 'Fiction', 'Reference']",66 review,471 (43%),404 (37%),168 (15%),35 (3%),9 (<1%)
Parable of the Sower,Octavia E. Butler,4.21,"163,943 rating","October 1, 1993","In 2024, with the world descending into madness and anarchy, one woman begins a fateful journey toward a better future.Lauren Olamina and her family live in one of the only safe neighborhoods remaining on the outskirts of Los Angeles. Behind the walls of their defended enclave, Lauren’s father, a preacher, and a handful of other citizens try to salvage what remains of a culture that has been destroyed by drugs, disease, war, and chronic water shortages. While her father tries to lead people on the righteous path, Lauren struggles with hyperempathy, a condition that makes her extraordinarily sensitive to the pain of others.When fire destroys their compound, Lauren’s family is killed and she is forced out into a world that is fraught with danger. With a handful of other refugees, Lauren must make her way north to safety, along the way conceiving a revolutionary idea that may mean salvation for all mankind.",345,95,17.4k follower,"['Fiction', 'Science Fiction', 'Dystopia', 'Fantasy', 'Classics', 'Post Apocalyptic', 'Speculative Fiction']","17,556 review","72,551 (44%)","61,362 (37%)","23,446 (14%)","4,987 (3%)","1,597 (<1%)"
The Stone Angel,Margaret Laurence,3.76,"12,581 rating","June 1, 1964","The Stone Angel , The Diviners , and A Bird in the House are three of the five books in Margaret Laurence's renowned ""Manawaka series,"" named for the small Canadian prairie town in which they take place. Each of these books is narrated by a strong woman growing up in the town and struggling with physical and emotional isolation.In The Stone Angel , Hagar Shipley, age ninety, tells the story of her life, and in doing so tries to come to terms with how the very qualities which sustained her have deprived her of joy. Mingling past and present, she maintains pride in the face of senility, while recalling the life she led as a rebellious young bride, and later as a grieving mother. Laurence gives us in Hagar a woman who is funny, infuriating, and heartbreakingly poignant.""This is a revelation, not impersonation. The effect of such skilled use of language is to lead the reader towards the self-recognition that Hagar misses.""—Robertson Davies, New York Times""It is [Laurence's] admirable achievement to strike, with an equally sure touch, the peculiar note and the universal; she gives us a portrait of a remarkable character and at the same time the picture of old age itself, with the pain, the weariness, the terror, the impotent angers and physical mishaps, the realization that others are waiting and wishing for an end.""—Honor Tracy, The New Republic""Miss Laurence is the best fiction writer in the Dominion and one of the best in the hemisphere.""— Atlantic""[Laurence] demonstrates in The Stone Angel that she has a true novelist's gift for catching a character in mid-passion and life at full flood. . . . As [Hagar Shipley] daydreams and chatters and lurches through the novel, she traces one of the most convincing—and the most touching—portraits of an unregenerate sinner declining into senility since Sara Monday went to her reward in Joyce Cary's The Horse's Mouth .""— Time""Laurence's triumph is in her evocation of Hagar at ninety. . . . We sympathize with her in her resistance to being moved to a nursing home, in her preposterous flight, in her impatience in the hospital. Battered, depleted, suffering, she rages with her last breath against the dying of the light. The Stone Angel is a fine novel, admirably written and sustained by unfailing insight.""—Granville Hicks, Saturday Review"" The Stone Angel is a good book because Mrs. Laurence avoids sentimentality and condescension; Hagar Shipley is still passionately involved in the puzzle of her own nature. . . . Laurence's imaginative tact is strikingly at work, for surely this is what it feels like to be old.""—Paul Pickrel, Harper's",316,40,360 follower,"['Fiction', 'Canada', 'Classics', 'Canadian Literature', 'Historical Fiction', 'Literature', 'Literary Fiction', 'Fiction', 'Canada', 'Classics', 'Canadian Literature', 'Historical Fiction', 'Literature', 'Literary Fiction', 'Fiction', 'Canada', 'Classics', 'Canadian Literature', 'Historical Fiction', 'Literature', 'Literary Fiction']",643 review,"3,503 (27%)","4,659 (37%)","2,922 (23%)",953 (7%),544 (4%)
The Ambassadors,Henry James,3.64,"12,407 rating","September 24, 1903","The Ambassadors is a novel by Henry James, originally published as a serial in the North American Review (NAR).Story:Concerned that her son Chad may have become involved with a woman of dubious reputation, the formidable Mrs. Newsome sends her 'ambassador' Strether from Massachusetts to Paris to extricate him. Strether's mission, however, is gradually undermined as he falls under the spell of the city and finds Chad refined rather than corrupted by its influence and that of his charming companion, the comtesse de Vionnet. As the summer wears on, Mrs. Newsome comes to the conclusion that she must send another envoy to Paris to confront the errant Chad, and a Strether whose view of the world has changed profoundly.The third-person narrative is told exclusively from Strether's point of view.Extract:After the opera, Strether tells Chad why he has come to Paris. However, as he speaks, Strether finds himself less certain of his stance. Chad, once callow and juvenile, now seems confident and restrained. His new personality impresses Strether, who wonders what—or who—has caused Chad’s transformation. Chad asks Strether to stay and meet his close friends, a mother and a daughter, who are arriving in a few days time. Strether, wondering if one of these women has been the impetus for Chad’s improvement, and assuming the daughter to be Chad’s lover, agrees to stay. Meanwhile, Bilham convinces Strether that Chad has a “virtuous attachment”—and that Chad’s relationship with the mysterious woman is innocent. Strether eventually meets the women, Madame de Vionnet and her daughter, Jeanne, at a high society party, but he does not see them long enough to cement an impression. After the brief introduction to Madame de Vionnet, Strether finds himself alone with little Bilham. Strether takes the opportunity to offer Bilham some sage advice: live all you can before it is too late. This advice exposes Strether’s own change since coming to Europe. In Paris, he feels renewed, young again, doubly alive. Over...",528,"4,415","3,466 follower","['Classics', 'Fiction', 'Literature', 'Novels', 'American', '20th Century', 'Literary Fiction', 'Classics', 'Fiction', 'Literature', 'Novels', 'American', '20th Century', 'Literary Fiction', 'Classics', 'Fiction', 'Literature', 'Novels', 'American', '20th Century', 'Literary Fiction']",765 review,"3,340 (26%)","3,851 (31%)","3,274 (26%)","1,251 (10%)",691 (5%)
The Raj Quartet,Paul Scott,4.49,"1,017 rating","January 1, 1976","The Raj A Division of the Spoils, The Towers of Silence, The Day of the Scorpion, The Jewel in the Crown (Four Volume Boxed Set).",1985,184,140 follower,"['Fiction', 'Historical Fiction', 'India', 'Historical', 'Literature', 'Classics', 'Novels']",84 review,643 (63%),273 (26%),72 (7%),17 (1%),12 (1%)
Under Milk Wood,Dylan Thomas,4.03,"9,345 rating","March 1, 1954","A moving and hilarious account of a spring day in a small Welsh coastal town, Under Milk Wood is ""lyrical, impassioned and funny, an Our Town given universality"" (The New Statesman and Nation).",121,505,"1,274 follower","['Plays', 'Poetry', 'Fiction', 'Classics', 'Drama', 'Theatre', 'Literature']",677 review,"3,861 (41%)","3,020 (32%)","1,631 (17%)",552 (5%),281 (3%)
The Caucasian Chalk Circle,Bertolt Brecht,3.75,"8,449 rating","January 1, 1945","Few authors have had such a dramatic effect as Bertolt Brecht. His work has helped to shape a generation of writers, theatergoers, and thinkers. His plays are studied worldwide as texts that changed the face of theater. The Caucasian Chalk Circle is a parable inspired by the Chinese play Chalk Circle. Written at the close of World War II, the story is set in the Caucasus Mountains of Georgia. It retells the tale of King Solomon and a child claimed by and fought over by two mothers. But this chalk circle is metaphorically drawn around a society misdirected in its priorities. Brecht's statements about class are cloaked in the innocence of a fable that whispers insistently to the audience.No translations of Brecht's work are as reliable and compelling as Eric Bentley's. These versions are widely viewed as the standard renderings of Brecht's work, ensuring that future generations of readers will come in close contact with the work of a playwright who introduced a new way of thinking about the theater.",136,"1,410","1,722 follower","['Plays', 'Drama', 'Classics', 'Theatre', 'German Literature', 'Fiction', 'Germany', 'Plays', 'Drama', 'Classics', 'Theatre', 'German Literature', 'Fiction', 'Germany', 'Plays', 'Drama', 'Classics', 'Theatre', 'German Literature', 'Fiction', 'Germany']",291 review,"2,278 (26%)","3,007 (35%)","2,192 (25%)",689 (8%),283 (3%)
The Towers of Silence,Paul Scott,4.27,"1,408 rating","January 1, 1971","India, 1943: In a regimental hill station, the ladies of Pankot struggle to preserve the genteel façade of British society amid the debris of a vanishing empire and World War II. A retired missionary, Barbara Batchelor, bears witness to the connections between many human dramas; the love between Daphne Manner and Hari Kumar; the desperate grief an old teacher feels for an India she cannot rescue; and the cruelty of Captain Ronald Merrick.",399,184,140 follower,"['Fiction', 'Historical Fiction', 'India', 'Historical', 'Classics', 'Literature', '20th Century']",103 review,666 (47%),515 (36%),185 (13%),29 (2%),13 (<1%)
Emily's Quest,L.M. Montgomery,4.12,"20,109 rating","January 1, 1927","Emily knows she's going to be a great writer. She also knows that she and her childhood sweetheart, Teddy Kent, will conquer the world together. But when Teddy leaves home to pursue his goal to become an artist at the School of Design in Montreal, Emily's world collapses. With Teddy gone, Emily agrees to marry a man she doesn't love ... as she tries to banish all thoughts of Teddy. In her heart, Emily must search for what being a writer really means....",228,"2,111",11.5k follower,"['Classics', 'Fiction', 'Young Adult', 'Historical Fiction', 'Romance', 'Canada', 'Childrens']","1,108 review","8,337 (41%)","6,982 (34%)","3,832 (19%)",797 (3%),161 (<1%)
A Widow for One Year,John Irving,3.77,"62,426 rating","January 1, 1998","“One night when she was four and sleeping in the bottom bunk of her bunk bed, Ruth Cole woke to the sound of lovemaking—it was coming from her parents’ bedroom.”This sentence opens John Irving’s ninth novel, A Widow for One Year, a story of a family marked by tragedy. Ruth Cole is a complex, often self-contradictory character—a “difficult” woman. By no means is she conventionally “nice,” but she will never be forgotten.Ruth’s story is told in three parts, each focusing on a critical time in her life. When we first meet her—on Long Island, in the summer of 1958—Ruth is only four.The second window into Ruth’s life opens on the fall of 1990, when she is an unmarried woman whose personal life is not nearly as successful as her literary career. She distrusts her judgment in men, for good reason.A Widow for One Year closes in the autumn of 1995, when Ruth Cole is a forty-one-year-old widow and mother. She’s about to fall in love for the first time.Richly comic, as well as deeply disturbing, A Widow for One Year is a multilayered love story of astonishing emotional force. Both ribald and erotic, it is also a brilliant novel about the passage of time and the relentlessness of grief.Source: john-irving.com",576,133,14.8k follower,"['Fiction', 'Contemporary', 'Literature', 'Novels', 'Literary Fiction', 'American', 'The United States Of America']","2,955 review","14,883 (23%)","24,834 (39%)","17,303 (27%)","4,251 (6%)","1,155 (1%)"
