title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,no_of_books_by_author,author_followers,genres,no_of_reviews,five_star_ratings,four_star_ratings,three_star_ratings,two_star_ratings,one_star_ratings
The War Against Boys: How Misguided Feminism Is Harming Our Young Men,Christina Hoff Sommers,3.93,"1,515 rating","January 1, 2000","Despite popular belief, American boys tag behind girls in reading and writing ability, and they are less likely to go to college. Our young men are greatly at risk, yet the best-known studies and experts insist that it's girls who are in need of our attention. The highly publicized ""girl crisis"" has led to many changes in American schools, politics, and parenting...but at what cost? In this provocative book, Christina Hoff Sommers argues that our society has continued to overemphasize the troubles of girls while our boys suffer from the same self-esteem and academic problems. Boys need help, but not the sort of help they've been getting.",256,16,302 follower,"['Nonfiction', 'Politics', 'Feminism', 'Sociology', 'Education', 'Parenting', 'Philosophy']",222 review,509 (33%),575 (37%),292 (19%),90 (5%),49 (3%)
Claudine in Paris,Colette,3.80,964 rating,"January 1, 1901","At the age of seventeen Claudine is in despair having left her beloved Montigny for a new life in Paris. Comforted by her devoted maid Melie, her slug-obsessed Papa, and the trustworthy cat Fanchette, Claudine's instinctive curiosity gradually leads to an awakened interest in the city. Ruthless, impetuous and chastely sensual Claudine records her witty observations and adventures amongst the intriguing characters that surround her, evoking the glamour and excitement of Parisian life.",176,555,"1,498 follower","['Fiction', 'Classics', 'France', 'LGBT', '20th Century', 'French Literature', 'Literature', 'Fiction', 'Classics', 'France', 'LGBT', '20th Century', 'French Literature', 'Literature', 'Fiction', 'Classics', 'France', 'LGBT', '20th Century', 'French Literature', 'Literature']",85 review,225 (23%),399 (41%),275 (28%),56 (5%),9 (<1%)
Gain,Richard Powers,3.76,"1,129 rating","January 1, 1998","FROM THE MAN BOOKER PRIZE SHORTLISTED AUTHOR OF THE OVERSTORYRichard Powers' novel is a fascinating and profound exploration of the interaction of an individual human life and a corporate one. It tells two stories: the first that of an American company, which starts as a small family soap and candle-making firm in the early 1800s, and ends as a vast pharmaceuticals-to-pesticides combine in the 1990s. The second is that of a contemporary woman, living in the company town, who during the course of the novel is diagnosed and then finally dies of cancer, a cancer that is almost certainly caused by exposure to chemical wastes from the company's factories.Richly intellectually stimulating, deeply moving and beautifully written, Gain is very much a 'Great American Novel', an exploration of the history, uniqueness and soul of America, in the tradition of Underworld. But it is most reminiscent of Graham Swift's Waterland, another novel that combines history, both public and private, with contemporary lives, showing how individuals are both the victims and shapers of large-scale historical and economic forces",355,348,"4,662 follower","['Fiction', 'Literary Fiction', 'Novels', 'The United States Of America', 'Health', 'American', 'Historical Fiction']",115 review,274 (24%),457 (40%),285 (25%),77 (6%),36 (3%)
Artifact,Gregory Benford,3.47,"1,210 rating","January 1, 1985","A black rock cube topped with an amber horn, found in the long buried ruins of a 3500-year-old tomb. Its discovery triggered a global storm of intrigue and espionage, international theft and hijacking, diplomacy and war - even before its mystery became known: The artifact should not have been in a Mycenaean tomb. And what was inside the artifact should not have been on Earth at all.",544,554,571 follower,"['Science Fiction', 'Fiction', 'Thriller', 'Science Fiction Fantasy', 'Horror', 'Hard Science Fiction', 'Suspense']",77 review,189 (15%),409 (33%),434 (35%),138 (11%),40 (3%)
The Case of the Perjured Parrot,Erle Stanley Gardner,4.05,"1,452 rating","January 1, 1939",The only witness to a millionaire’s murder is a parrot that keeps repeating phrases that may identify the killer.,282,"1,110",729 follower,"['Mystery', 'Fiction', 'Crime', 'Detective', 'Audiobook', 'Mystery Thriller', 'Classics']",116 review,499 (34%),584 (40%),316 (21%),43 (2%),10 (<1%)
"Marxism, Freedom and the State",Mikhail Bakunin,3.62,155 rating,"January 1, 1950","Marxism, Freedom and the State is a collection of essays and letters by the Russian anarchist philosopher and revolutionary, Mikhail Bakunin. In this book, Bakunin critiques the ideology of Marxism, arguing that it ultimately leads to a dictatorship of the proletariat and the concentration of power in the state. He advocates for a decentralized, anarchist society that prioritizes individual freedom and direct democracy.Bakunin's writings cover a range of topics, including his disagreements with Karl Marx and the First International, his views on the role of the state and the need for revolutionary action, and his vision for a society based on mutual aid and cooperation. He also discusses the relationship between anarchism and other political ideologies, such as socialism and liberalism.Marxism, Freedom and the State is an important work in the history of anarchist thought, and remains relevant to contemporary debates about the role of the state, the nature of power, and the possibilities for radical social change.Its principal point is the conquest of political power by the working class. One can understand that men as indispensable as Marx and Engels should be the partisans of a programme which, consecrating and approving political power, opens the door to all ambitions. Since there will be political power there will necessarily be subjects, got up in Republican fashion, as citizens, it is true, but who will none the less be subjects, and who as such will be forced to obey.This scarce antiquarian book is a facsimile reprint of the old original and may contain some imperfections such as library marks and notations. Because we believe this work is culturally important, we have made it available as part of our commitment for protecting, preserving, and promoting the world's literature in affordable, high quality, modern editions, that are true to their original work.",56,166,497 follower,"['Politics', 'Philosophy', 'Nonfiction', 'Theory', 'Russia', '19th Century', 'History']",15 review,28 (18%),63 (40%),48 (30%),9 (5%),7 (4%)
Handcarved Coffins: A Nonfiction Account of an American Crime,Truman Capote,3.68,"1,527 rating","January 1, 1980",Ataúdes de artesanía es un relato intenso y real. Un detective amigo de Capote investiga unos casi irresolubles crímenes y se enfrenta a una mente perversa y vengativa.,141,337,"6,348 follower","['Fiction', 'Short Stories', 'Novels', 'Mystery', 'Crime', 'American', 'Classics']",177 review,313 (20%),572 (37%),503 (32%),112 (7%),27 (1%)
"Much Obliged, Jeeves",P.G. Wodehouse,4.21,"5,954 rating","October 15, 1971",It is a time of stress at Market Snodsbury as Bertie endeavours to protect himself from the affections of Madeline Bassett. It’s a problem that calls for the massive brain of Jeeves.,203,"1,129","6,441 follower","['Fiction', 'Humor', 'Classics', 'Comedy', 'British Literature', 'Historical Fiction', 'Audiobook']",451 review,"2,416 (40%)","2,502 (42%)",930 (15%),87 (1%),19 (<1%)
Kalakuta Republic,Chris Abani,4.29,110 rating,"September 1, 2000",This powerful collection of poems details the harrowing experiences endured by Abani and other political prisoners at the hands of Nigeria’s military regime in the late 1980s.,116,55,256 follower,"['Poetry', 'Nigeria', 'African Literature', 'School', 'Biography']",10 review,57 (51%),33 (30%),17 (15%),1 (<1%),2 (1%)
Science Fiction,Sylvia Z. Brodkin,4.38,21 rating,"January 1, 1973","ContentsThe Sentinel [A Space Odyssey] (1951) short story by Arthur C. ClarkeZero Hour (1947) short story by Ray BradburyHarrison Bergeron (1961) short story by Kurt Vonnegut, Jr.Chief (1960) short story by Henry SlesarLitterbug (1969) novelette by Tony MorphettGreen Patches (1950) short story by Isaac AsimovThe Yellow Pill (1958) short story by Rog PhillipsEnchanted Village (1950) short story by A. E. van VogtOf Missing Persons (1955) short story by Jack Finney""—And He Built a Crooked House"" (1941) novelette by Robert A. HeinleinA Sound of Thunder (1952) short story by Ray BradburyThe Winner (1970) short story by Donald E. WestlakeSummertime on Icarus (1960) short story by Arthur C. ClarkeBy the Waters of Babylon (1937) short story by Stephen Vincent BenétHEMEAC (1968) short story by E. G. Von WaldPrisoners of Paradise (1966) short story by David ReddVictory Parade (1957) short story by Henry SlesarA Projection (1955) poem by Reed WhittemoreWe'll All Be Space-Men Before We Die (1968) poem by Mike Evans (II)Ghost Crabs (1966) poem by Ted HughesMushrooms (1969) poem by Mike Evans (II)Mushrooms (1960) poem by Sylvia PlathA.D. 2267 (1967) poem by John Frederick NimsAfterwards (1964) poem by Edward Lucie-SmithVoyage to the Moon (1964) poem by William DickeyThe Flight of Apollo (1969) poem by Stanley KunitzOrbiter 5 Shows How Earth Looks from the Moon (1969) poem by May SwensonOff Course (1967) poem by Edwin MorganI Am A (1969) poem by Lenore MarshallSpace Man (1969) poem by Babette DeutschElectronic Concert (1963) poem by Babette DeutschAnd It Will Serve Us Right (1969) essay by Isaac Asimov Europe After the Rain interior artwork by Max Ernst Sun and Forest interior artwork by Max Ernst Fool from the Depths interior artwork by Paul Klee The Melancholy and Mystery of a Street interior artwork by Giorgio de Chirico The Earth Is a Man interior artwork by Roberto Matta The Aliens interior artwork by Wolfgang Paalen A Large Painting Which Is a Landscape interior artwork by Yves Tanguy The Dead Child interior artwork by Miljenko StancicMoonshot Sonnet poem by Mary Ellen Solt Person Throwing a Stone at a Bird interior artwork by Joan Miro Eyeball of the Sun interior artwork by Bernard Childs The Sea interior artwork by Max Ernst The Castle of the Pyrenees interior artwork by René Magritte The Whole City interior artwork by Max Ernst Untitled Box No. 3 interior artwork by Lucas Samaris On the Threshold of Freedom interior artwork by René Magritte Male Figure interior artwork by Nancy Grossman Peruvian Mummy Mask interior artwork by uncredited Mechanical Head interior artwork by Raoul Hausmann Man Falling Forward interior artwork by Juan Genoves Two Dancers interior artwork by Haniwa Mama, Papa Is Wounded! interior artwork by Yves Tanguy Village Dance Mask from Ceylon interior artwork by uncredited Piége interior artwork by Herve Telemaque Head interior artwork by Rudolph Belling Butterflies interior artwork by M. C. Escher Puddle interior artwork by M. C. Escher Equivocation interior artwork by Ben Cunningham Up and Down interior artwork by M. C. Escher The Phases of the Night interior artwork by Max Ernst Photographic Evidence interior artwork by Juan Genoves",247,4,4 book,"['Science Fiction', 'Short Stories']",6 review,11 (52%),8 (38%),1 (4%),1 (4%),0 (0%)
