title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,genres,author_followers,no_of_reviews,no_of_books_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
"Thank You, Jeeves",P.G. Wodehouse,4.18,"18,101 rating","January 1, 1933","Bertram Wooster's interminable banjolele playing has driven Jeeves, his otherwise steadfast gentleman's gentleman, to give notice. The foppish aristocrat cannot survive for long without his Shakespeare-quoting and problem-solving valet, however, and after a narrowly escaped forced marriage, a cottage fire, and a great butter theft, the celebrated literary odd couple are happy to return to the way things were.",230,"['Fiction', 'Humor', 'Classics', 'Comedy', 'British Literature', 'Audiobook', '20th Century']","6,441 follower","1,408 review","1,129",193 (1%),480 (2%),"2,778 (15%)","7,054 (38%)","7,596 (41%)"
Mrs. 'Arris Goes to Paris,Paul Gallico,3.93,"4,518 rating","January 1, 1958","Mrs Harris is a salt-of-the-earth London charlady who cheerfully cleans the houses of the rich. One day, when tidying Lady Dant's wardrobe, she comes across the most beautiful thing she has ever seen in her life - a Dior dress. In all the years of her drab and humble existence, she's never seen anything as magical as the dress before her and she's never wanted anything as much before. Determined to make her dream come true, Mrs Harris scrimps, saves and slaves away until one day, after three long, uncomplaining years, she finally has enough money to go to Paris. When she arrives at the House of Dior, Mrs Harris has little idea of how her life is about to be turned upside down and how many other lives she will transform forever. Always kind, always cheery and always winsome, the indomitable Mrs Harris takes Paris by storm and learns one of life's greatest lessons along the way. This treasure from the 1950s introduces the irrepressible Mrs Harris, part charlady, part fairy-godmother, whose adventures take her from her humble London roots to the heights of glamour.",157,"['Fiction', 'Classics', 'France', 'Humor', 'Historical Fiction', 'British Literature', 'Romance', 'Fiction', 'Classics', 'France', 'Humor', 'Historical Fiction', 'British Literature', 'Romance', 'Fiction', 'Classics', 'France', 'Humor', 'Historical Fiction', 'British Literature', 'Romance']",286 follower,705 review,186,52 (1%),193 (4%),"1,050 (23%)","1,934 (42%)","1,289 (28%)"
Black Girl Lost,Donald Goines,4.32,"2,607 rating","January 1, 1973","In this shocking novel of a young girl alone on the streets, Goines delves into yet another facet of the ghetto experience-the dark, despair-ridden world of a black girl s soul! Sandra took to the streets when she was eight years old and tried to fight off the hunger pangs by shoplifting and moving into the profits of drug pushing. The she met Chink and discovered love and affection...and rape and murder!",208,"['Fiction', 'African American', 'Urban', 'Audiobook', 'Classics', 'Cultural', 'African American Literature']",681 follower,248 review,37,32 (1%),65 (2%),355 (13%),740 (28%),"1,415 (54%)"
Can I Get There by Candlelight?,Jean Slaughter Doty,4.24,500 rating,"January 1, 1980","Lonely and unhappy after her family moves to the East and with only her pony, Candlelight, for company, Gail meets Hilary who is later killed in a pony-cart accident",111,"['Time Travel', 'Horses', 'Childrens', 'Young Adult', 'Middle Grade', 'Fantasy', 'Fiction', 'Time Travel', 'Horses', 'Childrens', 'Young Adult', 'Middle Grade', 'Fantasy', 'Fiction', 'Time Travel', 'Horses', 'Childrens', 'Young Adult', 'Middle Grade', 'Fantasy', 'Fiction']",23 follower,59 review,20,4 (<1%),16 (3%),79 (15%),157 (31%),244 (48%)
Kein Keks für Kobolde,Cornelia Funke,4.12,400 rating,"January 1, 1989","Die kleinen Kobolde Neunauge, Feuerkopf und Siebenpunkt sind hungrig, denn der Winter ist früher gekommen als erwartet. Am liebsten würden sie sich ja von Ravioli, Äpfeln und Keksen ernähren, aber damit sieht es schlecht aus. An Vorräte haben sie nämlich nicht gedacht. So müssen sie sich in Abenteuer stürzen, um nicht zu verhungern. Als sie sich dann aber mit dem »weißen Kobold« anlegen, wird die Lage richtig brenzlig.",234,"['Fantasy', 'Childrens', 'German Literature', 'Middle Grade']",13k follower,23 review,360,3 (<1%),8 (2%),79 (19%),157 (39%),153 (38%)
Wanderer,Sterling Hayden,4.22,638 rating,"January 1, 1963","Since its publication in 1963, Sterling Hayden's autobiography, Wanderer, has been surrounded by controversy. The author was at the peak of his earning power as a movie star when he suddenly quit. He walked out on Hollywood, walked out of a shattered marriage, defied the courts, broke as an outlaw, set sail with his four children in the schooner Wanderer--bound for the South Seas. His attempt to escape launched his autobiography. It is the candid, sometimes painfully revealing confession of a man who scrutinized his every self-defeat and self-betrayal in the unblinking light of conscience.",452,"['Nonfiction', 'Biography', 'Memoir', 'Travel', 'Film', 'Adventure', 'Classics']",23 follower,73 review,10,9 (1%),25 (3%),81 (12%),223 (34%),300 (47%)
Lucky,Alice Sebold,3.77,"99,904 rating","August 4, 1999","In a memoir hailed for its searing candor and wit, Alice Sebold reveals how her life was utterly transformed when, as an eighteen-year-old college freshman, she was brutally raped and beaten in a park near campus. What propels this chronicle of her recovery is Sebold's indomitable spirit - as she struggles for understanding (""After telling the hard facts to anyone, from lover to friend, I have changed in their eyes""); as her dazed family and friends sometimes bungle their efforts to provide comfort and support; and as, ultimately, she triumphs, managing through grit and coincidence to help secure her attacker's arrest and conviction. In a narrative by turns disturbing, thrilling, and inspiring, Alice Sebold illuminates the experience of trauma victims even as she imparts wisdom profoundly hard-won: ""You save yourself or you remain unsaved.""",243,"['Nonfiction', 'Memoir', 'Biography', 'True Crime', 'Biography Memoir', 'Autobiography', 'Adult']","4,854 follower","4,661 review",29,"2,479 (2%)","6,751 (6%)","27,074 (27%)","38,222 (38%)","25,378 (25%)"
Μικρό βιβλίο για μεγάλα όνειρα,Tasos Leivaditis,4.54,271 rating,"January 1, 1987",,76,"['Poetry', 'Poetry', 'Poetry']",69 follower,19 review,42,2 (<1%),2 (<1%),16 (5%),80 (29%),171 (63%)
The Transitional Program for Socialist Revolution,Leon Trotsky,4.21,401 rating,"May 1, 1938","Contains discussions between leaders of the U.S Socialist Workers Party and exiled revolutionary Leon Trotsky in 1938. The product of these discussions, a program of immediate, democratic and transitional demands, was adopted by the SWP later that year. This program for socialist revolution, remains an important tool for communist workers today.",223,"['Politics', 'Nonfiction', 'Theory', 'Philosophy', 'History', 'Classics', 'Political Science']",651 follower,28 review,964,12 (2%),25 (6%),42 (10%),109 (27%),213 (53%)
Amazing ghosts & other mysteries,Peter Eldin,3.83,6 rating,"January 1, 1988","Recounts ghost stories both funny and frightening, about poltergeists, animal ghosts, and phantom skulls, and also tales of unexplained and mysterious phenomena, miracles, appearances, and disappearances.",128,"['Ghost Stories', 'Ghost Stories', 'Ghost Stories']",2 follower,2 review,148,0 (0%),1 (16%),1 (16%),2 (33%),2 (33%)
