title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,genres,author_followers,no_of_reviews,no_of_books_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
Live From Death Row,Mumia Abu-Jamal,4.23,"2,464 rating","May 1, 1995","Here for the first time are the prison writings of Abu-Jamal--including the censored commentaries from NPR--an unflinching account of the brutalities, humiliations and actrocities of prison life. Articulate and compelling, the work is certain to fuel the controversy surrounding capital punishment and freedom of speech.",215,"['Nonfiction', 'Politics', 'Memoir', 'Race', 'Biography', 'History', 'Social Justice']",230 follower,118 review,53,34 (1%),75 (3%),368 (14%),790 (32%),"1,197 (48%)"
Poems,Emily Dickinson,4.23,"2,400 rating","160 pages, PaperbackPublished October 10, 1995","The more than one hundred poems presented here are some of Emily Dickinson's finest works. These unique and gemlike lyrics are pure distillations of profound feeling and great intellect. They contain a world of imagination, observation, and precisely articulated spiritual and emotional experience. Unlike other editions of Dickinson's work, which contain the public-domain versions of poems published shortly after her death, the ones reprinted here are reconstructions based on Dickinson's original manuscripts.",160,"['Poetry', 'Classics', 'Fiction', '19th Century', 'Womens', 'American', 'Literature', 'Poetry', 'Classics', 'Fiction', '19th Century', 'Womens', 'American', 'Literature', 'Poetry', 'Classics', 'Fiction', '19th Century', 'Womens', 'American', 'Literature']","5,861 follower",47 review,"1,352",32 (1%),77 (3%),358 (14%),782 (32%),"1,151 (47%)"
Batman: Gotham by Gaslight,Brian Augustyn,3.87,"13,011 rating","November 28, 1989",Presenting for the first time the adventures of the Victorian Era Batman in one 112-page edition! This volume includes the breakthrough Elseworlds specials Gotham by Gaslight and Master of the Future that pit the Dark Knight against Jack the Ripper and a death-dealer from the skies over Gotham!This edition collects the two one-shots: Gotham by Gaslight and Master of the Future.,112,"['Comics', 'Graphic Novels', 'Batman', 'Dc Comics', 'Superheroes', 'Fiction', 'Comic Book', 'Comics', 'Graphic Novels', 'Batman', 'Dc Comics', 'Superheroes', 'Fiction', 'Comic Book', 'Comics', 'Graphic Novels', 'Batman', 'Dc Comics', 'Superheroes', 'Fiction', 'Comic Book', 'Comics', 'Graphic Novels', 'Batman', 'Dc Comics', 'Superheroes', 'Fiction', 'Comic Book', 'Comics', 'Graphic Novels', 'Batman', 'Dc Comics', 'Superheroes', 'Fiction', 'Comic Book']",34 follower,550 review,356,156 (1%),794 (6%),"3,632 (27%)","4,408 (33%)","4,021 (30%)"
The Pure and the Impure,Colette,3.63,"2,013 rating","January 1, 1932","Colette herself considered The Pure and the Impure her best book, ""the nearest I shall ever come to writing an autobiography."" This guided tour of the erotic netherworld with which Colette was so intimately acquainted begins in the darkness and languor of a fashionable opium den. It continues as a series of unforgettable encounters with men and, especially, women whose lives have been improbably and yet permanently transfigured by the strange power of desire. Lucid and lyrical, The Pure and the Impure stands out as one of modern literature's subtlest reckonings, not only with the varieties of sexual experience, but with the always unlikely nature of love.",208,"['Fiction', 'France', 'Classics', 'French Literature', 'LGBT', 'Queer', 'Literature', 'Fiction', 'France', 'Classics', 'French Literature', 'LGBT', 'Queer', 'Literature', 'Fiction', 'France', 'Classics', 'French Literature', 'LGBT', 'Queer', 'Literature', 'Fiction', 'France', 'Classics', 'French Literature', 'LGBT', 'Queer', 'Literature', 'Fiction', 'France', 'Classics', 'French Literature', 'LGBT', 'Queer', 'Literature']","1,498 follower",194 review,555,45 (2%),207 (10%),635 (31%),682 (33%),444 (22%)
Weird & Wonderful Wildlife,Michael Marten,4.71,7 rating,"December 31, 1982","Book by Marten, May, Taylor",224,"['Animals', 'Animals', 'Animals', 'Animals', 'Animals']",26 book,0 review,26,0 (0%),0 (0%),0 (0%),2 (28%),5 (71%)
დავით აღმაშენებელი. წიგნი III - IV,Konstantine Gamsakhurdia,4.53,133 rating,"January 1, 1975","ეს რომანი მიძღვნილია ქართველ მეფეზე და მის პირად ცხოვრებაზე. დავითი თავის უახლოეს მეგობრებთან ერთად იღწვის ქვეყნის გაძლიერებისთვის, მაგრამ ეს ყოველივე დიდ ხარკს მოითხოვს რადგან უნდა შესწირონ მამულს ყველაფერი,თავიანთი პირადი ცხოვრება და სიცოცხლე.",720,"['Georgian', 'Historical Fiction']",152 follower,8 review,31,1 (<1%),5 (3%),8 (6%),27 (20%),92 (69%)
Endymion,Dan Simmons,4.19,"60,669 rating","January 1, 1996","The multiple-award-winning SF master returns to the universe that is his greatest success--the world of Hyperion and The Fall of Hyperion--to tell a story of love and memory, triumph and terror in a novel even more magnificent than its predecessors.",468,"['Science Fiction', 'Fiction', 'Fantasy', 'Space Opera', 'Science Fiction Fantasy', 'Audiobook', 'Time Travel']",11.9k follower,"2,034 review",314,511 (<1%),"1,949 (3%)","9,183 (15%)","23,082 (38%)","25,944 (42%)"
"The Inklings: C.S. Lewis, J.R.R. Tolkien, Charles Williams, and Their Friends",Humphrey Carpenter,3.95,"3,485 rating","January 1, 1978","Drawing on unpublished letters and diaries, the author examines the friendship between and the social and literary gatherings of Lewis, Tolkien, and Williams who laughingly called themselves the Inklings",287,"['Biography', 'Nonfiction', 'History', 'Biography Memoir', 'Christian', 'Audiobook', 'Christianity']",73 follower,253 review,85,111 (3%),166 (4%),731 (20%),"1,268 (36%)","1,209 (34%)"
Rubicon Beach,Steve Erickson,4.01,671 rating,"January 1, 1986","A prisoner with a haunted past is released into ravaged Los Angeles, where he pursues an elusive girl to the shores or Rubicon Beach and faces his lost destiny. In his second novel, Steve Erickson creates a decaying world filled with leftover passions and poetic vision that established him as one of the most original and evocative American writers of his generation.",304,"['Fiction', 'Science Fiction', 'Dystopia', 'Fantasy', 'Literature', 'Science Fiction Fantasy', 'American']",426 follower,51 review,60,6 (<1%),33 (4%),135 (20%),274 (40%),223 (33%)
The Sniper,Liam O'Flaherty,3.73,"1,211 rating","January 1, 1923","A trained sniper doing his job during the Irish Civil War faces a shocking turn of events, after killing an enemy.","First published January 1, 1923","['Short Stories', 'Classics', 'School', 'Historical Fiction', 'Fiction', 'War', 'Irish Literature']",59 follower,127 review,134,39 (3%),104 (8%),315 (26%),437 (36%),316 (26%)
