title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,no_of_books_by_author,author_followers,genres,no_of_reviews,five_star_ratings,four_star_ratings,three_star_ratings,two_star_ratings,one_star_ratings
Violence and the Sacred,René Girard,4.15,"1,165 rating","January 1, 1972","Violence and the Sacred is Rene Girard's landmark study of human evil. Here Girard explores violence as it is represented and occurs throughout history, literature and myth. Girard's forceful and thought-provoking analyses of Biblical narrative, Greek tragedy and the lynchings and pogroms propagated by contemporary states illustrate his central argument that violence belongs to everyone and is at the heart of the sacred.",352,120,636 follower,"['Philosophy', 'Nonfiction', 'Anthropology', 'Religion', 'Psychology', 'History', 'Theology']",112 review,471 (40%),451 (38%),196 (16%),39 (3%),8 (<1%)
Mariel of Redwall,Brian Jacques,4.00,"28,399 rating","January 1, 1992","In the fourth volume of the epic Redwall saga, a mouse-ship is attacked by the pirate rat Gabool and his heinous band of cut-throats. Hapless voyagers Mariel and her father Joseph the Bellmaker are mercilessly thrown into the sea by the pirates. Mariel washes ashore, starved and near death, and is taken in by the hospitable inhabitants of Redwall Abbey. Sure that her poor father is dead, Mariel swears an oath of vengeance against the filthy pirates who killed her father. With he help of a motley band of animals, Mariel leads the charge to recover a bell and avenge her father.  About the Author:Brian Jacques was born in Liverpool, England, in 1939. Growing up on the docks of Liverpool, he attended St. John's School. He went on to work as a radio show host, playwright, longshoreman, lorry driver, folk singer and comedian prior to his career as a writer. The father of two sons, Jacques enjoys walking his West Highland Terrier, Teddy and spends most of his time writing. A new Redwall book is introduced once every year.",400,251,"4,028 follower","['Fantasy', 'Fiction', 'Young Adult', 'Childrens', 'Animals', 'Adventure', 'Middle Grade', 'Fantasy', 'Fiction', 'Young Adult', 'Childrens', 'Animals', 'Adventure', 'Middle Grade', 'Fantasy', 'Fiction', 'Young Adult', 'Childrens', 'Animals', 'Adventure', 'Middle Grade']",489 review,"9,408 (33%)","10,725 (37%)","7,158 (25%)",983 (3%),125 (<1%)
Butterfly Burning,Yvonne Vera,3.62,553 rating,"January 1, 1998","Butterfly Burning brings the brilliantly poetic voice of Zimbabwean writer Yvonne Vera to American readers for the first time. Set in Makokoba, a black township, in the late 1940s, the novel is an intensely bittersweet love story. When Fumbatha, a construction worker, meets the much younger Phephelaphi, he""wants her like the land beneath his feet from which birth had severed him."" He in turn fills her ""with hope larger than memory."" But Phephelaphi is not satisfied with their ""one-room"" love alone. The qualities that drew Fumbatha to her, her sense of independence and freedom, end up separating them. And the closely woven fabric of township life, where everyone knows everyone else, has a mesh too tight and too intricate to allow her to escape her circumstances on her own.Vera exploits language to peel away the skin of public and private lives. In Butterfly Burning she captures the ebullience and the bitterness of township life, as well as the strength and courage of her unforgettable heroine.",151,23,57 follower,"['Zimbabwe', 'Africa', 'Fiction', 'African Literature', 'Historical Fiction', 'Feminism', 'Womens']",65 review,145 (26%),165 (29%),155 (28%),65 (11%),23 (4%)
Farvernes uge,Elena Garro,4.27,688 rating,"January 1, 1964","Runde, orangefarvede torsdage. Den fattige skomager fra Guanajuato, der kan gå på en måde, så ingen ser ham. Tavse, lilla fredage. Kong Filip II, der kigger strengt fra sit portræt på væggen. Myrerne med deres grønne parasoller. Tiden, der har vendt sig om, som når man ser på et postkort og vender det for at se, hvad der står bagpå. Honningfarvede tæpper og hjorte, der spiser cigaretter. Nachita, der tørrer blodet af vinduet og verfer coyoterne tilbage til deres århundrede. Og hele natten, der bevæger sig fremad i en flod fuld af stjerner, munde, grene, vinde og dræbte mexicanske generaler ...Novellesamlingen Farvernes uge udkom for første gang i 1964, blot tre år før Gabriel García Márquez´ Hundred års ensomhed, og Elena Garro er ikke uberettiget blevet kaldt en forløber for genren magisk realisme. Disse tretten noveller er sprudlende og svimlende samling af fortættede universer, hvor tid og rum er flydende størrelser, som glider ind og ud af hinanden og antager nye overraskende dimensioner.",260,56,350 follower,"['Short Stories', 'Fiction', 'Womens', 'Magical Realism', 'Spanish Literature', 'Novels', 'Short Stories', 'Fiction', 'Womens', 'Magical Realism', 'Spanish Literature', 'Novels', 'Short Stories', 'Fiction', 'Womens', 'Magical Realism', 'Spanish Literature', 'Novels']",113 review,327 (47%),250 (36%),87 (12%),18 (2%),6 (<1%)
Collection of Sand,Italo Calvino,3.85,677 rating,"January 1, 1984","The last of Italo Calvino's works to appear during the author's lifetime, Collection of Sand is a group of essays never before published in English, discussing subjects ranging from cuneiform and antique maps to Mexican temples and Japanese gardens.",240,479,"7,826 follower","['Essays', 'Nonfiction', 'Italian Literature', 'Italy', 'Travel', 'Literature', 'Classics']",71 review,157 (23%),306 (45%),174 (25%),37 (5%),3 (<1%)
Darkwater: Voices from Within the Veil,W.E.B. Du Bois,4.30,850 rating,"February 1, 1920","The distinguished American civil rights leader, W. E. B. Du Bois first published these fiery essays, sketches, and poems individually nearly 80 years ago in the Atlantic, the Journal of Race Development, and other periodicals. Reflecting the author's ideas as a politician, historian, and artist, this volume has long moved and inspired readers with its militant cry for social, political, and economic reforms for black Americans. Essential reading for students of African-American history",176,388,"1,275 follower","['Nonfiction', 'History', 'Essays', 'Race', 'Philosophy', 'Poetry', 'Sociology']",91 review,416 (48%),306 (36%),103 (12%),15 (1%),10 (1%)
"...καλά, εσύ σκοτώθηκες νωρίς",Χρόνης Μίσσιος,4.50,"1,571 rating","January 1, 1985",,330,8,96 follower,"['Politics', 'Literature', 'Nonfiction', 'Biography', 'History', 'Greece', 'Philosophy', 'Politics', 'Literature', 'Nonfiction', 'Biography', 'History', 'Greece', 'Philosophy', 'Politics', 'Literature', 'Nonfiction', 'Biography', 'History', 'Greece', 'Philosophy']",63 review,942 (59%),490 (31%),119 (7%),15 (<1%),5 (<1%)
The Condition of Postmodernity: An Enquiry into the Origins of Cultural Change,David Harvey,4.16,"2,241 rating","January 1, 1989","Son yillarda gunumuz dunyasini betimlemede kullanilan ""postmodern durum"" uzerine, postmodern kultur, mimari, sanat ve toplum uzerine pek cok sey yazildi. David Harvey, Postmodernligin Durumu´nda baslangic olarak terimin farkli anlamlarini inceliyor ve modernizm sonrasi toplumsal yasantiyi anlamakta bu kavramlastirmayi kullanmanin ne olcude uygun ve yararli oldugunu tartisiyor. Ancak Postmodernligin Durumu, bir kitap olarak bundan cok daha fazlasini vaat ediyor. Yazar, Aydinlanma´dan gunumuze uzanan donem boyunca modernizmin toplumsal bir tarihini kuruyor ve modernizmin politik ve toplumsal dusunce ve hareketler icindeki, sanat, edebiyat ve mimarideki ifadelerini inceliyor. En dikkat cekici ve Harvey´e ozgu vurgulama ise, zaman ve mekin algilamalarimizin yine zaman ve mekin boyunca nasil bir degisim gosterdigi ve bu degisimin bireylerin degerleri ve toplumsal surecleri uzerinde nasil etkili oldugudur. Bu kitap sadece dogrudan sosyal bilimlerle ilgili olanlar icin degil, g",378,166,"1,429 follower","['Philosophy', 'Nonfiction', 'Theory', 'Sociology', 'History', 'Politics', 'Economics']",99 review,961 (42%),811 (36%),369 (16%),71 (3%),29 (1%)
I Was So Mad,Mercer Mayer,4.23,"18,287 rating","January 1, 1983","Mercer Mayer’s Little Critter is having quite the grumpy day in this classic, funny, and heartwarming book.Here, the Critter family says 'No' to just about everything Little Critter wants to do. He can't keep frogs in the tub, or help paint the house. Finally, mad at the world, Little Critter announces he won't put up with it anymore! Thankfully, he latter reconsiders. Whether he’s cranky on the slide or stubborn in the sandbox, everyone will relate to this beloved story. A perfect way to teach children about their emotions and how to deal with them!
Mercer Mayer's
 
Little Critter
 stories, which address all the major issues of growing up, are perennial favorites of parents and children alike.",24,693,739 follower,"['Picture Books', 'Childrens', 'Fiction', 'Emotion', 'Animals', 'Kids', 'Fantasy']",265 review,"9,543 (52%)","4,569 (24%)","3,238 (17%)",667 (3%),270 (1%)
Cape Fear,John D. MacDonald,4.06,"13,997 rating","January 1, 1957","An insane criminal threatens to destroy a family, and the police are powerless to protect them.For fourteen years convicted rapist Max Cady nursed his hatred for Sam Bowden into an insane passion for revenge. He lived only for the day he would be free—free to track down and destroy the man who had put him behind bars.Murder was merciful compared to what Cady had in mind—and what Cady had in mind was Bowden's innocent and lovely teenaged daughter....""A powerful and frightening story."" —The New York Times",224,473,"1,218 follower","['Fiction', 'Thriller', 'Mystery', 'Horror', 'Crime', 'Classics', 'Suspense']",410 review,"5,276 (37%)","5,129 (36%)","2,870 (20%)",566 (4%),156 (1%)
