title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,no_of_books_by_author,author_followers,genres,no_of_reviews,five_star_ratings,four_star_ratings,three_star_ratings,two_star_ratings,one_star_ratings
The Intuitionist,Colson Whitehead,3.64,"14,351 rating","January 1, 1999","Librarian note: Click here for alternate cover editionTwo warring factions in the Department of Elevator Inspectors in a bustling metropolis vie for dominance: the Empiricists, who go by the book and rigorously check every structural and mechanical detail, and the Intuitionists, whose observational methods involve meditation and instinct. Lila Mae Watson, the city’s first black female inspector and a devout Intuitionist with the highest accuracy rate in the department, is at the center of the turmoil. An elevator in a new municipal building has crashed on Lila Mae’s watch, fanning the flames of the Empiticist-Intuitionist feud and compelling Lila Mae to go underground to investigate. As she endeavors to clear her name, she becomes entangled in a web of intrigue that leads her to a secret that will change her life forever.A dead-serious and seriously funny feat of the imagination, The Intuitionist conjures a parallel universe in which latent ironies in matters of morality, politics, and race come to light, and stands as the celebrated debut of an important American writer.",255,34,16.6k follower,"['Fiction', 'Science Fiction', 'Mystery', 'Literary Fiction', 'African American', 'Novels', 'Fantasy']","1,714 review","2,922 (20%)","5,342 (37%)","4,374 (30%)","1,354 (9%)",359 (2%)
Kolyma Tales,Varlam Shalamov,4.36,"8,108 rating","January 1, 1966","It is estimated that some three million people died in the Soviet forced-labour camps of Kolyma, in the northeastern area of Siberia. Shalamov himself spent seventeen years there, and in these stories he vividly captures the lives of ordinary people caught up in terrible circumstances, whose hopes and plans extended to further than a few hours. This new enlarged edition combines two collections previously published in the United States as Kolyma Tales and Graphite.",508,59,196 follower,"['History', 'Russia', 'Short Stories', 'Nonfiction', 'Russian Literature', 'Classics', 'Literature', 'History', 'Russia', 'Short Stories', 'Nonfiction', 'Russian Literature', 'Classics', 'Literature', 'History', 'Russia', 'Short Stories', 'Nonfiction', 'Russian Literature', 'Classics', 'Literature']",580 review,"4,471 (55%)","2,465 (30%)",860 (10%),209 (2%),103 (1%)
Femeia în Roșu: Roman Retro,Adriana Babeți,3.72,223 rating,"January 1, 1990","„Femeia in rosu este considerata o carte de virf a valului celui mai recent de literatura romana, un roman postmodern. Un etalon al romanului romanesc."" (Ion Bogdan Lefter)„Femeia in rosu, demonstratie teoretica si practica de virtuozitate, este o etalare de forta exact in momentul in care viata se pregateste sa-si ia revansa asupra artificialului, adica atunci cind memoriile, autofictiunea, jurnalele si dezlantuirile amoroase dadeau sa ecluzeze manierata, stilata, rafinata «doamna» optzecista."" (Simona Sora)„E o carte-puzzle, multietajata, minutios imbricata, in care alterneaza registre si tonuri narative de o neobisnuita bogatie si in care «peticele» intertextuale realizeaza un colaj in care nuantele diverselor epoci colizioneaza intr-un haos ordonat. Nu forma cartii este insa lucrul cel mai important in cazul Femeii in rosu, ci filosofia ei. Trei teoreticieni literari pornesc in cautarea locus-ului estetic ce a parut, vreme de o suta de ani, cel mai putin adecvat pentru ancorarea unei opere «serioase», cel mai demn de o evitare dispretuitoare: senzationalul."" (Mircea Cartarescu)",429,21,10 follower,"['Romanian Literature', 'Romania', 'Fiction', 'Romanian Literature', 'Romania', 'Fiction', 'Romanian Literature', 'Romania', 'Fiction', 'Romanian Literature', 'Romania', 'Fiction', 'Romanian Literature', 'Romania', 'Fiction']",9 review,61 (27%),76 (34%),57 (25%),20 (8%),9 (4%)
الأيام,طه حسين,3.63,"11,229 rating","January 1, 1927","كتاب ""الأيام"" أشهر من أن يعرّف، وهو بجانب قيمته الأدبية الرفيعة باعتباره طرازاً فريداً من السير الذاتية لشخصية أدبيه قل أن يجود الزمان بمثلها، وصدق وعذوبة وطلاوة أسلوب، وهى مزايا يكاد يستأثر بها، فإن هذا العمل يمهد لإحاطة القارئ بدنيا طه حسين والروافد الفكرية والثقافية التى شكلت مذهبه ومنهجه. وفي هذه الطبعة اجتمعت الكتب الثلاثة في مجلد واحد لتكون باقة من الذكريات والسطور المليئة بالصور التى جادت بها ذاكرة عميد الأدب العربي.",520,251,"3,608 follower","['Biography', 'Nonfiction', 'Literature', 'Classics', 'Autobiography', 'Egypt', 'Memoir', 'Biography', 'Nonfiction', 'Literature', 'Classics', 'Autobiography', 'Egypt', 'Memoir', 'Biography', 'Nonfiction', 'Literature', 'Classics', 'Autobiography', 'Egypt', 'Memoir']","1,110 review","3,018 (26%)","3,530 (31%)","2,852 (25%)","1,164 (10%)",665 (5%)
The White Plague,Frank Herbert,3.70,"6,495 rating","August 21, 1982","The White Plague, a marvelous and terrifyingly plausible blend of fiction and visionary theme, tells of one man who is pushed over the edge of sanity by the senseless murder of his family and who, reappearing several months later as the so-called Madman, unleashes a terrible plague upon the human race—one that zeros in, unerringly and fatally, on women.",502,499,13.4k follower,"['Science Fiction', 'Fiction', 'Post Apocalyptic', 'Horror', 'Dystopia', 'Fantasy', 'Science Fiction Fantasy']",384 review,"1,564 (24%)","2,301 (35%)","1,903 (29%)",548 (8%),179 (2%)
The First Men in the Moon,H.G. Wells,3.66,"16,484 rating","January 1, 1901","When penniless businessman Mr Bedford retreats to the Kent coast to write a play, he meets by chance the brilliant Dr Cavor, an absent-minded scientist on the brink of developing a material that blocks gravity. Cavor soon succeeds in his experiments, only to tell a stunned Bedford the invention makes possible one of the oldest dreams of humanity: a journey to the moon. With Bedford motivated by money, and Cavor by the desire for knowledge, the two embark on the expedition. But neither are prepared for what they find - a world of freezing nights, boiling days and sinister alien life, on which they may be trapped forever.",213,"5,958","9,939 follower","['Science Fiction', 'Classics', 'Fiction', 'Fantasy', 'Adventure', 'Novels', 'Audiobook', 'Science Fiction', 'Classics', 'Fiction', 'Fantasy', 'Adventure', 'Novels', 'Audiobook', 'Science Fiction', 'Classics', 'Fiction', 'Fantasy', 'Adventure', 'Novels', 'Audiobook', 'Science Fiction', 'Classics', 'Fiction', 'Fantasy', 'Adventure', 'Novels', 'Audiobook', 'Science Fiction', 'Classics', 'Fiction', 'Fantasy', 'Adventure', 'Novels', 'Audiobook']","1,032 review","3,125 (18%)","6,208 (37%)","5,712 (34%)","1,243 (7%)",196 (1%)
High Five,Janet Evanovich,4.18,"128,883 rating","July 16, 1999","Out of bail skippers and rent money, Stephanie Plum throws caution to the wind and follows in the entrepreneurial bootsteps of Super Bounty Hunter, Ranger, engaging in morally correct and marginally legal enterprises. So, a scumball blows himself to smithereens on her first day of policing a crack house and the sheik she was chauffeuring stole the limo. But hey, nobody's perfect! Anyway, Stephanie has other things on her mind. Her mother wants her to find Uncle Fred who's missing after arguing with his garbage company; homicidal rapist Benito Ramirez is back, quoting scripture and stalking Stephanie; vice cop Joe Morelli has a box of condoms with Stephanie's name on it; and Stephanie's afraid Ranger has his finger on her trigger. The whole gang's here for mirth and mayhem in Janet Evanovich's High Five . Read at your own risk in public places.",317,305,38k follower,"['Mystery', 'Fiction', 'Humor', 'Chick Lit', 'Romance', 'Crime', 'Comedy']","2,986 review","52,475 (40%)","50,518 (39%)","23,091 (17%)","2,311 (1%)",488 (<1%)
The Late George Apley,John P. Marquand,3.67,"2,300 rating","January 1, 1937","Sweeping us into the inner sanctum of Boston society, into the Beacon Hill town houses and exclusive private clubs where only the city's wealthiest and most powerful congregate, this novel gives us—through the story of one family and its patriarch, the recently deceased George Apley—the portrait of an entire society in transition. Gently satirical and rich with drama, the novel moves from the Gilded Age to the Great Depression as it projects George Apley's world—and subtly reveals a life in which status and accomplishment mask disappointment and regret, a life of extreme and enviable privilege that is nonetheless an imperfect life.",354,87,51 follower,"['Fiction', 'Historical Fiction', 'Classics', 'Literature', 'Literary Fiction', 'Novels', 'Humor']",159 review,599 (26%),759 (33%),632 (27%),213 (9%),97 (4%)
The Little House,Virginia Lee Burton,4.30,"41,292 rating","January 1, 1942","Virginia Lee Burton won the Caldecott Medal in 1943 for her memorable picture book The Little House, a poignant story of a cute country cottage that becomes engulfed by the city that grows up around it. The house has an expressive face of windows and doors, and even the feelings of a person, so she’s sad when she’s surrounded by the dirty, noisy city’s hustle and bustle: “She missed the field of daisies / and the apple trees dancing in the moonlight.” Fortunately, there’s a happy ending, as the house is taken back to the country where she belongs.",40,40,200 follower,"['Picture Books', 'Childrens', 'Fiction', 'Classics', 'Fantasy', 'Juvenile', 'Family']","1,413 review","22,846 (55%)","10,608 (25%)","5,799 (14%)","1,343 (3%)",696 (1%)
The Regulators,Richard Bachman,3.72,"83,959 rating","January 1, 1996","There's a place in Wentworth, Ohio, where summer is in full swing. It's called Poplar Street. Up until now it's been a nice place to live. The idling red van around the corner is about to change all that. Let the battle against evil begin. Here come...The Regulators",512,52,"4,001 follower","['Horror', 'Fiction', 'Thriller', 'Fantasy', 'Supernatural', 'Audiobook', 'Suspense', 'Horror', 'Fiction', 'Thriller', 'Fantasy', 'Supernatural', 'Audiobook', 'Suspense', 'Horror', 'Fiction', 'Thriller', 'Fantasy', 'Supernatural', 'Audiobook', 'Suspense']","2,111 review","23,595 (28%)","25,681 (30%)","24,470 (29%)","7,889 (9%)","2,324 (2%)"
