title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,no_of_books_by_author,author_followers,genres,no_of_reviews,five_star_ratings,four_star_ratings,three_star_ratings,two_star_ratings,one_star_ratings
Pedagogy of the Oppressed,Paulo Freire,4.30,"34,212 rating","January 1, 1968","First published in Portuguese in 1968, Pedagogy of the Oppressed was translated and published in English in 1970. The methodology of the late Paulo Freire has helped to empower countless impoverished and illiterate people throughout the world. Freire's work has taken on especial urgency in the United States and Western Europe, where the creation of a permanent underclass among the underprivileged and minorities in cities and urban centers is increasingly accepted as the norm. With a substantive new introduction on Freire's life and the remarkable impact of this book by writer and Freire confidant and authority Donaldo Macedo, this anniversary edition of Pedagogy of the Oppressed will inspire a new generation of educators, students, and general readers for years to come.",183,145,"1,214 follower","['Education', 'Nonfiction', 'Philosophy', 'Politics', 'Theory', 'Social Justice', 'Teaching', 'Education', 'Nonfiction', 'Philosophy', 'Politics', 'Theory', 'Social Justice', 'Teaching', 'Education', 'Nonfiction', 'Philosophy', 'Politics', 'Theory', 'Social Justice', 'Teaching', 'Education', 'Nonfiction', 'Philosophy', 'Politics', 'Theory', 'Social Justice', 'Teaching', 'Education', 'Nonfiction', 'Philosophy', 'Politics', 'Theory', 'Social Justice', 'Teaching']","2,315 review","18,171 (53%)","10,194 (29%)","4,243 (12%)","1,118 (3%)",486 (1%)
Murder at the Vicarage,Agatha Christie,4.05,"187,489 rating","October 1, 1930","‘Anyone who murdered Colonel Protheroe,’ declared the parson, brandishing a carving knife above a joint of roast beef, ‘would be doing the world at large a favour!’ It was a careless remark for a man of the cloth. And one which was to come back and haunt the clergyman just a few hours later – when the colonel was found shot dead in the clergyman’s study. But as Miss Marple soon discovers, the whole village seems to have had a motive to kill Colonel Protheroe.Librarian's note: this entry is for the novel ""Murder at the Vicarage."" Collections and other Miss Marple stories are located elsewhere on Goodreads. The series includes 12 novels and 20 short stories. Entries for the short stories can be found by searching Goodreads for: ""a Miss Marple Short Story.""",288,"4,158",64.5k follower,"['Mystery', 'Fiction', 'Classics', 'Crime', 'Mystery Thriller', 'Detective', 'Audiobook']","7,321 review","67,219 (35%)","72,818 (38%)","39,460 (21%)","5,804 (3%)","2,188 (1%)"
Factotum,Charles Bukowski,3.93,"69,469 rating","January 1, 1975","One of Bukowski's best, this beer-soaked, deliciously degenerate novel follows the wanderings of aspiring writer Henry Chinaski across World War II-era America. Deferred from military service, Chinaski travels from city to city, moving listlessly from one odd job to another, always needing money but never badly enough to keep a job. His day-to-day existence spirals into an endless litany of pathetic whores, sordid rooms, dreary embraces, and drunken brawls, as he makes his bitter, brilliant way from one drink to the next.Charles Bukowski's posthumous legend continues to grow. Factotum is a masterfully vivid evocation of slow-paced, low-life urbanity and alcoholism, and an excellent introduction to the fictional world of Charles Bukowski.",208,786,27.7k follower,"['Fiction', 'Classics', 'Novels', 'Literature', 'American', 'Poetry', 'Contemporary']","2,613 review","20,973 (30%)","28,326 (40%)","15,500 (22%)","3,565 (5%)","1,105 (1%)"
Feet of Clay,Terry Pratchett,4.32,"83,635 rating","January 1, 1996","There's a werewolf with pre-lunar tension in Ankh-Morpork, and a dwarf with an attitude and a golem who's begun to think for itself.But for Commander Vimes, Head of Ankh-Morpork City Watch, that's only the start...There's treason in the air.A crime has happened.He's not only got to find out whodunit, but howdunit too. He's not even sure what they dun. But as soon as he knows what the questions are, he's going to want some answers.",411,489,42.5k follower,"['Fantasy', 'Fiction', 'Humor', 'Comedy', 'Science Fiction Fantasy', 'Mystery', 'Audiobook']","2,455 review","40,024 (47%)","31,876 (38%)","10,304 (12%)","1,056 (1%)",375 (<1%)
Emily of New Moon,L.M. Montgomery,4.12,"50,247 rating","December 13, 1923","Emily Starr never knew what it was to be lonely—until her beloved father died. Now Emily's an orphan, and her mother's snobbish relatives are taking her to live with them at New Moon Farm. She's sure she won't be happy. Emily deals with stiff, stern Aunt Elizabeth and her malicious classmates by holding her head high and using her quick wit. Things begin to change when she makes friends: with Teddy, who does marvelous drawings; with Perry, who's sailed all over the world with his father yet has never been to school; and above all, with Ilse, a tomboy with a blazing temper. Amazingly, Emily finds New Moon beautiful and fascinating. With new friends and adventures, Emily might someday think of herself as Emily of New Moon.",339,"2,111",11.5k follower,"['Classics', 'Fiction', 'Young Adult', 'Historical Fiction', 'Childrens', 'Middle Grade', 'Canada']","2,728 review","20,865 (41%)","17,488 (34%)","9,384 (18%)","1,842 (3%)",668 (1%)
Blue Highways,William Least Heat-Moon,4.03,"23,946 rating","January 1, 1982","Hailed as a masterpiece of American travel writing, Blue Highways is an unforgettable journey along our nation's backroads.William Least Heat-Moon set out with little more than the need to put home behind him and a sense of curiosity about ""those little towns that get on the map-if they get on at all-only because some cartographer has a blank space to fill: Remote, Oregon; Simplicity, Virginia; New Freedom, Pennsylvania; New Hope, Tennessee; Why, Arizona; Whynot, Mississippi.""His adventures, his discoveries, and his recollections of the extraordinary people he encountered along the way amount to a revelation of the true American experience.",428,35,386 follower,"['Travel', 'Nonfiction', 'Memoir', 'Adventure', 'Biography', 'History', 'Biography Memoir']","1,428 review","9,243 (38%)","8,430 (35%)","4,557 (19%)","1,235 (5%)",481 (2%)
Giants in the Earth,O.E. Rølvaag,4.03,"5,765 rating","January 1, 1925","Giants in the Earth (Norwegian: Verdens Grøde) is a novel by Norwegian-American author Ole Edvart Rølvaag. First published in Norway as two books in 1924 and 1925, the author collaborated with Minnesotan Lincoln Colcord on the English translation.The novel follows a Norwegian family's struggles as they try to make a new life as pioneers in the Dakota territory. Rølvaag is interested in psychology and the human cost of empire building, at a time when other writers focused on the glamor and romance of the West. The book reflects his personal experiences as a settler as well as the immigrant homesteader experience of his wife’s family. Both the grim realities of pioneering and the gloomy fatalism of the Norse mind are captured in depictions of snow storms, locusts, poverty, hunger, loneliness, homesickness, the difficulty of fitting into a new culture, and the estrangement of immigrant children who grow up in a new land. It is a novel at once palpably European and distinctly American.Giants in the Earth was turned into an opera by Douglas Moore and Arnold Sundgaard; it won the Pulitzer Prize for Music in 1951.",531,20,44 follower,"['Fiction', 'Historical Fiction', 'Classics', 'Literature', 'Historical', 'Novels', 'Scandinavian Literature', 'Fiction', 'Historical Fiction', 'Classics', 'Literature', 'Historical', 'Novels', 'Scandinavian Literature', 'Fiction', 'Historical Fiction', 'Classics', 'Literature', 'Historical', 'Novels', 'Scandinavian Literature']",619 review,"2,180 (37%)","2,108 (36%)","1,059 (18%)",290 (5%),128 (2%)
Texas,James A. Michener,4.10,"18,458 rating","January 1, 1985","Spanning four and a half centuries, James A. Michener’s monumental saga chronicles the epic history of Texas, from its Spanish roots in the age of the conquistadors to its current reputation as one of America’s most affluent, diverse, and provocative states. Among his finely drawn cast of characters, emotional and political alliances are made and broken, as the loyalties established over the course of each turbulent age inevitably collapse under the weight of wealth and industry. With Michener as our guide, Texas is a tale of patriotism and statesmanship, growth and development, violence and betrayal—a stunning achievement by a literary master.  Praise for Texas   “Fascinating.”—Time   “A book about oil and water, rangers and outlaws, frontier and settlement, money and power . . . [James A. Michener] manages to make history vivid.”—The Boston Globe   “A sweeping panorama . . . [Michener] grapples earnestly with the Texas character in a way that Texas’s own writers often don’t.”—The Washington Post Book World  “Vast, sprawling, and eclectic in population and geography, the state has just the sort of larger-than-life history that lends itself to Mr. Michener’s taste for multigenerational epics.”—The New York Times",1472,439,"2,995 follower","['Historical Fiction', 'Fiction', 'Historical', 'Westerns', 'Novels', 'American History', 'Epic']",525 review,"7,276 (39%)","6,772 (36%)","3,595 (19%)",620 (3%),195 (1%)
The Illuminatus! Trilogy,Robert Shea,4.01,"15,641 rating","January 1, 1975","It was a deadly mistake. Joseph Malik, editor of a radical magazine, had snooped into rumors about an ancient secret society that was still alive and kicking. Now his offices have been bombed, he's missing, and the case has landed in the lap of a tough, cynical, streetwise New York detective. Saul Goodman knows he's stumbled onto something big—but even he can't guess how far into the pinnacles of power this conspiracy of evil has penetrated.Filled with sex and violence—in and out of time and space—the three books of The Illuminatus! Trilogy are only partly works of the imagination. They tackle all the cover-ups of our time—from who really shot the Kennedys to why there's a pyramid on a one-dollar bill—and suggest a mind-blowing truth.",805,58,155 follower,"['Fiction', 'Science Fiction', 'Fantasy', 'Humor', 'Philosophy', 'Conspiracy Theories', 'Novels', 'Fiction', 'Science Fiction', 'Fantasy', 'Humor', 'Philosophy', 'Conspiracy Theories', 'Novels', 'Fiction', 'Science Fiction', 'Fantasy', 'Humor', 'Philosophy', 'Conspiracy Theories', 'Novels']",916 review,"6,587 (42%)","4,685 (29%)","2,823 (18%)","1,038 (6%)",508 (3%)
The Periodic Table,Primo Levi,4.15,"16,769 rating","January 1, 1975","The Periodic Table by Primo Levi is an impassioned response to the Holocaust: Consisting of 21 short stories, each possessing the name of a chemical element, the collection tells of the author's experiences as a Jewish-Italian chemist before, during, and after Auschwitz in luminous, clear, and unfailingly beautiful prose. It has been named the best science book ever by the Royal Institution of Great Britain, and is considered to be Levi's crowning achievement.",233,137,"1,888 follower","['Nonfiction', 'Science', 'History', 'Memoir', 'Biography', 'Short Stories', 'Italian Literature', 'Nonfiction', 'Science', 'History', 'Memoir', 'Biography', 'Short Stories', 'Italian Literature', 'Nonfiction', 'Science', 'History', 'Memoir', 'Biography', 'Short Stories', 'Italian Literature']","1,308 review","7,085 (42%)","6,212 (37%)","2,601 (15%)",616 (3%),255 (1%)
