title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,no_of_books_by_author,author_followers,genres,no_of_reviews,five_star_ratings,four_star_ratings,three_star_ratings,two_star_ratings,one_star_ratings
"The Masks of God, Volume 4: Creative Mythology",Joseph Campbell,4.30,"1,699 rating","January 1, 1968","This volume explores the whole inner story of modern culture since the Dark Ages, treating modern man's unique position as the creator of his own mythology.",752,366,"5,351 follower","['Mythology', 'Nonfiction', 'Religion', 'History', 'Philosophy', 'Psychology', 'Spirituality']",60 review,891 (52%),517 (30%),222 (13%),47 (2%),22 (1%)
A Whole New Life: An Illness and a Healing,Reynolds Price,3.96,378 rating,"January 1, 1994","Reynolds Price has long been one of America's most acclaimed and accomplished men of letters -- the author of novels, stories, poems, essays, plays, and a memoir. In A Whole New Life, however, he steps from behind that roster of achievements to present us with a more personal story, a narrative as intimate and compelling as any work of the imagination.In 1984, a large cancer was discovered in his spinal cord (""The tumor was pencil-thick and gray-colored, ten inches long from my neck-hair downward""). Here, for the first time, Price recounts without self-pity what became a long struggle to withstand and recover from this appalling, if all too common, affliction (one American in three will experience some from of cancer). He charts the first puzzling symptoms; the urgent surgery that fails to remove the growth and the radiation that temporarily arrests it (but hurries his loss of control of his lower body); the occasionally comic trials of rehab; the steady rise of severe pain and reliance on drugs; two further radical surgeries; the sustaining force of a certain religious vision; an eventual discovery of help from biofeedback and hypnosis; and the miraculous return of his powers as a writer in a new, active life.Beyond the particulars of pain and mortal illness, larger concerns surface here -- a determination to get on with the human interaction that is so much a part of this writer's much-loved work, the gratitude he feels toward kin and friends and some (though by no means all) doctors, the return to his prolific work, and the ""now appalling, now astonishing grace of God.""A Whole New Life offers more than the portrait of one brave person in tribulation; it offers honest insight, realistic encouragement and inspiration to others who suffer the bafflement of catastrophic illness or who know someone who does or will.",224,153,110 follower,"['Memoir', 'Nonfiction', 'Health', 'Illness', 'Biography', 'Autobiography', 'Spirituality']",42 review,114 (30%),160 (42%),83 (21%),16 (4%),5 (1%)
The Departure,K.A. Applegate,3.97,"4,088 rating","July 1, 1998","Cassie's had it. After the last mission, she realizes she's getting tired of missions. Tired of battles. Tired of being an Animorph. She decides that she just can't do it anymore. So she quits.But that's not the worst that's happened. It seems a human-Controller named Karen followed Cassie after the last run-in with the Yeerks. And she knows Cassie is an Andalite . . . or human. Either way, if she exposes Cassie, it's all over. No more Cassie. No more Animorphs. No more planet Earth. . . .",159,254,361 follower,"['Science Fiction', 'Young Adult', 'Fiction', 'Childrens', 'Fantasy', 'Middle Grade', 'Aliens', 'Science Fiction', 'Young Adult', 'Fiction', 'Childrens', 'Fantasy', 'Middle Grade', 'Aliens', 'Science Fiction', 'Young Adult', 'Fiction', 'Childrens', 'Fantasy', 'Middle Grade', 'Aliens']",236 review,"1,497 (36%)","1,292 (31%)","1,031 (25%)",221 (5%),47 (1%)
The Berlin Stories,Christopher Isherwood,4.04,"11,920 rating","January 1, 1945","First published in 1935 and 1939, the two related novels, The Last of Mr. Norris and Goodbye to Berlin, which make up The Berlin Stories are recognized today as classics of modern fiction.A charming city of avenues and cafés, a grotesque city of night-people and fantasts, a dangerous city of vice and intrigue, a powerful city of millionaires and mobs - all this was Berlin in 1931, the period when Hitler was beginning his move to power.Here are Mr. Norris, the improbable old debauchee mysteriously caught in the struggle between Nazis and Communists; plump Fräulein Schroeder, who thinks an operation to reduce the scale of her Büste might relieve her heart palpitations; the Landauers, a distinguished and doomed Jewish family; Sally Bowles, whose misadventures in the demimonde were popularized on the American stage and screen by Julie Harris in ""I Am a Camera"" and by Liza Minelli in ""Cabaret.""",401,163,"1,310 follower","['Fiction', 'Classics', 'Short Stories', 'Historical Fiction', 'Germany', 'Literature', 'LGBT']",690 review,"4,027 (33%)","4,975 (41%)","2,366 (19%)",431 (3%),121 (1%)
Chelsea Girls,Eileen Myles,3.85,"5,359 rating","May 1, 1994",A groundbreaking and candid coming-of-age novel.,276,111,925 follower,"['Fiction', 'Queer', 'Poetry', 'LGBT', 'Feminism', 'Lesbian', 'Gay']",565 review,"1,517 (28%)","2,086 (38%)","1,308 (24%)",337 (6%),111 (2%)
The Best Supernatural Tales of Algernon Blackwood,Algernon Blackwood,4.02,50 rating,"January 1, 1973","There is an extraordinary unity in the work of this great author. All his books deal with the strange, supernatural, terror, macabre, other-worldly. He is at his best in his shorter tales & this selection of them was compiled by the author himself at his best. Stories include: The Man who the Trees LovedThe Sea FitThe Glamour of the SnowThe TrystTransitionThe Occupant of the RoomThe Wings of HorusBy WaterMalahide and FordenAlexander AlexanderThe Man who was MilliganThe Little BeggarThe Pikestaffe CaseAccessory before the FactThe Deferred AppointmentAncient LightsYou May Telephone from HereThe Goblin's CollectionRunning WolfThe Valley of the BeastsThe DecoyConfessionA Descent into Egypt",526,"1,150","1,019 follower","['Horror', 'Short Stories', 'Fiction']",6 review,12 (24%),27 (54%),11 (22%),0 (0%),0 (0%)
Serpent,Clive Cussler,3.98,"12,627 rating","June 1, 1999","Clive Cussler, the author of sixteen consecutive New York Times bestsellers, unleashes a hero for the next millennium in an electrifying new series of unrelenting action and edge-of-your-seat thrills. When Kurt Austin, the leader of a courageous National Underwater & Marine Agency exploration team, rescues beautiful marine archaeologist Nina Kirov off the coast of Morocco, he becomes the next target of Texas industrialist Don Halcon. A madman bent on carving a new nation out of the southwestern United States and Mexico, Halcon's scheme hinges on Nina's recent discovery involving Christopher Columbus, and a priceless pre-Columbian antiquity buried in the battered remains of the sunken Italian luxury liner Andrea Doria. Only Kurt Austin and his crack NUMA team stand between Halcon and the Andrea Doria's silent steel hull -- and if their deadly mission fails, Halcon will ride to power on a wave of death and destruction.",470,492,"7,903 follower","['Fiction', 'Adventure', 'Thriller', 'Mystery', 'Action', 'Suspense', 'Historical Fiction', 'Fiction', 'Adventure', 'Thriller', 'Mystery', 'Action', 'Suspense', 'Historical Fiction', 'Fiction', 'Adventure', 'Thriller', 'Mystery', 'Action', 'Suspense', 'Historical Fiction']",431 review,"4,149 (32%)","4,865 (38%)","2,972 (23%)",482 (3%),159 (1%)
The Assassination of Jesse James by the Coward Robert Ford,Ron Hansen,3.90,"3,279 rating","October 12, 1983","One of the great classic tales of The Great American West...IT IS 1881. Jesse James, at the age of 34, is at the height of his fame and powers as a singularly successful outlaw. Robert Ford is the skittish younger brother of one of the James gang: he has made himself an expert on the gang, but his particular interest - his obsession - is Jesse James himself. Both drawn to him and frightened of him, the nineteen-year-old is uncertain whether he wants to serve James or destroy him or, somehow, become him.Never have these two men been portrayed and their saga explored with such poetry, such grim precision and such raw-boned feeling as Ron Hansen has brought to this masterful retelling.'Wonderful. This is great storytelling, not undermined by our knowin how it turns out. The reader is driven - by story and by language and by history... the best blend of fiction and history I've read in a long while!' -- John Irving, author of The World According to Garp",320,56,233 follower,"['Westerns', 'Fiction', 'Historical Fiction', 'Historical', 'Crime', 'Novels', 'American']",353 review,"1,005 (30%)","1,272 (38%)",749 (22%),191 (5%),62 (1%)
The Return of the Soldier,Rebecca West,3.70,"8,139 rating","January 1, 1918","Writing her first novel during World War I, West examines the relationship between three women and a soldier suffering from shell-shock. This novel of an enclosed world invaded by public events also embodies in its characters the shifts in England's class structures at the beginning of the twentieth century.",112,126,394 follower,"['Fiction', 'Historical Fiction', 'War', 'World War I', '20th Century', 'British Literature', 'Classics']",933 review,"1,764 (21%)","3,143 (38%)","2,404 (29%)",665 (8%),163 (2%)
Closing the Ring,Winston S. Churchill,4.42,"1,975 rating","January 1, 1951","Winston Churchill's six-volume history of the cataclysm that swept the world remains the definitive history of the Second World War. Lucid, dramatic, remarkable both for its breadth and sweep and for its sense of personal involvement, it is universally acknowledged as a magnificent reconstruction and is an enduring, compelling work that led to his being awarded the Nobel Prize for literature. Closing the Ring chronicles the period between June 1943 and July 1944 as the Allies consolidated their gains towards a drive to victory - the fall of Mussolini, Hitler's 'secret weapon', the mounting air offensive on Germany, strategies to defeat Japan and the plans for D Day.",704,"1,216","2,308 follower","['History', 'Nonfiction', 'World War II', 'War', 'Military Fiction', 'Military History', 'Biography']",72 review,"1,088 (55%)",667 (33%),185 (9%),25 (1%),10 (<1%)
