title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,no_of_books_by_author,author_followers,genres,no_of_reviews,five_star_ratings,four_star_ratings,three_star_ratings,two_star_ratings,one_star_ratings
Mustang; A Lost Tibetan Kingdom,Michel Peissel,3.95,103 rating,"January 1, 1967",Excellent Book,288,69,9 follower,"['Travel', 'Nonfiction', 'History', 'French Literature', 'Adventure']",13 review,28 (27%),49 (47%),21 (20%),3 (2%),2 (1%)
"The Proud Tower: A Portrait of the World Before the War, 1890-1914",Barbara W. Tuchman,4.13,"8,946 rating","October 11, 1965","During the fateful quarter century leading up to World War I, the climax of a century of rapid, unprecedented change, a privileged few enjoyed luxury as the underclass was “heaving in its pain, its power, and its hate.” In ""The Proud Tower"", Barbara W. Tuchman brings the era to vivid life: the decline of the Edwardian aristocracy; the Anarchists of Europe and America; Germany and its self-depicted hero, Richard Strauss; Diaghilev’s Russian ballet and Stravinsky’s music; the Dreyfus Affair; the Peace Conferences in The Hague; and the enthusiasm and tragedy of Socialism, epitomized by the assassination of Jean Jaurès on the night the Great War began and an epoch came to a close.",588,41,"1,913 follower","['History', 'Nonfiction', 'World War I', 'European History', 'War', 'Politics', 'World History']",640 review,"3,600 (40%)","3,402 (38%)","1,536 (17%)",296 (3%),112 (1%)
The Oxford Companion to Music,Alison Latham,4.29,42 rating,"May 2, 1955","The Oxford Companion to Music is one of the most famous music reference works of all time. This invaluable Companion now reappears in a completely new edition. Over a million words in length, it is the biggest, most authoritative, and most up to date single-volume music reference book available. The new edition draws on both the classic single-volume Oxford Companion to Music by Percy Scholes, first published in 1938, and the two-volume New Oxford Companion to Music, edited by Denis Arnold (1983), but is thoroughly revised and reimagined for the 21st century. Alison Latham has assembled a distinguished team of over 120 international contributors, bringing their distinctive voices to an exceptionally broad sweep of musical subjects ranging from composers, performers, conductors, individual works, instruments and notation, and forms and genres, to music scholarship and aesthetics, music education, broadcasting and publishing, all aspects of music theory, and performance practice, as well as jazz, popular music, and dance. Entries range from brief definitions to in-depth essays on subjects such as politics, religion, psychology, and computers. This is a comprehensive, authoritative, and accessible source of information on all aspects of Western music.",1450,11,3 follower,"['Music', 'Reference', 'Nonfiction', 'Classical Music']",3 review,20 (47%),14 (33%),8 (19%),0 (0%),0 (0%)
The Hearing Trumpet,Leonora Carrington,4.00,"7,978 rating","January 1, 1974","One of the first things ninety-two-year-old Marian Leatherby overhears when she is given an ornate hearing trumpet is her family plotting to commit her to an institution. Soon, she finds herself trapped in a sinister retirement home, where the elderly must inhabit buildings shaped like igloos and birthday cakes, endure twisted religious preaching and eat in a canteen overlooked by the mysterious portrait of a leering Abbess. But when another resident secretly hands Marian a book recounting the life of the Abbess, a joyous and brilliantly surreal adventure begins to unfold. Written in the early 1960s, The Hearing Trumpet remains one of the most original and inspirational of all fantastic novels.Alternate cover edition of ISBN 9780141187990",158,64,700 follower,"['Fiction', 'Fantasy', 'Magical Realism', 'Classics', 'Art', 'Novels', 'Surreal']","1,242 review","2,830 (35%)","3,003 (37%)","1,602 (20%)",409 (5%),134 (1%)
If Only They Could Talk,James Herriot,4.33,"7,509 rating","January 1, 1970","This is an alternate cover edition for ISBN  0330237837  .When the newly qualified vet, James Herriot, arrives in the small Yorkshire village of Darrowby, he has no idea of the new friends he will meet or adventures that lie ahead. From the author whose books inspired the BBC series ""All Creatures Great and Small"", this first volume of unforgettable memoirs chronicles James Herriot's first years as a country vet, with the signature storytelling magic that has made him a favourite the world over. Here is a book for all those who find laughter and joy in animals, and who know and understand the magic of wild places and beautiful countryside.",206,316,"2,891 follower","['Nonfiction', 'Animals', 'Biography', 'Humor', 'Memoir', 'Autobiography', 'Classics']",448 review,"3,885 (51%)","2,536 (33%)",862 (11%),139 (1%),87 (1%)
The Day of St. Anthony's Fire,John G. Fuller,4.23,143 rating,"January 1, 1968","This is the strange, true, almost incredible story of a small French village where in '51 hundreds of townspeople went mad on a single night. Many of the most highly regarded citizens leaped from windows or jumped into the Rhone, screaming that their heads were made of copper, their bodies wrapped in snakes, their limbs swollen to gigantic size or shrunken to tiny appendages. Others ran through the streets, claiming to be chased by ""bandits with donkey ears"", by tigers, lions & other terrifying apparitions. Animals went berserk. Dogs ripped bark from trees until their teeth fell out. Cats dragged themselves along the floor in grotesque contortions. Ducks strutted like penguins. Villagers & animals died right & left.  Bit by bit, the story behind the tragedy in Pont-St-Esprit--a tiny Provencial village of twisted streets that looks much today as it did in the Middle Ages--unfolded to doctors & toxcologists. That story, one of the most bizarre in modern medical history, is movingly recounted in The Day of St. Anthony's Fire. Throughout the Middle Ages & during other times in history, similar hallucinatory outbreaks occurred. They were called St. Anthony's Fire because it was believed that only prayers to the saint could hold the disease in check.  Even modern medicine could find no way to check the disease. Drugs failed to bring even temporary relief. Hundreds in the village suffered for weeks, with total agonizing insomnia, never knowing when they might once more suddenly go berserk.  The cause of St. Anthony's Fire was known since early history to be ergot, a mold found on rye grain that at rare times inexplicably became posionous enough to create monstrous hallucinations & death. In '51 little significance was attached to the fact that the base of ergot was lysergic acid, also the base for LSD, a drug just coming to the attention of scientists at the time--a drug so powerful that one eye-dropperful could cause as many as 5000 people to hallucinate for hours. At this point, the story becomes a vividly absorbing medical detective story demonstrating the possibility that a strange, spontaneous form of LSD might have caused the human tragedy that came to the hapless villagers of Pont-St-Esprit.",310,49,27 follower,"['History', 'Nonfiction', 'Medicine', 'Medical', 'France', 'True Crime', 'Mystery']",28 review,58 (40%),63 (44%),19 (13%),3 (2%),0 (0%)
The Chocolate Touch,Patrick Skene Catling,3.84,"18,500 rating","January 1, 1952","In this zany twist on the legend of King Midas and his golden touch, a boy acquires a magical gift that turns everything his lips touch into chocolate! Kids will eat this up for summer reading or anytime! Can you ever have too much of your favorite food? John Midas is about to find out…. The Chocolate Touch has remained a favorite for millions of kids, teachers, and parents for several generations. It's an enjoyable story that pulls in even reluctant readers.",128,33,46 follower,"['Childrens', 'Fiction', 'Fantasy', 'Middle Grade', 'Chapter Books', 'Humor', 'Juvenile', 'Childrens', 'Fiction', 'Fantasy', 'Middle Grade', 'Chapter Books', 'Humor', 'Juvenile', 'Childrens', 'Fiction', 'Fantasy', 'Middle Grade', 'Chapter Books', 'Humor', 'Juvenile']","1,399 review","5,992 (32%)","5,695 (30%)","5,141 (27%)","1,295 (7%)",377 (2%)
Land of a Thousand Hills: My Life in Rwanda,Rosamond Halsey Carr,4.23,"1,301 rating","January 1, 1999","Whether chugging up the Congo on a paddle-wheel steamboat, rubbing elbows with pygmy chiefs (or wealthy colonial neighbors), being pursued through the dark by a stalking leopard, or visiting friend Dian Fossey and her mountain gorillas at Karioske, Carr found herself living a life of cinematic proportions. In the process, she witnessed a half century of the politics of a deeply troubled country and saw firsthand the decline and fall of colonialism, the wars for independence, and the relentless clashes between the Hutus and Tutsis. And finally, having been caught in the crossfire of 1994's horrific genocide, Carr provides an unparalleled personal account that underscores her continued devotion to the country by her decision to turn her plantation into a shelter for Rwanda's lost and orphaned children.",409,3,3 follower,"['Africa', 'Nonfiction', 'Rwanda', 'Memoir', 'History', 'Biography', 'Biography Memoir', 'Africa', 'Nonfiction', 'Rwanda', 'Memoir', 'History', 'Biography', 'Biography Memoir', 'Africa', 'Nonfiction', 'Rwanda', 'Memoir', 'History', 'Biography', 'Biography Memoir']",177 review,567 (43%),507 (38%),186 (14%),37 (2%),4 (<1%)
The Bridge,Hart Crane,4.09,"1,065 rating","January 1, 1930","Oh la lluvia a las siete Y la paga a las once. Sonriendo mantén al jefe lejos, Mary (¿qué vas a hacer?). Pasaron Ya las siete y las once, Y yo sigo esperándote. ¡Oh, Mary, ojos azules y pañuelo burdeos, Mi Mary de los sábados! ¡Campanillas del carro De golosinas! ¡Palomas a millones, Y Prince Street en primavera, Donde brillan los higos Junto a las ostras! ¡Oh, Mary que te asomas desde el silo, Suelta tu trenza de oro! En pleno mediodía De mayo las violetas Se esparcen en cornisas de narcisos. Reinan en Bleecker bandas de trileros, Con crin de poni las peonías Y en las ventanas ¡Allá arriba, en la torre de latón, resplandece, Oh, Mary catedral, resplandece! “Virginia”, Hart Crane.",76,40,154 follower,"['Poetry', 'Fiction', 'American', 'Classics', 'Literature', '20th Century', 'Urbanism', 'Poetry', 'Fiction', 'American', 'Classics', 'Literature', '20th Century', 'Urbanism', 'Poetry', 'Fiction', 'American', 'Classics', 'Literature', '20th Century', 'Urbanism', 'Poetry', 'Fiction', 'American', 'Classics', 'Literature', '20th Century', 'Urbanism', 'Poetry', 'Fiction', 'American', 'Classics', 'Literature', '20th Century', 'Urbanism']",70 review,463 (43%),335 (31%),188 (17%),59 (5%),20 (1%)
William Faulkner's Light in August,Leslie A. Juhasz,3.90,309 rating,"July 1, 1988",,71,4,4 book,"['Classics', 'Fiction', 'Southern', 'Literature']",17 review,115 (37%),98 (31%),59 (19%),23 (7%),14 (4%)
