title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,no_of_books_by_author,author_followers,genres,no_of_reviews,five_star_ratings,four_star_ratings,three_star_ratings,two_star_ratings,one_star_ratings
Seeker's Mask,P.C. Hodgell,4.24,929 rating,"January 1, 1994","Jame has found and been reunited with her ten year older twin brother Tori. Now all she has to do is find a place for herself among the Kencyrs that are following her brother. This is not quite as easy as it sounds. For, if you remember, Jame has not grown up in the normal Kencyr lifestyle. When she is placed in the Women's Halls and is expected to change and become a normal quiet Kencyr lady, it is the Women's Halls that undergo the changes. For when you have Shadow Guild Assassins, ghosts, strange beings, and other characters from your past after you, it is rather difficult not to want a weapon, instead of a sewing needle, in your hand. Soon Jame and Jorin, her blind ounce, are on the run again, trying to stay one step ahead of the danger.",480,34,340 follower,"['Fantasy', 'Fiction', 'High Fantasy', 'Science Fiction', 'Science Fiction Fantasy', 'Action', 'Adventure']",36 review,422 (45%),334 (35%),150 (16%),19 (2%),4 (<1%)
Wild Mind: Living the Writer's Life,Natalie Goldberg,4.14,"6,418 rating","January 1, 1990","Natalie Goldberg, author of the bestselling  Writing Down The Bones, teaches a method  of writing that can take you beyond craft to the  true source of creative power: The mind that is  ""raw, full of energy, alive and  hungry.""Here is compassionate, practical, and often  humorous advice about how to find time to write,  how to discover your personal style, how to make  sentences come alive, and how to overcome  procrastination and writer's block -- including more than  thirty provocative ""Try this"" exercises to  get your pen moving.And here also  is a larger vision of the writer's task:  balancing daily responsibilities with a commitment to  writing; knowing when to take risks as a writer and a  human being; coming to terms with success and  failure and loss; and learning self-acceptance -- both  in life and art.Wild  Mind will change your way of writing. It  may also change your life.",238,50,"1,126 follower","['Writing', 'Nonfiction', 'Self Help', 'Reference', 'Memoir', 'Poetry', 'Essays']",323 review,"2,746 (42%)","2,186 (34%)","1,196 (18%)",210 (3%),80 (1%)
The Bridge Over the River Kwai,Pierre Boulle,3.96,"9,689 rating","January 1, 1952","One of the finest war novels ever written, Bridge on the River Kwai tells the story of three POWs who endure the hell of the Japanese camps on the Burma-Siam railway - Colonel Nicholson, a man prepared to sacrifice his life but not his dignity; Major Warden, a modest hero, saboteur and deadly killer; Commander Shears, who escaped from hell but was ordered back. Ordered by the Japanese to build a bridge, the Colonel refuses, as it is against regulations for officers to work with other ranks. The Japanese give way but, to prove a point of British superiority, construction of the bridge goes ahead - at great cost to the men under Nicholson's command.",207,121,239 follower,"['Fiction', 'Historical Fiction', 'Classics', 'War', 'France', 'World War II', 'Historical', 'Fiction', 'Historical Fiction', 'Classics', 'War', 'France', 'World War II', 'Historical', 'Fiction', 'Historical Fiction', 'Classics', 'War', 'France', 'World War II', 'Historical']",480 review,"3,137 (32%)","3,802 (39%)","2,149 (22%)",450 (4%),151 (1%)
Ravished,Amanda Quick,4.02,"20,607 rating","July 1, 1992","Moving from the cozy confines of a tiny seaside village named Upper Biddleton to the glittering crush of a fashionable London soiree, Quick offers an enthralling tale of a mismatched couple poised to discover the rapture of love. There was no doubt about it. What Miss Harriet Pomeroy needed was a man. Someone powerful and clever who could help her rout the unscrupulous thieves who were using her beloved caves to hide their loot. But when Harriet summoned Gideon Westbrook, Viscount St. Justin, to her aid, she could not know that she was summoning the devil himself. . . . Dubbed the Beast of Blackthorne Hall for his scarred face and lecherous past, Gideon was strong and fierce and notoriously menacing. Yet Harriet could not find it in her heart to fear him. For in his tawny gaze she sensed a savage pain she longed to soothe . . . and a searing passion she yearned to answer. Now, caught up in the Beast’s clutches, Harriet must find a way to win his heart–and evade the deadly trap of a scheming villain who would see them parted for all time. RAVISHED is a retelling of the classic tale, Beauty and the Beast.",385,117,"5,206 follower","['Historical Romance', 'Romance', 'Historical', 'Historical Fiction', 'Regency', 'Fiction', 'Beauty and The Beast']","1,279 review","7,570 (36%)","7,454 (36%)","4,386 (21%)",903 (4%),294 (1%)
The Fifth of March: A Story of the Boston Massacre,Ann Rinaldi,3.81,"3,420 rating","January 1, 1993","“Carefully researched and lovingly written, Rinaldi’s latest presents a girl indentured to John and Abigail Adams during the tense period surrounding the 1770 Massacre. . . . Fortuitously timed, a novel that illuminates a moment from our past that has strong parallels to recent events. Bibliography.”-- Kirkus Reviews",352,56,952 follower,"['Historical Fiction', 'Young Adult', 'Fiction', 'Historical', 'American Revolution', 'American Revolutionary War', 'School']",266 review,886 (25%),"1,311 (38%)",976 (28%),189 (5%),58 (1%)
Retreat from Love,Colette,3.68,307 rating,"January 1, 1907","One of the best of the celebrated Claudine novels, this installment follows the sexual and emotional machinations of three upper-class youths in a remote farmhouse, where the protagonist of the series awaits her husband Renaud's return from a Swiss sanatorium. She distracts herself by encouraging her young friend Annie to recount salacious episodes from her love life. When Renaud's homosexual son Marcel arrives, Claudine sets about matchmaking, a fiasco she bitterly regrets. With Renaud's death, Claudine's ennui is transmuted into resigned suffering, but she gradually allows the rhythm and beauty of the natural world to reawaken her desire to live.",200,555,"1,498 follower","['Fiction', 'France', 'Classics', 'Literature', 'French Literature', 'Contemporary', '20th Century', 'Fiction', 'France', 'Classics', 'Literature', 'French Literature', 'Contemporary', '20th Century', 'Fiction', 'France', 'Classics', 'Literature', 'French Literature', 'Contemporary', '20th Century']",23 review,67 (21%),112 (36%),98 (31%),24 (7%),6 (1%)
Artificios,Jorge Luis Borges,4.24,969 rating,"January 1, 1944",Madrid. 1993. Alianza. 15x10. 89p.,89,"1,818",12.5k follower,"['Short Stories', 'Fiction', 'Fantasy', 'Spanish Literature', 'Latin American Literature', 'Magical Realism', 'Literature']",77 review,420 (43%),387 (39%),136 (14%),24 (2%),2 (<1%)
The Gobsmacking Galaxy,Kjartan Poskitt,4.03,340 rating,"January 1, 1997","This gobsmacking guide gives you mind-boggling information about our galaxy and beyond. Go on a grand tour of the solar system, where you can go skiing on Mars and meet the sad creature from Pluto. There are incredible facts about red giants, white dwarves and supernovas.",160,119,72 follower,"['Nonfiction', 'Science', 'Childrens', 'Comics', 'Comedy', 'Astronomy', 'Collections', 'Nonfiction', 'Science', 'Childrens', 'Comics', 'Comedy', 'Astronomy', 'Collections', 'Nonfiction', 'Science', 'Childrens', 'Comics', 'Comedy', 'Astronomy', 'Collections']",21 review,136 (40%),103 (30%),81 (23%),14 (4%),6 (1%)
Eclipse of the Sun,Michael D. O'Brien,4.43,761 rating,"December 1, 1997","In this fast-paced, reflective novel, (the third in a trilogy following Strangers and Sojourners and Plague Journal) Michael O'Brien presents the dramatic tale of a family that finds itself in the path of a totalitarian government. Set in the near future, the story describes the rise of a police state in North America in which every level of society is infected with propaganda, confusion and disinformation. Few people are equipped to recognize what is happening because the culture of the Western world has been deformed by a widespread undermining of moral absolutes. Against this background, the Delaney family of Swiftcreek, British Columbia, is struck a severe blow when the father of the family, the editor of a small newspaper which dares to speak the truth, is arrested by the dreaded Office of Internal Security. His older children flee into the forest of the northern interior, accompanied by their great-grandfather and an elderly priest, Father Andrei. Their little brother Arrow also becomes a fugitive as the government seeks to remove any witnesses, and eradicate all evidence of its ultimate goals. As O'Brien draws together the several strands of the story into a frightening yet moving climax, he explores the heart of growing darkness in North America, examining events which have already occurred. The reader will take away from this disturbing book a number of urgent questions: Are we living in the decisive moment of history? How dire is our situation? Do we live in pessimistic dread, or a Christian realism founded on hope? This is a tale about the victory of the weak over the powerful, courage over terror, good over evil, and, above all, the triumph of love.",857,40,634 follower,"['Fiction', 'Catholic', 'Christian Fiction', 'Christian', 'Religion', 'Spirituality', 'Christianity']",54 review,452 (59%),215 (28%),71 (9%),19 (2%),4 (<1%)
Alexander Dolgun's story: An American in the Gulag,Alexander Dolgun,4.49,398 rating,"January 1, 1975","Alexander Dolgun, from embassy employee, to prisoner, then falsely convicted of being a terrorist against Russia and sentenced to hard labor. Released after eight long years he is finally able to recount the experience of being transported to and between prisons, interactions and friendships with other prisoners, the day to day drudgery of trying to stay alive under horrendous conditions which involved trying to meet ridiculously high work quotas for extremely strenuous jobs while in a constant state of starvation and often, sickness.",370,4,7 follower,"['Biography', 'Russia', 'Nonfiction', 'History', 'Memoir', 'Biography Memoir', 'Russian History']",48 review,250 (62%),104 (26%),36 (9%),7 (1%),1 (<1%)
