title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,no_of_books_by_author,author_followers,genres,no_of_reviews,five_star_ratings,four_star_ratings,three_star_ratings,two_star_ratings,one_star_ratings
A Medicine for Melancholy and Other Stories,Ray Bradbury,4.16,"7,873 rating","February 1, 1998","Contents: 1 • In a Season of Calm Weather • (1957) • short story by Ray Bradbury 7 • A Medicine for Melancholy • (1959) • short story by Ray Bradbury 16 • The Wonderful Ice Cream Suit • non-genre • (1958) • short story by Ray Bradbury 39 • Fever Dream • (1948) • short story by Ray Bradbury 46 • The Marriage Mender • (1954) • short story by Ray Bradbury 51 • The Town Where No One Got Off • (1958) • short story by Ray Bradbury 59 • A Scent of Sarsaparilla • (1953) • short story by Ray Bradbury 66 • The Headpiece • (1958) • short story by Ray Bradbury 74 • The First Night of Lent • [The Irish Stories] • (1956) • short story by Ray Bradbury 81 • The Time of Going Away • (1956) • short story by Ray Bradbury 88 • All Summer in a Day • (1954) • short story by Ray Bradbury 94 • The Gift • (1952) • short story by Ray Bradbury 97 • The Great Collision of Monday Last • [The Irish Stories] • (1958) • short story by Ray Bradbury 104 • The Little Mice • (1955) • short story by Ray Bradbury 109 • The Shore Line at Sunset • (1959) • short story by Ray Bradbury (variant of The Shoreline at Sunset) 118 • The Day It Rained Forever • (1957) • short story by Ray Bradbury 129 • Chrysalis • (1946) • short story by Ray Bradbury 150 • Pillar of Fire • (1948) • novelette by Ray Bradbury 188 • Zero Hour • (1947) • short story by Ray Bradbury 198 • The Man • (1949) • short story by Ray Bradbury 210 • Time in Thy Flight • (1953) • short story by Ray Bradbury 215 • The Pedestrian • (1951) • short story by Ray Bradbury 220 • Hail and Farewell • (1953) • short story by Ray Bradbury 228 • Invisible Boy • (1945) • short story by Ray Bradbury 237 • Come Into My Cellar • (1962) • short story by Ray Bradbury (variant of Boys! Raise Giant Mushrooms in Your Cellar!) 254 • The Million-Year Picnic • [The Martian Chronicles] • (1946) • short story by Ray Bradbury (variant of The Million Year Picnic) 264 • The Screaming Woman • [Green Town] • (1951) • short story by Ray Bradbury 278 • The Smile • (1952) • short story by Ray Bradbury 284 • Dark They Were, and Golden-Eyed • (1949) • short story by Ray Bradbury 299 • The Trolley • [Dandelion Wine] • (1955) • short story by Ray Bradbury 303 • Icarus Montgolfier Wright • (1956) • short story by Ray Bradbury",307,"2,262",22.6k follower,"['Short Stories', 'Science Fiction', 'Fiction', 'Classics', 'Fantasy', 'Science Fiction Fantasy', 'Young Adult']",574 review,"3,300 (41%)","2,904 (36%)","1,348 (17%)",260 (3%),61 (<1%)
A Murmur in the Trees,Emily Dickinson,4.15,65 rating,"January 1, 1998","Emily Dickinson is one of the world's best known and most widely read poets, though at the time of her death in 1886, only seven of her more than 1000 poems had been published. But shortly thereafter, the genius of her work was recognized and it has since received wide and consistent acclaim. Her verse - noted for its style, wit and bold and startling imagery - has greatly influenced the direction of 20th-century poetry. The 112 poems in this collection are taken from the definitive Johnson edition of her work and are accompanied by 65 pencil drawings, created especially for the book by Ferris Cook.",128,"1,353","5,860 follower","['Poetry', 'Nonfiction', 'Poetry', 'Nonfiction', 'Poetry', 'Nonfiction']",9 review,28 (43%),21 (32%),14 (21%),2 (3%),0 (0%)
A House and Its Head,Ivy Compton-Burnett,3.48,548 rating,"January 1, 1935","A radical thinker, one of the rare modern heretics, said Mary McCarthy of Ivy Compton-Burnett, in whose austere, savage, and bitingly funny novels anything can happen and no one will ever escape. The long, endlessly surprising conversational duels at the center of Compton-Burnett's works are confrontations between the unspoken and the unspeakable, and in them the dynamics of power and desire are dramatized as nowhere else. New York Review Books is reissuing two of the finest novels of this singular modern genius—works that look forward to the blacky comic inventions of Muriel Spark as much as they do back to the drawing rooms of Jane Austen.A House and Its Head is Ivy Compton-Burnett's subversive look at the politics of family life, and perhaps the most unsparing of her novels. No sooner has Duncan Edgeworth's wife died than he takes a new, much younger bride whose willful ways provoke a series of transgressions that begins with adultery and ends, much to everyone's relief, in murder.",291,23,102 follower,"['Fiction', 'Classics', 'British Literature', 'Novels', 'Literature', 'Modern Classics', 'Literary Fiction', 'Fiction', 'Classics', 'British Literature', 'Novels', 'Literature', 'Modern Classics', 'Literary Fiction', 'Fiction', 'Classics', 'British Literature', 'Novels', 'Literature', 'Modern Classics', 'Literary Fiction']",113 review,87 (15%),192 (35%),180 (32%),75 (13%),14 (2%)
Vector Prime,R.A. Salvatore,3.83,"15,988 rating","October 5, 1999","Twenty-one years have passed since the heroes of the Rebel Alliance destroyed the Death Star, breaking the power of the Emperor. Since then, the New Republic has valiantly struggled to maintain peace and prosperity among the peoples of the galaxy. But unrest has begun to spread and threatens to destroy the Republic's tenuous reign.Into this volatile atmosphere comes Nom Anor, a charismatic firebrand who heats passions to the boiling point, sowing seeds of dissent for his own dark motives. And as the Jedi and the Republic focus on internal struggles, a new threat surfaces from beyond the farthest reaches of the Outer Rim--an enemy bearing weapons and technology unlike anything New Republic scientists have ever seen.Suddenly, Luke Skywalker; his wife, Mara; Han Solo; Leia Organa Solo; and Chewbacca--along with the Solo children--are thrust again into battle, to defend the freedom so many have fought and died for. But this time, the power of the Force itself may not be enough . . .",416,728,10.3k follower,"['Star Wars', 'Science Fiction', 'Fiction', 'Fantasy', 'Space Opera', 'Science Fiction Fantasy', 'Novels']",559 review,"4,903 (30%)","5,536 (34%)","3,989 (24%)","1,078 (6%)",482 (3%)
Ways of Worldmaking,Nelson Goodman,3.75,287 rating,"January 1, 1978",Required reading at more than 100 colleges and universities throughout North America.,160,41,53 follower,"['Philosophy', 'Nonfiction', 'Metaphysics', 'Art', 'Writing']",19 review,69 (24%),110 (38%),77 (26%),28 (9%),3 (1%)
Beerholms Vorstellung,Daniel Kehlmann,3.68,607 rating,"January 1, 1997",Beerholms Vorstellung - bk346; Rowohlt Verlag; Daniel Kehlmann; pocket_book; 2007,249,65,"1,023 follower","['Fiction', 'German Literature', 'Germany', 'Roman', 'Fantasy', 'Magical Realism', 'Novels']",47 review,123 (20%),233 (38%),193 (31%),47 (7%),11 (1%)
Democracy,Joan Didion,3.85,"3,438 rating","January 1, 1984","Inez Victor knows that the major casualty of the political life is memory. But the people around Inez have made careers out of losing track. Her senator husband wants to forget the failure of his last bid for the presidency. Her husband's handler would like the press to forget that Inez's father is a murderer. And, in 1975, the year in which much of this bitterly funny novel is set, America is doing its best to lose track of its one-time client, the lethally hemorrhaging republic of South Vietnam.As conceived by Joan Didion, these personages and events constitute the terminal fallout of democracy, a fallout that also includes fact-finding junkets, senatorial groupies, the international arms market, and the Orwellian newspeak of the political class. Moving deftly from Honolulu to Jakarta, between romance, farce, and tragedy, Democracy is a tour de force from a writer who can dissect an entire society with a single phrase.",234,92,13.3k follower,"['Fiction', 'Politics', 'Historical Fiction', 'Novels', 'Literature', 'Literary Fiction', 'American']",390 review,948 (27%),"1,314 (38%)",922 (26%),210 (6%),44 (1%)
Coolie,Mulk Raj Anand,3.80,859 rating,"January 1, 1936","Coolie portrays the picaresque adventures of Munoo, a young boy forced to leave his hill village to fend for himself and discover the world. His journey takes him far from home to towns and cities, to Bombay and Simla, sweating as servant, factory-worker and rickshaw driver. It is a fight for the survival that illuminates, with raw immediacy, the grim fate of the masses in pre-Partition India. Together with Untouchable, Coolie places Mulk Raj Anand among this century's finest Indian novelists writing in English.",282,144,217 follower,"['India', 'Fiction', 'Classics', 'Indian Literature', 'Historical Fiction', 'Literature', 'Asia']",84 review,192 (22%),381 (44%),221 (25%),50 (5%),15 (1%)
The Universe Story: From the Primordial Flaring Forth to the Ecozoic Era--A Celebration of the Unfolding of the Cosmos,Brian Swimme,4.26,240 rating,"January 1, 1992","From the big bang to the present and into the next millenium, The Universe Story unites science and the humanities in a dramatic exploration of the unfolding of the universe, humanity's evolving place in the cosmos, and the boundless possibilities for our future.",320,30,63 follower,"['Science', 'Nonfiction', 'History', 'Spirituality', 'Ecology', 'Nature']",24 review,133 (55%),61 (25%),31 (12%),6 (2%),9 (3%)
The Outsider,Colin Wilson,4.05,"4,235 rating","January 1, 1956","Librarian note: an alternate cover for this edition can be found here.The Outsider is the seminal work on alienation, creativity and the modern mind-set. First published over forty years ago, it made its youthful author England's most controversial intellectual. The Outsider its an individual engaged in an intense self-exploration—a person who lives at the edge, challenges cultural values and ""stands for Truth."" Born into a world without perspective, where others simply drift thru life, the Outsider creates his own set of rules and lives them in an unsympathetic environment. The relative handful of people who fulfilled Wilson's definition of the Outsider in the 1950s have now become a significant social force, making Wilson's vision more relevant today than ever. Through the works the lives of various artists—including Kafka, Camus, Eliot, Hemingway, Hesse, Lawrence, Van Gogh, Nijinsky, Shaw, Blake, Nietzsche and Dostoyevski—Wilson explores the psyche of the Outsider, his effect on society and society's effect on him. Wilson illuminates the struggle of those who seek not only the transformation of Self but also the transformation of society as a whole. The book is essential for everyone who shares his conviction that ""a new religion is needed"".",320,625,"1,207 follower","['Philosophy', 'Nonfiction', 'Psychology', 'Sociology', 'Classics', 'History', 'Literature']",490 review,"1,655 (39%)","1,512 (35%)",766 (18%),210 (4%),92 (2%)
