title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,genres,author_followers,no_of_reviews,no_of_books_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
There's a Wocket in My Pocket!,Dr. Seuss,4.07,"33,860 rating","January 1, 1974","""Did you ever have the feeling there's a WASKET in your BASKET?""'There's a Wocket in My Pocket!' is filled with bizarre creatures and rhymes such as the ""nupboard in the cupboard"", ""ghairs beneath the stairs"", and the ""bofa on the sofa""!In this silly Bright and Early Book classic by Dr. Seuss, a young boy goes exploring in his house and finds an array of fun characters! Are you certain there's a Jertain in the curtain? Or have you ever had a feeling there's a Geeling on the ceiling? From the pesky Nooth Grush on a tooth brush to a sleepy Zelf up on the shelf, There's a Wocket in My Pocket will have young readers eager to explore their homes and the wonders of rhyming and wordplay.Combining brief and funny stories, easy words, catchy rhythm, and lively illustrations, Bright and Early Books are an ideal way to introduce the joys of reading to children!With his unique combination of hilarious stories, zany pictures and riotous rhymes, Dr. Seuss has been delighting young children and helping them learn to read for over fifty years. Creator of the wonderfully anarchic 'Cat in the Hat', and ranked among the world's top children's authors, Dr. Seuss is a global best-seller, with nearly half a billion books sold worldwide.",30,"['Childrens', 'Picture Books', 'Fiction', 'Poetry', 'Classics', 'Fantasy', 'Humor']",17.6k follower,960 review,848,630 (1%),"1,809 (5%)","7,336 (21%)","9,031 (26%)","15,054 (44%)"
Islands in the Stream,Ernest Hemingway,3.88,"15,697 rating","January 1, 1970","First published in 1970, nine years after Ernest Hemingway's death, Islands in the Stream is the story of an artist and adventurer — a man much like Hemingway himself. Rich with the uncanny sense of life and action characteristic of his writing — from his earliest stories (In Our Time) to his last novella (The Old Man and the Sea) — this compelling novel contains both the warmth of recollection that inspired A Moveable Feast and a rare glimpse of Hemingway's rich and relaxed sense of humor, which enlivens scene after scene.  Beginning in the 1930s, Islands in the Stream follows the fortunes of Thomas Hudson from his experiences as a painter on the Gulf Stream island of Bimini, where his loneliness is broken by the vacation visit of his three young sons, to his antisubmarine activities off the coast of Cuba during World War II. The greater part of the story takes place in a Havana bar, where a wildly diverse cast of characters — including an aging prostitute who stands out as one of Hemingway's most vivid creations — engages in incomparably rich dialogue. A brilliant portrait of the inner life of a complex and endlessly intriguing man, Islands in the Stream is Hemingway at his mature best.",448,"['Fiction', 'Classics', 'Literature', 'Novels', 'American', 'Adventure', 'Literary Fiction']",28.9k follower,853 review,"1,699",231 (1%),965 (6%),"3,966 (25%)","5,801 (36%)","4,734 (30%)"
The Eagle Has Landed,Jack Higgins,4.18,"56,967 rating","September 8, 1975","In November of 1943, an elite team of Nazi paratroopers descends on British soil with a diabolical goal: to abduct Winston Churchill and cripple the Allied war effort. The mission, ordered by Hitler himself and planned by Heinrich Himmler, is led by ace agent Kurt Steiner and aided on the ground by IRA gunman Liam Devlin.As the deadly duo executes Hitler’s harrowing plot, only the quiet town of Studley Constable stands in their way. Its residents are the lone souls aware of the impending Nazi plan, and they must become the most unlikely of heroes as the fate of the war hangs in the balance.",352,"['Fiction', 'Thriller', 'Historical Fiction', 'War', 'Espionage', 'Adventure', 'World War II']","1,185 follower",771 review,539,396 (<1%),"1,264 (2%)","9,742 (17%)","22,100 (38%)","23,465 (41%)"
Mrs. McGinty's Dead,Agatha Christie,3.85,"32,294 rating","February 1, 1952","Legendary Belgian detective Hercule Poirot solves the challenging and shocking case of the death of Mrs. McGinty, an elderly housekeeper found murdered, supposedly by her quiet boarder.",240,"['Mystery', 'Fiction', 'Crime', 'Classics', 'Detective', 'Mystery Thriller', 'Audiobook']",64.5k follower,"1,793 review","4,158",310 (<1%),"1,315 (4%)","9,141 (28%)","13,679 (42%)","7,849 (24%)"
Holiday in Death,J.D. Robb,4.33,"41,970 rating","June 1, 1998","An Alternate Cover edition can be found hereNo one likes to be alone during the holidays. For New York's most posh dating service, Personally Yours, it is the season to bring lonely hearts together. But Lieutenant Eve Dallas, on the trail of a ritualistic serial killer, has made a disturbing discovery: all of the victims have been traced to Personally Yours. As the murders continue, Eve enters into an elite world of people searching for their one true love--and a killer searching for his next victim. A world where the power of love leads men and women into the ultimate act of betrayal...",308,"['Mystery', 'Romance', 'Crime', 'Romantic Suspense', 'Fiction', 'Futuristic', 'Suspense']",33.5k follower,"1,443 review",254,176 (<1%),557 (1%),"5,313 (12%)","15,072 (35%)","20,852 (49%)"
The Wall,Marlen Haushofer,4.04,"17,105 rating","January 1, 1963","First published to acclaim in Germany, The Wall chronicles the life of the last surviving human on earth, an ordinary middle-aged woman who awakens one morning to find that everyone else has vanished. Assuming her isolation to be the result of a military experiment gone awry, she begins the terrifying work of survival and self-renewal. This novel is at once a simple and moving tale and a disturbing meditation on humanity.",240,"['Fiction', 'Science Fiction', 'Dystopia', 'Classics', 'German Literature', 'Post Apocalyptic', 'Novels', 'Fiction', 'Science Fiction', 'Dystopia', 'Classics', 'German Literature', 'Post Apocalyptic', 'Novels', 'Fiction', 'Science Fiction', 'Dystopia', 'Classics', 'German Literature', 'Post Apocalyptic', 'Novels']",187 follower,"2,153 review",40,351 (2%),"1,026 (5%)","3,012 (17%)","5,927 (34%)","6,789 (39%)"
Woman at Point Zero,Nawal El Saadawi,4.18,"20,768 rating","January 1, 1975","From her prison cell, Firdaus, sentenced to die for having killed a pimp in a Cairo street, tells of her life from village childhood to city prostitute. Society's retribution for her act of defiance - death - she welcomes as the only way she can finally be free.",108,"['Fiction', 'Feminism', 'Egypt', 'Africa', 'Classics', 'Womens', 'School', 'Fiction', 'Feminism', 'Egypt', 'Africa', 'Classics', 'Womens', 'School', 'Fiction', 'Feminism', 'Egypt', 'Africa', 'Classics', 'Womens', 'School']","2,911 follower","2,873 review",124,244 (1%),748 (3%),"3,208 (15%)","7,467 (35%)","9,101 (43%)"
Boy: Tales of Childhood,Roald Dahl,4.07,"68,331 rating","January 1, 1984","In Boy, Roald Dahl recounts his days as a child growing up in England. From his years as a prankster at boarding school to his envious position as a chocolate tester for Cadbury's, Roald Dahl's boyhood was as full of excitement and the unexpected as are his world-famous, best-selling books. Packed with anecdotes—some funny, some painful, all interesting—this is a book that's sure to please.",176,"['Nonfiction', 'Biography', 'Memoir', 'Childrens', 'Autobiography', 'Classics', 'Biography Memoir', 'Nonfiction', 'Biography', 'Memoir', 'Childrens', 'Autobiography', 'Classics', 'Biography Memoir', 'Nonfiction', 'Biography', 'Memoir', 'Childrens', 'Autobiography', 'Classics', 'Biography Memoir']",24.6k follower,"3,505 review","1,432","1,257 (1%)","2,670 (3%)","12,193 (17%)","26,072 (38%)","26,139 (38%)"
Seize the Day,Saul Bellow,3.53,"12,428 rating","November 15, 1956","Deftly interweaving humor and pathos, Saul Bellow evokes in the climactic events of one day the full drama of one man's search to affirm his own worth and humanity.",114,"['Fiction', 'Classics', 'Literature', 'Novels', 'American', '20th Century', 'Novella', 'Fiction', 'Classics', 'Literature', 'Novels', 'American', '20th Century', 'Novella', 'Fiction', 'Classics', 'Literature', 'Novels', 'American', '20th Century', 'Novella']","1,784 follower","1,041 review",262,304 (2%),"1,324 (10%)","4,261 (34%)","4,530 (36%)","2,009 (16%)"
Magician's Gambit,David Eddings,4.15,"91,693 rating","June 1, 1983","BOOK 3 OF THE BELGARIAD, the worldwide bestselling fantasy series by master storyteller David Eddings. Discover the epic story that inspired thousands - from Raymond Feist's The Riftwar Cycle series to George R. R. Martin's A Game of Thrones.Fate leads on...To stranger lands and darker magic...Travelling through ever more dangerous realms, Garion and his companions pursue the stolen Orb. Among them Ce'Nedra, the Imperial Princess - one whose fate seems bound to his.As they get closer to their goal and battle looms, Garion's powers of sorcery - and his spirit - are tested to their limits.",305,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Young Adult', 'Science Fiction Fantasy', 'Adventure']","5,301 follower","1,137 review",333,916 (<1%),"3,009 (3%)","16,319 (17%)","32,968 (35%)","38,481 (41%)"
