title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,genres,author_followers,no_of_reviews,no_of_books_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
Narcissus and Goldmund,Hermann Hesse,4.22,"62,114 rating","January 1, 1930","Narcissus and Goldmund tells the story of two medieval men whose characters are diametrically opposite: Narcissus, an ascetic monk firm in his religious commitment, and Goldmund, a romantic youth hungry for knowledge and worldly experience. First published in 1930, Hesse's novel remains a moving and pointed exploration of the conflict between the life of the spirit and the life of the flesh. It is a theme that transcends all time.",320,"['Fiction', 'Classics', 'Philosophy', 'German Literature', 'Literature', 'Novels', 'Germany', 'Fiction', 'Classics', 'Philosophy', 'German Literature', 'Literature', 'Novels', 'Germany', 'Fiction', 'Classics', 'Philosophy', 'German Literature', 'Literature', 'Novels', 'Germany']",17k follower,"3,157 review","1,788",592 (<1%),"2,155 (3%)","9,267 (14%)","21,252 (34%)","28,848 (46%)"
Down and Out in Paris and London,George Orwell,4.09,"87,088 rating","January 1, 1933","This unusual fictional memoir - in good part autobiographical - narrates without self-pity and often with humor the adventures of a penniless British writer among the down-and-outs of two great cities. The Parisian episode is fascinating for its expose of the kitchens of posh French restaurants, where the narrator works at the bottom of the culinary echelon as dishwasher, or plongeur. In London, while waiting for a job, he experiences the world of tramps, street people, and free lodging houses. In the tales of both cities we learn some sobering Orwellian truths about poverty and of society.",213,"['Nonfiction', 'Classics', 'Memoir', 'Biography', 'Travel', 'History', 'Literature']",43.8k follower,"6,155 review","1,188",867 (<1%),"2,781 (3%)","15,012 (17%)","37,281 (42%)","31,147 (35%)"
The Great Divorce,C.S. Lewis,4.31,"149,054 rating","January 1, 1946","Alternative cover for ISBN: 978-0-00-746123-3C.S. Lewis’ The Great Divorce is a classic Christian allegorical tale about a bus ride from hell to heaven. An extraordinary meditation upon good and evil, grace and judgment, Lewis’s revolutionary idea in the The Great Divorce is that the gates of Hell are locked from the inside. Using his extraordinary descriptive powers, Lewis’ The Great Divorce will change the way we think about good and evil.",146,"['Christian', 'Fiction', 'Religion', 'Classics', 'Theology', 'Christianity', 'Fantasy']",42.2k follower,"8,046 review","1,291","2,506 (1%)","4,322 (2%)","17,663 (11%)","44,760 (30%)","79,803 (53%)"
The Man in the High Castle,Philip K. Dick,3.60,"211,263 rating","October 1, 1962","It's America in 1962. Slavery is legal once again. The few Jews who still survive hide under assumed names. In San Francisco, the I Ching is as common as the Yellow Pages. All because some twenty years earlier the United States lost a war — and is now occupied by Nazi Germany and Japan.This harrowing, Hugo Award-winning novel is the work that established Philip K. Dick as an innovator in science fiction while breaking the barrier between science fiction and the serious novel of ideas. In it Dick offers a haunting vision of history as a nightmare from which it may just be possible to wake.",259,"['Science Fiction', 'Fiction', 'Classics', 'Dystopia', 'Alternate History', 'Historical Fiction', 'Fantasy']",20.1k follower,"14,713 review","1,583","6,081 (2%)","21,998 (10%)","65,312 (30%)","74,967 (35%)","42,905 (20%)"
The Silver Chair,C.S. Lewis,3.95,"295,295 rating","September 7, 1953","Jill and Eustace must rescue the Prince from the evil Witch.NARNIA...where owls are wise, where some of the giants like to snack on humans, where a prince is put under an evil spell...and where the adventure begins.Eustace and Jill escape from the bullies at school through a strange door in the wall, which, for once, is unlocked. It leads to the open moor...or does it? Once again Aslan has a task for the children, and Narnia needs them. Through dangers untold and caverns deep and dark, they pursue the quest that brings them face to face with the evil Witch. She must be defeated if Prince Rillian is to be saved.",243,"['Fantasy', 'Fiction', 'Young Adult', 'Childrens', 'Christian', 'Adventure', 'Middle Grade', 'Fantasy', 'Fiction', 'Young Adult', 'Childrens', 'Christian', 'Adventure', 'Middle Grade', 'Fantasy', 'Fiction', 'Young Adult', 'Childrens', 'Christian', 'Adventure', 'Middle Grade']",42.2k follower,"8,543 review","1,291","3,056 (1%)","15,071 (5%)","73,354 (24%)","104,527 (35%)","99,287 (33%)"
"84, Charing Cross Road",Helene Hanff,4.16,"82,414 rating","January 1, 1970","This charming classic, first published in 1970, brings together twenty years of correspondence between Helene Hanff, a freelance writer living in New York City, and a used-book dealer in London. Through the years, though never meeting and separated both geographically and culturally, they share a winsome, sentimental friendship based on their common love for books. Their relationship, captured so acutely in these letters, is one that will grab your heart and not let go. [text from the back cover of the book]",106,"['Nonfiction', 'Books About Books', 'Memoir', 'Biography', 'Biography Memoir', 'British Literature', 'Audiobook']",581 follower,"13,160 review",27,902 (1%),"2,608 (3%)","12,836 (15%)","32,124 (38%)","33,944 (41%)"
Stones from the River,Ursula Hegi,4.09,"95,315 rating","January 1, 1994","Alternate cover edition of ISBN 9780684844770From the highly acclaimed, award-winning author of Floating in My Mother's Palm comes a stunning novel about ordinary people living in extraordinary times.Trudi Montag is a Zwerg—a dwarf—short, undesirable, different, the voice of anyone who has ever tried to fit in. Eventually she learns that being different is a secret that all humans share—from her mother who flees into madness, to her friend Georg whose parents pretend he's a girl, to the Jews Trudy harbors in her cellar.Ursula Hegi brings us a timeless and unforgettable story in Trudi and a small town, weaving together a profound tapestry of emotional power, humanity, and truth.",525,"['Fiction', 'Historical Fiction', 'Germany', 'World War II', 'Historical', 'Holocaust', 'War']",819 follower,"2,201 review",25,"1,547 (1%)","4,150 (4%)","16,974 (17%)","33,835 (35%)","38,809 (40%)"
The Power of Myth,Joseph Campbell,4.26,"50,928 rating","June 1, 1988","The Power Of Myth launched an extraordinary resurgence of interest in Joseph Campbell and his work. A preeminent scholar, writer, and teacher, he has had a profound influence on millions of people. To him, mythology was the ""song of the universe, the music of the spheres."" With Bill Moyers, one of America's most prominent journalists, as his thoughtful and engaging interviewer, The Power Of Myth touches on subjects from modern marriage to virgin births, from Jesus to John Lennon, offering a brilliant combination of intelligence and wit.",293,"['Nonfiction', 'Mythology', 'Philosophy', 'History', 'Psychology', 'Spirituality', 'Classics', 'Nonfiction', 'Mythology', 'Philosophy', 'History', 'Psychology', 'Spirituality', 'Classics', 'Nonfiction', 'Mythology', 'Philosophy', 'History', 'Psychology', 'Spirituality', 'Classics']","5,351 follower","2,362 review",366,861 (1%),"1,679 (3%)","6,643 (13%)","15,783 (30%)","25,962 (50%)"
"Girl, Interrupted",Susanna Kaysen,3.93,"241,657 rating","January 1, 1993","In 1967, after a session with a psychiatrist she'd never seen before, eighteen-year-old Susanna Kaysen was put in a taxi and sent to McLean Hospital. She spent most of the next two years on the ward for teenage girls in a psychiatric hospital as renowned for its famous clientele--Sylvia Plath, Robert Lowell, James Taylor, and Ray Charles--as for its progressive methods of treating those who could afford its sanctuary. Kaysen's memoir encompasses horror and razor-edged perception while providing vivid portraits of her fellow patients and their keepers. It is a brilliant evocation of a ""parallel universe"" set within the kaleidoscopically shifting landscape of the late sixties. Girl, Interrupted is a clear-sighted, unflinching documnet that gives lasting and specific dimension to our definitions of sane and insane, mental illness and recovery.",169,"['Nonfiction', 'Memoir', 'Psychology', 'Mental Health', 'Biography', 'Mental Illness', 'Classics']","1,622 follower","9,915 review",11,"3,070 (1%)","12,040 (4%)","58,510 (24%)","92,784 (38%)","75,253 (31%)"
The Borrowers,Mary Norton,4.03,"97,070 rating","January 1, 1952","Beneath the kitchen floor is the world of the Borrowers -- Pod and Homily Clock and their daughter, Arrietty. In their tiny home, matchboxes double as roomy dressers and postage stamps hang on the walls like paintings. Whatever the Clocks need they simply ""borrow"" from the ""human beans"" who live above them. It's a comfortable life, but boring if you're a kid. Only Pod is allowed to venture into the house above, because the danger of being seen by a human is too great. Borrowers who are seen by humans are never seen again. Yet Arrietty won't listen. There is a human boy up there, and Arrietty is desperate for a friend.",180,"['Fantasy', 'Childrens', 'Classics', 'Fiction', 'Middle Grade', 'Young Adult', 'Adventure', 'Fantasy', 'Childrens', 'Classics', 'Fiction', 'Middle Grade', 'Young Adult', 'Adventure', 'Fantasy', 'Childrens', 'Classics', 'Fiction', 'Middle Grade', 'Young Adult', 'Adventure', 'Fantasy', 'Childrens', 'Classics', 'Fiction', 'Middle Grade', 'Young Adult', 'Adventure', 'Fantasy', 'Childrens', 'Classics', 'Fiction', 'Middle Grade', 'Young Adult', 'Adventure']",572 follower,"2,413 review",108,"1,236 (1%)","3,948 (4%)","21,465 (22%)","34,128 (35%)","36,293 (37%)"
