title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,no_of_books_by_author,author_followers,genres,no_of_reviews,five_star_ratings,four_star_ratings,three_star_ratings,two_star_ratings,one_star_ratings
The Big Four,Agatha Christie,3.57,"59,203 rating","January 27, 1927","Framed in the doorway of Poirot’s bedroom stood an uninvited guest, coated from head to foot in dust. The man’s gaunt face stared for a moment, then he swayed and fell. Who was he? Was he suffering from shock or just exhaustion? Above all, what was the significance of the figure 4, scribbled over and over again on a sheet of paper? We follow Hercule Poirot as he finds himself plunged into a world of international intrigue, risking his life to uncover the truth about ‘Number Four’.Librarian's note #1: the concept of The Big Four first appeared as weekly short stories very loosely connected in 'The Sketch' in 1924. The 12 original stories were: 1) The Unexpected Guest, 2) The Adventure of the Dartmoor Bungalow, 3) The Lady on the Stairs, 4) The Radium Thieves, 5) In the House of the Enemy, 6) The Yellow Jasmine Mystery, 7) The Chess Problem, 8) The Baited Trap, 9) The Adventure of the Peroxide Blond, 10) The Terrible Catastrophe, 11) The Dying Chinaman, and 12) The Crag in the Dolomites. For her 1927 novel, Christie enhanced the linkages between the stories and shuffled them somewhat.Librarian's note: the first fifteen novels in the Hercule Poirot series are 1) The Mysterious Affair at Styles, 1920; 2) The Murder on the Links, 1923; 3) The Murder of Roger Ackroyd, 1926; 4) The Big Four, 1927; 5) The Mystery of the Blue Train, 1928; 6) Peril at End House, 1932; 7) Lord Edgware Dies, 1933; 8) Murder on the Orient Express, 1934; 9) Three Act Tragedy, 1935; 10) Death in the Clouds, 1935; 11) The A.B.C. Murders, 1936; 12) Murder in Mesopotamia, 1936; 13) Cards on the Table, 1936; 14) Dumb Witness, 1937; and 15) Death on the Nile, 1937. These are just the novels; Poirot also appears in this period in a play, Black Coffee, 1930, and two collections of short stories, Poirot Investigates, 1924, and Murder in the Mews, 1937. Each novel, play and short story has its own entry on Goodreads.",272,"4,153",64.5k follower,"['Mystery', 'Fiction', 'Crime', 'Classics', 'Mystery Thriller', 'Detective', 'Audiobook']","4,845 review","13,053 (22%)","18,429 (31%)","18,908 (31%)","7,129 (12%)","1,684 (2%)"
The Year of the Death of Ricardo Reis,José Saramago,4.00,"12,763 rating","January 1, 1984","The world's threats are universal like the sun but Ricardo Reis takes shelter under his own shadow.Back in Lisbon after sixteen years practicing medicine in Brazil, Ricardo Reis wanders the rain-sodden streets. He longs for the unattainably aristocratic Marcenda, but it is Lydia, the hotel chamber maid who makes and shares his bed. His old friend, the poet Fernando Pessoa, returns to see him, still wearing the suit he was buried in six weeks earlier. It is 1936, the clouds of Fascism are gathering ominously above them, so they talk; a wonderful, rambling discourse on art, truth, poetry, philosophy, destiny and love.",358,278,14.8k follower,"['Fiction', 'Portugal', 'Portuguese Literature', 'Classics', 'Literature', 'Historical Fiction', 'Nobel Prize', 'Fiction', 'Portugal', 'Portuguese Literature', 'Classics', 'Literature', 'Historical Fiction', 'Nobel Prize', 'Fiction', 'Portugal', 'Portuguese Literature', 'Classics', 'Literature', 'Historical Fiction', 'Nobel Prize']",924 review,"4,353 (34%)","5,084 (39%)","2,522 (19%)",617 (4%),187 (1%)
House of Splendid Isolation,Edna O'Brien,3.65,"1,068 rating","January 1, 1994","House of Splendid Isolation is a newly reissued novel from Edna O’Brien, the author of Girl—“one of the most celebrated writers in the English language” (NPR’s Weekend Edition).The heartbreaking dilemmas and the noble and bloody history of Ireland come vividly to life in the tale of Josie, a widow living in a solitary house outside an Irish village, whose home becomes the hideout of an IRA terrorist.",232,99,"1,113 follower","['Fiction', 'Ireland', 'Irish Literature', 'Historical Fiction', 'Novels', 'Literary Fiction', 'Historical']",100 review,193 (18%),447 (41%),318 (29%),82 (7%),28 (2%)
The Deed of Paksenarrion,Elizabeth Moon,4.32,"13,517 rating","February 1, 1992","The Deed of Paksenarrion revolves around the life of Paksenarrion Dorthansdotter, known as Paks. It takes place in a fictional medieval world comprised of kingdoms of humans, dwarves, and elves. The story begins by introducing Paks as a headstrong girl of 18, who leaves her home (fleeing a marriage arranged by her father) to join a mercenary company. Through her journeys and hardships she comes to realize that she has been gifted as a paladin. The novel was originally published in three volumes in 1988 and 1989 and as a single trade edition of that name in 1992. The three books included are The Sheepfarmer's Daughter, Divided Allegiance and Oath of Gold.From publisher Baen: ""Paksenarrion, a simple sheepfarmer's daughter, yearns for a life of adventure and glory, such as was known to heroes in songs and story. At age seventeen she runs away from home to join a mercenary company and begins her epic life . . . Book One: Paks is trained as a mercenary, blooded, and introduced to the life of a soldier . . . and to the followers of Gird, the soldier's god. Book Two: Paks leaves the Duke's company to follow the path of Gird alone—and on her lonely quests encounters the other sentient races of her world. Book Three: Paks the warrior must learn to live with Paks the human. She undertakes a holy quest for a lost elven prince that brings the gods' wrath down on her and tests her very limits.""",1040,152,"2,467 follower","['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Adventure', 'Military Fiction']",750 review,"7,357 (54%)","3,906 (28%)","1,617 (11%)",457 (3%),180 (1%)
Love in a Cold Climate and Other Novels,Nancy Mitford,4.10,"2,963 rating","February 22, 2000","Contains: The Pursuit of Love (1945)Love in a Cold Climate (1949)The Blessing (1951)Nancy Mitford's Love in a Cold Climate and Other Novels casts a finely gauged net to capture perfectly the foibles and fancies of the English upper class, and includes an introduction by Philip Hensher in Penguin Modern Classics. Nancy Mitford's brilliantly witty, irreverent stories of the upper classes in pre-war London and Paris conjure up a world of glamour, gossip and decadence. In The Pursuit of Love, Love in a Cold Climate and The Blessing, her extraordinary heroines deal with armies of hilariously eccentric relatives, the excitement of love and passion, and the thrills of the social Season. But beneath the glittering surfaces and perfectly timed comic dialogue, Nancy Mitford's novels are also touching hymns to a lost era and to the brevity of life and love from one of the most individual, beguiling and creative users of the language.",493,73,681 follower,"['Fiction', 'Classics', 'Humor', 'British Literature', '20th Century', 'Modern Classics', 'Romance']",140 review,"1,130 (38%)","1,134 (38%)",595 (20%),80 (2%),24 (<1%)
Griffin & Sabine: An Extraordinary Correspondence,Nick Bantock,4.02,"68,436 rating","January 1, 1991",This novel unfolds in a series of postcards and letters written between a solitary artist in London and a strangely exotic woman from the South Pacific Islands.,48,80,721 follower,"['Fiction', 'Art', 'Fantasy', 'Romance', 'Graphic Novels', 'Mystery', 'Magical Realism']","1,610 review","30,409 (44%)","18,850 (27%)","12,035 (17%)","4,213 (6%)","2,929 (4%)"
A Crown of Swords,Robert Jordan,4.06,"165,616 rating","May 15, 1996","The Wheel of Time turns, and Ages come and go. What was, what will be, and what is, may yet fall under the Shadow.Let the Dragon ride again on the winds of time.",880,640,15.4k follower,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Audiobook', 'Epic']","4,178 review","62,094 (37%)","61,757 (37%)","33,419 (20%)","6,755 (4%)","1,591 (<1%)"
The City of Joy,Dominique Lapierre,4.25,"7,472 rating","January 1, 1985","Made into a movie starring Patrick Swayze, this is the inspiring story of an American doctor who experienced a spiritual rebirth in an impoverished section of Calcutta.",552,67,295 follower,"['India', 'Fiction', 'Historical Fiction', 'Novels', 'Travel', 'Asia', 'France']",614 review,"3,474 (46%)","2,717 (36%)",998 (13%),214 (2%),69 (<1%)
Trans-Atlantyk,Witold Gombrowicz,3.78,"3,987 rating","January 1, 1953","Trans-Atlantyk Text by Witold Gombrowicz Translated by Carolyn French and Nina Karsov Witold Gombrowicz (1904-1969), novelist, essayist, and playwright, is considered by many to be the most important Polish writer of the twentieth century. Author of four novels, several plays, and a highly acclaimed Diary, he was a candidate for the Nobel Prize in literature in 1968. Trans-Atlantyk is a semi-autobiographical, satirical novel that throws into heightened perspective all of Gombrowicz's major literary, philosophical, psychological, and social concerns. First published in Paris in 1953, it is based on the author's experience of being caught in Argentina at the outbreak of World War II. The narrator finds himself alone, without family and friends, at odds with the Argentinian literary world and with Polish émigré society. Throughout the book, Gombrowicz ridicules the self-centered pomposity of the Polish community in Argentina. More than this, he explores with prophetic vision the modern predicament of exile and displacement in a disintegrating world. ""Gombrowicz's language-abetted by this ingenious translation-subverts language and ideas to a cosmic meltdown, as if in a fun-house mirror. Gombrowicz manages to befuddle, amuse, insult and astonish with this tale of exile, uprootedness and identity."" ~ Susan Miron, Boston Globe Witold Gombrowicz has received high praise from his contemporaries-ranging from Milan Kundera, who called him ""one of the great novelists of our century,"" to John Updike, who asserted he was ""one of the profoundest of the late moderns."" His other novels, Ferdydurke, Pornografia, and Cosmos, his plays, and the three-volume Diary have together been translated into over thirty languages. Publishing Yale University Press, New Haven & London, 1995 SoftCover book measuring 5.5"" x 8.25"" x 0.25"" 122 pages English Language Version",152,113,916 follower,"['Polish Literature', 'Fiction', 'Classics', 'Poland', 'Novels', 'Literature', 'School', 'Polish Literature', 'Fiction', 'Classics', 'Poland', 'Novels', 'Literature', 'School', 'Polish Literature', 'Fiction', 'Classics', 'Poland', 'Novels', 'Literature', 'School', 'Polish Literature', 'Fiction', 'Classics', 'Poland', 'Novels', 'Literature', 'School', 'Polish Literature', 'Fiction', 'Classics', 'Poland', 'Novels', 'Literature', 'School']",186 review,"1,112 (27%)","1,476 (37%)",934 (23%),330 (8%),135 (3%)
Solitudes Crowded With Loneliness,Bob Kaufman,4.29,357 rating,"June 1, 1965","Published in 1965, Solitudes Crowded with Loneliness assembles ten years' work of Bob Kaufman, celebrated in San Francisco as the original Beat and in France as ""the American Rimbaud.""Kaufman, one of fourteen children born in Louisiana to a German Jewish father and a Black Catholic mother, ran away to sea when he was thirteen, circling the globe nine times in the next twenty years. In the 1950s, while working as a waiter at the Los Angeles Hilton, he met another erstwhile member of the Merchant Marine, Jack Kerouac, and soon thereafter both moved north to found, along with Allen Ginsberg, Gregory Corso, and others, the San Francisco literary ""renaissance"" of the time.Kaufman promotes a spontaneous, prophetic verse, mixing street talk and jazz with vision. Solitudes Crowded with Loneliness contains odes to Charles Mingus, Hart Crane, Ray Charles, and Albert Camus as well as love lyrics, political rants, ""Prison Poems,"" and the prose meditation ""Second April.""""Perhaps the best of the Beat poets of the 1950s ... this book collects the best of his work, which is surprising literate and moving."" --National Observer""Mr. Kaufman has a genuine lyric talent and his poetry, at its best is sensuous, exciting, and charged with vitality."" --Publishers Weekly(New Directions Press)",87,37,69 follower,"['Poetry', 'American', '20th Century', 'Literature', 'Surreal', 'African American']",44 review,184 (51%),107 (29%),55 (15%),8 (2%),3 (<1%)
