title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,genres,author_followers,no_of_reviews,no_of_books_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
The Carpet Makers,Andreas Eschbach,4.18,"4,690 rating","May 5, 1995","Since the time of pre-history, carpetmakers tie intricate knots to form carpets for the court of the Emperor. These carpets are made from the hairs of wives and daughters; they are so detailed and fragile that each carpetmaker finishes only one single carpet in his entire lifetime.This art descends from father to son, since the beginning of time itself.But one day the empire of the God Emperor vanishes, and strangers begin to arrive from the stars to follow the trace of the hair carpets. What these strangers discover is beyond all belief, more than anything they could have ever imagined...Brought to the attention of Tor Books by Orson Scott Card, this edition of The Carpet Makers contains a special introduction by Orson Scott Card.",297,"['Science Fiction', 'Fiction', 'Fantasy', 'Short Stories', 'German Literature', 'Science Fiction Fantasy', 'Speculative Fiction', 'Science Fiction', 'Fiction', 'Fantasy', 'Short Stories', 'German Literature', 'Science Fiction Fantasy', 'Speculative Fiction', 'Science Fiction', 'Fiction', 'Fantasy', 'Short Stories', 'German Literature', 'Science Fiction Fantasy', 'Speculative Fiction', 'Science Fiction', 'Fiction', 'Fantasy', 'Short Stories', 'German Literature', 'Science Fiction Fantasy', 'Speculative Fiction', 'Science Fiction', 'Fiction', 'Fantasy', 'Short Stories', 'German Literature', 'Science Fiction Fantasy', 'Speculative Fiction']",688 follower,690 review,158,74 (1%),180 (3%),657 (14%),"1,719 (36%)","2,060 (43%)"
La casa de Bernarda Alba,Federico García Lorca,3.85,"36,822 rating","January 1, 1930","La casa de Bernarda Alba constituye un exponente más de la capacidad de Federico García Lorca para aunar la tradición y la vanguardia por medio de un teatro simbólico de índole muy personal que le sitúa entre los valores más destacados del canon internacional.El autor granadino continúa en el camino de la experimentación con temas, personajes y géneros de la tradición teatral, a los que presenta desde inusitadas perspectivas y filtra por el tamiz de unas modernas técnicas expresivas deudoras de las más renovadoras vanguardias del momento, junto con una profundización en las posibilidades connotativas de los símbolos.",96,"['Plays', 'Spanish Literature', 'Drama', 'Fiction', 'School', 'Spain', 'Theatre', 'Plays', 'Spanish Literature', 'Drama', 'Fiction', 'School', 'Spain', 'Theatre', 'Plays', 'Spanish Literature', 'Drama', 'Fiction', 'School', 'Spain', 'Theatre', 'Plays', 'Spanish Literature', 'Drama', 'Fiction', 'School', 'Spain', 'Theatre', 'Plays', 'Spanish Literature', 'Drama', 'Fiction', 'School', 'Spain', 'Theatre']","2,604 follower","1,968 review","1,262",663 (1%),"2,435 (6%)","9,386 (25%)","13,551 (36%)","10,787 (29%)"
The War Poems of Siegfried Sassoon,Siegfried Sassoon,4.22,"2,710 rating","January 1, 1919","An unabridged edition, with sixty-four poems to include, but not limited to: Prelude: The Troops - Dreamers - The Redeemer - Trench Duty - Wirers - Break of Day - A Working Party - Stand-To: Good Friday Morning - ""In The Pink"" - The Hero - Before The Battle - The Road - Two Hundred Years After - The Dream - At Carnoy - Battalion Relief - The Dug-Out - The Rear-Guard - I Stood With the Dead - Suicide in Trenches - Attack - Counter-Attack - The Effect - Remorse - In An Underground Dressing-Station - Died Of Wounds - ""They"" - Base Details - Lamentations - The General - How to Die - Editorial Impressions - Fight to a Finish - Atrocities - The Fathers - ""Blighters"" - Glory of Women - Their Frailty - Does It Matter? - Survivors - Joy-Bells - Arms and the Man - When I'm Among a Blaze of Lights - The Kiss - The Tombstone-Maker - The One-Legged Man - Return of the Heroes - Everyone Sang",92,"['Poetry', 'War', 'Classics', 'World War I', 'Fiction', 'Politics', 'British Literature', 'Poetry', 'War', 'Classics', 'World War I', 'Fiction', 'Politics', 'British Literature', 'Poetry', 'War', 'Classics', 'World War I', 'Fiction', 'Politics', 'British Literature']",157 follower,126 review,116,19 (<1%),61 (2%),416 (15%),"1,034 (38%)","1,180 (43%)"
The Mismeasure of Man,Stephen Jay Gould,4.05,"8,884 rating","October 28, 1982","The definitive refutation to the argument of The Bell Curve.How smart are you? If that question doesn't spark a dozen more questions in your mind (like ""What do you mean by 'smart,'"" ""How do I measure it"" and ""Who's asking?""), then The Mismeasure of Man, Stephen Jay Gould's masterful demolition of the IQ industry, should be required reading. Gould's brilliant, funny, engaging prose dissects the motivations behind those who would judge intelligence, and hence worth, by cranial size, convolutions, or score on extremely narrow tests. How did scientists decide that intelligence was unipolar and quantifiable? Why did the standard keep changing over time? Gould's answer is clear and simple: power maintains itself. European men of the 19th century, even before Darwin, saw themselves as the pinnacle of creation and sought to prove this assertion through hard measurement. When one measure was found to place members of some ""inferior"" group such as women or Southeast Asians over the supposedly rightful champions, it would be discarded and replaced with a new, more comfortable measure. The 20th-century obsession with numbers led to the institutionalization of IQ testing and subsequent assignment to work (and rewards) commensurate with the score, shown by Gould to be not simply misguided--for surely intelligence is multifactorial--but also regressive, creating a feedback loop rewarding the rich and powerful. The revised edition includes a scathing critique of Herrnstein and Murray's The Bell Curve, taking them to task for rehashing old arguments to exploit a new political wave of uncaring belt tightening. It might not make you any smarter, but The Mismeasure of Man will certainly make you think.--Rob LightnerThis edition is revised and expanded, with a new introduction",446,"['Science', 'Nonfiction', 'History', 'Psychology', 'Anthropology', 'Biology', 'Sociology']","1,282 follower",460 review,189,188 (2%),397 (4%),"1,610 (18%)","3,257 (36%)","3,432 (38%)"
Not Her Real Name and Other Stories,Emily Perkins,4.09,205 rating,"January 1, 1996","Not Her Real Name is the stylish debut of a new and startlingly young international literary voice. A collection of twelve stories peopled by over-sensitive twenty-somethings, Not Her Real Name transcends the self-indulgence that generally plagues the slacker genre and brings modern life into harsh and comic focus.With a cinematic vision for character and dialogue and a cast of young and painfully vulnerable metropolitans, Perkins speaks to twenty-somethings like no one else. With unnerving wit and insight, these stories deal with diverse subjects, from a chance meeting with an old lover in a supermarket to a couple's ill-fated trip to discover the real Prague, to a drama student pissed off by Clown class Not Her Real Name presents an essential guide to post-modern romance, to the vagaries of city life and to a chronically self-absorbed generation whose love affairs are never as good as the last movies they've seen.",272,"['Short Stories', 'Fiction']",55 follower,8 review,24,0 (0%),4 (1%),44 (21%),87 (42%),70 (34%)
Søvncyklen,Gyrðir Elíasson,3.71,58 rating,"January 1, 1990","En yngre forfatter slår sig for en tid ned i en sommerhytte et øde sted på Island. Efterhånden som ensomheden kommer snigende, trænger fortidens oplevelser sig på, og grænsen mellem virkelighed og fiktion opløser sig for ham.",118,[],48 follower,4 review,76,2 (3%),4 (6%),15 (25%),25 (43%),12 (20%)
Marina,Carlos Ruiz Zafón,4.12,"75,726 rating","January 1, 1999","""We all have a secret buried under lock and key in the attic of our soul. This is mine.""When Fifteen-year-old Oscar Drai suddenly vanishes from his boarding school in Barcelona, no one knows his whereabouts for seven days and seven nights.His story begins when he meets the strange Marina while he's exploring an old quarter of the city. She leads Oscar to a cemetery, where they watch a macabre ritual that occurs on the last Sunday of each month. At exactly ten o'clock in the morning, a woman shrouded in a black velvet cloak descends from her carriage to place a single rose on an unmarked grave. When Oscar and Marina decide to follow her, they begin a journey that transports them to a forgotten postwar Barcelona--a world of aristocrats and actresses, inventors and tycoons--an reveals a dark secret that lies waiting in the mysterious labyrinth beneath the city streets. Carlos Ruiz Zafon's haunting Marina has long been a cult classic in Spain and is now an international bestseller.",8,"['Fiction', 'Mystery', 'Young Adult', 'Fantasy', 'Horror', 'Gothic', 'Historical Fiction', 'Fiction', 'Mystery', 'Young Adult', 'Fantasy', 'Horror', 'Gothic', 'Historical Fiction', 'Fiction', 'Mystery', 'Young Adult', 'Fantasy', 'Horror', 'Gothic', 'Historical Fiction']",24.5k follower,"7,183 review",44,654 (<1%),"2,872 (3%)","13,533 (17%)","28,255 (37%)","30,412 (40%)"
Wicked Words,Terry Deary,4.04,546 rating,"July 19, 1996","Readers can discover all the foul facts about WICKED WORDS, including how to be very rude ...without anybody knowing, some murky Medieval jokes and what to say if someone calls you mundungus, hackum or Jabbernowl. With a bold, accessible new look and a heap of extra-horrible bits, these bestselling titles are sure to be a huge hit with yet another generation of Terry Deary fans.",192,"['Nonfiction', 'History', 'Childrens', 'Humor', 'Language', 'Historical', 'Nonfiction', 'History', 'Childrens', 'Humor', 'Language', 'Historical', 'Nonfiction', 'History', 'Childrens', 'Humor', 'Language', 'Historical']",723 follower,34 review,539,6 (1%),23 (4%),118 (21%),195 (35%),204 (37%)
Bullfrog Builds a House,Rosamond Dauer,4.33,18 rating,"January 1, 1977","Not wanting to forget any important items in his new house, Bullfrog seeks the advice of Gertrude. Upon completion he finds he has overlooked one thing.",56,[],8 book,3 review,8,1 (5%),0 (0%),3 (16%),2 (11%),12 (66%)
Black and Blue,Anna Quindlen,3.89,"82,320 rating","April 1, 1998","4 cassettes / 4 hoursRead by Lili Taylor With this stunning novel about a marriage that begins in passion and becomes violent, the Pulitzer Prize-winning journalist and bestselling author of ""One True Thing"" moves into a new dimension as a writer of superb fiction. With this stunning novel about a woman and a marriage that begins in passion and becomes violent, the Pulitzer Prize--winning journalist and bestselling author of One True Thing and Object Lessons moves to a new dimension as a writer of superb fiction. ""If literature were judged solely by its ability to elicit strong emotions,"" Kirkus Reviews said about One True Thing, ""columnist-cum-novelist Quindlen would win another Pulitzer."" And the same will be said about Black and Blue, a brilliant novel of suspense, substance, and importance. In Black and Blue, Fran Benedetto tells a spellbinding story: how at nineteen she fell in love with Bobby Benedetto, how their passionate marriage became a nightmare, why she stayed, and what happened on the night she finally decided to run away with her ten-year-old son and start a new life under a new name. Living in fear in Florida--yet with increasing confidence, freedom, and hope--Fran unravels the complex threads of family, identity, and desire that shape a woman's life, even as she begins to create a new one. As Fran starts to heal from the pain of the past, she almost believes she has escaped it--that Bobby Benedetto will not find her and again provoke the complex combustion between them of attraction and destruction, lust and love. Black and Blue is a beautifully written, heart-stopping story in which Anna Quindlen writes with power, wisdom, and humor about the real lives of men and women, the varieties of people and love, the bonds between mother and child, the solace of family and friendship, the inexplicable feelings between people who are passionately connected in ways they don't understand. It is a remarkable work of fiction by the writer whom Alice Hoffman has called ""a national treasure.""",4,"['Fiction', 'Contemporary', 'Chick Lit', 'Adult Fiction', 'Abuse', 'Novels', 'Drama', 'Fiction', 'Contemporary', 'Chick Lit', 'Adult Fiction', 'Abuse', 'Novels', 'Drama', 'Fiction', 'Contemporary', 'Chick Lit', 'Adult Fiction', 'Abuse', 'Novels', 'Drama']","3,974 follower","1,864 review",97,"1,000 (1%)","4,138 (5%)","21,181 (25%)","32,767 (39%)","23,234 (28%)"
