title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,genres,author_followers,no_of_reviews,no_of_books_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
Capitães da Areia,Jorge Amado,4.35,"25,367 rating","November 1, 1937","Capitães da Areia é o livro de Jorge Amado mais vendido no mundo inteiro.Publicado em 1937, teve a sua primeira edição apreendida e queimada em praça pública pelas autoridades do Estado Novo. Em 1944 conheceu nova edição e desde então sucederam-se as edições nacionais e estrangeiras, e as adaptações para a rádio, televisão e cinema.Jorge Amado descreve, em páginas carregadas de grande beleza, dramatismo e lirismo poucas vezes igualados na literatura universal, a vida dos meninos abandonados nas ruas de São Salvador da Bahia.Dividido em três partes, o livro atinge um clímax inesquecível no capítulo .Canção da Bahía, Canção da Liberdade., em que é narrada a emocionante despedida de um dos personagens da história, que se afasta dos seus queridos Capitães da Areia .na noite misteriosa das macumbas, enquanto os atabaques ressoam como clarins de guerra.",256,"['Classics', 'Fiction', 'Brazil', 'Romance', 'Portuguese Literature', 'Literature', 'Novels']","1,377 follower","1,278 review",127,256 (1%),636 (2%),"2,771 (10%)","7,945 (31%)","13,759 (54%)"
The Iceman Cometh,Eugene O'Neill,3.90,"9,746 rating","January 1, 1946","Eugene O'Neill was the first American playwright to win the Nobel Prize in Literature. He completed The Iceman Cometh in 1939, but he delayed production until after the war, when it enjoyed a modest run in 1946 after receiving mixed reviews. Three years after O'Neill's death, Jason Robards starred in a Broadway revival that brought new critical attention to O'Neill’s dark play. In the half century since, The Iceman Cometh has gained in stature. Kevin Spacey and James Earl Jones have played Hickey. The Iceman Cometh focuses on a group of alcoholics who endlessly discuss but never act on their dreams, and Hickey, the traveling salesman determined to strip them of their pipe dreams.",236,"['Plays', 'Drama', 'Classics', 'Fiction', 'Theatre', 'American', 'Literature', 'Plays', 'Drama', 'Classics', 'Fiction', 'Theatre', 'American', 'Literature', 'Plays', 'Drama', 'Classics', 'Fiction', 'Theatre', 'American', 'Literature']",945 follower,323 review,368,292 (2%),637 (6%),"2,069 (21%)","3,494 (35%)","3,254 (33%)"
The Awakening,L.J. Smith,3.35,"78,274 rating","September 1, 1991","A Love Triangle of Unspeakable Horror... ElenaSearching for the ultimate thrill, she vowed to have Stefan. StefanHaunted by his tragic past, he struggled to resist her passion. DamonDriven by revenge, he hunted the brother who betrayed him. The terrifying story of two vampire brothers and the beautiful girl torn between them.",253,"['Young Adult', 'Fantasy', 'Vampires', 'Romance', 'Paranormal', 'Fiction', 'Supernatural']",112k follower,"5,054 review",261,"6,530 (8%)","12,562 (16%)","23,700 (30%)","17,950 (22%)","17,532 (22%)"
Season of Migration to the North,Tayeb Salih,3.72,"28,723 rating","January 1, 1966","After years of study in Europe, the young narrator of Season of Migration to the North returns to his village along the Nile in the Sudan. It is the 1960s, and he is eager to make a contribution to the new postcolonial life of his country. Back home, he discovers a stranger among the familiar faces of childhood—the enigmatic Mustafa Sa’eed. Mustafa takes the young man into his confidence, telling him the story of his own years in London, of his brilliant career as an economist, and of the series of fraught and deadly relationships with European women that led to a terrible public reckoning and his return to his native land.But what is the meaning of Mustafa’s shocking confession? Mustafa disappears without explanation, leaving the young man—whom he has asked to look after his wife—in an unsettled and violent no-man’s-land between Europe and Africa, tradition and innovation, holiness and defilement, and man and woman, from which no one will escape unaltered or unharmed.Season of Migration to the North is a rich and sensual work of deep honesty and incandescent lyricism. In 2001 it was selected by a panel of Arab writers and critics as the most important Arab novel of the twentieth century.",176,"['Fiction', 'Classics', 'Africa', 'Novels', 'Sudan', 'Historical Fiction', 'Literature', 'Fiction', 'Classics', 'Africa', 'Novels', 'Sudan', 'Historical Fiction', 'Literature', 'Fiction', 'Classics', 'Africa', 'Novels', 'Sudan', 'Historical Fiction', 'Literature']",807 follower,"3,790 review",29,"1,185 (4%)","2,423 (8%)","7,250 (25%)","10,349 (36%)","7,516 (26%)"
Ghostwritten,David Mitchell,4.05,"30,910 rating","August 19, 1999","A gallery attendant at the Hermitage. A young jazz buff in Tokyo. A crooked British lawyer in Hong Kong. A disc jockey in Manhattan. A physicist in Ireland. An elderly woman running a tea shack in rural China. A cult-controlled terrorist in Okinawa. A musician in London. A transmigrating spirit in Mongolia. What is the common thread of coincidence or destiny that connects the lives of these nine souls in nine far-flung countries, stretching across the globe from east to west? What pattern do their linked fates form through time and space?A writer of pyrotechnic virtuosity and profound compassion, a mind to which nothing human is alien, David Mitchell spins genres, cultures, and ideas like gossamer threads around and through these nine linked stories. Many forces bind these lives, but at root all involve the same universal longing for connection and transcendence, an axis of commonality that leads in two directions—to creation and to destruction. In the end, as lives converge with a fearful symmetry, Ghostwritten comes full circle, to a point at which a familiar idea—that whether the planet is vast or small is merely a matter of perspective—strikes home with the force of a new revelation. It marks the debut novel of a writer with astonishing gifts.",426,"['Fiction', 'Fantasy', 'Contemporary', 'Literary Fiction', 'Science Fiction', 'Magical Realism', 'Literature']",14.2k follower,"2,700 review",117,302 (<1%),"1,223 (3%)","5,545 (17%)","13,410 (43%)","10,430 (33%)"
Evil Under the Sun,Agatha Christie,3.98,"73,387 rating","June 1, 1941","The beautiful bronzed body of Arlena Stuart lay facedown on the beach. But strangely, there was no sun and she was not sunbathing... she had been strangled.Ever since Arlena's arrival the air had been thick with sexual tension. Each of the guests had a motive to kill her. But Hercule Poirot suspects that this apparent 'crime of passion' conceals something much more evil.",220,"['Mystery', 'Fiction', 'Crime', 'Classics', 'Mystery Thriller', 'Detective', 'Audiobook']",64.5k follower,"3,844 review","4,158",453 (<1%),"2,198 (2%)","17,445 (23%)","31,662 (43%)","21,629 (29%)"
Dreams from My Father: A Story of Race and Inheritance,Barack Obama,3.93,"224,619 rating","July 1, 1995","In this lyrical, unsentimental, and compelling memoir, the son of a black African father and a white American mother searches for a workable meaning to his life as a black American. It begins in New York, where Barack Obama learns that his father—a figure he knows more as a myth than as a man—has been killed in a car accident. This sudden death inspires an emotional odyssey—first to a small town in Kansas, from which he retraces the migration of his mother’s family to Hawaii, and then to Kenya, where he meets the African side of his family, confronts the bitter truth of his father’s life, and at last reconciles his divided inheritance.",453,"['Nonfiction', 'Biography', 'Memoir', 'Politics', 'Autobiography', 'Audiobook', 'History']",19.9k follower,"8,706 review",209,"9,842 (4%)","10,379 (4%)","43,947 (19%)","81,586 (36%)","78,865 (35%)"
The Rum Diary,Hunter S. Thompson,3.84,"60,828 rating","January 1, 1998","Begun in 1959 by a twenty-two-year-old Hunter S. Thompson, The Rum Diary is a tangled love story of jealousy, treachery, and violent alcoholic lust in the Caribbean boomtown that was San Juan, Puerto Rico, in the late 1950s. The narrator, freelance journalist Paul Kemp, irresistibly drawn to a sexy, mysterious woman, is soon thrust into a world where corruption and get-rich-quick schemes rule and anything (including murder) is permissible.",224,"['Fiction', 'Classics', 'Novels', 'Literature', 'Contemporary', 'American', 'Travel']","9,693 follower","2,521 review",108,585 (<1%),"3,612 (5%)","16,320 (26%)","24,445 (40%)","15,866 (26%)"
The Bastard,John Jakes,4.13,"24,542 rating","September 1, 1974","One man’s quest for his destiny leads him to the New World and into the heart of the American Revolution. Meet Phillipe Charboneau: the illegitimate son and unrecognized heir of the Duke of Kentland. Upon the Duke’s death, Phillipe is denied his birthright and left to build a life of his own. Seeking all that the New World promises, he leaves London for America, shedding his past and preparing for the future by changing his name to Philip Kent. He arrives at the brink of the American Revolution, which tests his allegiances in ways he never imagined. The first volume of John Jakes’s wildly successful and highly addictive Kent Family Chronicles, The Bastard is a triumph of historical fiction.",528,"['Historical Fiction', 'Fiction', 'Historical', 'American Revolution', 'American History', 'War', 'Adult']",873 follower,612 review,382,237 (<1%),796 (3%),"4,623 (18%)","8,751 (35%)","10,135 (41%)"
The Cyberiad,Stanisław Lem,4.15,"12,753 rating","January 1, 1965","A brilliantly funny collection of stories for the next age, from the celebrated author of Solaris. Ranging from the prophetic to the surreal, these stories demonstrate Stanislaw Lem's vast talent and remarkable ability to blend meaning and magic into a wholly entertaining and captivating work.",295,"['Science Fiction', 'Fiction', 'Short Stories', 'Humor', 'Polish Literature', 'Fantasy', 'Classics', 'Science Fiction', 'Fiction', 'Short Stories', 'Humor', 'Polish Literature', 'Fantasy', 'Classics', 'Science Fiction', 'Fiction', 'Short Stories', 'Humor', 'Polish Literature', 'Fantasy', 'Classics', 'Science Fiction', 'Fiction', 'Short Stories', 'Humor', 'Polish Literature', 'Fantasy', 'Classics', 'Science Fiction', 'Fiction', 'Short Stories', 'Humor', 'Polish Literature', 'Fantasy', 'Classics']","3,885 follower",914 review,426,181 (1%),584 (4%),"2,020 (15%)","4,327 (33%)","5,641 (44%)"
Cod: A Biography of the Fish that Changed the World,Mark Kurlansky,3.92,"22,621 rating","June 1, 1997","The Cod. Wars have been fought over it, revolutions have been triggered by it, national diets have been based on it, economies and livelihoods have depended on it. To the millions it has sustained, it has been a treasure more precious that gold. This book spans 1,000 years and four continents. From the Vikings to Clarence Birdseye, Mark Kurlansky introduces the explorers, merchants, writers, chefs and fisherman, whose lives have been interwoven with this prolific fish. He chronicles the cod wars of the 16th and 20th centuries. He blends in recipes and lore from the Middle Ages to the present. In a story that brings world history and human passions into captivating focus, he shows how the most profitable fish in history is today faced with extinction.",294,"['History', 'Nonfiction', 'Food', 'Science', 'Nature', 'Animals', 'Microhistory']","1,748 follower","1,740 review",61,398 (1%),"1,017 (4%)","5,240 (23%)","9,299 (41%)","6,667 (29%)"
Rites of Passage,William Golding,3.57,"4,065 rating","January 1, 1980","The first volume of William Golding's Sea Trilogy.Sailing to Australia in the early years of the nineteenth century, Edmund Talbot keeps a journal to amuse his godfather back in England. Full of wit and disdain, he records the mounting tensions on the ancient, stinking warship where officers, sailors, soldiers and emigrants jostle in the cramped spaces below decks. Then a single passenger, the obsequious Reverend Colley, attracts the animosity of the sailors, and in the seclusion of the fo'castle something happens to bring him into a 'hell of degradation', where shame is a force deadlier than the sea itself.",278,"['Fiction', 'Historical Fiction', 'Classics', 'Nobel Prize', 'Historical', 'Literary Fiction', 'Literature']","3,886 follower",269 review,141,169 (4%),418 (10%),"1,249 (30%)","1,365 (33%)",864 (21%)
Heir to the Shadows,Anne Bishop,4.32,"27,507 rating","April 1, 1999","Librarian's note: See alternate cover for this edition here.Enough time has passed for the young girl Jaenelle, heir to the magical Darkness, for her physical wounds to heal, while amnesia keeps her frightening memories at bay. But with Saetan--a Black-Jewelled Warlord Prince and Jaenelle's foster-father--to protect her, she will continue to grow. Her magic will mature. Her memories will return. And Jaenelle will face her destiny when she remembers Daemon, Saetan's son, who made the ultimate sacrifice for her love....",482,"['Fantasy', 'Romance', 'Magic', 'Fiction', 'Dark Fantasy', 'High Fantasy', 'Paranormal']",10.1k follower,831 review,56,287 (1%),780 (2%),"3,459 (12%)","8,164 (29%)","14,817 (53%)"
