title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,no_of_books_by_author,author_followers,genres,no_of_reviews,five_star_ratings,four_star_ratings,three_star_ratings,two_star_ratings,one_star_ratings
"Angus, Thongs and Full-Frontal Snogging",Louise Rennison,3.75,"133,575 rating","June 24, 1999","There are six things very wrong with my life:1. I have one of those under-the-skin spots that will never come to a head but lurk in a red way for the next two years.2. It is on my nose3. I have a three-year-old sister who may have peed somewhere in my room.4. In fourteen days the summer hols will be over and then it will be back to Stalag 14 and Oberfuhrer Frau Simpson and her bunch of sadistic teachers.5. I am very ugly and need to go into an ugly home.6. I went to a party dressed as a stuffed olive.In this wildly funny journal of a year in the life of Georgia Nicolson, British author Louise Rennison has perfectly captured the soaring joys and bottomless angst of being a teenager. In the spirit of Bridget Jones's Diary, this fresh, irreverent, and simply hilarious book will leave you laughing out loud. As Georgia would say, it's ""Fabbity fab fab!""",247,80,"2,740 follower","['Young Adult', 'Fiction', 'Humor', 'Romance', 'Contemporary', 'Chick Lit', 'Teen']","4,775 review","41,527 (31%)","39,887 (29%)","35,084 (26%)","12,046 (9%)","5,031 (3%)"
Akhmatova: Poems,Anna Akhmatova,4.31,522 rating,"256 pages, HardcoverPublished May 16, 2006","A legend in her own time both for her brilliant poetry and for her resistance to oppression, Anna Akhmatova--denounced by the Soviet regime for her ""eroticism, mysticism, and political indifference""--is one of the greatest Russian poets of the twentieth century.Before the revolution, Akhmatova was a wildly popular young poet who lived a bohemian life. She was one of the leaders of a movement of poets whose ideal was ""beautiful clarity""--in her deeply personal work, themes of love and mourning are conveyed with passionate intensity and economy, her voice by turns tender and fierce. A vocal critic of Stalinism, she saw her work banned for many years and was expelled from the Writers' Union--condemned as ""half nun, half harlot."" Despite this censorship, her reputation continued to flourish underground, and she is still among Russia's most beloved poets.Here are poems from all her major works--including the magnificent ""Requiem"" commemorating the victims of Stalin's terror--and some that have been newly translated for this edition.",256,345,855 follower,"['Poetry', 'Russia', 'Russian Literature', 'Classics', '20th Century', 'Literature', 'Fiction', 'Poetry', 'Russia', 'Russian Literature', 'Classics', '20th Century', 'Literature', 'Fiction', 'Poetry', 'Russia', 'Russian Literature', 'Classics', '20th Century', 'Literature', 'Fiction', 'Poetry', 'Russia', 'Russian Literature', 'Classics', '20th Century', 'Literature', 'Fiction', 'Poetry', 'Russia', 'Russian Literature', 'Classics', '20th Century', 'Literature', 'Fiction']",75 review,255 (48%),186 (35%),71 (13%),9 (1%),1 (<1%)
Flashman at the Charge,George MacDonald Fraser,4.37,"5,193 rating","January 28, 1973","Harper Collins 1999 Trade edition paperback, fine In stock shipped from our UK warehouse",336,86,660 follower,"['Historical Fiction', 'Fiction', 'Historical', 'Humor', 'Adventure', 'Comedy', 'War']",221 review,"2,589 (49%)","2,013 (38%)",535 (10%),44 (<1%),12 (<1%)
Follow My Leader,James B. Garfield,4.20,"3,580 rating","January 1, 1957","A heartwarming story about a boy and his guide dog, for fans of  Where the Red Fern Grows  and Because of Winn-Dixie .After Jimmy is blinded in an accident with a firecracker, he has to relearn all the things he used to know - how to get dressed, how to find his way around the house, even how to eat. With the help of a determined therapist, he learns to read Braille and use a cane. Then he's given the chance to have a guide dog. Learning to work with Leader is not easy, but Jimmy tries harder than he ever has before. Can Leader really give him the ability and the confidence he needs?",192,4,14 follower,"['Fiction', 'Childrens', 'Animals', 'Young Adult', 'Dogs', 'Middle Grade', 'School']",279 review,"1,700 (47%)","1,139 (31%)",564 (15%),124 (3%),53 (1%)
The Thirteenth Pearl,Carolyn Keene,3.89,"4,597 rating","January 1, 1979",A pearl necklace that is unusual and valuable has been stolen. The girl detective soon learns strange and dangerous people are responsible for the theft. Nancy and Carson Drew travel to Japan in search of the necklace. Clues found near home and in Japan help her uncover a group of underworld jewel thieves hiding behind the front of a pearl worshipping cult. This book is the original text. A revised text does not exist.,179,"1,165","3,379 follower","['Mystery', 'Fiction', 'Young Adult', 'Childrens', 'Classics', 'Middle Grade', 'Juvenile']",120 review,"1,469 (31%)","1,487 (32%)","1,368 (29%)",228 (4%),45 (<1%)
Das Urteil und andere Erzählungen,Franz Kafka,3.87,"2,717 rating","137 pages, PaperbackPublished May 3, 1989","»Allzu leicht ist man geneigt, auf den Wegen der Ausdeutungen zu vergessen, daß es sich im Fall Kafkas in erster Linie um einen Dichter handelt, um einen Prosakünstler - einem Kleist oder Hebel verwandt und vergleichbar -, der nur mit höchsten Maßstäben zu messen oder der, genauer, selber ein Maßstab ist. Seine Gestalten und ihr Verhalten sind bei aller Exzentrizität des Standpunktes, von dem aus sie gesehen werden, von einer so unmittelbar bezwingenden Richtigkeit und Evidenz, daß ihnen unerschöpfliche Sinnfülle zuzuströ-men scheint. Weit davon entfernt, einsinnig allegorisch oder symbolisch gemeint zu sein, stellen sie sich vielmehr als wunderbar genau erfundene Detektoren zur Erkundung des Verborgenen dar. Nur darf man sie nicht bei ihren Worten nehmen wollen, die jeweils bereits entstellt aufgefangene, nach einem fehlerhaften Code entschlüsselte Meldungen, immer nur Ansichten, Meinungen, Vermutungen sind. Ihre Zeugniskraft liegt allein in dem Anschein der Wahrheit, der an ihnen sichtbar wird: ›Unsere Kunst ist ein von der Wahrheit Geblendetsein: Das Licht auf dem zurückweichenden Fratzengesicht ist wahr, sonst nichts.‹« Friedhelm Kemp",137,"2,758",29.1k follower,"['Classics', 'German Literature', 'Fiction', 'Short Stories', 'School', 'Literature', 'Czech Literature']",112 review,833 (30%),989 (36%),662 (24%),177 (6%),56 (2%)
Der Unbesiegbare,Stanisław Lem,4.15,"11,370 rating","January 1, 1964","Der Astrogar Horpach und sein Stellvertreter Rohan stehen vor einem Rätsel, als man die unversehrte »Kondor« und die überreste ihrer Besatzung findet. Es gibt keinen überlebenden, aber Lebensmittelvorräte, Wasser- und Sauerstoffreserven wären für viele Monate ausreichend gewesen. Allerdings sind die Innenräume des Raumschiffs in einem unbeschreiblichen Zustand, als habe eine Horde Wilder darin gehaust. Wie die Wissenschaftler des »Unbesiegbaren« feststellen, gibt es auf Regis III keine feindliche Fauna oder Flora und doch wird der Planet von einer Macht beherrscht, die auch der Rettungsexpedition fast zum Verhängnis wird.",227,426,"3,885 follower","['Science Fiction', 'Fiction', 'Polish Literature', 'Classics', 'Audiobook', 'Science Fiction Fantasy', 'Speculative Fiction']",810 review,"4,478 (39%)","4,610 (40%)","1,867 (16%)",343 (3%),72 (<1%)
A Writer's Diary,Virginia Woolf,4.16,"6,119 rating","January 1, 1953","An invaluable guide to the art and mind of Virginia Woolf, drawn from the personal record she kept over a period of twenty-seven years.Included are entries that refer to her own writing, and those that are relevant to the raw material of her work, and, finally, comments on the books she was reading. The first entry included here is dated 1918 and the last, three weeks before her death in 1941. Between these points of time unfolds the private world—the anguish, the triumph, the creative vision—of one of the great writers of the twentieth century.“ A Writer’s Diary . . . is Virginia Woolf . . . The whole vibrates with the ups and downs of a passionate relationship . . . in the intensities, variations, alarms and excursions, panics and exaltations of her relationship to her art.”— New York Times Book ReviewEdited and with a Preface by Leonard Woolf.",355,"1,373",24.1k follower,"['Nonfiction', 'Writing', 'Classics', 'Biography', 'Memoir', 'Biography Memoir', 'Diary']",348 review,"2,743 (44%)","2,129 (34%)",856 (13%),246 (4%),145 (2%)
New Essays in Philosophical Theology,Antony Flew,3.63,16 rating,"January 1, 1955","This book is among the most promising and most important in its particular field to be published within recent years. Indeed, there is no other in which men trained in the school of philosophy dominant in England today have sought as they do here to come to terms with Christian theology.' (British Weekly)'What is really appealing about these essays is not a new sophistication but a refreshing naivety and transparent sincerity, a kind of virginal approach to the old problems which, expressed in vigorous contemporary English, makes the book eminently attractive and readable.' (The Times Literary Supplement)","PaperbackFirst published January 1, 1955",88,112 follower,"['Philosophy', 'Religion', 'Philosophy', 'Religion', 'Philosophy', 'Religion']",2 review,3 (18%),7 (43%),4 (25%),1 (6%),1 (6%)
Notes from the Hyena's Belly: An Ethiopian Boyhood,Nega Mezlekia,3.89,846 rating,"January 1, 2000","Winner of the Governor General's AwardA Library Journal Best Book of 2001Part autobiography and part social history, Nega Mezlekia's Notes from the Hyena's Belly offers an unforgettable portrait of Ethiopia, and of Africa, during the 1970s and '80s, an era of civil war, widespread famine, and mass execution.""We children lived like the donkey,"" Mezlekia remembers, ""careful not to wander off the beaten trail and end up in the hyena's belly."" His memoir sheds light not only on the violence and disorder that beset his native country, but on the rich spiritual and cultural life of Ethiopia itself. Throughout, he portrays the careful divisions in dress, language, and culture between the Muslims and Christians of the Ethiopian landscape. Mezlekia also explores the struggle between western European interests and communist influences that caused the collapse of Ethiopia's social and political structure―and that forced him, at age 18, to join a guerrilla army. Through droughts, floods, imprisonment, and killing sprees at the hands of military juntas, Mezlekia survived, eventually emigrating to Canada. In Notes from the Hyena's Belly he bears witness to a time and place that few Westerners have understood.",368,9,26 follower,"['Africa', 'Ethiopia', 'Nonfiction', 'Memoir', 'Biography Memoir', 'Biography', 'History']",97 review,233 (27%),348 (41%),210 (24%),45 (5%),10 (1%)
