title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,no_of_books_by_author,author_followers,genres,no_of_reviews,five_star_ratings,four_star_ratings,three_star_ratings,two_star_ratings,one_star_ratings
Autumn Lover,Elizabeth Lowell,3.77,"2,007 rating","April 1, 1996","
Librarian’s note: This is a previously-published edition of Kindle ASIN: B000GCFXF4.
In the Brisk Chill of Autumn, Ravaged Hearts Will Be RebornReturning to her Wyoming ranch at the Civil War's end, Elyssa Sutton finds it picked bare by scavengers and coveted by determined men. Yet the proud young woman vows never again to abandon her Ruby Mountain home, though it means enlisting the aid of a dark and dangerous stranger who lives for revenge alone.Hunter Maxwell has suffered from the savagery of outlaws and the faithlessness of a woman. And he will trust no female nor will he rest until the raiders who destroyed his family pay for their crimes.A woman in need, a man in pain, in fury and fire they must now stand as one to fight for something cherished, something lost...and for a passion neither dreamed could live.",416,203,"1,823 follower","['Romance', 'Historical Romance', 'Historical', 'Westerns', 'Fiction', 'Western Romance', 'Historical Fiction']",100 review,525 (26%),721 (35%),572 (28%),153 (7%),36 (1%)
"Whitney, My Love",Judith McNaught,4.12,"36,517 rating","January 1, 1985","Fresh from her triumphs in Paris society, Whitney Stone returns to England determined to win the heart of her childhood love. However, in order to save himself from ruin, her father has come to an arrangement with the arrogant Duke of Claymore, and Whitney is the price.--This text refers to an out of print or unavailable edition of this title.",736,96,"7,393 follower","['Historical Romance', 'Romance', 'Historical', 'Historical Fiction', 'Fiction', 'Regency', 'Adult']","2,627 review","17,654 (48%)","10,215 (27%)","5,421 (14%)","1,845 (5%)","1,382 (3%)"
The Shepherd,Frederick Forsyth,3.98,"5,029 rating","November 1, 1975","It is Christmas Eve, 1957, and there are cozier places to be than the cockpit of a de Havilland Vampire fighter plane. But for the Royal Air Force pilot who has just taken off from West Germany, this single-seat jet is the only way to make it back to England for Christmas morning. His flight plan is simple; the fuel tank is full. In sixty-six minutes, he will be back in Blighty. But then the plane begins to fail. First the compass goes haywire, then the radio dies. Lost and alone above the English coast, the pilot is searching for a landing strip when the fog closes in, signaling certain death. He has given up hope when a second shadow appears—a Mosquito fighter-bomber of World War II vintage. The plane is a “shepherd,” guiding the Vampire to a safe landing, and its appearance is a gift from fate, a miracle out of time—but for one lonely pilot, the mystery has just begun.",128,255,"3,583 follower","['Fiction', 'Christmas', 'Thriller', 'Historical Fiction', 'Short Stories', 'Adventure', 'Aviation']",382 review,"1,841 (36%)","1,737 (34%)","1,069 (21%)",269 (5%),113 (2%)
The Importance of Living,Lin Yutang,4.06,"1,340 rating","January 1, 1937",《生活的艺术》创作于20世纪30年代，出版至今已再版四十余次，被译成多种语言。作者以轻快的笔触展现了中国人的闲情雅趣，将生活的浪漫与优雅进行了完美的呈现。在生活的艺术面前，我们看到了现代快节奏的生活中最为缺乏，也是我们最渴望的闲适情调。这种古典的优雅与从容，是中国人骨子里浪漫情怀的现实表达。穿越历史的尘埃，背负过多的中国人如何在忙碌中保持这种内心的旷达，如何保有并延续这份灵动的性情？闲适人生，是一种充满智慧的处世哲学，更是我们在现代忙碌生活中最需要的生活态度。,462,236,309 follower,"['Philosophy', 'Nonfiction', 'China', 'Self Help', 'Classics', 'Spirituality', 'Essays']",176 review,542 (40%),464 (34%),233 (17%),76 (5%),25 (1%)
The Sandman: The Dream Hunters,Neil Gaiman,4.41,"20,737 rating","January 1, 1999","Sandman fans should feel lucky that master fantasy writer Neil Gaiman discovered the mythical world of Japanese fables while researching his translation of Hayao Miyazaki's film Princess Mononoke. At the same time, while preparing for the Sandman 10th anniversary, he met Yoshitaka Amano, his artist for the 11th Sandman book. Amano is the famed designer of the Final Fantasy game series. The product of Gaiman's immersion in Japanese art, culture, and history, Sandman: Dream Hunters is a classic Japanese tale (adapted from ""The Fox, the Monk, and the Mikado of All Night's Dreaming"") that he has subtly morphed into his Sandman universe.Like most fables, the story begins with a wager between two jealous animals, a fox and a badger: which of them can drive a young monk from his solitary temple? The winner will make the temple into a new fox or badger home. But as the fox adopts the form of a woman to woo the monk from his hermitage, she falls in love with him. Meanwhile, in far away Kyoto, the wealthy Master of Yin-Yang, the onmyoji, is plagued by his fears and seeks tranquility in his command of sorcery. He learns of the monk and his inner peace; he dispatches demons to plague the monk in his dreams and eventually kill him to bring his peace to the onmyoji. The fox overhears the demons on their way to the monk and begins her struggle to save the man whom at first she so envied.Dream Hunters is a beautiful package. From the ink-brush painted endpapers to the luminous page layouts--including Amano's gate-fold painting of Morpheus in a sea of reds, oranges, and violets--this book has been crafted for a sensuous reading experience. Gaiman has developed as a prose stylist in the last several years with novels and stories such as Neverwhere and Stardust, and his narrative rings with a sense of timelessness and magic that gently sustains this adult fairy tale. The only disappointment here is that the book is so brief. One could imagine this creative team being even better suited to a longer story of more epic proportions. On the final page of Dream Hunters, in fact, Amano suggest that he will collaborate further with Mr. Gaiman in the future. Readers of Dream Hunters will hope that Amano's dream comes true. --Patrick O'Kelley",128,"2,138",314k follower,"['Graphic Novels', 'Fantasy', 'Comics', 'Fiction', 'Graphic Novels Comics', 'Mythology', 'Horror', 'Graphic Novels', 'Fantasy', 'Comics', 'Fiction', 'Graphic Novels Comics', 'Mythology', 'Horror', 'Graphic Novels', 'Fantasy', 'Comics', 'Fiction', 'Graphic Novels Comics', 'Mythology', 'Horror']",823 review,"11,502 (55%)","6,615 (31%)","2,280 (10%)",281 (1%),59 (<1%)
La colmena,Camilo José Cela,3.75,"9,024 rating","January 1, 1951","La estructura externa está compuesta de seis capítulos y un epílogo. Cada capítulo consta de un número variable de secuencias de corta extensión, que desarrollan episodios que están mezclados con otros que ocurren simultáneamente. De esta manera el argumento se rompe en multitud de pequeñas anécdotas. Lo importante es la suma de las mismas, que conforma un conjunto de vidas cruzadas, como las celdas de una colmena.El marco espacio-temporal es muy preciso: Madrid en unos días del año 1943, en plena posguerra. La historia se basa en un espacio novelesco reducido pero con bastantes personajes que intervienen poco en el transcurso de la obra y dan una visión social coral. De entre los trescientos personajes que aparecen, escasean tanto los de las clases más acomodadas como los de la clase obrera y sectores marginados, predominando la clase media baja, la pequeña burguesía venida a menos, cuyas ilusiones y proyectos de futuro son engañosos y cuyas miradas «jamás descubren horizontes nuevos», en una vida relatada como una «mañana eternamente repetida». La novela aparece como primera parte de una serie que había de llevar el título de «Caminos inciertos».La voluntad de reflejar con exactitud la realidad no supone la absoluta neutralidad del autor, que interviene de dos formas contradictorias. En la mayoría de los casos utiliza la técnica objetivista, es decir, se limita a mostrar, a describir desde fuera, sin penetrar en el interior de los personajes. Otras veces, sin embargo, adopta una actitud omnisciente y comenta con ironía las actitudes de los personajes.",336,292,377 follower,"['Fiction', 'Spanish Literature', 'Spain', 'Classics', 'Nobel Prize', 'Literature', 'Novels']",525 review,"2,325 (25%)","3,339 (37%)","2,387 (26%)",724 (8%),249 (2%)
King: A Street Story,John Berger,3.78,343 rating,"February 1, 1999","A furious homage to the homeless and a lyrical meditation on language and experience. You will be led to a place you haven't been, from where few stories come. You will be led by King, a dog (or is he?) to a wasteland beside the motorway called Saint Valery.",240,277,"2,102 follower","['Fiction', 'Dogs', 'Animals']",43 review,89 (25%),127 (37%),94 (27%),27 (7%),6 (1%)
Debt of Honor,Tom Clancy,4.09,"48,714 rating","August 17, 1994","Razio Yamata is one of Japan's most influential industrialists, and part of a relatively small group of authority who wield tremendous authority in the Pacific Rim's economic powerhouse.He has devised a plan to cripple the American greatness, humble the US military, and elevate Japan to a position of dominance on the world stage.Yamata's motivation lies in his desire to pay off aDebt of Honor to his parents and to the country he feels is responsible for their deaths—America. All he needs is a catalyst to set his plan in motion.When the faulty gas tank on one Tennessee family's car leads to their fiery death, an opportunistic U. S. congressman uses the occasion to rush a new trade law through the system. The law is designed to squeeze Japan economically. Instead, it provides Yamata with the leverage he needs to put his plan into action.As Yamata's plan begins to unfold, it becomes clear to the world that someone is launching a fully-integrated operation against the United States. There's only one man to find out who the culprit is—Jack Ryan, the new President's National Security Advisor.",990,660,"8,014 follower","['Fiction', 'Thriller', 'Military Fiction', 'Espionage', 'Action', 'Suspense', 'Adventure']",753 review,"18,274 (37%)","18,912 (38%)","9,569 (19%)","1,531 (3%)",428 (<1%)
Never Look Back,Lesley Pearse,4.42,"4,110 rating","January 1, 2000","Never Look Back is the latest from bestselling author Lesley Pearse. One good deed takes her into another world . . . Sixteen-year-old Matilda is a poor Covent Garden flower girl until the day she saves the life of Tabitha, a minister's daughter. Welcomed into Tabitha's family, Matilda is offered the chance of a lifetime. She leaves behind London's slums and enters the darkest corners of New York. And she travels across the plains to the Wild West, where San Francisco is in the grip of the gold rush. Streetwise and strong-willed, Matilda forges a new life for herself and Tabitha among pioneers like Captain James Russell - a man to whom she is deeply attracted. Yet a civil war will soon rip apart this new nation. Can Matilda and those she loves brave separation and carry on, never looking back? Lesley Pearse is the author of bestsellers Gypsy and Remember Me. Never Look Back is a historical novel of love and survival at the time of the American Civil War. Fans of Susan Lewis will love the way Lesley Pearse weaves her plots and characters together. Praise for Lesley Pearse: 'With characters it is impossible not to care about ... this is storytelling at its very best' Daily Mail 'Lose yourself in this epic saga' Bella 'An emotional and moving epic you won't forget in a hurry' Woman's Weekly Find Lesley on Twitter @LesleyPearse or find out more on her website, www.lesleypearse.co.uk.",737,73,"1,969 follower","['Historical Fiction', 'Romance', 'Historical Romance', 'Fiction', 'Historical', 'Chick Lit', 'Drama']",250 review,"2,432 (59%)","1,130 (27%)",413 (10%),93 (2%),42 (1%)
Howliday Inn,James Howe,3.95,"13,939 rating","January 1, 1982","Not a great place to visit, and you wouldn't want to live there  The Monroes have gone on vacation, leaving Harold and Chester at Chateau Bow-Wow -- not exactly a four-star hotel. On the animals' very first night there, the silence is pierced by a peculiar wake-up call -- an unearthly howl that makes Chester observe that the place should be called Howliday Inn.  But the mysterious cries in the night (Chester is convinced there are werewolves afoot) are just the beginning of the frightening goings-on. Soon animals start disappearing, and there are whispers of murder. Is checkout time at Chateau Bow-Wow going to come earlier than Harold and Chester anticipated?",195,201,443 follower,"['Childrens', 'Fiction', 'Mystery', 'Fantasy', 'Animals', 'Humor', 'Middle Grade', 'Childrens', 'Fiction', 'Mystery', 'Fantasy', 'Animals', 'Humor', 'Middle Grade', 'Childrens', 'Fiction', 'Mystery', 'Fantasy', 'Animals', 'Humor', 'Middle Grade']",551 review,"4,906 (35%)","4,594 (32%)","3,546 (25%)",660 (4%),233 (1%)
