title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,genres,author_followers,no_of_reviews,no_of_books_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
Rumble Fish,S.E. Hinton,3.79,"22,985 rating","September 15, 1975","Rusty-James is the toughest guy in the group of high-school kids who hang out and shoot pool down at Benny's, and he enjoys keeping up his reputation. What he wants most of all is to be just like his older brother, the Motorcycle Boy. He wants to stay calm and laughing when things get dangerous, to be the toughest street fighter and the most respected guy on their side of the river. Rusty-James isn't book-smart, and he knows it. He relies on his fists instead of his brains. Until now he's gotten along all right, because whenever he gets into trouble, the Motorcycle Boy bails him out. But Rusty-James' drive to be like his brother eats away at his world--until it all comes apart in an explosive chain of events. And this time the Motorcycle Boy isn't around to pick up the pieces.",144,"['Young Adult', 'Fiction', 'Classics', 'Coming Of Age', 'Realistic Fiction', 'Teen', 'Contemporary']","6,784 follower","1,330 review",48,304 (1%),"1,464 (6%)","6,978 (30%)","8,160 (35%)","6,079 (26%)"
Prozac Nation,Elizabeth Wurtzel,3.63,"61,366 rating","January 1, 1994","A harrowing story of breakdowns, suicide attempts, drug therapy, and an eventual journey back to living, this poignant and often hilarious book gives voice to the high incidence of depression among America's youth. A collective cry for help from a generation who have come of age entrenched in the culture of divorce, economic instability, and AIDS, here is the intensely personal story of a young girl full of promise, whose mood swings have risen and fallen like the lines of a sad ballad.",368,"['Nonfiction', 'Memoir', 'Psychology', 'Mental Health', 'Mental Illness', 'Biography', 'Biography Memoir']","1,377 follower","2,352 review",15,"2,416 (3%)","6,651 (10%)","17,795 (28%)","19,055 (31%)","15,449 (25%)"
The Golden Notebook,Doris Lessing,3.77,"22,891 rating","January 1, 1962","Anna is a writer, author of one very successful novel, who now keeps four notebooks. In one, with a black cover, she reviews the African experience of her earlier year. In a red one she records her political life, her disillusionment with communism. In a yellow one she writes a novel in which the heroine relives part of her own experience. And in the blue one she keeps a personal diary. Finally, in love with an American writer and threatened with insanity, Anna tries to bring the threads of all four books together in a golden notebook.",640,"['Fiction', 'Classics', 'Feminism', 'Literature', 'Novels', 'Nobel Prize', 'Literary Fiction']","2,767 follower","2,159 review",492,987 (4%),"2,137 (9%)","5,168 (22%)","7,573 (33%)","7,026 (30%)"
Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,Scott Dikkers,4.14,"13,104 rating","March 23, 1998","The Onion has quickly become the world's most popular humor publication, misinforming half a million readers a week with one-of-a-kind social satire both in print (on newsstands nationwide) and online from its remote office in Madison, Wisconsin.Witness the march of history as Editor-in-Chief Scott Dikkers and The Onion's award-winning writing staff present the twentieth century like you've never seen it before.",164,"['Humor', 'History', 'Comedy', 'Nonfiction', 'Politics', 'Reference', 'Journalism', 'Humor', 'History', 'Comedy', 'Nonfiction', 'Politics', 'Reference', 'Journalism', 'Humor', 'History', 'Comedy', 'Nonfiction', 'Politics', 'Reference', 'Journalism', 'Humor', 'History', 'Comedy', 'Nonfiction', 'Politics', 'Reference', 'Journalism', 'Humor', 'History', 'Comedy', 'Nonfiction', 'Politics', 'Reference', 'Journalism']",71 follower,131 review,34,256 (1%),476 (3%),"2,165 (16%)","4,462 (34%)","5,745 (43%)"
Malone Dies,Samuel Beckett,3.85,"5,040 rating","January 1, 1951","Written and published in French in 1951, and in Samuel Beckett’s English translation in 1956, Malone Dies is the second of his immediate post-war novels, written during what Beckett later referred to as ‘the siege in the room’.‘Malone’, writes Malone, ‘is what I am called now.’ On his deathbed, whittling away the time with stories and revisions of stories, the octogenarian Malone's account of his condition is contradictory and intermittent, shifting with the vagaries of the passing days: without mellowness, without elegiacs; wittier, jauntier, and capable of darker rages than his precursor Molloy. Malone promises silence, but as a storyteller he delivers irresistibly more.",127,"['Fiction', 'Classics', 'Literature', 'Irish Literature', 'Novels', 'Ireland', 'France']","5,806 follower",475 review,706,178 (3%),389 (7%),"1,081 (21%)","1,754 (34%)","1,638 (32%)"
The Dream Cycle of H.P. Lovecraft: Dreams of Terror and Death,H.P. Lovecraft,4.23,"6,979 rating","January 1, 1934","This volume collects, for the first time, the entire Dream Cycle created by H. P. Lovecraft, the master of twentieth-century horror, including some of his most fantastic tales:THE DOOM THAT CAME TO SARNATH--Hate, genocide, and a deadly curse.THE NAMELESS CITY--Death lies beneath the shifting sands, in a story linking the Dream Cycle with the legendary Cthulhu Mythos.THE CATS OF ULTHAR--In Ulthar, no man may kill a cat...and woe unto any who tries.THE DREAM QUEST OF UNKNOWN KADATH--The epic nightmare adventure with tendrils stretching throughout the entire Dream Cycle.AND TWENTY MORE TALES OF SURREAL TERROR",387,"['Horror', 'Fiction', 'Fantasy', 'Short Stories', 'Classics', 'Lovecraftian', 'Anthologies', 'Horror', 'Fiction', 'Fantasy', 'Short Stories', 'Classics', 'Lovecraftian', 'Anthologies', 'Horror', 'Fiction', 'Fantasy', 'Short Stories', 'Classics', 'Lovecraftian', 'Anthologies']",17.4k follower,202 review,"3,866",74 (1%),210 (3%),"1,037 (14%)","2,363 (33%)","3,295 (47%)"
Jamaica Inn,Daphne du Maurier,3.89,"49,474 rating","January 1, 1936","The coachman tried to warn her away from the ruined, forbidding place on the rainswept Cornish coast. But young Mary Yellan chose instead to honor her mother's dying request that she join her frightened Aunt Patience and huge, hulking Uncle Joss Merlyn at Jamaica Inn. From her first glimpse on that raw November eve, she could sense the inn's dark power. But never did Mary dream that she would become hopelessly ensnared in the vile, villainous schemes being hatched within its crumbling walls -- or that a handsome, mysterious stranger would so incite her passions ... tempting her to love a man whom she dares not trust.",302,"['Classics', 'Fiction', 'Historical Fiction', 'Gothic', 'Mystery', 'Historical', 'Thriller']","8,571 follower","4,710 review",324,486 (<1%),"2,448 (4%)","12,513 (25%)","20,505 (41%)","13,522 (27%)"
"The Heart of the Buddha's Teaching: Transforming Suffering into Peace, Joy, and Liberation",Thich Nhat Hanh,4.32,"17,828 rating","May 1, 1998","With poetry and clarity, Thich Nhat Hanh imparts comforting wisdom about the nature of suffering and its role in creating compassion, love, and joy – all qualities of enlightenment. “Thich Nhat Hanh shows us the connection between personal, inner peace, and peace on earth.” —His Holiness the Dalai LamaIn The Heart of the Buddha’s Teaching , now revised with added material and new insights, Nhat Hanh introduces us to the core teachings of Buddhism and shows us that the Buddha’s teachings are accessible and applicable to our daily lives.Covering such significant teachings as the Four Noble Truths, the Noble Eightfold Path, the Three Doors of Liberation, the Three Dharma Seals, and the Seven Factors of Awakening, The Heart of the Buddha’s Teaching is a radiant beacon on Buddhist thought for the initiated and uninitiated alike.",294,"['Buddhism', 'Philosophy', 'Spirituality', 'Nonfiction', 'Religion', 'Self Help', 'Zen']",11.2k follower,839 review,956,201 (1%),433 (2%),"2,133 (11%)","5,735 (32%)","9,326 (52%)"
Sostiene Pereira,Antonio Tabucchi,4.18,"29,037 rating","January 1, 1994","ISBN 9788433966322 moved to this edition.Lisboa, 1938. En una Europa recorrida por el fantasma de los totalitarismos, Pereira, un periodista dedicado durante toda su vida a la sección de sucesos, recibe el encargo de dirigir la página cultural de un mediocre periódico. Pereira tiene un sentido un tanto fúnebre de la cultura y prefiere la literatura del pasado. Necesitado de un colaborador, contacta con el joven Monteiro Rossi. Y la intensa relación que se establece entre el viejo periodista, Monteiro y su novia Marta cristalizará en una crisis personal, una maduración interior y una dolorosa toma de conciencia que transformará profundamente la vida de Pereira.",192,"['Fiction', 'Italian Literature', 'Portugal', 'Historical Fiction', 'Classics', 'Italy', 'Novels', 'Fiction', 'Italian Literature', 'Portugal', 'Historical Fiction', 'Classics', 'Italy', 'Novels', 'Fiction', 'Italian Literature', 'Portugal', 'Historical Fiction', 'Classics', 'Italy', 'Novels', 'Fiction', 'Italian Literature', 'Portugal', 'Historical Fiction', 'Classics', 'Italy', 'Novels', 'Fiction', 'Italian Literature', 'Portugal', 'Historical Fiction', 'Classics', 'Italy', 'Novels']",758 follower,"2,297 review",147,246 (<1%),814 (2%),"4,384 (15%)","11,635 (40%)","11,958 (41%)"
Hell's Angels,Hunter S. Thompson,3.99,"49,208 rating","February 17, 1966","Au début des années soixante, Thompson, alors journaliste à San Francisco, est fasciné par les Hell's Angels. Son article sur ces seigneurs de la route fait sensation, il se lance dans la version longue : un an passé à rouler et à écrire à leurs côtés. Mais l'équipée se termine sauvagement : parce qu'il refuse de partager ses royalties, les Angels abandonnent l'homme de lettres sur une route, à moitié mort et le crâne défoncé à coups de pierres... "" En France on n'a pas ça et aux Etats-unis, pays pourtant pas avare en déjantés, ils n'en ont qu'un comme lui. Même s'il n'a rien écrit depuis plus de vingt ans, Hunter S. Thompson demeure là-bas une légende. "", Eric Neuhoff, Le Figaro littéraire.",295,"['Nonfiction', 'History', 'Journalism', 'Memoir', 'Biography', 'Crime', 'True Crime', 'Nonfiction', 'History', 'Journalism', 'Memoir', 'Biography', 'Crime', 'True Crime', 'Nonfiction', 'History', 'Journalism', 'Memoir', 'Biography', 'Crime', 'True Crime']","9,693 follower","1,923 review",108,386 (<1%),"1,925 (3%)","10,813 (21%)","20,902 (42%)","15,182 (30%)"
